"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f5be62f9-6eb3-475b-8327-9273845eb6f7","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"daf415f0-76d9-4631-8849-392bb85b0ee8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site"
"09052896-c098-49c6-a08e-8c07f14af448","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","03.28 - Sheet or Strip Filter Drains"
"5fbc523a-c7af-41d9-b68d-5c1b1c9b27f4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","03.41 - Rock Protection"
"3da39a7b-c7c7-4e30-97c8-b7ba371766ea","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.01 - Clearing & Grubbing"
"7c0898b5-3115-4b37-a5ca-8ca86c1f5304","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.04 - Ground Surface Treatment"
"4963fc71-f4f9-4ea5-88af-fa3d81a4bec6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.05 - Embankment"
"358c42a2-c24a-44c0-baa0-0692ae387a8f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.06 - General Excavation"
"256caaef-f93e-4970-abee-77921843330d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.07 - Structure Excavation (Unsuitable)"
"5121efe6-1463-4ad5-b26f-7ef2a75b8e72","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.08 - Stripping of Topsoil"
"e4fccc49-fbcf-4d04-a53b-8c3e1ef2169c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.10 - Backfill"
"6f40231b-e76e-4dc5-aba2-bec963ba5354","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.11 - Demolition of Road Furniture"
"baf25242-2141-4c40-a3d9-94866adc597a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","04.18 - Subgrade Testing"
"2ae3e9ee-c5ae-4b90-8be0-4bfa683e564e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","05.01 - Placement of Unbound Pavement"
"564a4f37-2fa7-4411-8a2b-0e6d10a5c8f0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"c118487b-01db-430c-8757-de019f0e2dfd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","14.01 - Supply and Installation of Road Signs"
"b29c8dcb-5a14-484b-aa2f-75d8f99e2b01","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","16.01 - Landscape and Revegetation Works"
"830cc9d1-2a15-4d76-ac78-766d09648319","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","28.01 - Contractor's Camp and Site Facilities"
"21f353d6-4d5f-4663-8797-c1acbac2cba5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","30.01 - Dense Graded Asphalt"
"8aba6a93-b341-453f-8660-9b606acdfed6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","45.01 - Road Surface Delineation"
"601fd578-852c-4048-bbb1-a2e215479345","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","51.00 - Environmental Management Systems"
"6fa433b0-9686-4cdb-a474-93cd371085f3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","52.01 - Erosion and Sediment Control"
"4d770e35-2508-4219-a2b4-039949140a0c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","70.01 - Placement of Concrete"
"8efc5752-0aa1-4c68-9e99-9ec36e754b64","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","70.02 - MRTS70 Normal Class Concrete"
"44922c31-dad1-432b-9a99-ed5d095f0920","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","70.03 - Supply of Concrete"
"6bbb97b5-7100-46d9-89a7-02f4513bb7c6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2C","71.01 - Reinforcing Steel"
"32cf11c1-9c7c-42bc-8f16-afc77737cfeb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E"
"538d2d25-e444-467d-afc2-1ca275301b63","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","02.01 - Traffic Management"
"926511da-ef4a-4aa6-87c6-aeb643d8f04f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"4a044626-3857-42e3-a7c4-c7a98f19800a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.02 - Supply and Installation of Precast Concrete Pipe"
"255b7a5b-357c-4e95-b5b3-c91571c09e41","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.03 - Culvert Component/End Structure Insitu Cast"
"10d3c9a2-3866-41cb-8e1a-13bb74558126","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.04 - Pre Cast End Structure"
"f7451627-d896-4f8f-89ee-f5eeac91eaba","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.05 - Supply and Installation of Precast Box Culverts"
"2239bf83-f7ff-43b4-b599-58b7482a3c40","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.20 - Kerb - Cast Insitu/Extruded"
"c56d3246-29fa-4183-a919-2b482b454de1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.27 - Subsoil Drains"
"5e5b23e7-1d89-411c-a468-3935b8818cc3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.28 - Sheet or Strip Filter Drains"
"303660e0-afac-4177-af5e-c44d5feec017","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","03.41 - Rock Protection"
"63be6f7e-eddf-4003-8497-67b20ae08cbc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.01 - Clearing & Grubbing"
"a924203d-6f73-4a98-b727-8fbf64fc42b3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.04 - Ground Surface Treatment"
"df16366a-b6c9-4e1c-bcf6-d078730d9598","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.05 - Embankment"
"9fc7561a-a2a8-496c-beca-64f00f9195ef","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.06 - General Excavation"
"e4b3c780-fe6e-4540-a171-f953a5a26ce5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.07 - Structure Excavation (Unsuitable)"
"ef7a20f2-0d72-48d4-b056-42f59fc60b12","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.08 - Stripping of Topsoil"
"d8515291-f53b-4f0c-ac5a-92c9400aa0c3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.10 - Backfill"
"7444715e-0174-40c8-9995-8112bf4369d9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.11 - Demolition of Road Furniture"
"386fc895-3168-4a87-8814-1ee1f239e40f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","04.18 - Subgrade Testing"
"caca418a-d16f-4e16-8023-aa41a464cb98","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","05.01 - Placement of Unbound Pavement"
"036c7803-f2f5-4b12-a49f-09640795ea5b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"28c42451-9f18-4609-a867-a0ce6572c7ea","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","14.01 - Supply and Installation of Road Signs"
"7c821e89-c61b-4aae-b97e-26bcd28e6e77","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","16.01 - Landscape and Revegetation Works"
"74a1695a-5e2d-4de1-aa26-4a352101d0be","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","28.01 - Contractor's Camp and Site Facilities"
"ab7cabdb-0a0a-418b-8644-5c738c47cc05","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","30.01 - Dense Graded Asphalt"
"39e6af3a-9202-4d7e-9f38-8ab98f3147b9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","45.01 - Road Surface Delineation"
"2dedb981-3db9-4325-abd3-b0503f89b415","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","51.00 - Environmental Management Systems"
"4ee32fc4-2554-4689-86c8-74a37d3ced0b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","52.01 - Erosion and Sediment Control"
"d2811d1f-7a69-43ba-bb44-e8992e9ce4d6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","70.01 - Placement of Concrete"
"d59d6087-c3e1-4496-a8b7-86e434313f5a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","70.02 - MRTS70 Normal Class Concrete"
"69728db4-211b-4a35-b8b2-f5e0c194dab9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","70.03 - Supply of Concrete"
"6ddb896d-62bd-4695-aa99-1765b5b18f84","","no-status-not-started","","folder","TRUE","FALSE","Site QA","2E","71.01 - Reinforcing Steel"
"917470c7-c911-4bc8-982d-ab5bc532852e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B"
"7cb67511-2332-487e-8acd-2d4cc9083c73","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","02.01 - Traffic Management"
"b25e9f36-16ed-4ac3-a8df-849adc66ba96","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"4ae7aba9-8d2d-4d42-ad07-f31a99f892a4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.02 - Supply and Installation of Precast Concrete Pipe"
"8d8cc4bd-9823-431f-9fa3-caf74c577d6d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.03 - Culvert Component/End Structure Insitu Cast"
"d81dcea6-f5c4-4cb1-8115-944b43cd5efd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.04 - Pre Cast End Structure"
"a30c7fc5-c0e6-45d0-bfcb-1d321edf2be8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.05 - Supply and Installation of Precast Box Culverts"
"b3320702-c888-4b61-9d98-1cd2d673c937","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.20 - Kerb - Cast Insitu/Extruded"
"192de642-23ad-40db-a333-2a31677fd177","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.27 - Subsoil Drains"
"6352f2a7-4f05-42cf-b3aa-3b77f908ec30","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.28 - Sheet or Strip Filter Drains"
"2ede3dd2-5beb-4237-b867-96c952833707","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","03.41 - Rock Protection"
"dac1fd8d-9d6c-4ae0-874b-efd46e6c775b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.01 - Clearing & Grubbing"
"39e840e3-90e6-4b10-8285-c7e922b68695","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.04 - Ground Surface Treatment"
"46b60367-c75e-4be4-b505-8b6b22173541","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.05 - Embankment"
"bf7c1579-ad85-4078-ae1d-b7db59f477dc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.06 - General Excavation"
"9b22f753-c572-4a26-8fbf-4aacdbc9936e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.07 - Structure Excavation (Unsuitable)"
"6e01e0d8-a006-4c85-83a0-3e48e2d8a61f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.08 - Stripping of Topsoil"
"8aaaf329-b72f-44c5-ba54-555e039c0912","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.10 - Backfill"
"e205b10d-11a2-4bfa-9740-83c69d92159a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.11 - Demolition of Road Furniture"
"2768dcf2-ea4a-44f4-a6f7-a77776200d05","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","04.18 - Subgrade Testing"
"ba4b58c0-12d9-4f2a-9dcf-b777f1decf6e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","05.01 - Placement of Unbound Pavement"
"c7ad11b7-48b4-470d-b080-b66705e308af","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"ee68531b-a1b2-4184-b0ec-c9a1e391b126","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","14.01 - Supply and Installation of Road Signs"
"73c94d37-f530-4c31-9166-784df0e1d40a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","16.01 - Landscape and Revegetation Works"
"fde3f323-53f1-414f-88a2-65bf16ab4926","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","28.01 - Contractor's Camp and Site Facilities"
"f1f5db7d-4175-41f5-8c2d-5952148abb4f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","30.01 - Dense Graded Asphalt"
"c1f1c6db-847f-4eae-a762-fb43a7411785","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","45.01 - Road Surface Delineation"
"070ec441-5a06-4b64-a408-090849cda0cc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","51.00 - Environmental Management Systems"
"862a4060-daf0-48ae-9fe3-bb1c4ffff379","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","52.01 - Erosion and Sediment Control"
"64d1752c-ea40-41b8-aa34-a2c20ce3711c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","70.01 - Placement of Concrete"
"9a083568-a896-49ef-a7eb-657d06d09fbe","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","70.02 - MRTS70 Normal Class Concrete"
"7818773f-a9db-484c-9e9e-279b6bd02630","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","70.03 - Supply of Concrete"
"44c896b0-10ca-46df-86b2-e93eff94af3b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3B","71.01 - Reinforcing Steel"
"189c30fc-a66f-42d1-bd9d-aa0fb8c65106","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D"
"e1b7944f-db1c-4015-bcd3-fbc2da88c55c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","02.01 - Traffic Management"
"48f56e03-b959-47fd-9bf4-552613d7299b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"d0003d6d-0d9b-4b94-9a4c-d1bf7795f146","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.02 - Supply and Installation of Precast Concrete Pipe"
"2c977a64-363a-4a25-a3f3-b58d88795027","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.03 - Culvert Component/End Structure Insitu Cast"
"70949136-4817-4809-80e4-75d9b33cf28b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.04 - Pre Cast End Structure"
"5b718c11-0441-4bd0-a60a-5487977a447a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.05 - Supply and Installation of Precast Box Culverts"
"c15bf9ee-9ad5-4f32-8a1d-5f64f9762619","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.20 - Kerb - Cast Insitu/Extruded"
"585754f2-a6de-415a-ad18-73c4dec0a0cb","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.27 - Subsoil Drains"
"82240b66-c5e4-4b5d-bc41-2ecc5a1cb41e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.28 - Sheet or Strip Filter Drains"
"be9963aa-d8c1-424d-b6b0-db6965eff94b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","03.41 - Rock Protection"
"9ec7eb53-c832-4e20-b1a0-ee33cd815fdc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.01 - Clearing & Grubbing"
"028b8a9f-a688-44d0-ba9a-37fd2bedf4ca","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.04 - Ground Surface Treatment"
"26ffe6f0-d0f2-4e59-8a69-3cf05702cc5f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.05 - Embankment"
"3db9bac1-37c0-4824-90c2-4e0853431dcc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.06 - General Excavation"
"6413eee9-9fab-4ec7-b14b-0e8be3488e21","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.07 - Structure Excavation (Unsuitable)"
"0b9ab031-8b08-4ac1-abed-5b825dfeec3a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.08 - Stripping of Topsoil"
"8fb8b96d-013b-41f7-938a-7ce137280480","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.10 - Backfill"
"63de8052-6c03-47b8-9d29-fe2b2634a7c9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.11 - Demolition of Road Furniture"
"54acb2f9-911a-41a2-aa53-0cb7b0527efc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","04.18 - Subgrade Testing"
"ed6ba9fc-4c31-494d-a75c-6ec0702aa262","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","05.01 - Placement of Unbound Pavement"
"2edb8027-2c8c-4428-b6cc-84e6948153d2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"d74ce9eb-a5a7-4747-b608-ae39f629bbf9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","14.01 - Supply and Installation of Road Signs"
"33a70d89-07e1-4db5-a8ad-e31ade1909e3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","16.01 - Landscape and Revegetation Works"
"367fb19d-5a4a-4f7d-ad30-9e1948dc358c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","28.01 - Contractor's Camp and Site Facilities"
"40c40aa8-647a-4850-981a-b390423bf2e0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","30.01 - Dense Graded Asphalt"
"8430945a-9ddd-4b59-a412-356c68c46091","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","45.01 - Road Surface Delineation"
"38a44e30-3faa-4e35-8832-725f8aad618a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","51.00 - Environmental Management Systems"
"a0a07f20-792c-46a7-a139-45ffcbb8330b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","52.01 - Erosion and Sediment Control"
"4dc3849d-e013-48d9-aa93-1baa1c557d15","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","70.01 - Placement of Concrete"
"01c429e0-a0c4-479d-8598-1b784ac15d73","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","70.02 - MRTS70 Normal Class Concrete"
"91ded98f-9a9f-487d-a06c-62a9128c86e9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","70.03 - Supply of Concrete"
"0e4da66f-89f8-40a6-8aeb-c10c24802240","","no-status-not-started","","folder","TRUE","FALSE","Site QA","3D","71.01 - Reinforcing Steel"
"ecf72155-786d-49a1-a32d-32c9d6f87bdc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A"
"e7d1582f-03d4-463b-82dc-5afdd85878f4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","02.01 - Traffic Management"
"e585c907-673c-40dd-bef9-711ff248198d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"f8cf80ee-f49e-4b8f-b635-59ebd61ce372","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.02 - Supply and Installation of Precast Concrete Pipe"
"3f6c0706-71f8-4b07-98a5-6e729b73588e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.03 - Culvert Component/End Structure Insitu Cast"
"6c03503a-de26-47aa-a931-cc4b47a1780f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.04 - Pre Cast End Structure"
"f8778e9c-783a-460c-8b05-369c04f96e43","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.05 - Supply and Installation of Precast Box Culverts"
"db6410f3-4ace-4521-a54d-28c8a083f2bd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.20 - Kerb - Cast Insitu/Extruded"
"1af348fe-be25-4596-b8e2-4161b5108f9e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.27 - Subsoil Drains"
"03a45c87-297b-4a0a-88b4-a9f64b100ce5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.28 - Sheet or Strip Filter Drains"
"808ffed7-3658-4f4e-afeb-3fa890cccbd6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","03.41 - Rock Protection"
"f7d4b929-41bb-4d18-87aa-f2b2988f93b8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.01 - Clearing & Grubbing"
"b79d9bb2-01d6-46fd-a7a4-d82ea28bf881","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.04 - Ground Surface Treatment"
"c6d468cc-a018-460a-96eb-55ebbf125bc8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.05 - Embankment"
"7b40d4f7-53a0-4f09-8e96-3a435e12218f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.06 - General Excavation"
"fc6894b2-1148-4cd6-990b-667e421e56d1","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.07 - Structure Excavation (Unsuitable)"
"b22e2967-9a28-4d6e-b7c0-9fa6d053edd9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.08 - Stripping of Topsoil"
"9e30d33f-362e-40c4-8e2f-ecd91851e8ef","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.10 - Backfill"
"51876708-15c7-45b8-8817-66ecec7b03e2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.11 - Demolition of Road Furniture"
"10463f41-40dc-486d-bd5b-aedca542c00c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","04.18 - Subgrade Testing"
"24d97f00-d044-4e5e-b6b4-687c0a760547","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","05.01 - Placement of Unbound Pavement"
"dc6ac264-85d0-4006-b48e-56ae655e4f72","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"01395e52-b2c2-4e83-ae7a-e544f33c8514","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","14.01 - Supply and Installation of Road Signs"
"076a2196-d9b3-4b68-abad-c63828502656","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","16.01 - Landscape and Revegetation Works"
"1d27f132-354b-4a86-b265-77473737ad47","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","28.01 - Contractor's Camp and Site Facilities"
"dc40f15a-3f3b-4912-b0de-cefbdf299f2e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","30.01 - Dense Graded Asphalt"
"21e173cd-6ae3-4bcc-bdf9-20f257703301","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","45.01 - Road Surface Delineation"
"d3d4c39c-df0d-4def-8fa2-8f6f6b3b2a6b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","51.00 - Environmental Management Systems"
"32a2ec25-4870-465e-a688-5dac1b4fed8f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","52.01 - Erosion and Sediment Control"
"714fe350-f13c-4a44-990e-b8e29f7060cc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","70.01 - Placement of Concrete"
"ca32d4c2-bb71-43a3-8a54-e4888778b8e8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","70.02 - MRTS70 Normal Class Concrete"
"91bcc58f-7729-47f6-a0c1-214f0016fa3f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","70.03 - Supply of Concrete"
"f3e13907-fbc3-4f50-b332-82cfaf6dcc4a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4A","71.01 - Reinforcing Steel"
"193127de-ef27-42e1-92f6-adb504ebefbf","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D"
"546461cd-790c-4b6a-b9a1-dc892a1357b0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","02.01 - Traffic Management"
"f76ff053-891f-45ef-b4b9-345430fdc0e4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.01 - Removal of Existing Drainage Structures and Concrete Slabs"
"301bf2e0-172e-4f1d-87b5-71adfa898135","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.02 - Supply and Installation of Precast Concrete Pipe"
"6bb5c81e-a431-435d-b94a-e0c57b369faa","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.03 - Culvert Component/End Structure Insitu Cast"
"a554306d-444d-41d8-9f41-eee831287cd4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.04 - Pre Cast End Structure"
"a636f7af-267e-48b1-9f68-f88d50429d33","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.05 - Supply and Installation of Precast Box Culverts"
"08e10189-c978-41d0-8df8-5967fdecb607","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.20 - Kerb - Cast Insitu/Extruded"
"2d877ee3-4ebd-49da-bc79-2f53e5b8b691","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.27 - Subsoil Drains"
"e04084ab-f8e9-4ea9-bacd-2b519f6a8210","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.28 - Sheet or Strip Filter Drains"
"f12a69cc-0551-4090-8ae2-d240f863314f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","03.41 - Rock Protection"
"c994f370-edfa-46f0-801e-8de56b8d5cfd","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.01 - Clearing & Grubbing"
"5938e51b-b7c6-427c-937b-29d1811a3d3e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.04 - Ground Surface Treatment"
"2daacc3f-c482-42d7-b3db-91de6267bb39","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.05 - Embankment"
"77b3dc0a-d67d-4088-bb11-1b11af92599a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.06 - General Excavation"
"1a440584-60ef-4aa7-b0b7-3dace158cd53","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.07 - Structure Excavation (Unsuitable)"
"6b8d133f-0369-43eb-a6ac-3946449b340e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.08 - Stripping of Topsoil"
"1b32e3bc-e2ff-471a-824b-4b0c2ae6a97e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.10 - Backfill"
"3a6d1151-5817-4dd1-b6f9-2e78c8edc0bc","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.11 - Demolition of Road Furniture"
"64d634cd-b0bc-4ca1-8147-9a312b5f8ea6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","04.18 - Subgrade Testing"
"75417c0f-7af8-46a8-acb1-bc4b76120861","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","05.01 - Placement of Unbound Pavement"
"d5df4249-5ed9-4d9f-a4b9-ccb61324c047","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"88835315-a226-46c6-aab7-dee7a7123ef7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","4D","14.01 - Supply and Installation of Road Signs"
