"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1ec5c7fe-b96c-4913-a49c-d82a0f8627f0","","fail","","folder","TRUE","FALSE","Building A"
"eed51ddb-790c-4f47-af59-6dc396547425","","work-in-progress","","folder","TRUE","FALSE","Building A","Level 1"
"dd71fbc9-c0c8-419a-a9a8-ae2160634f5d","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.417 - Meeting Room, Small"
"7298ba38-ce98-4ec0-bccd-dcff6a3af124","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.420 - Meeting Room, Medium"
"e3562875-037f-430b-bd21-9ea519d81983","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.425 - Meeting Room, Medium"
"fe017bde-4934-4ba2-bcca-372bc6442dec","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.426 - Meeting Room, Medium"
"a56349ec-6a55-4918-bc24-e1977fdaeae0","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.428 - Meeting Room - Large"
"fc754fae-e454-467b-b2cd-667dd5ef9ad5","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.429 - Meeting Room - Large"
"484dc484-0e51-40f3-b9fb-d1f85a5e2bd2","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.430 - Staff Room"
"e622c3d1-6fd8-49eb-86e4-3c50985fb8d5","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.470 - Reception / Clerical"
"041e0a1e-4970-482a-b9b4-679385b0e7da","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 1","01.B.472 - Waiting"
"eba9fd9c-cfd7-4912-a3cb-a7538216293a","","fail","","folder","TRUE","FALSE","Building B","Level 2"
"87e2694e-b399-4d4a-9b25-7df259e3a84c","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.001 - Travel"
"e6070bc8-a309-492c-bf14-3625930d2bc5","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.002 - Waiting"
"0df298b5-784c-4c2d-b5ba-bb77185da7a9","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.009 - Reception / Clerical"
"c63b005b-c788-4a71-b9db-c8898c48adf7","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.033 - Meeting Room, Medium"
"9df6b483-e768-4e8c-ad6f-ad663a4d74ee","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.052 - Staff Station"
"fd7e2757-3a4e-499a-82e5-1ad2c5ff0d19","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.062 - Office - Clinical Workroom, Perioperative"
"7e8bad2e-6edf-4b7b-aba4-57337a2d3678","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.065 - KH"
"ee7c9c26-9a8c-47da-afff-cbb55517b4ce","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.065 – Journey Board"
"a54a3e3e-56c2-4215-bae4-e51f51506331","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.067 - Discharge Lounge"
"8ed5ee54-78ac-494a-bc16-0a3b68ad5177","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.099 - Office - Clinical Workroom, Perioperative"
"b9494ecf-2925-40c5-9e4a-d817ee6009cc","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.107 - Staff Station"
"44cab1ec-6428-46c7-8b17-da3c55646300","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.131 - Staff Station"
"ee5eeb26-4fbb-4d6a-be89-0d394439188b","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.175 - Staff Station"
"3f25bdf6-0f67-4d8d-82e0-19c750fa2a4d","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.183 - Staff Station"
"7bce9b1f-d04f-479c-815e-e540d31d8925","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.189 - Staff Station"
"5bcc06d9-5b1e-4a25-b00d-4c2a257ce7e2","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.222 - Office - Clinical Workroom, Perioperative"
"e755b05f-1297-4eef-93e7-c26d8eda0f39","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.262 - Office - Clinical Workroom, Perioperative"
"a32ca91b-8527-4e11-bf9e-4932f634bb05","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.322 - Staff Room"
"aac7a565-f462-4bdb-9216-0b63e803dca0","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.331 - Circulation"
"eb9264e1-21bc-4973-bcfc-a1dc066a62d7","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 2","02.B.493 - Office - Clinical Workroom, Perioperative"
"05c610b9-8cac-4d47-87dc-7387acb440fb","","fail","","folder","TRUE","FALSE","Building B","Level 3"
"31ab5d94-9ab6-44b0-86b2-42bc7daafad2","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.061 - Travel"
"a4ab2fcc-012a-457e-bb0e-337763b3e6f8","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.061 - Travel"
"e0da99a3-20cc-4818-a8e3-5c49d8767042","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.100 - Meeting Room, Medium"
"006ba083-dd46-4b16-9024-b12384df355c","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.142 - Staff Lounge With Beverage Bay"
"ffee1e87-fc0a-4d50-9b82-29fa045abac6","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.205 - Informal Meeting / Collaborative Space"
"7b4f7e30-44ea-41c3-8abe-367501149f51","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.312 - Meeting Room - Large"
"57c3c719-bdd6-428f-9696-7aefca8fe26a","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.323 - Education Room (AV/VR)"
"8f2f0f1b-9c73-49c1-b67c-f190f55a97ea","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.324 - Meeting Room - Large"
"9ef495f0-aecd-4c3f-98fb-98d2713dac17","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.333 - Staff Room"
"240445d6-377b-4ca9-9a2e-3680da218efb","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.336 - KH"
"9ca7c303-64c8-48ca-ac30-1ddb0c480748","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.391 - Collaboration Room"
"a92e8672-737e-46da-ad90-fb1b93ca736c","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.392 - Meeting Room, Medium"
"e940cb63-9f9b-43ea-a9aa-73ab03cff5ee","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 3","03.B.427 - Staff Room"
"3b46d6d9-2906-4114-a2d6-f1e5567a3850","","fail","","folder","TRUE","FALSE","Building B","Level 4"
"60391011-b1d7-45d4-9e09-d51f453e4278","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.027 - Lounge"
"5fbc5049-7e03-4f7c-99e2-1b2507457771","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.030 - Lounge"
"b7e533d3-e9dd-4154-aad8-75aab17f2524","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.100 - Travel"
"cad44a4b-772b-4f5f-9c62-1f80b5241f84","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.100 - Travel"
"d84e7f64-38c6-4f21-95fe-e80b07760e8b","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.114 - Tribunal Room"
"3a306112-1e28-4a78-96a5-c42b515f00a7","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.115 - Meeting / Education Room"
"d28e0bac-ff53-4e94-9615-d459c690913a","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.122 - Meeting Room"
"17a05c80-5dbf-4ff4-9cc7-b797b27c81d7","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.146 - Staff Room"
"99e91d8d-0087-4f02-be6e-dcae294af4ea","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.153 - Meeting room"
"88776b94-1cf5-4992-9634-3b6deb53daf8","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.153 - Sensory Modulation Room"
"e3a005f1-2024-4ce1-97eb-d7bdb306330b","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.154 - Multifunction Group Room"
"3bfaecbb-ba64-45d6-86c2-d3679030ad01","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.157 - Lounge - General / Media room"
"02fb5743-1610-41e8-8a41-ae43b9f9b818","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.173 - 1 Bed Room - Mental Health, Accessible"
"8637afde-b34c-4487-babf-a82862c69468","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.184 - Lounge - General / Media room"
"17f013a7-87b6-44e1-95af-ad493a6aa971","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.190 - Office - Clinical Workroom"
"3704ab32-04d5-4f9b-b07e-ca6f2166691d","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.190 - Office - Clinical Workroom"
"91d93966-1ef8-4b4c-a0c8-1f9772863f5e","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.194 - Lounge - Patient / Family"
"dbfb68a9-c191-41e2-902f-c1318b4f7541","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.218 - Lounge / Dining / Activities Room"
"8ec925e0-e7ae-4fa4-9baa-eedab880f54c","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.219 - De-Escalation Room"
"31cb9a86-6457-443f-88ef-509eea3b17d8","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.237 - Sensory Modulation Room"
"b4e013a5-1f09-4139-bf09-5b8a44c8104b","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.277 - Sensory Modulation Room"
"70557d6b-7c6f-469e-bef8-2d6c5d30cffc","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.278 - Multifunction Group Room"
"72a14a5f-4839-4541-956b-f7fe325b4497","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.281 - Lounge - General / Media room"
"da17625f-61d6-4b6c-9606-c9e9c1a10b4a","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.282 - Lounge - General / Media room"
"2f9f9d38-b00d-49f6-b9cf-4ea4ab6b434c","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.313 - Office - Clinical Workroom"
"ca74c0c9-a07f-4503-9692-10d5122ed9b3","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.317 - Lounge - Patient / Family"
"e1035962-d76c-4a6e-83b1-0e5b20cb374a","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.341 - Lounge / Dining / Activities Room"
"de38d92c-d805-4a0b-bc1d-a97f92711e28","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.342 - De-Escalation Room"
"cbe5392e-196a-4e33-ad47-0f638272c132","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.360 - Sensory Modulation Room"
"69681d95-2f1f-4f5c-b8cd-0e7bb7bbd437","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.455 - Staff Lounge With Beverage Bay"
"fb18cad4-23d5-497c-b713-34044db4927e","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.470 - Education Room"
"9a366ff9-36f9-49e5-8643-71ff96cc8370","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 4","04.B.651 - Meeting Room, Medium"
"220147fe-cc11-478b-9442-70facd16026f","","fail","","folder","TRUE","FALSE","Building B","Level 5"
"9fc82c34-6afb-4e32-9b5f-6f775ecdf8c7","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.004 - Group room"
"0cc8cdcd-7337-49ef-b73e-f31bb3b642e9","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.017 - Staff Room"
"1f5bc449-75e4-4e75-9122-d3593a6a0f54","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.024 - Reception / Clerical"
"246766f3-229c-4400-b796-b15588e7a529","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.050 - Computer Ability Training Room 1 (20 Person)"
"44bcc0e5-a40e-4ba0-8563-da3873fc07cf","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.051 - Computer Ability Training Room 2 (20 Person)"
"b2218c7e-a7e1-4099-8196-c67dbfb513dd","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.052 - Meeting Room - Large"
"f5aba2cb-6311-4104-a923-762a00ff9f12","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.123 - Staff Station"
"db0b99eb-c5a1-4d9e-848d-78c38b8b69e5","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.144 - Staff Hub"
"158c0714-b005-410e-b733-07ed0881cdca","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.305 - Board Room"
"e155a9e1-d702-43ff-bc46-fcaf43b02d1e","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.308 - Meeting Room, Small"
"8e794faf-e8bb-45fb-91f1-8554de59ec12","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.311 - Staff Lounge With Beverage Bay"
"24feee15-8444-46f3-a392-8dceaca6540b","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.332 - Meeting Room, Medium"
"c2dac38e-8a9c-400f-8680-843a0ef9bbcd","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.396 - Meeting Room, Small"
"508d7a1a-56c9-4ac7-8afc-16c7259002bb","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.411 - Small meeting room"
"70a04e7f-afa3-4c36-9580-ea25f03ee477","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.419 - Meeting Room - Large"
"0d5044fe-6ba9-47a1-ac95-30f37b31873a","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.426 - Breakout Space"
"eb34162a-186b-4599-8c42-a518e1e06de8","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.481 - Staff Lounge With Beverage Bay"
"ac9e660b-2f87-48da-b13a-3757dfdbe319","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.661 - KH"
"8c85280c-627c-45d7-9ff9-f190c1c264ec","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.721 - Travel"
"995ebcb1-61ec-436d-b60e-5e40a58485fd","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 5","05.B.721 - Travel"
"3caf62ce-cf5a-425f-a3a0-f56a347680dc","","fail","","folder","TRUE","FALSE","Building B","Level 6"
"dc1ee37c-7693-45c8-8343-e5a039721567","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.027 - Office - Clinical Workroom"
"cbe2a86b-20ee-42e9-b05d-04df4641b213","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.033 - Staff Station"
"1f9534cf-7000-494e-a17f-44aea9067d21","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.041 - WAIT"
"9fd1959c-d90a-4e7c-81ea-dc621742532b","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.042 - Meeting Room, Medium (Family)"
"f64054a5-48fb-4a42-9a8d-00bfe6b2d4e6","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.047 - LIFT LOBBY"
"3292ba4b-c14a-4149-8e10-9e95e2ed2a4e","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.047 - LIFT LOBBY"
"bc09af0b-7ab4-463a-bdda-d1e8ff275f0a","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.048 - DIGITAL LIFT DIRECTORIES 49"""
"01329479-2d34-43b5-a3bb-1948da856764","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.067 - Staff Room"
"05007e31-c951-4edd-b8db-fd243a799376","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.091 - Meeting / Education Room"
"54390c24-8583-4c0f-8b44-c5a6395e07a4","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.092 - Meeting Room"
"5aaef038-7940-430f-a325-0b350621d61e","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.129 - Office - Clinical Workroom"
"6f99c7b9-03fc-4f9c-a1ec-236c37b11ff7","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 6","06.B.133 - Staff Station"
"b6a63684-80df-46f2-bfdb-d83c95415b19","","fail","","folder","TRUE","FALSE","Building B","Level 7"
"cc218765-80e0-4293-97f4-c284c055f060","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.046 - Lounge - Patient"
"69fe538a-f4a8-402e-bfc1-d898d00629ed","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.053 - Office - Clinical Workroom"
"79f40f79-db88-46b3-8a9c-957fd0b1273c","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.057 – Lift Lobby"
"c84a22cb-bd18-4711-b43f-a19e9effc530","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.059 - Family Meeting / Education Room"
"1f417263-17c8-4c3a-9d1e-aae5e5850ee6","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.061 - Lounge - Patient / Family"
"a3f952bf-169b-416b-83d0-6e9eed68bbf1","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.064 - Meeting Room, Small"
"18e579a3-a45d-42cd-8202-a5826c02fe56","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.119 - Office - Clinical Workroom"
"e22bac62-7494-4ce6-a57f-4b9460779ad7","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.124 - DIGITAL LIFT DIRECTORIES 49"""
"fc2bd306-c1c1-4ff2-aee4-b1f0fa1b31d2","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.128 - Lounge - Patient / Family"
"2a6819c7-6a3e-460b-8b24-f984f9ccdeeb","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.128 - Lounge - Patient / Family"
"a4f6cc89-d5b6-4fe2-aa4b-c36e3d33b757","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.175 - Office - Clinical Workroom"
"41b0e3c5-88a0-4fda-9c9c-3504a368a5f7","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.183 - Staff Room"
"06c14121-e32d-486b-817d-a9d3db64709b","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.184 - Meeting / Education Room"
"8d9fe86a-238b-484b-9014-164ed5f93392","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.185 - Collaboration Room"
"068ef371-7d5f-4d09-b1b8-9a246019f862","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 7","07.B.241 - Office - Clinical Workroom"
"8cf01b69-6cf9-4122-bbab-b172189c90c2","","fail","","folder","TRUE","FALSE","Building B","Level 8"
"aa538f43-92ee-44d0-a422-fb501ae7f73c","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.005 - Lounge Patient"
"d9e1219a-d2ac-4b3f-aae2-12ca557bb0d4","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.053 - Office - Clinical Workroom"
"2f0ce4d3-4d4e-4197-8323-a6ae0c569373","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.056 - LIFT LOBBY"
"b90b392c-fbff-49f4-bb05-6c08d7c58c3e","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.056 - LIFT LOBBY"
"918be035-f2d6-4e9b-8cf2-1ae6f0409c05","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.057 - Family Meeting / Education Room"
"bafa0945-3e6b-4d97-bb20-b2e9ae1b0187","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.058 - Waiting Room"
"d41c50ef-3a2a-4bfa-b446-1bffc527edb3","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.068 - Kiosk - Check-in 22"" - Floor Mount"
"d7108ca4-84ed-4a9c-9499-5d75bdc052a1","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.072 - Meeting Room, Medium"
"22c4ce41-c9b5-412f-a9df-7d317c375818","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.117 - Office - Clinical Workroom"
"a54518ba-430b-422e-a591-7917d1b35387","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.126 - Lounge Patient"
"bad66c29-ba40-4976-8019-f9fe51e2b18e","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.170 - Staff Room"
"eb7570fd-a033-4153-b79c-3440b475aeee","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.172 - Collaboration Room"
"bb6470b6-3aed-4fab-998b-3bb970bf8dd8","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.174 - Meeting / Education Room"
"4e3c1c36-c864-46f6-908b-aa4109f1e342","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.228 - Office - Clinical Workroom"
"90509e58-4c4c-4c7d-9a3d-a310a2ec9b6e","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 8","08.B.248 - Office - Clinical Workroom"
"5a96fde6-d365-4666-8ae6-50c29159cb56","","fail","","folder","TRUE","FALSE","Building B","Level 9"
"6707980d-418b-4cf3-ac35-73a9a46bac27","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 9","09.B.005 - Lounge Patient"
"9c055971-bc65-47eb-8122-ae3485044961","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 9","09.B.053 - Office - Clinical Workroom"
"61178883-55fc-4f7a-a49e-edfabf46cca4","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 9","09.B.056 - LIFT LOBBY"
"23221a2e-6bcb-42af-9490-820bc6ea9792","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 9","09.B.056 - LIFT LOBBY"
"1b8d6377-cd3a-4af8-b2f3-25a756de8241","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 9","09.B.057 - Family Meeting / Education Room"
"2c76a065-44a6-4525-a9dd-ec8df68c9c67","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 9","09.B.058 - Staff Room"
"d72c6be3-d463-40f8-903a-18b4e906602c","","fail","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building B","Level 9","09.B.071 - Lounge Patient"
