"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3ab4f696-a60e-4a29-a9d3-3698d34b5a61","","not-started","","folder","TRUE","FALSE","Site QA/ITC's"
"dd7b4b90-ca9c-4f9f-8aa2-90529fc53d53","","not-started","","folder","TRUE","FALSE","Site QA/ITC's","GROUND"
"f7c9053d-4aae-423b-ac18-561945955980","","not-started","","folder","TRUE","FALSE","Site QA/ITC's","GROUND","ZONE 1"
"7307e1ab-751a-442c-afb3-4e272d6b149f","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.001 AUDIOL"
"a127ed93-9191-5f4c-a3be-3f383682fed7","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.ALL.001 AUDIOL","Room Checklist"
"b8257d5d-5ebc-442f-8e69-07dae1be6c1b","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR"
"a880511c-1b80-54b0-b77f-cda85651b727","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist"
"f18e1685-4760-560d-b465-34f0d76407c0","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Setout"
"21e7c153-842c-5a93-b895-e2344599e12f","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Soffit Insulation"
"71045c8e-3230-590f-a1b5-0951c626b77a","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Frame Walls"
"cf9dece8-c838-5daf-8ac3-1e7ba80ead5d","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Install Noggins"
"3a6b7baf-cb97-5f50-af19-d27586484b14","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"da352e4f-039d-5187-857e-b69eb636356e","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"22b8577c-a387-5dcb-ae20-98a82d0226cf","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Plaster wall Sheeting"
"76ef6611-a723-54c2-b1b0-458c06e21bce","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Stop and Sand"
"0904d4f7-f78f-59c7-808d-c52cdc949e2d","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:98f5e5e8-73e1-426c-abc6-3e0b93dad4d2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Frame Ceilings"
"1c3d5089-c6bd-5c91-9bdd-16f2dc09f05e","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:fcc5b159-d9a7-4655-836a-6e93ab700085","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Service Ceiling Tiles Installed (if applicable)"
"65d8eb4e-ca1b-5bf2-8ae4-e786b6c6960c","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Bulk Tile / Sheet Ceiling"
"e66c1d1b-82d5-5025-b3f2-70b703045198","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.002 CLNR","Room Checklist","Final Inspection"
"516f7943-4753-4c4c-aec3-aeb3e05f9e2a","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS"
"912969b7-1995-5c1d-a19a-2d3904aa60bc","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist"
"3a7cdb07-1398-543e-b3e6-53db10e1929b","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Setout"
"8f9c4fbf-b8a0-5b1e-be58-da1af6c8ac42","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Soffit Insulation"
"58ea4385-6200-578e-8293-135c09c793c3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Frame Walls"
"373583ba-7e1b-52b4-b5bb-ce82e9b97c24","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Install Noggins"
"57c81124-3848-5c2f-843a-b1848e3d481c","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"7d63373d-ee52-5d11-82ca-7ccdad3afdb3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"d4cbc103-6ef8-5aef-b527-07f096eb9898","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Plaster wall Sheeting"
"da0ac78b-2db2-5bfb-b349-4dd25b54e738","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Stop and Sand"
"6e714858-f6f8-5af1-813f-15907a0f045a","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:98f5e5e8-73e1-426c-abc6-3e0b93dad4d2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Frame Ceilings"
"308a2d54-d016-5ea8-9f96-574be55a5e83","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:fcc5b159-d9a7-4655-836a-6e93ab700085","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Service Ceiling Tiles Installed (if applicable)"
"d21f2bb9-2652-50e4-97df-715e85050f7d","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Bulk Tile / Sheet Ceiling"
"d1b39799-1cdb-5b72-ad74-3a616ec86c8b","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.003 CLEAN STORE + CLEAN LINEN IMPRESS","Room Checklist","Final Inspection"
"e49299ab-a8a2-4546-b9e3-9eb3411f0bd9","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ"
"b88497ad-f711-5e58-b27c-0d88c64a54c1","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist"
"079ae7f4-e87f-5788-8fa2-fbf15297d3df","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Setout"
"9275403e-4566-5511-996e-a1d04d4820a6","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Soffit Insulation"
"3c1b2f84-04bb-5775-9a5b-ad62e756b732","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Frame Walls"
"8e79e0df-f77a-5bb0-959f-240879410073","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Install Noggins"
"f0c6b092-0a94-5105-abcc-9ff48e518972","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"2c080216-2566-5dfe-8087-11285214aed6","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"6fe62284-8de1-5783-9502-1f3639a51c8d","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Plaster wall Sheeting"
"1c24f6c9-0c5e-55d6-b37f-52774a6f4fc2","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Stop and Sand"
"ffd1182a-2e89-5998-9ad4-ce9399cf4dae","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:98f5e5e8-73e1-426c-abc6-3e0b93dad4d2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Frame Ceilings"
"3c583129-d230-5f38-b6a1-a24ae78f1246","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:fcc5b159-d9a7-4655-836a-6e93ab700085","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Service Ceiling Tiles Installed (if applicable)"
"1d169372-b436-5ab1-aea0-f028a2579b63","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Bulk Tile / Sheet Ceiling"
"42dea45f-0267-5f45-a271-6200542774c7","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.004 CLNR EQ","Room Checklist","Final Inspection"
"c1a48996-ad4f-4645-855f-2954cd07e56e","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR"
"bcfde25b-dae9-5f21-8c4d-2d84e879d8a4","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist"
"a64b87a4-ed57-5c6c-ac96-ff6cce56b19c","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Setout"
"d486c5f6-9e4a-5ecb-b005-ade38bc418c9","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Soffit Insulation"
"addf7c41-205a-5754-a1e1-bed8881ee8da","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Frame Walls"
"fe3ed0e3-c94e-583f-83b9-7c954b39ac46","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Install Noggins"
"510a5236-6798-5e1b-9e86-8c24b1cc3cd5","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"59f922fd-ac27-5306-bf49-b71a87df70a9","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"80372a5a-f786-5394-b716-cea43a276321","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Plaster wall Sheeting"
"3616bbd9-bcf3-5bc1-9d0b-e33715fb44c1","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:47befba7-a4b7-497f-81b5-6a42aa758886","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Stop and Sand"
"ccfe4b51-8139-5210-a636-0475d3f483c3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:98f5e5e8-73e1-426c-abc6-3e0b93dad4d2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Frame Ceilings"
"ba8ee6f5-126b-5431-a282-8a3dc9f26fc2","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:fcc5b159-d9a7-4655-836a-6e93ab700085","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Service Ceiling Tiles Installed (if applicable)"
"17f38106-7fd6-557e-a6b7-86cc413695ce","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:d878a31d-244d-478d-a4b8-f8448960599e","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Bulk Tile / Sheet Ceiling"
"651e2a09-f99e-5d02-a862-77b6a9ecf7e3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:934a0e7a-5010-4b3e-937d-9ea3bd04e795","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.005 ST CLNR","Room Checklist","Final Inspection"
"d1444bfb-1b83-4a3a-9e86-df293c2ef4a1","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6","checklist","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN"
"0c9214a0-2ca2-537b-b43a-ace5b313fbc6","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f","section","FALSE","FALSE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist"
"d2760861-58cc-538a-8df6-1863b6449dd3","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:279f94db-a55b-408a-b4c0-d18f0b58371c","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist","Setout"
"d08dcdd2-1ecb-51c8-9466-d75d8a53d482","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:6c486c63-a152-465e-a133-4dd5ca535866","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist","Soffit Insulation"
"3eb3def1-ce68-57eb-a79c-06517391b53d","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:b4fa5a06-cd55-4d70-b2e6-161dd839241f","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist","Frame Walls"
"7b39d635-013b-58f0-9430-cbfbfa312af9","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:abdf22ef-6ab9-407f-83b3-5c78911d51f6","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist","Install Noggins"
"6f9c9511-00c3-534a-a96a-2653bf2e707b","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:72b61898-83fd-4446-b249-ed7dbbe0bf93","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist","Acoustic wall junctions photographed (1 photo per corner) and wall insulation"
"aabd7168-f3c2-5ed7-8433-c3dc57d6b9a9","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:efd71e5d-1e74-49b5-af3f-6c649f2d9d1d","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist","Specialist wall linings installed – Yes / No / NA option?"
"dbc6c76b-c614-5570-a415-e6c562d3b0e9","","not-started","a6fd5fd0d99038b19f5eb92badcfbdfec8cab7924c41118d66a6ee0094ef34b6:69fd37a0-2b3c-4c93-8db6-04098c7d534f:cb05cdd1-1e52-42eb-aea7-55a0130affb2","checkpoint","TRUE","TRUE","Site QA/ITC's","GROUND","ZONE 1","GR.BOH.006 ST GEN","Room Checklist","Plaster wall Sheeting"
