"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1aaed0a5-fc27-470d-ad90-a08ba3523b78","","fail","","folder","TRUE","FALSE","Site QA"
"c297c7aa-cdbc-4f11-8f95-f5215168c7eb","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office"
"75865981-7e93-491b-ba1b-6df16f3d58e7","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure"
"81e3d7c0-4f4e-422a-ae17-d94b07ca5b8b","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)"
"0261fff3-f86e-4c19-bda6-ce59be8ed14a","","pass","Excavation - GPL-QSE-ITP-STRUC-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East"
"5ba8777d-e62e-59a1-a9e5-3a3a34cd11a9","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works"
"52f5da92-4a4a-52ca-a775-1cc87b04c9cc","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Attach Hydraulic ITP"
"404a06cb-ad8e-5742-9922-30d30a0023b0","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Confirm position of block outs, penetrations etc are installed, as noted on:"
"103bbb8e-7390-51d1-b777-42de7ba65898","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Confirm formwork shutters are clean and will provide required class finish"
"79b88161-ce12-5858-b75c-27a58d772e16","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Attach Formworkers ITP"
"d68b31b5-b454-5bb1-91e2-f4876a71d65e","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Attach Formwork Engineer sign off certificate confirming compliance with design & AS3610"
"f56d1b7f-e7d7-504e-b93e-06375986f9f9","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Confirm RL to top of vertical is acknowledged by Formworkers and Concrete Placer"
"5ebeafe6-93f0-5774-8b0e-0507a8f65d7a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Confirm correct concrete supplied (attach docket)"
"8ab897fa-5bac-5b34-9340-d55a178a7574","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Confirm concrete tester onsite to take samples"
"c2a51e15-5cb2-5874-8236-517344acec41","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Confirm vibrating is occurring evenly"
"7389c9b3-169f-5fed-a725-ddd2b574dc9e","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Attach Concreter ITP"
"84908a9e-dd49-551f-8559-3558292d0aff","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Ensure a representative from each of the following is on site and witnessing the pour:"
"b86f4d62-fe08-5554-aad9-50edd5929ad4","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","During Works","Ensure Formworkers clean any slurry runs at bottom of walls immediately after pour"
"c0a767a1-6d83-5f44-8932-ff1a52fa90c7","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works"
"4ae92642-0708-547f-b92d-de202bd4626e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works","Confirm stripping is complete and all exposed faces are clear of formwork"
"56fb729d-2d75-5716-8cbd-fab05b534021","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works","Confirm vibration was adequate – no air pockets, agg evenly distributed."
"f7644fe2-6000-5756-a93e-96b5b5bbfcff","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works","Obtain as-built survey (attach survey)"
"9490fdeb-86db-5a19-94a7-534653f9463f","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works","Obtain all concrete tests at 1 days, and attach test results"
"badc7648-73c4-57f4-b7e1-887828e76267","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works","Obtain all concrete tests at 4 days, and attach test results"
"a3f989e5-b78c-51ae-8881-0e7cb4483f23","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works","Obtain all concrete tests at 7 days, and attach test results"
"37fbc441-78bf-5f95-a862-aa985ae1f71e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","After Works","Obtain all concrete tests at 28 days, and attach test results"
"d3ae30fe-bffe-5584-8d35-e2dad06280e4","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","Sign Off"
"1b3f19f7-51fc-569d-8ed3-981ac7acaa19","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","Sign Off","Orwell Sign Off"
"493da27b-8190-5f11-b26e-fad41e52cd3d","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Stair Walls & Columns (L2-3, D)","Sign Off","Request Sign Off"
"3d4ce310-6189-46d0-9c13-691af048994f","","pass","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 3","Structure Handover"
"c00b0dc1-f7eb-5f3b-80cb-a7bab548d0fc","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm all materials have been removed from level"
"f72ce29e-2c7f-512d-86fb-c2f8eeb6ef92","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm that all slabs have been swept and cleaned of debris."
"c4ffa831-e160-5850-a5a6-3a478fe470e3","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm all fillets and nails have been removed from slab soffits"
"2849b573-8d71-5e93-b6fb-4f1eaebc2953","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm that all formwork has been removed from penetrations"
"40ad4775-4869-5159-8dc8-d1b51881563e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm that all structural defects are rectified and signed off by Principal Structural Engineer"
"96d2b390-3fd2-5aad-85e6-2105dbe7775d","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm that surveyor benchmark and grid lines are visible on slab"
"1ce62cbb-c7f6-5a44-b68d-278b3160b0ee","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm that all set downs have been reviewed and rectified due to incorrect setouts or issues of depth"
"7ca28fec-0828-5d59-80a3-030f29abb2f4","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm grouting of PT ducts are completed and grout tubes cut flush"
"f5525977-d7ac-5557-8f93-44934e632185","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Confirm all pans have been filled and/or edge stress pockets filled"
"b9060fda-b26a-58b7-92d6-f1897240969d","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Orwell Sign Off"
"4f6804eb-c60e-5733-bdfc-251bf5e5cfcc","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 3","Structure Handover","Request Sign Off"
"d17a34fd-8b4d-4bc3-897d-09d9da1a45c9","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Level 4"
"d8e6b52d-0d19-4100-865b-2e4ff03ddc25","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)"
"edfa710a-1bd7-5a5f-b41b-f65b6888514f","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Prior to Works"
"9d30bf1b-0266-55d4-8ee7-d49a630980af","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Prior to Works","Confirm set-out of grids, verticals, RL on slab below (attach survey plan)"
"a4fbd1b6-1e42-5843-a3fe-4e711c43973a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Prior to Works","Confirm formwork shop drawings and certificate has been received"
"cd723cae-4487-5147-ba76-8b47f4f247bd","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Prior to Works","Confirm scaffold top-up complete"
"dfe19d00-b0d6-5a4f-ab31-6fe39149b834","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Prior to Works","Confirm safe means of access to new deck"
"91ae9ac5-0869-5b4a-b5ea-bf0de7b65c75","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Prior to Works","Confirm MPa, slump and agg size of concrete"
"6d7b2a51-aa80-5b53-b048-a2046b842430","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Prior to Works","Check quantity of concrete required prior to ordering"
"e9d729aa-91b0-573c-9ce3-58657cbfb927","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works"
"58c8123d-df35-5d7e-ab78-225be878a411","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm deck is safe, handrails installed and edge protection is provided to full perimeter of deck"
"db8810da-1ab2-57a4-bc33-f9c2d872a1a3","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm formwork deck is suitable to achieve required finish to concrete."
"05dd06db-d1cd-5c67-9cb6-2d76d39a6691","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm as-built survey of deck is complete (attach survey plan)"
"8404fac6-d6b9-50d8-95cc-3ba5b7ad8a5d","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm tolerance of deck, edgeboard, setdown, penos etc are as follows:"
"7238a928-eb23-5020-a4af-1471c9f9a896","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Formworkers ITP"
"f5123c60-1ed1-5935-81f3-890653e8d967","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Formworkers Deck Handover Certificate"
"5775641d-c118-5fdb-91b6-36e6deb3ed11","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Formwork Engineer sign off certificate, Confirm that certificate references props, braces and compliance with design & AS3610"
"8b7e213d-a0a3-544f-9be5-4ad068d02829","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Install slip joints to all load bearing walls and corbels where required"
"1b58a4eb-5d83-55c0-8e13-d75a14373dca","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Hydraulic ITP (for cast-in elements), include relevant mark-ups"
"5016a945-1a9a-5908-9df0-2b1cd3d4fe77","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Electricians ITP (for cast-in elements), include relevant mark-ups"
"cb49ec69-2c5a-5a3a-a704-08b10acf8731","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Fire Services ITP (for cast-in elements), include relevant mark-ups"
"5e42c961-7a5f-5bf8-962f-52caa11611d9","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Mechanical ITP (for cast-in elements), include relevant mark-ups"
"2a401aee-a657-5843-a6a3-9339d91a3adb","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm that sufficient plastic bar chairs are used everywhere"
"ba10e67f-ae85-5fb3-8044-79c58bf3967d","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm starter bars to columns/walls/stair are installed in correct location"
"381fff4a-962c-5a6f-9daf-77d5cd0378c8","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Check top RLs for all reinforcement, ensuring adequate concrete cover confirm with Concreter"
"923447b7-402f-5bbb-853b-27e2e2c4a51e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Reo Fixers ITP"
"566c7e2f-5452-588f-8292-a9756147e4de","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm that PT end condition (pan/edge stress) are correct and as per design"
"d54a915e-2a64-5b0d-81c9-71e1e90330ac","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm that correct size chairs are used under PT"
"f64266d7-5e17-5ed0-98eb-a36474dfa4c2","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Post Tensioner ITP"
"9fafc2b4-d2e9-5f71-8eb9-068fdff91afe","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Principal Structural Engineer Inspection Report, and confirm that all actions are closed out with photos sent to engineer"
"f7bde24e-4428-5c20-aba8-8f573a5cac75","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Post Tensioning Engineer Inspection Report, and confirm that all actions are closed out with photos sent to engineer"
"abdf13cc-a911-5c85-a335-1ce6bec9fdb2","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm correct concrete supplied (attach docket)"
"98b69b22-22dc-5b90-bdcb-6a8e2c04269e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm concrete tester onsite to take samples"
"231e24da-beb9-5ca3-b826-42bf51315e3e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm vibrating is occurring evenly"
"4f1fe1a9-9fa8-5f17-b49d-a3ad9484a553","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm falls to drainage points in slab"
"291dbdd7-5380-5887-a693-0787b58746d6","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Attach Concreter ITP"
"8686f791-b1a2-5ce0-86e5-cbe361b8faaf","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Ensure a representative from each of the following is on site and witnessing the pour:"
"990e5393-dfbc-51b0-b1c4-8ce8b6ea6e2c","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","During Works","Confirm Form Worker has labour below deck inspecting all joints (particularly at columns & walls) and is immediately cleaning any slurry"
"b2b94417-e190-5129-bec4-c7d29aba5cf6","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works"
"8adc6333-d061-53a9-8bee-1098d74a2faf","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Confirm finish of concrete is adequate for application (broom/trowel/helicopter finish), refer to AS3610"
"afe9d430-4f0f-51e1-a2e2-db4a9c4e2fd0","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Confirm stripping is complete and all edgeboard, setdowns etc are clear of formwork"
"7808a345-8208-502c-ac83-c1db25396aae","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Obtain as-built survey and set-out for next level (attach survey plan)"
"a126ef44-d3ca-5600-9616-b0dd6355f33b","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Confirm tolerance of finished concrete surfaces are as follows:"
"c3a95ca9-f84c-5120-9463-43483457053f","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Confirm initial stress is conducted, after concrete has reached 9 MPa"
"75b25ebd-8f11-5931-b134-da2db78e6dd4","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Confirm final stress is conducted, after concrete has reached 22 MPa"
"1ace4f43-aeed-5ba1-8d8c-8b61930b58fe","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Obtain all concrete tests at 1 days, and attach test results"
"294da4ed-1202-57cf-b670-9e3d82868772","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Obtain all concrete tests at 4 days, and attach test results"
"a8b8f7e6-5c34-596a-836c-a81910f898fb","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Obtain all concrete tests at 7 days, and attach test results"
"c6873009-cb8e-5166-a75a-bbfa72102bc5","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","After Works","Obtain all concrete tests at 28 days, and attach test results"
"7eccf5e8-8120-5784-9c02-4c5543c89f21","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Sign Offs"
"c4ac03c3-3482-5b36-979f-dd67ec41e861","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Sign Offs","Orwell Sign Off"
"f90d1501-48b6-566c-a021-3c3eb15f181c","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (A)","Sign Offs","Request Sign Off"
"b081f3a5-c208-41f0-85e9-bcd08df085c5","","pass","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)"
"b9470d3c-2a37-5991-b9a5-da304c809fae","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","Prior to Works"
"e0f94895-3574-58ed-adfc-669e243c83c7","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","Prior to Works","Confirm set-out of grids, verticals, RL on slab below (attach survey plan)"
"bee35bcf-9256-5740-ac59-e38238dc866f","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","Prior to Works","Confirm formwork shop drawings and certificate has been received"
"69fc6b0d-450d-5da7-98d0-3f0639ce7dae","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","Prior to Works","Confirm scaffold top-up complete"
"63ed1c4d-0726-55d4-be19-1c4a5999d2ba","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","Prior to Works","Confirm safe means of access to new deck"
"4315ee1b-5a63-5f06-a1b0-810a6bfec966","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","Prior to Works","Confirm MPa, slump and agg size of concrete"
"2f1694de-493d-5f82-9034-32dc918a9958","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","Prior to Works","Check quantity of concrete required prior to ordering"
"3b03d862-4328-53a8-aaeb-5cc58f4aa9f3","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works"
"2ed49a34-9ed5-5385-a5f8-9aed39c664ac","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm deck is safe, handrails installed and edge protection is provided to full perimeter of deck"
"93de72fb-2959-589f-9f81-4f5ccb516c45","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm formwork deck is suitable to achieve required finish to concrete."
"4aa1ce5b-82f5-58d3-bde5-0bb2cf0b8bfa","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm as-built survey of deck is complete (attach survey plan)"
"af477249-e974-5231-bdfe-4ff33e8779d6","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm tolerance of deck, edgeboard, setdown, penos etc are as follows:"
"3f07efc4-34a3-5b04-9afb-469e2ca76a91","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Formworkers ITP"
"3b1b503c-3e72-5ab7-91b3-781d83258a0e","","pass","","signoff","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Formworkers Deck Handover Certificate"
"893f1f03-948c-5e15-a864-d41e6d9d698d","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Formwork Engineer sign off certificate, Confirm that certificate references props, braces and compliance with design & AS3610"
"401707c9-ecaa-50fb-8d7c-399514340d21","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Install slip joints to all load bearing walls and corbels where required"
"982b80c5-2a43-5330-bc93-1c0e9fc00722","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Hydraulic ITP (for cast-in elements), include relevant mark-ups"
"709db0dd-3199-5d4b-a60f-78945f1b2c48","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Electricians ITP (for cast-in elements), include relevant mark-ups"
"a7d24166-b7bd-5ce4-afe4-cb8f4fc63b4a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Fire Services ITP (for cast-in elements), include relevant mark-ups"
"f85001dc-9e7d-591f-9c76-a0c443c82eb6","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Mechanical ITP (for cast-in elements), include relevant mark-ups"
"d9a94d5c-cfc7-5e9d-a423-c9cdac91bfaa","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm that sufficient plastic bar chairs are used everywhere"
"2301d61c-f71b-5b7c-b518-bd0daf725567","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm starter bars to columns/walls/stair are installed in correct location"
"1a042b42-f596-597d-be27-93342a55bab7","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Check top RLs for all reinforcement, ensuring adequate concrete cover confirm with Concreter"
"f69c602a-c4be-5d7c-a463-ae52a87496f6","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Reo Fixers ITP"
"dd7aa304-3a8b-53f5-b91c-8a38db26e96b","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm that PT end condition (pan/edge stress) are correct and as per design"
"1598416d-c43b-53dd-a7db-2aaa0e1a7d86","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm that correct size chairs are used under PT"
"e850cb3e-c751-53d4-8be0-565b9cc489c1","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Post Tensioner ITP"
"9fd41a64-add3-59e8-a01f-be62cf2c7941","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Principal Structural Engineer Inspection Report, and confirm that all actions are closed out with photos sent to engineer"
"0d290f91-e032-54a3-95af-8506cda6d5cd","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Post Tensioning Engineer Inspection Report, and confirm that all actions are closed out with photos sent to engineer"
"dd442c0f-9d54-5970-8bf1-759c94bfd37f","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm correct concrete supplied (attach docket)"
"3ed206a2-82c4-50d3-bf47-450f64c98ef9","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm concrete tester onsite to take samples"
"d96f17d2-ae2e-5bc2-b905-c3bf8677ab0e","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm vibrating is occurring evenly"
"4ff9d1a6-1f11-58f3-89a8-ae04ce752cae","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Confirm falls to drainage points in slab"
"aaa28f0f-2095-5d69-af54-3127f6a598aa","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Attach Concreter ITP"
"5d1c1cbc-8c74-5b60-a67c-26f96fa9d2e5","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Level 4","Suspended Slab (B)","During Works","Ensure a representative from each of the following is on site and witnessing the pour:"
