"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1aaed0a5-fc27-470d-ad90-a08ba3523b78","","fail","","folder","TRUE","FALSE","Site QA"
"c297c7aa-cdbc-4f11-8f95-f5215168c7eb","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office"
"75865981-7e93-491b-ba1b-6df16f3d58e7","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure"
"81e3d7c0-4f4e-422a-ae17-d94b07ca5b8b","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)"
"03f53db7-529e-4812-9b76-514f1054dc0c","","work-in-progress","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Finishes","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)"
"18f2b9a4-3595-4111-875c-a3c45f457b2a","","work-in-progress","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Finishes","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)"
"328b2685-7495-4e98-8a46-0f08462c8765","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Wet Areas"
"b68e5640-8fe2-476d-b4ed-f98e97409840","","work-in-progress","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Wet Areas","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)"
"14c1ed8b-8a21-48a6-b3a6-8d7033a6ae59","","not-started","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 1 (South)","Wet Areas","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)"
"ec2545b1-2f3e-40eb-a088-c80181e935b5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 2"
"33c89fb4-7f3f-4dc2-82c9-9b8b05c6d559","","work-in-progress","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Riser Walls"
"64790c26-b5a0-4972-af83-8776fdcf98a4","","pass","Internal Masonry - GPL-QSE-ITP-FIT-02 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Masonry Walls"
"e8157a6e-6785-4177-ba23-cd6773a0898c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Services Rough-In"
"4ef89b9a-401b-470c-91c6-153cef45aefa","","work-in-progress","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Services Rough-In","Hydraulic"
"a08ce245-27ad-4a42-ab50-31fa2a630a1c","","work-in-progress","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Services Rough-In","Mechanical"
"2d3d5768-87e0-4918-957a-77ef2c83d948","","work-in-progress","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Services Rough-In","Electrical"
"530a588b-97b7-43b9-84e5-27797d651989","","work-in-progress","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Services Rough-In","Fire Services"
"20c0d40d-84c6-4225-b1c6-e106c94c45c8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Finishes"
"91cfd873-d5ca-4103-863b-7af03e65dbaa","","work-in-progress","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Finishes","Walls"
"1ffb50c1-3bd4-4348-8956-608a80713020","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Finishes","Internal Glazing"
"a2d59419-bee2-4d43-846b-45602260f5d8","","work-in-progress","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Finishes","Ceilings"
"dc628d57-08e4-4322-ae7e-55dd8ed3a23d","","work-in-progress","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Finishes","Tiling to Common Areas"
"9c9f7f84-57b3-46cb-bf7b-cf84596fd2d4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Wet Areas"
"3ca2299f-71b1-481f-a8e0-ceb3fe4d23eb","","pass","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Wet Areas","Waterproofing"
"07f47e8c-e4ad-4f84-97ac-f1d921b3f3b6","","work-in-progress","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 2","Wet Areas","Tiling"
"1815255b-1858-473f-847c-5b5b85222456","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 3"
"6c08e783-5f29-447e-94c6-0d901b3d7bd8","","work-in-progress","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Riser Walls"
"45054522-d555-4676-9c32-7f00a5b82ea6","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Services Rough-In"
"84467192-412c-41a5-b52c-d9b0ff35c9cd","","work-in-progress","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Services Rough-In","Hydraulic"
"6c133500-1016-4498-aaf4-acf568fe3568","","work-in-progress","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Services Rough-In","Mechanical"
"ebcc4234-3a6f-44d1-b66f-521fada9dd89","","work-in-progress","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Services Rough-In","Electrical"
"a8ce122c-95ca-4d4b-b590-a3c037f225c5","","fail","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Services Rough-In","Fire Services"
"874fded3-8f59-4412-8470-7353f82b4229","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Lift Lobbies"
"a1f15e33-0bb2-4be9-88fa-8e95d85ac271","","work-in-progress","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Lift Lobbies","Waterproofing"
"2f53dad8-ddbd-4d4b-b822-38485791d28c","","not-started","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 3","Lift Lobbies","Tiling"
"3f723135-54dd-4c7e-aafd-b3635e02bf55","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 4"
"4e8fb103-1a03-4869-baf0-4773fb2f6b26","","not-started","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Riser Walls"
"6f3e0bab-0863-4d3a-ac51-431d58baa08a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Services Rough-In"
"34228888-5183-49ba-a3b3-eb4d75091cbf","","work-in-progress","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Services Rough-In","Hydraulic"
"a673f53b-a66c-4685-a548-3a74a5e12ae2","","work-in-progress","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Services Rough-In","Mechanical"
"ed16c32b-4945-4c76-8718-b4ae2e40103c","","work-in-progress","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Services Rough-In","Electrical"
"c966dcd0-7a88-4cbd-871e-c21f5546a0d5","","work-in-progress","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Services Rough-In","Fire Services"
"3c72b50e-e59a-4c70-8856-8edabe7b4330","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Lift Lobbies"
"d1d64474-63d4-4b43-99e4-b4f13ddaafe5","","work-in-progress","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Lift Lobbies","Waterproofing"
"fdde2b4c-4832-4e66-b9f8-5fd9aa6a0b09","","not-started","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 4","Lift Lobbies","Tiling"
"4518f723-14ae-4563-9908-cddb11cbcb80","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)"
"347eb580-1554-4863-a35a-7c78cb378946","","work-in-progress","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Riser Walls"
"4220cdb0-a761-41a3-92d7-7c7b7768e448","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Services Rough-In"
"ee9bdc88-aa6c-4284-a97b-89252753aa97","","work-in-progress","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Services Rough-In","Hydraulic"
"e8f1c2c9-0f9f-4a3e-b722-2499ce2578c6","","work-in-progress","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Services Rough-In","Mechanical"
"7a517436-aec8-4f99-9353-af0f20c09a26","","work-in-progress","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Services Rough-In","Electrical"
"c54379e2-63aa-4daf-8402-127c31410712","","fail","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Services Rough-In","Fire Services"
"4fb6a3ae-81dc-4695-9871-fc8d5f7ffb60","","work-in-progress","","folder","TRUE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Lift Lobbies"
"6529b3ac-ebea-4056-b6dc-58bea85200a2","","work-in-progress","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Lift Lobbies","Waterproofing"
"23ca8250-930f-49b4-bb82-a4b81243b704","","not-started","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Fit Out","Level 5 (Roof)","Lift Lobbies","Tiling"
"85c4ada0-972f-4a58-a124-a95e36cea744","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","External Works"
"90408a8b-d3c2-4782-b043-9db3a1b30fb4","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","External Works","Atrium"
"3c08ccbc-905e-4aa6-9ec7-414c86429bdb","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","2 Landscape planter bases within Atrium - GPL-QSE-ITP-STRUC-004 (Rev 00)"
"c17b26a0-5eca-46a5-9af0-dc00abc2a4d8","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00) - Filtration tank walls "
"1d19989a-11ed-49d5-820b-adfc79a302eb","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00) - Landscape planter walls"
"f8f7b70b-02df-4fcb-b34b-417dd0ae7c78","","pass","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)"
"8e4c3850-ddc7-430e-b490-230d3c9e506f","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","Ponds - Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)"
"64ada0b9-e079-492b-9ecd-eb61c04632de","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","Ponds - Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)"
"841f3339-d28c-4612-9d13-ae54d25f123a","","pass","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","Ponds - Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)"
"3218f48c-95e7-4a53-bab7-2367beb07695","","pass","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Atrium","Planters & Ponds - Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)"
"19222c73-a1b3-4e8f-a521-78db549dad02","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","External Works","North Landscape"
"ec1d6a40-b174-4f78-97a0-e6c4479c08bb","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","North Landscape","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)"
"a8faafe6-7b57-4e59-867d-bac857857c8d","","pass","Stairs - GPL-QSE-ITP-STRUC-08 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","North Landscape","Stairs - GPL-QSE-ITP-STRUC-08 (Rev 00)"
"200648a5-6e18-45b4-aca7-9d2ae2c028ab","","pass","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","North Landscape","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)"
"639dd179-d26b-4697-81f9-d31a599e5658","","pass","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","North Landscape","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)"
"269d0e0c-82bf-4e1c-80c8-52c5f7dc9a7c","","pass","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","North Landscape","Slab on Ground - West Pathway"
"c57cd2e9-2763-4527-8b10-7f130a866694","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","External Works","East Landscape"
"44f133a8-a5b9-4437-846b-03a4f5595f6e","","pass","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","East Landscape","Slab on Ground - East Pathway"
"00e3ad38-9a22-47c0-9921-ff1367a392ea","","pass","Tiling External - GPL-QSE-ITP-FAC 007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","East Landscape","Tiling External - GPL-QSE-ITP-FAC 007 (Rev 00)"
"a4b046d3-5e9f-4418-b0a8-92c4316abd0f","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","East Landscape","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)"
"d1a1bda1-e00c-448a-9e8c-cf49c08817bb","","pass","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","East Landscape","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)"
"de759ecd-149a-4626-a78c-9af9d90c60b8","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","East Landscape","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)"
"fa01bd5d-4e47-4b4c-948e-1dea5ac44e6f","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","External Works","Public Domain"
"8271f2d9-3538-4534-8fd7-1b428f959ccb","","pass","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","External Works","Public Domain","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)"
"045b3f98-94f7-40a0-b0d2-588b7bf83b16","","fail","","folder","TRUE","FALSE","Site QA","Production Facility"
"522fe354-e89b-44d7-b8f6-199e22dc0285","","fail","","folder","TRUE","FALSE","Site QA","Production Facility","Structure"
"dd1b895d-f001-4fec-9bc6-0a6ea7201d95","","fail","","folder","TRUE","FALSE","Site QA","Production Facility","Structure","Lift Shaft"
"5e24f968-024e-47e2-ba47-21e9fc3e907a","","fail","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Structure","Lift Shaft","Lift Walls (L1-2)"
"7057e76f-ac19-493d-97cf-93ded8bc5425","","fail","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Structure","Lift Shaft","Lift Walls (L2-Roof)"
"367a69f6-427a-4733-b9f6-88285430f5a7","","fail","","folder","TRUE","FALSE","Site QA","Production Facility","Structure","Structural Steel"
"98d564ea-3d74-4cb7-8859-31167a26403d","","fail","Structural Steel - GPL-QSE-ITP-STRUC-011 (REV 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Structure","Structural Steel","LEVEL 1 Area 1 (Grids 22-17) Decant to Static , Stair 8 and Grated Platform"
"c4f9b6dd-1b40-4e92-954f-1f1cbd654427","","work-in-progress","Structural Steel - GPL-QSE-ITP-STRUC-011 (REV 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Structure","Structural Steel","LEVEL 1 Area 2 (Grids 4 - 17 ) Walkway, Stair 1, inbound mezz, Stair 9"
"608951bc-568f-43bd-9822-8d536bf6767f","","fail","Structural Steel - GPL-QSE-ITP-STRUC-011 (REV 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Structure","Structural Steel","LEVEL 2 Area 1 (Grids 21 - 27) Dust Cover"
"22a9509d-1d23-4d6c-8dbe-aa4538962687","","not-started","","folder","TRUE","FALSE","Site QA","Production Facility","Facade"
"716d4430-bffb-4afa-917f-65652a1015d9","","not-started","","folder","TRUE","FALSE","Site QA","Production Facility","Facade","North Elevation"
"be81bfdb-4fd8-48f8-9a67-f6dc74f36bb9","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Facade","North Elevation","Louvres"
"8d4cd74d-907b-4e65-b4e6-998c3b28d612","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Facade","North Elevation","Windows"
"16cf2ba6-24ff-4a27-87fc-2181fc2403a1","","not-started","","folder","TRUE","FALSE","Site QA","Production Facility","Facade","East Elevation"
"b0137689-a9ff-4895-bdc1-ba227af67a12","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Facade","East Elevation","Louvres"
"d9bc6e51-e48f-4bc8-8f38-2034afae5f66","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Facade","East Elevation","Windows"
"b66e59b2-fb2b-47b0-8902-e844f2657ab7","","not-started","","folder","TRUE","FALSE","Site QA","Production Facility","Facade","West Elevation"
"fbcbed6d-8ede-4a9c-b885-a4f8d251dc46","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Facade","West Elevation","Louvres"
"feb42b57-1625-4516-9e53-f1fff8762cc1","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Facade","West Elevation","Windows"
"d68ed713-2178-4f71-83d8-322a7538cf75","","work-in-progress","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out"
"1f881490-c2c4-4041-b97d-a3b275f9c12c","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)"
"95f5bfe7-38a9-481f-b946-d6c41d3bd016","","pass","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Walls"
"7d2ad899-77ab-4a56-a9c1-bb9743c1687d","","pass","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Ceilings"
"57a9212b-d1cc-4262-b710-284268b27b61","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Services Rough-In"
"eebb48eb-4c7d-43c2-a341-bdc4b175ccca","","pass","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Services Rough-In","Hydraulic"
"63b5e011-34ee-440b-aabb-62810fa75f06","","pass","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Services Rough-In","Mechanical"
"b5d1a20d-c18c-4083-9e3b-36bb11af3270","","pass","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Services Rough-In","Electrical"
"7a7fa87e-18ab-4ed6-a1f2-3c721cc6c2aa","","pass","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Services Rough-In","Fire Services"
"3601bf04-e1da-4dd7-a779-e575c3ba7863","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Wet Areas"
"f2e11d48-e155-4f48-a648-dcb902fe1d41","","pass","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Wet Areas","Waterproofing"
"6a904d8a-dae6-4eb3-a713-e6ef17de959d","","pass","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Wet Areas","Tiling"
"ad42d266-b6a0-489e-a5e8-516a6002fb68","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Cleanrooms"
"5bf86b9b-8c05-4eda-8eb3-9e92b8381315","","pass","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Cleanrooms","Static"
"893ced2d-1a23-49ef-9a67-5b7daf10722b","","pass","Cleanroom Checklist - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 1 (Ground)","Cleanrooms","Decant"
"409b547d-3283-4807-9341-d65b57fd268e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)"
"9afc2824-488c-4b2e-9292-9ea44f9228e8","","pass","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Walls"
"88571dee-4308-4a9d-8346-7c3d131e61a9","","pass","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Ceilings"
"77e0db3c-4600-4fea-aa76-7b95165eddf5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Services Rough-In"
"d70114d1-424e-4e19-81a8-888f17b4cd93","","work-in-progress","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Services Rough-In","Hydraulic"
"1116a625-35e5-4998-a24f-21d421e87eb5","","pass","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Services Rough-In","Mechanical"
"28870d42-19d8-4195-9cdd-263082958151","","pass","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Services Rough-In","Electrical"
"ce077ab8-21f9-42c3-86e9-e98b6e0c411e","","pass","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Services Rough-In","Fire Services"
"917f7436-b737-42c8-bae7-dcd3ac5f830c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Finishes"
"3fa09cd9-976e-4f4c-9d4c-1c1fb54b3d3f","","work-in-progress","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Finishes","Internal Glazing"
"cd150867-6b5f-4932-90ea-9bedcd983211","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas"
"dfbd1343-da73-4fed-8310-018422de8048","","pass","","folder","TRUE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Males & Female Toilet"
"7e1f24b8-5a96-4a66-8b4c-43897b14e8da","","pass","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Site QA","Production Facility","Fit Out","Level 2 (Mezzanine)","Wet Areas","Males & Female Toilet","Waterproofing"
