Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,
label,0de76cd4-ee68-5066-a959-bdafe1a28b98,,note,Conduct - S,,,,,,,,,,,,,,
label,2cbc7540-c112-5d16-9ecf-b077a916ed4f,,note,Witness - C,,,,,,,,,,,,,,
label,b5cdf5af-09e9-5e26-81b7-8d11bbf40a4e,,note,Produce Record - S,,,,,,,,,,,,,,
label,918bffe9-2046-5047-a07c-0d4885608a15,,note,Approval - C,,,,,,,,,,,,,,
label,22398c52-3001-57ed-92b0-8579b6dcd56b,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Subgrade material hardness Check base of excavation,,,,,,,,,,,,,,
label,6f091c65-5706-514f-8913-b237a878697e,,note,Controlling Documents - Higgins SOP 0128 - Digout Repair,,,,,,,,,,,,,,
label,bf443120-c446-5250-9c7c-9c3b2907dca6,,note,Acceptance Criteria - Scala > 3 blows per 100mm,,,,,,,,,,,,,,
label,62589d5e-d5c9-5608-94c5-e7348ca0a179,,note,Method - Scala Penetrometer test on base of digout,,,,,,,,,,,,,,
label,06170011-e6d1-5319-9a87-b51290d611c3,,note,Frequency - As required depending on size of digout,,,,,,,,,,,,,,
label,5b07df78-d10a-5f90-a95c-6acf1dc43e80,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,b231b14f-b48c-5ec5-beca-dcb914972d93,,note,Verifying Document - Test report,,,,,,,,,,,,,,
label,3b2e3a48-c26c-5b43-9c96-937753636905,,note,Conduct - S/C,,,,,,,,,,,,,,
label,47cb3348-d0a4-528b-b541-ba623b9abf4c,,note,Witness - C,,,,,,,,,,,,,,
label,abada4b6-3c7f-59a8-adbd-743c6147d41f,,note,Produce Record - S/C,,,,,,,,,,,,,,
label,26451580-dc12-5c07-8722-6e9c222d7610,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Geotextile (Strength Class C = A29) Layer beneath treatment layer,,,,,,,,,,,,,,
label,7ff5edb1-af2e-584c-bb6b-0dbf3fa8ebb9,,note,Controlling Documents - TNZ F7 Specification,,,,,,,,,,,,,,
label,ceccbf19-7f85-5ea4-a87c-88a8bcfd8bf9,,note,Acceptance Criteria - Meet TNZ F7 Spec.,,,,,,,,,,,,,,
label,5540b9fa-82e0-56a3-8f5e-8d3c5952f2d8,,note,Method - Visual inspection,,,,,,,,,,,,,,
label,22393fe6-fb34-5533-abfe-f7c6d472a765,,note,Frequency - Per Delivery,,,,,,,,,,,,,,
label,59b4aa56-505f-5981-91e7-f189fb1a71fd,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,c11ecc55-d561-5853-80a8-88097a43fcd3,,note,Verifying Document - Certificate of conformance,,,,,,,,,,,,,,
label,bd6e4bda-4dbf-5987-800f-5003cc938d21,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,5c03c488-35b5-525e-9962-0c91b5a7b36b,,note,Produce Record - C,,,,,,,,,,,,,,
label,72b98efd-3c9a-59c0-8e0c-664fc85c3064,,note,Approval - C,,,,,,,,,,,,,,
label,354e1f49-536e-53e4-9eb8-2f8e2b228dbb,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Geogrid secudrid 30/30 Q1 or similar equivalent beneath treatment layer,,,,,,,,,,,,,,
label,4edae64a-a7bc-5702-a4c7-20b6e82c87e1,,note,Controlling Documents - As per NZTA list of approved materials/suppliers,,,,,,,,,,,,,,
label,b3e91809-f229-5eb0-8a2b-5c77cd90c4ed,,note,Acceptance Criteria - On the list of approved materials/suppliers,,,,,,,,,,,,,,
label,5a4d5726-6aab-5423-baf6-0ba7f368cf11,,note,Method - Visual inspection,,,,,,,,,,,,,,
label,bbdfdc64-1972-5623-a736-2a5097fe9869,,note,Frequency - Per Delivery,,,,,,,,,,,,,,
label,e6b0df50-9126-59c9-8a1f-7d7f3805d9ec,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,0d17c7ce-6003-5b97-839e-9678d1954afa,,note,Verifying Document - Certificate of conformance,,,,,,,,,,,,,,
label,a72915ff-5e38-5da1-a570-7558cec3f27b,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,2b51259e-4193-52d0-9696-e3013ce06b67,,note,Produce Record - C,,,,,,,,,,,,,,
label,75c57150-935a-5ae0-a5a0-207ad5607eab,,note,Approval - C,,,,,,,,,,,,,,
label,153859ee-d5f1-5a3a-862a-ffb353df7034,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Place and compact GAP65 in digout area,,,,,,,,,,,,,,
label,34607f99-dc0e-5473-aadf-3c59320e54df,,note,Controlling Documents - Higgins SOP 0128 - Digout Repair,,,,,,,,,,,,,,
label,071ec04b-28f5-503d-b5da-844c89333c6c,,note,Acceptance Criteria - Clegg > 45,,,,,,,,,,,,,,
label,b62472f4-0d94-5008-8e56-ad20b93c9aa6,,note,Method - Clegg Test,,,,,,,,,,,,,,
label,26e3d9c2-a209-5f32-a670-a4366feee3f5,,note,Frequency - Min. 2 per digout,,,,,,,,,,,,,,
label,62de0698-311b-510a-ab35-2f6f2fac3d5f,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,3850a8e6-e224-56ed-9d71-6f717bfa8879,,note,Verifying Document - Test report,,,,,,,,,,,,,,
label,1df8201d-6a50-563f-b415-4ca77b1352ec,,note,Conduct - S/C,,,,,,,,,,,,,,
label,07a779d1-f8cb-5d04-bc05-7f0a98113e09,,note,Witness - C,,,,,,,,,,,,,,
label,b0c6a2a9-fa54-5707-b876-e2783ee820a0,,note,Produce Record - S/C,,,,,,,,,,,,,,
label,0ac6d483-bca5-540b-8d00-34bc940ed5c2,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-group,,,section,4. Construction - Subsoil Drain & Pipe Culverts,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Excavation and installation of Subsoil drainage,,,,,,,,,,,,,,
label,89d029be-5fb4-5dbb-b0b1-642333822142,,note,Controlling Documents - Site specifics to be confirmed /As per instructions from client,,,,,,,,,,,,,,
label,85103664-8bff-5c06-bdff-5e8f45730419,,note,Acceptance Criteria - Visual inspection,,,,,,,,,,,,,,
label,98e1d9ec-ec62-5591-8526-8c12ee6fc4e8,,note,Method - Visual inspection,,,,,,,,,,,,,,
label,b23edd57-3800-5679-8cdd-429905d92495,,note,Frequency - As required,,,,,,,,,,,,,,
label,f879b0e6-2f77-50de-ba56-baeeb5004981,,note,Responsible Person - Site Supervisor,,,,,,,,,,,,,,
label,fb8272f2-e7d8-5720-b692-77a04583a576,,note,Verifying Document - Photographs,,,,,,,,,,,,,,
label,3aa63932-60a2-5c5d-aa9e-26c895a3b093,,note,Conduct - S,,,,,,,,,,,,,,
label,b5a5575a-1843-50fc-8381-da3b5698adec,,note,Witness - C,,,,,,,,,,,,,,
label,36238d30-f960-5666-b220-30a9d497e957,,note,Produce Record - S,,,,,,,,,,,,,,
label,1552afec-e055-5fd1-9a2c-8954356656b1,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Subsoil depth and discharge point into SW system confirmed,,,,,,,,,,,,,,
label,d905e3a7-3c82-51e4-b18a-cbd7def449b2,,note,Controlling Documents - Site specifics to be confirmed /As per instructions from client,,,,,,,,,,,,,,
label,330e20c9-764f-564d-8366-a833d1d48b32,,note,Acceptance Criteria - Visual inspection,,,,,,,,,,,,,,
label,3b5f4cae-419b-59e6-b524-7b24c1fa2f4b,,note,Method - Visual inspection,,,,,,,,,,,,,,
label,6db38f04-c6cc-5ade-b325-343cc8bd6cb6,,note,Frequency - As required,,,,,,,,,,,,,,
label,4aa83155-4e9b-5de6-a9d1-7e9d131936c5,,note,Responsible Person - Site Supervisor,,,,,,,,,,,,,,
label,eebb9f8e-41e6-5064-b860-e17ba64260fa,,note,Verifying Document - Photographs,,,,,,,,,,,,,,
label,1ac4491e-f03a-5675-9475-761f1702a35e,,note,Conduct - S,,,,,,,,,,,,,,
label,b8b755b5-6b5c-5f9b-b808-36ad2cb0ed7d,,note,Witness - C,,,,,,,,,,,,,,
label,d8cde36a-8230-55e5-bbf0-71c04d06cb92,,note,Produce Record - S,,,,,,,,,,,,,,
label,c0e08af9-cbe0-5284-bb27-378d83569d3e,,note,Approval - C,,,,,,,,,,,,,,
label,ffdb6ba7-7735-561e-9665-fa25cbc3cbfb,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Subsoil drainage materials,,,,,,,,,,,,,,
label,6580387d-cd26-5f38-9891-b0f7b4ecac06,,note,Controlling Documents - TNZ f/2,,,,,,,,,,,,,,
label,9ac13e5b-51f3-5308-9d05-674188a4e3a7,,note,Acceptance Criteria - Comply TNZ F/6,,,,,,,,,,,,,,
label,0b180dd8-ce37-5a7d-bf7c-8e39fa8e9eb2,,note,Method - Docket and test reports,,,,,,,,,,,,,,
label,541f7ee5-af2e-5233-95cd-daad92ab454b,,note,Frequency - Per Delivery,,,,,,,,,,,,,,
label,1e394f40-e640-5d13-837a-0a93445cf10a,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,2fe250b0-2131-56a6-a2e6-074f5fe14ca1,,note,Verifying Document - Test report,,,,,,,,,,,,,,
label,99f0d1e3-09cc-5204-96b7-5ad0b4fd5ec3,,note,Conduct - S/C,,,,,,,,,,,,,,
label,7cba3a87-e8e7-5373-8bb1-9725b49df9a7,,note,Witness - C,,,,,,,,,,,,,,
label,9aa940a3-535f-51e5-b9f9-cd416acf4362,,note,Produce Record - S/C,,,,,,,,,,,,,,
label,3f7e2c88-7af3-5666-b855-87f96446ae3b,,note,Approval - E,,,,,,,,,,,,,,
label,000b7859-7e8e-55b9-b55d-a511e6ec3428,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Excavation and installation of Pipe culverts,,,,,,,,,,,,,,
label,493b0b2a-9405-540a-96d5-4b3d249b7315,,note,Controlling Documents - Site specifics to be confirmed /As per instructions from client,,,,,,,,,,,,,,
label,fd550d4a-b773-5c05-b6d3-d1a8696f2b38,,note,Acceptance Criteria - Visual inspection,,,,,,,,,,,,,,
label,5925b1a3-1038-58e8-b165-5bbf2e71187a,,note,Method - Visual inspection,,,,,,,,,,,,,,
label,43ee2c5d-d97d-5694-8be4-b6a9eac1be4b,,note,Frequency - As required,,,,,,,,,,,,,,
label,03987ddc-d477-5fc3-8fbf-6bfb77e58dcb,,note,Responsible Person - Site Supervisor,,,,,,,,,,,,,,
label,9feebfaa-0585-5da8-8d0e-5cba39d27383,,note,Verifying Document - Photographs,,,,,,,,,,,,,,
label,617762b8-efd1-5e38-85e3-47eef2de6b5d,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,50f6d9a4-3c80-50cc-931a-ac1806e2af90,,note,Witness - C,,,,,,,,,,,,,,
label,408cb901-b281-5cbb-8f0d-a4b7324ab0d7,,note,Produce Record - C,,,,,,,,,,,,,,
label,6f68649d-6f8d-5b47-8abd-df3edbe2b59c,,note,Approval - C,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipe culvert materials,,,,,,,,,,,,,,
label,26d4590a-a3e7-587b-8c50-bcb0410eb3d3,,note,Controlling Documents - TNZ f/2,,,,,,,,,,,,,,
label,bdfb2d59-9b2e-5bb5-ae3e-9fb006ba350e,,note,Acceptance Criteria - Comply TNZ F/6,,,,,,,,,,,,,,
label,d24a59fb-b1e8-5278-882e-8d1c8af76d0c,,note,Method - Docket,,,,,,,,,,,,,,
label,81d05723-0de9-5dcd-8f65-87b65d52bbde,,note,Frequency - Per Delivery,,,,,,,,,,,,,,
label,abe2eab4-4a7e-5718-9ded-388148cf7dca,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,f99f3810-55e1-55d3-92a1-0dd9f447f915,,note,Verifying Document - Photographs,,,,,,,,,,,,,,
label,ce13b90f-9a97-5a7f-88b3-944206656c87,,note,Conduct - Sp or S,,,,,,,,,,,,,,
label,d119af05-60a4-5f94-8306-d93052093a7e,,note,Witness - C,,,,,,,,,,,,,,
label,38e08742-a0fb-5512-8468-8b5658f6c03c,,note,Produce Record - C,,,,,,,,,,,,,,
label,175e91b5-8f9d-5e4b-98be-bfcbb4491a4d,,note,Approval - C,,,,,,,,,,,,,,
label,5687f3df-3d98-5d9c-a6e8-e34d520517e1,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-group,,,section,5. Construction - Granular make up and In-situ Modification,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Place M/4 AP40 Basecourse Material,,,,,,,,,,,,,,
label,6bba3859-6b99-5947-8705-9f7716a79ce7,,note,Controlling Documents - TNZ B/5 (section 7),,,,,,,,,,,,,,
label,ae0d2ea3-19a5-54dc-98df-5f62e44ee00a,,note,"Acceptance Criteria - Evenly spread, no segregation, placed near optimium moisture content",,,,,,,,,,,,,,
label,87dc4421-9b59-5759-8bae-5e98d6614f6e,,note,Method - Visual Inspection,,,,,,,,,,,,,,
label,46e1c8ef-0390-5e6e-bab7-7a21556879e2,,note,Frequency - On completion of placement,,,,,,,,,,,,,,
label,7e1397ec-8bbf-568e-94ae-563b20b5c6c0,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,ac8a29f0-1e25-538e-95a9-3008e14ad88b,,note,Verifying Document - Photographs and Daily Site Record,,,,,,,,,,,,,,
label,a5980b4a-9cff-5563-8709-0c9b287daccf,,note,Conduct - S or C,,,,,,,,,,,,,,
label,b7a84140-bb18-5ace-a937-23874e469cd5,,note,Produce Record - S or C,,,,,,,,,,,,,,
label,43820596-817d-544f-b47c-9350762f5629,,note,Approval - C,,,,,,,,,,,,,,
label,b8063043-4103-5a9d-a5db-054f9f0ff693,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Spreading of Cement,,,,,,,,,,,,,,
label,ebefd500-a5e3-5946-9e6a-ac529260cbf2,,note,Controlling Documents - Spreading of Cement (7.3) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,fd3fdaa5-34b2-59e3-89d0-1b0ab2e50a58,,note,Acceptance Criteria - Within ± 0.5 kg/m² of the specified rate and within ± 2.5% of the specified rate,,,,,,,,,,,,,,
label,4e219d13-421a-5da1-b869-7022030512b4,,note,Method - Mat test (1m² canvas) and Average Usage Test,,,,,,,,,,,,,,
label,48fdda17-9563-5302-902e-d2f8117b0329,,note,Frequency - per 400m² and upon emptying the spreader,,,,,,,,,,,,,,
label,65e17d2e-d1ed-5a8e-8034-c175a1249a7b,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,c85536e8-83ba-54b2-81b2-588e40092fef,,note,Verifying Document - Mat Test Form and truck dockets,,,,,,,,,,,,,,
label,423054c7-8659-5e1d-a0be-daff920ae140,,note,Conduct - S or Sp,,,,,,,,,,,,,,
label,edf3b992-cbb0-519b-80df-66c9b580c28d,,note,Produce Record - S,,,,,,,,,,,,,,
label,2090a364-e934-5cb2-a2cb-b044fc8f1a54,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Addition of Water,,,,,,,,,,,,,,
label,b2235721-b78f-5d8f-b4d1-a80bf4763d5f,,note,Controlling Documents - Addition of Water (7.5) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,58996a2b-8b25-50cc-902b-43d23ebdb528,,note,Acceptance Criteria - 90-100% OWC,,,,,,,,,,,,,,
label,da8ace5f-c026-5589-a9ed-6138528f5fc8,,note,Method - Nuclear Densometer Testing prior to Stabilisation,,,,,,,,,,,,,,
label,e2b1cdd4-67d8-5243-b27f-f4fb4bfc47a7,,note,Frequency - ≥1 per 1000m² lot,,,,,,,,,,,,,,
label,c21a69f1-ff7b-5d7a-b0aa-964db02adb6e,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,1430adc3-849e-568b-b3fa-18e1f15d1d70,,note,Verifying Document - NDM Record,,,,,,,,,,,,,,
label,9015a969-9b98-51a3-9ed1-82e5e5841514,,note,Conduct - S,,,,,,,,,,,,,,
label,a28b9d7a-1eeb-5dcf-a7ba-a5f36cbb446d,,note,Produce Record - S,,,,,,,,,,,,,,
label,a41323a8-6e8b-5b4b-a16f-83b1d82bc300,,note,Approval - C,,,,,,,,,,,,,,
label,235d2271-6344-5a0d-88df-458dacdb9f88,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Cut Depth,,,,,,,,,,,,,,
label,3318faea-5eb5-550b-8e9a-f0549d0f8f27,,note,Controlling Documents - Control of cut depth (7.6.1) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,06549841-9113-5655-95b2-d74aa8c24c8e,,note,Acceptance Criteria - -5mm and +15mm of design stab depth,,,,,,,,,,,,,,
label,f7816d38-c796-5449-a876-19271a06221d,,note,Method - Physical Measure and Visual Record,,,,,,,,,,,,,,
label,c24e31c0-0841-5652-99f4-9922c7ef90b9,,note,Frequency - ≥1 per 200m of cut length,,,,,,,,,,,,,,
label,f9e79fe7-2d84-5195-920f-c48fef207466,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,30172085-b139-5edd-834d-d70811c29558,,note,Verifying Document - Photographs and Daily Site Record,,,,,,,,,,,,,,
label,28f3bbf3-b030-52f1-b682-e7aaf8abae90,,note,Conduct - S,,,,,,,,,,,,,,
label,bde4c41b-21be-536c-899b-1dc85b311ce1,,note,Produce Record - S,,,,,,,,,,,,,,
label,d0371aef-fbb2-58b0-90ed-533c478842cc,,note,Approval - C,,,,,,,,,,,,,,
label,83a87157-0efe-5ac3-9478-ac9088211e2a,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Longitudinal Joints,,,,,,,,,,,,,,
label,eb734c3a-d730-5be5-b543-d491a46f0d8e,,note,Controlling Documents - Overlap on longitudinal joints (7.6.2) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,80f16fca-e467-5031-9bb3-789cecfaa9e7,,note,Acceptance Criteria - The greater of 100m or 50% of layer thickness,,,,,,,,,,,,,,
label,f54cc098-6d47-5204-a2c8-5f650bd0f15c,,note,Method - Visual Record,,,,,,,,,,,,,,
label,a3b6ded9-69b1-5f44-ba4e-8479210c6ec0,,note,Frequency - per sucessive cut,,,,,,,,,,,,,,
label,6ad7f4d1-052e-53be-a7e9-e88964603d70,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,8a00149f-c491-579d-acde-fb7cf892be1e,,note,"Verifying Document - Photographs, Daily Site Record and Stabilising Plan",,,,,,,,,,,,,,
label,0acebb0e-aa26-565b-91db-24eb42c1c826,,note,Conduct - S,,,,,,,,,,,,,,
label,62e13de9-47f9-594d-a567-7b2c90326153,,note,Produce Record - S,,,,,,,,,,,,,,
label,5bc3490d-6adf-5e38-8b4b-92b41162ca8b,,note,Approval - C,,,,,,,,,,,,,,
label,11c47bb0-2fa0-57d7-9a3c-e2635b7b5324,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Continuity of Layer,,,,,,,,,,,,,,
label,34003c3a-8fb2-5992-8edd-2f7b36f6ccce,,note,Controlling Documents - Continuity of stabilised layer (7.6.3) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,8608cafe-426c-5921-ba0c-1b0f80149f74,,note,"Acceptance Criteria - Longitudinal overlap 1m for cement, 5m for bituminous stabilising agents",,,,,,,,,,,,,,
label,789c9c64-cc60-574b-9092-b7104ef92881,,note,Method - Visual Record,,,,,,,,,,,,,,
label,04223aeb-87b6-5fd2-a177-fc59bf83f905,,note,Frequency - per sucessive cut,,,,,,,,,,,,,,
label,22ab19a6-3123-5a21-b9be-a0f8377c18e0,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,d37c8b80-47fd-5fd7-9427-edd847242d58,,note,"Verifying Document - Photographs, Daily Site Record and Stabilising Plan",,,,,,,,,,,,,,
label,7957a260-3ef0-5b4c-a86d-491de0693e77,,note,Conduct - S,,,,,,,,,,,,,,
label,7942f355-9ba9-5032-afe1-56252dbaa241,,note,Produce Record - S,,,,,,,,,,,,,,
label,cd8a4ea5-464a-50c5-ae13-40952eef446d,,note,Approval - C,,,,,,,,,,,,,,
label,f42389a2-0413-5de8-90b2-0553fcec0724,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Stabilised Material Particle Size,,,,,,,,,,,,,,
label,95bbab11-42a4-5323-aa8b-13b7b76d93fc,,note,Controlling Documents - Particle size distribution of stabilised material (7.6.4) - TNZ B/5: 2008,,,,,,,,,,,,,,
label,d7ed792f-4d5c-5c3d-85a5-91c909a6156b,,note,Acceptance Criteria - No excessive breakdown of stabilised material,,,,,,,,,,,,,,
label,a8d0acfc-2f60-5aa0-bac8-9160f751f0af,,note,Method - Visual Record,,,,,,,,,,,,,,
label,04d1b1b7-266b-52bc-88d1-dc9d326e18db,,note,Frequency - within 20m of each section and then regularly based on material variability,,,,,,,,,,,,,,
label,d271f65a-5be8-55ea-a9ef-48bf24b1318d,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,252d803f-fecc-5c49-a634-629ce58fb70d,,note,Verifying Document - Photographs,,,,,,,,,,,,,,
label,8369bdaa-ad54-539a-bff1-84180162d853,,note,Conduct - S or C,,,,,,,,,,,,,,
label,68880003-2785-5b06-98d8-6f0b13f977cb,,note,Produce Record - S or C,,,,,,,,,,,,,,
label,8967c7e8-d29b-58f5-b70a-df68b12b698e,,note,Approval - C,,,,,,,,,,,,,,
label,866cc834-910e-5a59-ba85-7c95fff7f5bd,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Establish Compaction Methodology - type of plant, number and speed of passes",,,,,,,,,,,,,,
label,0ad1ba0f-f5bc-521f-bada-58d68f82caee,,note,"Controlling Documents - Higgins 'Interim Pavement Layer Compaction Guide' - Technical Note, Compaction (7.7) - TNZ B/5: 2008",,,,,,,,,,,,,,
label,cf47f00c-09a7-57cf-9258-e9d9228d3150,,note,"Acceptance Criteria - To establish type of plant, number and speed of passes to achieve MDD",,,,,,,,,,,,,,
label,b70f1d71-f968-5387-855c-ea0f46683307,,note,Method - Plateau Density Testing,,,,,,,,,,,,,,
label,bec503ac-8587-56d4-9c22-f74ac8b292df,,note,"Frequency - 1 time, or additional tests when material changes visually",,,,,,,,,,,,,,
label,ebc4b2a5-816f-5067-b966-49762fe1b075,,note,Responsible Person - Supervisor,,,,,,,,,,,,,,
label,e8a1345b-cce8-5885-871a-277d4bb5c345,,note,Verifying Document - Test record,,,,,,,,,,,,,,
label,deb583d5-24da-52fe-9125-1fe80edef583,,note,Conduct - C,,,,,,,,,,,,,,
label,db051bcc-9d61-59dc-a74a-10e9bffe0f3e,,note,Produce Record - C,,,,,,,,,,,,,,
label,0aeabddd-01e4-542a-bb4a-a7883513ca1f,,note,Approval - C,,,,,,,,,,,,,,
label,b0976b09-ddab-53fe-9114-e5a607213e55,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Establish Compaction Target,,,,,,,,,,,,,,
label,ed5267e7-e918-59d2-95c7-85369c7578a2,,note,"Controlling Documents - Higgins 'Interim Pavement Layer Compaction Guide' - Technical Note, Compaction (7.7) - TNZ B/5: 2008, Acceptance criteria for stabilised pavement layer compaction (7.7.1) - TNZ B/5: 2008",,,,,,,,,,,,,,
label,bccdc26f-4f31-5f85-883f-3d83803ae299,,note,Acceptance Criteria - To provide MDD for NDM testing,,,,,,,,,,,,,,
label,aa78c599-6f51-527e-91f5-c387155ec3a1,,note,Method - Plateau Density Testing,,,,,,,,,,,,,,
label,18f5ada3-4642-5a5d-bfc6-bda1b0c61c9b,,note,Frequency - Minimum once per Lot. A lot shall not exceed 1000 m2.,,,,,,,,,,,,,,
label,a68bbfa4-da89-598c-9a3b-d8121c0a715b,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,3c03fd02-f9e5-59fb-a6d0-9a35b211a438,,note,Verifying Document - Test Record,,,,,,,,,,,,,,
label,9dc148c9-8780-5789-a4b8-38e21663442a,,note,Conduct - C,,,,,,,,,,,,,,
label,a87a8e61-db3d-5d94-8d0a-b0fe338bde60,,note,Produce Record - C,,,,,,,,,,,,,,
label,1efb22bb-9b13-5e58-a53d-85519aee7285,,note,Approval - E,,,,,,,,,,,,,,
label,fa3e9f35-f8f0-520e-9ca8-4386cf0e954c,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Degree of Compaction MDD to obtain target for NDM testing (1),,,,,,,,,,,,,,
label,b0f35228-f652-5c4e-921a-5b14b8a677e0,,note,"Controlling Documents - Higgins 'Interim Pavement Layer Compaction Guide' - Technical Note, Compaction (7.7) - TNZ B/5: 2008, Acceptance criteria for stabilised pavement layer compaction (7.7.1) - TNZ B/5: 2008",,,,,,,,,,,,,,
label,ae1fc683-2557-5fb0-9b53-329f7f66eefe,,note,Acceptance Criteria - To provide MDD for NDM testing,,,,,,,,,,,,,,
label,ff143393-a2c5-522e-bad3-e3b58b255466,,note,Method - 'Laboratory MDD at OMC NZS 4402 test 4.1.3.,,,,,,,,,,,,,,
label,44c7fe9e-3d45-573c-bcd3-7290d9a13470,,note,Frequency - Minimum once per Lot. A lot shall not exceed 5000 m2.,,,,,,,,,,,,,,
label,61b3bc29-0c97-54f4-95db-d6881ade97a6,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,fe4f08fc-6d77-5b50-a2c9-0488dd0b51b7,,note,Verifying Document - Test Record,,,,,,,,,,,,,,
label,6e114fe5-d1af-5692-98e3-10bf01b81411,,note,Conduct - C,,,,,,,,,,,,,,
label,737ced8c-486a-5f48-afe5-4b3a108f3224,,note,Produce Record - C,,,,,,,,,,,,,,
label,24de491c-0087-5c4c-bd0f-28aadc37c67c,,note,Approval - C,,,,,,,,,,,,,,
label,7da98b9c-b16d-5da7-ab8a-36939d8590e2,,note,Witness Point - Y,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Degree of Compaction MDD to obtain target for NDM testing (2),,,,,,,,,,,,,,
label,c7a8af5b-8bb3-5371-8ce7-b392c2db7a89,,note,"Controlling Documents - Higgins 'Interim Pavement Layer Compaction Guide' - Technical Note, Compaction (7.7) - TNZ B/5: 2008, Acceptance criteria for stabilised pavement layer compaction (7.7.1) - TNZ B/5: 2008",,,,,,,,,,,,,,
label,b8e2a214-e410-5bf7-8c06-47da16002779,,note,"Acceptance Criteria - Formally agree with the Engineer the MDD target, based on review of the lab. MDD and the site plateau test",,,,,,,,,,,,,,
label,17f7b5b5-b5ec-5afb-938e-7ad2c600ef86,,note,Method - Plateau Density Testing Lab. MDD,,,,,,,,,,,,,,
label,6df947e9-73cf-5ea1-b257-8733a23bb7d4,,note,Frequency - At commencement of construction and whenever materials change,,,,,,,,,,,,,,
label,dfe19d2a-d55e-5f7b-bcef-d7d62e91abf7,,note,Responsible Person - Quality Controller Engineer,,,,,,,,,,,,,,
label,b4c6fafa-cd2b-5511-b70f-36c6fe1f110c,,note,Verifying Document - Notice to Contractor/ Notice to Engineer,,,,,,,,,,,,,,
label,c845669c-12f3-55f3-8351-2b90516ca072,,note,Conduct - C,,,,,,,,,,,,,,
label,91b4e881-90a8-560e-822b-541b10a36f3c,,note,Produce Record - C,,,,,,,,,,,,,,
label,617d5440-4af9-54a1-891e-fe7db23b1db6,,note,Approval - E,,,,,,,,,,,,,,
