"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d5e4ea84-8d21-40ff-9274-5228b9685b4c","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"b0e1cccd-e9fc-5fc9-becb-8b9e6d396f32","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"23c6456d-84cd-51a0-b2a5-ed0b01c89e45","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"2d650379-6245-5604-9d4e-8e674b2f2720","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"5acdd6d7-fd35-5a35-9ce3-48eca1713c25","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"1f807f9a-9565-5fb6-bf50-82a2d5979d18","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"ce106812-b477-4220-a8df-ebe208a728b0","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"eab2d2b3-6a21-4fc2-b1ff-a397da4ff8f4","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Block 01"
"119f158f-5e20-428f-98cb-d084523cc1e7","","folder-normal","pass","","step","TRUE","FALSE","QA","Block 01","RoofSafe Rail System"
"2b0844de-8025-4e52-9db1-782ed56d1392","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01"
"e384fe38-5260-59c4-8e5f-dc12f96474cd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #3","Photos taken of installed item"
"f10c3f38-dbdd-5625-b1b4-0f0350819600","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #3","Installed as per PBI drawings supplied and manufacturer's requirements"
"8ed374b9-7a06-486b-8887-2eb881569c37","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #4"
"1b85d21a-a691-5866-a922-780fa8bdc068","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #4","Confirm the structure is in accordance with the details supplied by PBI"
"7dd3368f-b8f2-58ab-a54a-36c5237fdc36","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #4","EMAIL PM"
"262827b6-4b7f-5e74-9e9b-49c04b758240","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #4","Photos taken of installed item"
"f4e84257-b807-5302-960e-93974e195652","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #4","Installed as per PBI drawings supplied and manufacturer's requirements"
"6efde0c3-4245-4f68-b63a-f974394cd0a1","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #5"
"d406db1b-f090-5257-ac3f-3580d100c277","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #5","Confirm the structure is in accordance with the details supplied by PBI"
"9086b535-6756-5ca7-a8f1-edae350e046f","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #5","EMAIL PM"
"a0765dac-56f7-5fd8-8129-02e70d965aa0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #5","Photos taken of installed item"
"eb235e33-2ca1-5b86-bd89-4886e376c4da","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #5","Installed as per PBI drawings supplied and manufacturer's requirements"
"50809b6e-35c0-4cd0-b6e9-45bd0f187b75","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #6"
"f4a5f547-5152-5fd1-a54f-0330c68baa8b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #6","Confirm the structure is in accordance with the details supplied by PBI"
"3e4864eb-9370-592e-a557-435e1a659cd3","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #6","EMAIL PM"
"f8138c3f-90dc-56df-ac1c-bcd04061f46a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #6","Photos taken of installed item"
"32ddc2e5-e6d0-57ef-8d36-bd3982126225","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #6","Installed as per PBI drawings supplied and manufacturer's requirements"
"20d55ea8-7c9a-4aac-92c8-1a9940af9c4e","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #7"
"5fe60b6a-5a50-511c-8d17-276a734479ba","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #7","Confirm the structure is in accordance with the details supplied by PBI"
"e6b92f9f-ba76-58c2-9c4c-4017daa7a228","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #7","EMAIL PM"
"6fc84b71-97ab-51c1-9a63-b9862f63df3f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #7","Photos taken of installed item"
"357ce88d-25c8-5d36-9a3d-e8cca58d1972","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #7","Installed as per PBI drawings supplied and manufacturer's requirements"
"f853a885-bd19-4982-afc5-b219c023c698","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #8"
"e63626bb-26ed-54ea-91a5-812e4807d456","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #8","Confirm the structure is in accordance with the details supplied by PBI"
"8ac0329d-ac0b-55c9-8520-6880ba2a26af","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #8","EMAIL PM"
"d1bd6cfd-589f-5ee5-9c56-b3729407e363","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #8","Photos taken of installed item"
"05816e00-e39f-5be4-96a5-89626c0f7e4c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #8","Installed as per PBI drawings supplied and manufacturer's requirements"
"ea48fa02-a41a-4746-b36a-66d3c942dd33","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #9"
"2fc9ad26-d3e0-5fea-a90b-c07d96c847ca","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #9","Confirm the structure is in accordance with the details supplied by PBI"
"5c1e131d-cc5b-5d31-ba66-6ed63ba689f0","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #9","EMAIL PM"
"b7009206-75fd-5ba3-be36-f16164d4601f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #9","Photos taken of installed item"
"51ca3b88-1526-53b5-91cf-79088f4d11c7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #9","Installed as per PBI drawings supplied and manufacturer's requirements"
"e1283683-d450-4e80-ad84-f2e221eb4194","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #10"
"a236c675-1add-5369-81b1-4f912132997c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #10","Confirm the structure is in accordance with the details supplied by PBI"
"349ac74c-414a-58a5-9bca-2103040bce8d","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #10","EMAIL PM"
"6ac39774-e126-54a0-9094-38e0eb5401ae","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #10","Photos taken of installed item"
"0e4ea272-c2ae-5bab-849b-5bc2fb3a710e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #10","Installed as per PBI drawings supplied and manufacturer's requirements"
"b5f2e92b-d10a-48c4-8d6b-4c855c7880db","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #11"
"a07a1b99-b3a9-5006-b672-a7ee3b254b25","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #11","Confirm the structure is in accordance with the details supplied by PBI"
"40bef4b3-a330-5010-9c8c-c9c7a8088f8a","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #11","EMAIL PM"
"7cc2df6c-907b-5181-8f73-c0af1ce7b96f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #11","Photos taken of installed item"
"d2ee98fb-5067-54bc-ae98-5ceb9f1581bc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #11","Installed as per PBI drawings supplied and manufacturer's requirements"
"7c8d1236-8042-43f6-8ca9-3b3542850831","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #12"
"73f4e0b8-d696-53d7-8f48-ddf957ee91eb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #12","Confirm the structure is in accordance with the details supplied by PBI"
"8c264f0d-eb95-55fc-b4ab-68850fed835c","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #12","EMAIL PM"
"2b6d8eb8-4d5a-5c79-a97f-217400b7936b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #12","Photos taken of installed item"
"87ee882f-9cfc-5bc0-b354-eea48de3197a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #12","Installed as per PBI drawings supplied and manufacturer's requirements"
"57975d39-9216-4453-8f54-93388e182223","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #13"
"a0e292e7-48ef-5072-9ea5-7cb5bdf1dcdc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #13","Confirm the structure is in accordance with the details supplied by PBI"
"58f85487-2871-582c-9ce0-30dc479a806a","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #13","EMAIL PM"
"2ff51daf-9a10-5ee8-b198-9c4a2e883c66","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #13","Photos taken of installed item"
"a53c752b-12b9-52f7-8d92-6a7b1bc6c90c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #13","Installed as per PBI drawings supplied and manufacturer's requirements"
"e2009764-3f57-4695-a65c-2d0a17bb0b04","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #14"
"8bb53dbd-815c-5fcd-b951-8c3245b53674","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #14","Confirm the structure is in accordance with the details supplied by PBI"
"a829e935-d3bc-59bb-8471-859fcdd3f24b","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #14","EMAIL PM"
"e6bf2624-2796-5ff1-b854-f933d14589e3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #14","Photos taken of installed item"
"a61bb89e-a684-58d2-aba4-d00df2e45bbb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #14","Installed as per PBI drawings supplied and manufacturer's requirements"
"69ed7303-627c-49d7-8e6e-857e1e13874f","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #15"
"07d6dbc9-2078-5092-ab56-83648ef8793b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #15","Confirm the structure is in accordance with the details supplied by PBI"
"22fee162-7902-50d2-9eed-16ec2b62350a","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #15","EMAIL PM"
"c4213115-9e02-562c-9313-74422eb337b2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #15","Photos taken of installed item"
"592cc107-474a-55ef-8c76-97f0ffc03795","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #15","Installed as per PBI drawings supplied and manufacturer's requirements"
"d136c081-300d-49e7-9e94-f9224d2a9a87","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #16"
"0899d370-1d0b-5d73-a7b3-2540f6a28f42","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #16","Confirm the structure is in accordance with the details supplied by PBI"
"e0a69a9a-83f6-5ea7-b4f3-a6ed4fb58a8f","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #16","EMAIL PM"
"9160f9e4-6669-5eeb-afb4-5719c04c5e01","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #16","Photos taken of installed item"
"0aeac80d-08f8-5a03-92f9-f9d63432d071","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #16","Installed as per PBI drawings supplied and manufacturer's requirements"
"6aefce67-3f95-4b71-99d0-abc4e33b22f8","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #17"
"4dc3feae-723a-5eac-8999-bf6db16e9658","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #17","Confirm the structure is in accordance with the details supplied by PBI"
"4bae1181-7012-507e-81f7-904013c62431","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #17","EMAIL PM"
"5f67e10f-6e50-598e-9e0d-ed1723231f72","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #17","Photos taken of installed item"
"9dfaab5e-8bf3-5b26-bb99-da988381a4d6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #17","Installed as per PBI drawings supplied and manufacturer's requirements"
"a4604fbf-ce4d-44f1-8179-bc3b8bdf42af","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #18"
"17907ab0-1f97-5e58-ae22-8497ee0fbca0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #18","Confirm the structure is in accordance with the details supplied by PBI"
"da2b6b1c-a176-575b-837b-a474a20b3553","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #18","EMAIL PM"
"995ade21-8936-5e70-9222-f9888bfe327e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #18","Photos taken of installed item"
"c96b5091-456b-50a7-bfaa-347244142e91","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #18","Installed as per PBI drawings supplied and manufacturer's requirements"
"2c2107ab-149c-4f83-a267-178f5cc5a673","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #19"
"ba6e7d8e-752e-5d62-ab4d-5a1cc30cfdc2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #19","Confirm the structure is in accordance with the details supplied by PBI"
"c48f76ff-7061-58a7-9d37-bd50290e450c","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #19","EMAIL PM"
"6a476c54-83d0-57e3-a1e0-1bdd6842d847","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #19","Photos taken of installed item"
"d1287687-ec6a-5d35-8337-43cd7ec5d3fe","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #19","Installed as per PBI drawings supplied and manufacturer's requirements"
"2c03a1ed-1b8b-40e6-9c5c-f121beafc6bc","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #20"
"e967c6a6-ab9d-590a-9de6-f535bb9f314d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #20","Confirm the structure is in accordance with the details supplied by PBI"
"344428ca-d18e-5b2a-b829-acab6afae529","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #20","EMAIL PM"
"1e794053-c9a5-5e16-8e42-e3cf8fb156ab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #20","Photos taken of installed item"
"b6a6dbd8-b4c0-5ec0-a302-feceb947a10f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #20","Installed as per PBI drawings supplied and manufacturer's requirements"
"0b4fd7c1-1414-42bd-aea5-7fd28566cbe7","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #21"
"d0d1117b-3609-580a-be7d-1aad57ae4e64","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #21","Confirm the structure is in accordance with the details supplied by PBI"
"ea8114fa-6d97-57b2-8e67-4fde8cc81789","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #21","EMAIL PM"
"696a93c5-4b3b-5615-b6c3-5bdc167ffe24","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #21","Photos taken of installed item"
"dae95ea6-719d-5380-91d2-6a1ba30246f5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #21","Installed as per PBI drawings supplied and manufacturer's requirements"
"41b21dca-a077-4137-9605-0b4e4993e8cc","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #22"
"5aac100c-4e4f-5ea3-9dd0-a6ac4876a5e1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #22","Confirm the structure is in accordance with the details supplied by PBI"
"93965605-ae32-53a1-8801-e85e893941b7","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #22","EMAIL PM"
"c93ffdc2-5700-5903-9438-3da8b6ba40a7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #22","Photos taken of installed item"
"7b7a9b2c-f209-53f7-996b-7029c8a1a411","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #22","Installed as per PBI drawings supplied and manufacturer's requirements"
"ac8f13d8-5fa3-470a-93e4-4994c0a9aa15","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #23"
"27b3f368-7784-5751-a08e-0c492ebdcbfc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #23","Confirm the structure is in accordance with the details supplied by PBI"
"d0a23c7b-1091-5aa4-bbe3-8cd9c0c7e541","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #23","EMAIL PM"
"1ab4c39a-a7d5-54fa-be20-e9fe65624b9e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #23","Photos taken of installed item"
"fb9da8c7-d1b3-5c9d-9ed4-a4f1bce7b045","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #23","Installed as per PBI drawings supplied and manufacturer's requirements"
"d3d352da-d01e-4210-820c-12260e5c68e3","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #24"
"fd6efee2-e849-5afa-93f4-ef6037ed3258","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #24","Confirm the structure is in accordance with the details supplied by PBI"
"c7e4c632-1b49-51df-9dca-29d585ca1262","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #24","EMAIL PM"
"f544e97c-5d6c-593e-90f5-92ed694884e5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #24","Photos taken of installed item"
"ef5c3f00-48af-556f-927d-fb4b318c69ba","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #24","Installed as per PBI drawings supplied and manufacturer's requirements"
"f4c311c9-f21c-4903-8d91-746970faf382","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #25"
"b43cf9aa-a179-54ec-ad06-5b50510bc31b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #25","Confirm the structure is in accordance with the details supplied by PBI"
"49a7f93b-ae48-50d7-a3f4-9aa2d33d513b","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #25","EMAIL PM"
"c444142f-557a-5ad0-bf5b-18f841b64bbe","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #25","Photos taken of installed item"
"1cdc052a-fbe5-5a02-a5c7-3d55c5deb180","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #25","Installed as per PBI drawings supplied and manufacturer's requirements"
"b7c61364-8948-44b8-8307-bd4c6b099552","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #26"
"9bdcd4dd-7210-528b-80aa-41b4c4ba2d72","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #26","Confirm the structure is in accordance with the details supplied by PBI"
"c42df24e-87c9-5b62-b6ce-c76f920ceb92","","holdpoint","not-started","","","TRUE","TRUE","QA","Block 01","Spanning Brackets","Fit Off Checklist - Pair of Spanning Brackets #26","EMAIL PM"
