resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Low Temperature Heated Water  Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Drain Condnsate PVC ,PVC Pipework Intall,,
,,,,,,,,,,,,,,Motorised Valve Low Temperature Heated Water,Part of pipe QA,,
,,,,,,,,,,,,,,Motorised Valve Chilled Water ,Part of pipe QA,,
,,,,,,,,,,,,VAC,,Medical Vacuum Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,O2,,Oxygen Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,MA,,Medical Air Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,AGS,,Anesthetic Gas Scavenging Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,DVAC,,Dental Vacuum PET/PVC,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 8,,,,,,,,,
,,,,,,,,,,00TRA014,Corridor ,R02,Holyoake EC-125 300x300,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-TRC-AVSU-01,Beacon Meades or Equal and Approved ,Area Valve Service Unit ,HTM02 -01 B1 carcus test HTM02-01 B5a Area Valve Service Unit - Closure and Zoning test ,"HTM02-01 B3_4 Leakage Test, HTM02-01 B2 Contractors Cross Conection ","HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00TRC031,Store Equipment ,DG01,Holyoake DG-52 600x300,Door Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO006,Store - Clean Bin/Trolley Cage ,112-0B-MEP2-AHU023-FCU-013,Temperzone IMBL40Y,FCU 85 L/S OA,FCU Install QA,FCU Template ,
,,,,,,,,,,,,E06,Holyoake EC-125 600x500,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper Ø300,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper Ø300,Smoke Damper,Smoke Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper Ø200,Fire Damper,Fire Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper Ø200,Smoke Damper,Smoke Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO005,Store - Bulk ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO004,Cleaner ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper Ø300,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper Ø300,Smoke Damper,Smoke Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO024,Corridor ,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO012,Inward Goods ,S04,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO010,Store - Clean Linen ,DG01,Holyoake DG-52 600x300,Door Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-AHU023-HC-001,Temperzone 300x300,3.8 kW Heatinc Coil ,Heating Coils template,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO008,Store - Bulk ,S07,Holyokae CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper Ø250,Fire Damper,Fire Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper Ø250,Smoke Damper,Smoke Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00BHO011,Store - Portable Gases/Full,S04,Holyoake CFPP600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00EN064,Medical Gases Manifold ,112-0B-MED-EAF-001,Fantech Roof Fan GUEEC35D Ø355,Cetnrifugal Downflow Fan 490 L/s,Fan Install QA,,
,,,,,,,,,,,,112-0B-EAF001-ATT-283,NCS NSM-275-9,490 L/s Attenuator ,Attenuator QA,,
,,,,,,,,,,,,112-0B-OAF001-ATT-285,NCS NSM-300-9,470 L/s Attenuator ,Attenuator QA,,
,,,,,,,,,,,,112-0B-DPU-MAN-CO2,BEACON MEDAES LIFE LINE COMPLETE WITH PIPELINE HEATER OR EQUAL APPROVED,Auto Changeover 2B/S CO2 Manifold ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications, HTM 02-01 - B9A Sources of Supply - Medical Gases Manifold"
,,,,,,,,,,,,112-0B-BLG-DVAC-01,"DURR DENTAL OR EQUAL AND APPROVED.
COMPLETE WITH AMALGAM SEPARATOR.",Centrifugal Wet Dental Vacuum System 1500 L/m,Pump Install QA,,
,,,,,,,,,,,,112-0B-DPU-MAN-MA4,BEACON MEDAES LIFE LINE OR EQUAL APPROVED,Autoc Changeover 8B/S Medical Air 4bar Manifold,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications, HTM 02-01 - B9A Sources of Supply - Medical Gases Manifold"
,,,,,,,,,,,,112-0B-BLG-MAN-O2,BEACON MEDAES LIFE LINE OR EQUAL APPROVED,Autoc Changeover 10B/S Oxygen Manifold  ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications, HTM 02-01 - B9A Sources of Supply - Medical Gases Manifold"
,,,,,,,,,,,,112-0B-EAF001-ATT-284,NCS NSM-300-12 1200x600x450,800 L/s Attenuator,Attenuator QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00ENG065,Medical Gases Store ,FD,Fire Damper 200x200,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper 200x200,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper ,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper ,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,112-0B-MED-OAF-001,Fantech PCEEC45  Ø450,Inline Centrifugal Backward Curve Fan 520 L/s,Fan Install QA,,
,,,,,,,,,,,,112-0B-OAF001-ATT-291,NCS NSM-250-6,50 L/s Attenuator,Attenuator QA,,
,,,,,,,,,,,,112-0A-SWR-OAF001-FCU-016,Temperzone IMD280Y,FCU 830 L/S OA,FCU Install QA,FCU Template ,
,,,,,,,,,,,,112-0B-OAF001-ATT-286,NCS NSM-300-9,470 L/s Attenuator ,Attenuator QA,,
,,,,,,,,,,,,112-0B-OAF001-FLT-015,IPSCO AL50 1200x600,Filter Type 3 470 L/s,,Filters Template,
,,,,,,,,,,,,112-0B-EAF001-HC-001,Temperzone 150x150,0.9 kW Heatinc Coil ,Heating Coils template,,
,,,,,,,,,,,,112-0B-OAF001-ATT-287,NCS NSM-300-9 900x1200x600,1500 L/s Attenuator ,Attenuator QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ducting ,Steel duct Install QA,,
,,,,,,,,,,,,,,Flexiduct,Flexi duct QA check list,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Low Temperature Heated Water  Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Drain Condensate PVC,PVC Pipework Intall,,
,,,,,,,,,,,,VAC,,Medical Vacuum Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,O2,,Oxygen Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,MA,,Medical Air Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,AGS,,Anesthetic Gas Scavenging Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,DVAC,,Dental Vacuum PET/PVC,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,CO2,,CO2 Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 9,,,,,,,,,
,,,,,,,,,,00CLB022,2 Bed - Observation ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T05,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-CLB-AHU007-VAV-036,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,112-0B-AHU007-ATT-036,NCS Cylindrical Attenuator HP-2D-M 600L 315Ø,150 L/s Attenuator ,Attenuator QA,,
,,,,,,,,,,,,OUT102,,Medical Air Outlet ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,OUT202,,Oxygen Outlet,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,OUT502,,Medical Vacuum Outlet ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB021,Toilet - Accessible ,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 400x300,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO024 ,Shower/Toilet/Change (Accessable) ,E02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO024,Staff Room,S06,Holyoake CFPP 450/24 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-037,Holyoake HCV-175 ,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO010,Booth Quiet ,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO011,Booth Quiet ,S03,Holyoake CFPP 600C/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO012,Booth Quiet ,S03,Holyoake CFPP 600C/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO013,Booth Quiet ,S03,Holyoake CFPP 600C/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO027,Corridor ,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-040,Holyoake HCV-200,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02 ,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake  EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T04,Holyoake EC-125 600x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-045,Holyoake HCV-125 ,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper 800x600,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 700x500,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper Ø300,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 450x450,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S06,Holyoake CFPP 450/24 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-038,Holyoake  HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02 ,Holyoake EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO025 ,Booth Quiet ,S03,Holyoake CFPP 600C/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T04,Holyoake  EC-125 600x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO026,Booth Quiet ,S03,Holyoake CFPP 600C/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T04,Holyoake  EC-125 600x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO020,Booth Quiet ,S03,Holyoake CFPP 600C/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T04,Holyoake  EC-125 600x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO009,Workstations Allocated/Non Allocated ,S07,Holyokae CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyokae CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyokae CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S06,Holyoake CFPP 450/24 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyokae CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyokae CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-041,Holyoake HCV-300,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-042,Holyoake HCV-225,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-044,Holyoake HCV-300,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-043,Holyoake HCV-200,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO005 ,Bay - Photocopy ,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO008,Meeting 20m2,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S06,Holyoake CFPP 450/24 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S06,Holyoake CFPP 450/24 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-046,Holyoake HCV-250,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,112-0B-AHU022-ATT-046,NCS Cylindrical Attenuator HP-2D-M 600L 315Ø,395 L/s Attenuator ,Attenuator QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO003,Meeting 12m2,S05,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T05,Holyoake EC-125 450x450,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-AHU022-ATT-045,NCS Cylindrical Attenuator HP-2D-M 600L 315Ø,95 L/s Attenuator ,Attenuator QA,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO004,Booth - Quiet ,T02,Holyoake EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S03,Holyoake CFPP 600C/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO019,Meeting 12m2,T02,Holyoake EC-125 300x300,Extract/transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-WCO-AHU022-VAV-039,Holyoake HCV-125 ,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,0B-AHU022-ATT-039,NCS Cylindrical Attenuator HP-2D-M 600L 315Ø,80 L/s Attenuator ,Attenuator QA,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO015,Toilet - Staff,T01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00WCO016,Toilet - Staff ,T01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB019,Toy Clean Store ,E01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB017,Dirty Utility - Sub ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA033,Office - Clinical Workroom ,T06,Holyoake EC-125 600x600 ,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S06,Holyoake CFPP 450/24 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 300x200,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper 400x400,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper Ø300,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 400x400,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper Ø300,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,112-0B-CLA-AHU005-VAV-035,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,0B-AHU005-ATT-035,NCS Cylindrical Attenuator HP-2D-M 600L 315Ø,145 L/s Attenuator ,Attenuator QA,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA032,Store - Equipment ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S02,Holyoake CFPP 450/24 450x450,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA031 ,Clinical Trials Support ,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S02,Holyoake CFPP 450/24 450x450 ,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0B-CLA-AHU005-VAV-034,Holyoake HCV-100,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA030,Disposal ,E03,Holyoake EC-125 600x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T03,Holyoake EC-125 600x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA029,Cleaner ,E02,Holyoake EC-125 450x450 ,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ducting ,Steel duct Install QA,,
,,,,,,,,,,,,,,Flexiduct,Flexi duct QA check list,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Low Temperature Heated Water  Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,VAC,,Medical Vacuum Copper,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,O2,,Oxygen Copper ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
