type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,
checkpoint,"6.1.7 - Production Properties Grades 2, 3 and 4",,,,,,,,,,,,,,,,,
label,Detail of Activity - Broken Faces,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - RNZ 9805:2011",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZS 4407: 3.14,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ≥ 98% with at least two broken faces,,,,,,,,,,,,,,,,,
label,Record documents - IANZ Report,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Test certificates issued to the Engineers Rep at least 10 days prior to sealing,,,,,,,,,,,,,,,,,
checkpoint,6.1.8 - Production Properties Grades 5 & 6,,,,,,,,,,,,,,,,,
label,Detail of Activity - General Soundness,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - RNZ 9805:2011",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Visual,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Clean, tough particles, free of soft, weathered, disintegrtaed or deleterious material. ",,,,,,,,,,,,,,,,,
label,Record documents - IANZ Report,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Test certificates issued to the Engineers Rep at least 10 days prior to sealing,,,,,,,,,,,,,,,,,
checkpoint,6.1.9 - Production Properties Grades 5 & 6,,,,,,,,,,,,,,,,,
label,Detail of Activity - Grading,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - RNZ 9805:2011",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZS 4407: 3.8,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - NZTA M/6 - Table 3,,,,,,,,,,,,,,,,,
label,Record documents - IANZ Report,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Test certificates issued to the Engineers Rep at least 10 days prior to sealing,,,,,,,,,,,,,,,,,
checkpoint,6.1.10 - Bitumen Properties,,,,,,,,,,,,,,,,,
label,Detail of Activity - As per ITP 5 (previous Tab),,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - refer to ITP 5",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Various,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Various,,,,,,,,,,,,,,,,,
label,Record documents - Various,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Test certificates issued to the Engineers Rep at least 10 days prior to sealing,,,,,,,,,,,,,,,,,
section,6.2. CONSTRUCTION,,,,,,,,,,,,,,,,,
checkpoint,6.2.1 - Bitumen Sample,,,,,,,,,,,,,,,,,
label,Detail of Activity - Audit sample(s),,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 1 per sprayer ",,,,,,,,,,,,,,,,,
label,Inspection / Test method - ASTM D140 or AS2008,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - N/A,,,,,,,,,,,,,,,,,
label,Record documents - Contractor's site diary,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Retain for duration of DLP,,,,,,,,,,,,,,,,,
checkpoint,6.2.2 - Adhesion Agents,,,,,,,,,,,,,,,,,
label,Detail of Activity - Adhesion Agents ,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to use",,,,,,,,,,,,,,,,,
label,Acceptance Criteria - NZTA M/13,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Test certificates issued to the Engineers Rep at least 10 days prior to sealing,,,,,,,,,,,,,,,,,
checkpoint,6.2.3 - Aggregates,,,,,,,,,,,,,,,,,
label,Detail of Activity - Audit samples,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 20 kg per stockpile",,,,,,,,,,,,,,,,,
label,Inspection / Test method - N/A,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Stored in a sealed plastic bag in a covered environment,,,,,,,,,,,,,,,,,
label,Record documents - Contractor's site diary,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Retain for duration of DLP,,,,,,,,,,,,,,,,,
section,6.3. CONSTRUCTION - 1st Coat as per TNZ P/3,,,,,,,,,,,,,,,,,
checkpoint,6.3.1 - Bitumen application,,,,,,,,,,,,,,,,,
label,Detail of Activity - Bitumen Spraying Temperature,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Ongoing with non-going  heat sensing gauge",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Non-contact heat sensing gun,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - NZTA P/3 - Table 2,,,,,,,,,,,,,,,,,
label,Record documents - Contractor's Spray sheet,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,6.3.2 - Bitumen application,,,,,,,,,,,,,,,,,
label,Detail of Activity - Bitumen Application rate (BAR),,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Every sprayer run",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Dip sprayer,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - TNZ P/3,,,,,,,,,,,,,,,,,
label,Record documents - Contractor's Spray sheet,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,6.3.3 - Sealing Aggregate application,,,,,,,,,,,,,,,,,
label,Detail of Activity - Application rate (m2/kg),,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Continous",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Calculation,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Refer TNZ P/3 - section 28,,,,,,,,,,,,,,,,,
label,Record documents - Contractor's site diary,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
section,6.4. CLOSE OUT SEALING LOT,,,,,,,,,,,,,,,,,
checkpoint,6.4.1 - Non-conforming results,,,,,,,,,,,,,,,,,
label,Detail of Activity - Assessment of all test results for conformity,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Each Lot",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Site Inspection,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Reporting of any non-conforming results to Designer via NCR,,,,,,,,,,,,,,,,,
label,Record documents - NCR,,,,,,,,,,,,,,,,,
label,Responsibility - Engineer's Rep,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with the Specifications and verifies lot compliance.,,,,,,,,,,,,,,,,,
textbox,Contractor's Rep Name:,,,,,,,,,,,,,,,,,
textbox,Engineer's Rep. Name:,,,,,,,,,,,,,,,,,
signoff,Add Signature,,,,,,,,,,,,,,,,,
