"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cfacfed-d8cc-4ccf-a506-bca445eff534","","folder-normal","work-in-progress","","step","TRUE","FALSE","Nellie Melba "
"5a2ad7f2-81be-4795-8208-088aeddfda3e","","checklist-flat","pass","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3"
"fc1aec65-43fa-4000-b4f2-3815782c826c","","checklist-flat","not-started","Main Building Plaster Wall Washdowns","checklist-flat","FALSE","FALSE","John Flynn","Decks, floors, plaster, clad decks"
"c36ce8a0-96e2-5967-93dd-2d0a9bcb9cd0","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Decks, floors, plaster, clad decks","Scope area & notes"
"2b838ea9-233b-51c7-9591-df8a81e522e7","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Decks, floors, plaster, clad decks","Surface clean and free of loose detritus material"
"15890aea-0524-5320-be07-9dcfaa2cc80a","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Decks, floors, plaster, clad decks","Moss and Mould removed"
"fff4b948-6140-5792-aa9d-3b2d40bc3f7d","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Decks, floors, plaster, clad decks","On a Full Plaster Village (please see scope/notes) the fascia, soffit and external guttering"
"9687c03e-fbde-4990-b865-266fe4bdb9ba","","checklist-flat","pass","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","John Flynn","Paths, patios, lamp lens pressure washed"
"2a716c64-4871-5c7c-b5a6-04dced20df09","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Paths, patios, lamp lens pressure washed","Scope area & notes"
"5dc366f6-7abc-5730-9cf7-5c94da0c0569","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Paths, patios, lamp lens pressure washed","Paths should be fully cover with the Wet and Leave Product"
"89252730-6e92-51e3-854d-db4eee48504d","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Paths, patios, lamp lens pressure washed","Lamps cleaned with a wet broom to remove spider webs and dirt"
"49f8bf5d-7163-4beb-893b-cbd3998b5df2","","checklist-flat","fail","Australian Exterior Window Wash","checklist-flat","FALSE","FALSE","John Flynn","Australian Exterior Window Wash"
"124a7e13-0f0b-59f6-b837-40b7b7fa2461","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Australian Exterior Window Wash","Window washed down with purified water"
"12b7f93b-3bd2-5f9a-8a47-cef5e28de0a8","","checkpoint-status","fail","","","TRUE","TRUE","John Flynn","Australian Exterior Window Wash","Any damage or visual scratches"
"d01d3a83-8373-490b-a3a0-2efa2976031e","","checklist-flat","not-started","Australian Interior Window Wash","checklist-flat","FALSE","FALSE","John Flynn","Australian Interior Window Wash"
"a8bc6eb8-7f04-54ea-875a-d9ad939ed1d0","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Australian Interior Window Wash","Fly screens removed, washed and reinstalled"
"2f0f792a-188f-5055-bc5c-df668d1887c9","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Australian Interior Window Wash","Windows washed, bladed and sills wiped"
"60b770f8-76f0-5406-b8da-2a2fc082b292","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Australian Interior Window Wash","Any damage or visual scratches"
"766351ab-571f-4b3d-bbdd-b970655867e2","","checklist-flat","work-in-progress","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","John Flynn","Australian Window Cleaning - sign off"
"4174db2f-641b-55e9-bdf3-a56c069c7d47","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Australian Window Cleaning - sign off","Euroclad Representative to sign off that cleaning completed"
"a9900f52-397f-5abd-acbb-1eac1b8c97ff","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Australian Window Cleaning - sign off","Ryman Representative to sign off that cleaning completed"
"505dec95-ac35-4d80-b5bd-93ca0815e896","","checklist-flat","work-in-progress","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","John Flynn","Washdown - sign off"
"805fb1a8-254e-594b-a914-f5e60f85d1e9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","John Flynn","Washdown - sign off","Euroclad Representative to sign off that cleaning completed"
"e1001407-1318-501b-b8e4-c9f1e39f9717","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Washdown - sign off","Ryman Representative to sign off that cleaning completed"
"982e7821-e7f7-4ca0-abb2-71fa08dfaef9","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","John Flynn","Spider Control, 1A, 1B, Building 2"
"86c158ce-f861-5815-b4f8-cd87e71e2ebe","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Scope area & notes"
"3004dd8b-c077-5531-b6eb-02a2d705f72d","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"e1f70de5-3765-4d9b-86d0-06872494e216","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","John Flynn","Spider Control, 1A, 1B, Building 2"
"999288cf-4664-5976-a1e2-3531ea05bc01","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Scope area & notes"
"3ed4b709-e5d8-5882-a1ab-0d5f743036ee","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"6d7fc182-4051-4c7e-bf88-1838a74bc6a2","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","John Flynn","Spider Control, 1A, 1B, Building 2"
"7fd2686a-03b1-5888-af5b-f49341685d79","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Scope area & notes"
"18355095-974e-5e1e-8dab-1b99940f2c3a","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"6ccc671f-001b-4f9b-8163-b0fc7ea8badb","","checklist-flat","not-started","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","John Flynn","Paths, patios, lamp lens pressure washed"
"8f978686-2e6d-5d8e-af2b-64cc39dad60c","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Paths, patios, lamp lens pressure washed","Scope area & notes"
"6a387c63-1712-5101-874b-7ec8b41957a8","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Paths, patios, lamp lens pressure washed","Paths should be fully cover with the Wet and Leave Product"
"d39e3029-05c7-549f-b41f-c622c92d7c06","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Paths, patios, lamp lens pressure washed","Lamps cleaned with a wet broom to remove spider webs and dirt"
"1cb30f5b-c098-4f45-bddc-d045850c0e10","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","John Flynn","Guttering on roofs of 1A, 1B & Building 2"
"5d1a7973-bbfe-5e28-a5b0-7c881f48fa4f","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Scope area & notes"
"508780b1-324b-56c4-9398-aefdfe9ed29e","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"e647b381-79d5-575b-b431-6d0cffe22d98","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Wet dirt may remain in gutters with inadequate fall."
"02dffc36-4b5c-5a76-89e3-8d868ec51e32","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"bed5ddbe-bc1a-4922-b8f0-3e1de8eb61e0","","folder-normal","pass","","step","TRUE","FALSE","John Flynn","Plant Rooms"
"dabc2afb-85a2-4c06-9767-594acf37f3cf","","checklist-flat","pass","Main Building Plaster Wall Washdowns","checklist-flat","FALSE","FALSE","John Flynn","Plant Rooms"," Plaster"
"5a0010d3-c7ce-5010-90b5-b12dd7cfe74a","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Plant Rooms"," Plaster","Scope area & notes"
"c2244459-e7e8-5dd4-ac6f-1e8129855b69","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Plant Rooms"," Plaster","Surface clean and free of loose detritus material"
"ebecddba-c5b9-52d6-af37-acf812b6738e","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Plant Rooms"," Plaster","Moss and Mould removed"
"bf786ed6-5642-54aa-8fee-dbe1e20a9db4","","checkpoint-status","not-applicable","","","TRUE","TRUE","John Flynn","Plant Rooms"," Plaster","On a Full Plaster Village (please see scope/notes) the fascia, soffit and external guttering"
"ab2d8d85-7ea2-4252-a457-e968234a3fe5","","folder-normal","not-started","","step","TRUE","FALSE","Raelene Boyle "
"37e8a5d8-b486-4395-b077-d7e19591cb85","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Raelene Boyle ","Main Building & Townhouse Spiderproofing"
"41933427-7573-551d-8cad-04c0f74232e0","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building & Townhouse Spiderproofing","Scope area & notes"
"88f86a45-4e0b-5073-9455-77ae189143f9","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building & Townhouse Spiderproofing","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"e0d23072-7f71-45b0-bf0c-60ea76b93e93","","checklist-flat","not-started","Main Building Brickwork Washdown","checklist-flat","FALSE","FALSE","Raelene Boyle ","Main Building Brickwork Washdown"
"2e686cb4-8908-5a36-8a25-38068e9c0538","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Brickwork Washdown","Scope area & notes"
"ca026808-0c90-5d51-933b-d08eddb0aca4","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Brickwork Washdown","Surface clean and free of loose detritus material"
"a2b5afd5-1092-55b6-845c-5884b48e7a8e","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Brickwork Washdown","Moss and Mould removed"
"234e0035-ca6b-4ca8-bb68-e14dacb8de8f","","checklist-flat","not-started","Main Building Plaster Wall Washdowns","checklist-flat","FALSE","FALSE","Raelene Boyle ","Main Building Plaster Wall Washdowns"
"a8c439f5-60ed-596f-8cac-693eeccfb368","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Plaster Wall Washdowns","Scope area & notes"
"e092ca56-667d-5b99-93a6-639548659bb5","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Plaster Wall Washdowns","Surface clean and free of loose detritus material"
"197b0783-d81f-55b0-8f3f-7e1a8c0bd288","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Plaster Wall Washdowns","Moss and Mould removed"
"e3ba1072-a734-51f2-8252-cdaa6817d93f","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Plaster Wall Washdowns","On a Full Plaster Village (please see scope/notes) the fascia, soffit and external guttering"
"0727b7e2-f3b4-4940-a255-2a420fb4462b","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Raelene Boyle ","Main Building Gutter Debris Removal"
"2f28c031-aa28-5849-bb6d-08da1b48a8b7","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Gutter Debris Removal","Scope area & notes"
"3890d96c-f646-5ec6-8662-032e94152299","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Gutter Debris Removal","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"4d391627-6860-5c25-bc04-7a5a4a798bd9","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Gutter Debris Removal","Wet dirt may remain in gutters with inadequate fall."
"a5bffe2a-8832-5035-a172-bb17b8929b33","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Main Building Gutter Debris Removal","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"b8645f4a-f7f4-4cf0-a45c-bb03a960aeab","","checklist-flat","not-started","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","Raelene Boyle ","Path Treatments & Lamp Cleaning"
"c0600fdc-82b0-543d-9885-d695e8b66cdf","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Path Treatments & Lamp Cleaning","Scope area & notes"
"a6b66cc1-bca5-5f79-bc9d-214846e38287","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Path Treatments & Lamp Cleaning","Paths should be fully cover with the Wet and Leave Product"
"2ccf67bf-11a3-542d-b2f6-966de96c3a4b","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Path Treatments & Lamp Cleaning","Lamps cleaned with a wet broom to remove spider webs and dirt"
"d8137902-2e8c-4a03-aa4c-4584181d7b99","","checklist-flat","not-started","Australian Exterior Window Wash","checklist-flat","FALSE","FALSE","Raelene Boyle ","Australian Exterior Window Wash"
"4c312d6e-e5e2-5b37-a83a-a3fce5fabf9d","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Australian Exterior Window Wash","Window washed down with purified water"
"f8ec5257-9bc2-5e3d-b3e2-3d6a786527fa","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Australian Exterior Window Wash","Any damage or visual scratches"
"f9ed3fc8-eaf5-4773-8e94-cc0f04079464","","checklist-flat","not-started","Australian Interior Window Wash","checklist-flat","FALSE","FALSE","Raelene Boyle ","Australian Interior Window Wash"
"f7ab4c90-c862-5c7e-b981-011f004bd6a2","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Australian Interior Window Wash","Fly screens removed, washed and reinstalled"
"27de9e3e-2a12-59e9-b355-adf774c0d485","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Australian Interior Window Wash","Windows washed, bladed and sills wiped"
"0e23c346-d9f2-5400-958f-0a8154d87f9e","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Australian Interior Window Wash","Any damage or visual scratches"
"f56470f8-241e-41d6-9b60-9408e1e0f330","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Raelene Boyle ","Australian Window Cleaning - sign off"
"bd1b3fb6-8035-5a69-8c95-f9a359e56e7c","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Australian Window Cleaning - sign off","Euroclad Representative to sign off that cleaning completed"
"15b3f38f-29dd-5430-ac23-9f2132a120ea","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Australian Window Cleaning - sign off","Ryman Representative to sign off that cleaning completed"
"4f839d49-2fc9-4579-ae9f-37ed51b4d2c8","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Raelene Boyle ","Washdown - sign off"
"7943a0f1-e7db-584d-b4de-9c9d4acbc7c3","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Washdown - sign off","Euroclad Representative to sign off that cleaning completed"
"82537dab-964b-5308-b388-869bd7dfef39","","checkpoint-status","not-started","","","TRUE","TRUE","Raelene Boyle ","Washdown - sign off","Ryman Representative to sign off that cleaning completed"
"8b3aa745-d17a-4a89-84cb-3d0134f87c38","","folder-normal","not-started","","step","TRUE","FALSE","Charles Brownlow "
"4c90684d-e1a1-45f3-8dc0-1d3edbe4dc4e","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Charles Brownlow ","Main Building & Townhouse Spiderproofing"
"5df5f08f-01a3-5a22-8704-77fef7d70094","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building & Townhouse Spiderproofing","Scope area & notes"
"20542631-edb1-5ca5-9a96-6cdbf56917d6","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building & Townhouse Spiderproofing","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"c4ec6718-d02f-49ab-8be9-7b251769f614","","checklist-flat","not-started","Main Building Brickwork Washdown","checklist-flat","FALSE","FALSE","Charles Brownlow ","Main Building Brickwork Washdown"
"a1b2e956-c71f-56a7-b2c9-d1809ff03e99","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Brickwork Washdown","Scope area & notes"
"d85e76dc-86c6-5de9-8b5a-6826a8a7980e","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Brickwork Washdown","Surface clean and free of loose detritus material"
"3646f551-dc7b-56f5-ae67-15e5a4e2ed97","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Brickwork Washdown","Moss and Mould removed"
"3afbb78d-1479-4a1a-b594-e46bf66a614c","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Charles Brownlow ","Main Building Gutter Debris Removal"
"6989b792-f9b5-542c-ab6e-793d4d13b6e6","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Gutter Debris Removal","Scope area & notes"
"4f9e4540-5580-5ffc-bcc7-5f9400294e08","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Gutter Debris Removal","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"2bbc4a73-b9bb-553d-9a92-2ebd785bcc65","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Gutter Debris Removal","Wet dirt may remain in gutters with inadequate fall."
"843b1795-bbe9-5ef2-9597-18c9786b309d","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Gutter Debris Removal","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"a165e0c6-dc38-412a-8784-8bfb258c2daa","","checklist-flat","not-started","Main Building Plaster Wall Washdowns","checklist-flat","FALSE","FALSE","Charles Brownlow ","Main Building Plaster Wall Washdowns"
"2b98922a-03c1-5cae-bb96-f781602f25e8","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Plaster Wall Washdowns","Scope area & notes"
"a473e559-83c8-547c-b65a-7349aab502e1","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Plaster Wall Washdowns","Surface clean and free of loose detritus material"
"3561659c-fbf4-58a2-af47-2651b456e62f","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Plaster Wall Washdowns","Moss and Mould removed"
"cb6a3cef-efb6-57ef-8334-d23eed537753","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Main Building Plaster Wall Washdowns","On a Full Plaster Village (please see scope/notes) the fascia, soffit and external guttering"
"8410d041-b563-436c-8cde-0963749bba7b","","checklist-flat","not-started","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","Charles Brownlow ","Path Treatments & Lamp Cleaning"
"6be732f0-21ec-5416-9793-9e843ff401ae","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Path Treatments & Lamp Cleaning","Scope area & notes"
"20f0eb50-1347-59fc-afd3-08e83a8b9542","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Path Treatments & Lamp Cleaning","Paths should be fully cover with the Wet and Leave Product"
"3113722b-5db7-5177-b591-27f069935f85","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Path Treatments & Lamp Cleaning","Lamps cleaned with a wet broom to remove spider webs and dirt"
"12aad0a6-289d-4737-a472-bf7cf19c1675","","checklist-flat","not-started","Australian Exterior Window Wash","checklist-flat","FALSE","FALSE","Charles Brownlow ","Australian Exterior Window Wash"
"ddc22846-4e32-5393-b061-94976fbeb4df","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Australian Exterior Window Wash","Window washed down with purified water"
"d8424504-9223-539d-8613-ac402dbb0dc5","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Australian Exterior Window Wash","Any damage or visual scratches"
"b224e98a-35c7-4251-aba2-ca791ecca16a","","checklist-flat","not-started","Australian Interior Window Wash","checklist-flat","FALSE","FALSE","Charles Brownlow ","Australian Interior Window Wash"
"ce1f7dbc-444b-5eea-a6d9-75902befa37c","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Australian Interior Window Wash","Fly screens removed, washed and reinstalled"
"ab36399e-69fc-52c5-815d-13f9940c5538","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Australian Interior Window Wash","Windows washed, bladed and sills wiped"
"75720258-a04f-594a-a70d-3471390bc1b3","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Australian Interior Window Wash","Any damage or visual scratches"
"77338b61-9e38-4356-8e21-3ec778cf267b","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Charles Brownlow ","Australian Window Cleaning - sign off"
"7f402f9d-ffeb-550f-a48f-c1bddb926bfa","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Australian Window Cleaning - sign off","Euroclad Representative to sign off that cleaning completed"
"59b6bcc9-81dd-536f-a6a1-d0302b14b820","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Australian Window Cleaning - sign off","Ryman Representative to sign off that cleaning completed"
"fa0f7b0e-1a75-4143-8d99-1d34fb38c367","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Charles Brownlow ","Washdown - sign off"
"36014b50-9af7-5d54-816a-030e65147152","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Washdown - sign off","Euroclad Representative to sign off that cleaning completed"
"7dd7574d-2ec7-56ca-846c-15f666d8e76d","","checkpoint-status","not-started","","","TRUE","TRUE","Charles Brownlow ","Washdown - sign off","Ryman Representative to sign off that cleaning completed"
"2b15b302-15a2-47e2-ae97-e48136fcac7a","","folder-normal","not-started","","step","TRUE","FALSE","Deborah Cheetam"
"04a48bc8-779b-4923-892c-0832a8ff8267","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Deborah Cheetam","Main Building & Townhouse Spiderproofing"
"ec05aca2-bda2-5057-bbbf-d03d9e121615","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building & Townhouse Spiderproofing","Scope area & notes"
"af990b80-e166-5aae-a19a-e7abde8fe6f0","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building & Townhouse Spiderproofing","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"41da15d7-0a40-46ca-9189-422916158dcd","","checklist-flat","not-started","Main Building Brickwork Washdown","checklist-flat","FALSE","FALSE","Deborah Cheetam","Main Building Brickwork Washdown"
"7765b67e-9a8b-555b-9752-b51c9b9e307e","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Brickwork Washdown","Scope area & notes"
"74c97a6b-2e0d-5a11-a160-7b4abefc2708","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Brickwork Washdown","Surface clean and free of loose detritus material"
"e8c73275-d2a7-56fb-b144-30f89d913f4a","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Brickwork Washdown","Moss and Mould removed"
"f2dbbb17-39d6-47a3-9f70-8e4a0b5faabc","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Deborah Cheetam","Main Building Gutter Debris Removal"
"f003c4c7-d71a-53af-8323-a60bf9658cd6","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Gutter Debris Removal","Scope area & notes"
"a051d9e7-191a-59f4-818f-21ee14c41a99","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Gutter Debris Removal","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"8c9f06c0-f7a7-5015-acd3-96044565f147","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Gutter Debris Removal","Wet dirt may remain in gutters with inadequate fall."
"a1ddd894-a480-58a3-b16a-84914740089e","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Gutter Debris Removal","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"505e1592-b0e2-4b9a-a82b-dcf3a870832f","","checklist-flat","not-started","Main Building Plaster Wall Washdowns","checklist-flat","FALSE","FALSE","Deborah Cheetam","Main Building Plaster Wall Washdowns"
"ef742190-ec01-54e9-be0a-4137777be75c","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Plaster Wall Washdowns","Scope area & notes"
"43d5a42e-0de2-53f0-bcca-145fb227ef73","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Plaster Wall Washdowns","Surface clean and free of loose detritus material"
"e3c854e7-0dbf-5cba-8a4e-b0957b826a88","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Plaster Wall Washdowns","Moss and Mould removed"
"2fb61f67-098e-5498-8b55-ee33c0b8eb90","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Main Building Plaster Wall Washdowns","On a Full Plaster Village (please see scope/notes) the fascia, soffit and external guttering"
"13d2dc57-f648-4df8-89de-d344b8d25204","","checklist-flat","not-started","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","Deborah Cheetam","Path Treatments & Lamp Cleaning"
"96bc4f07-754f-554f-8e4b-119422a8e79d","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Path Treatments & Lamp Cleaning","Scope area & notes"
"a60de39a-903d-5b7b-a510-7ac94b6f1f70","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Path Treatments & Lamp Cleaning","Paths should be fully cover with the Wet and Leave Product"
"5b57efe9-11ea-5e59-9c4f-9d115303dc9c","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Path Treatments & Lamp Cleaning","Lamps cleaned with a wet broom to remove spider webs and dirt"
"12e12b23-91da-46e2-9dbb-4d434633889b","","checklist-flat","not-started","Australian Exterior Window Wash","checklist-flat","FALSE","FALSE","Deborah Cheetam","Australian Exterior Window Wash"
"c6c25597-d507-5eb1-98bb-97bf94303889","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Australian Exterior Window Wash","Window washed down with purified water"
"994730a4-d2d2-5e7d-be7c-fcda4f6ce85b","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Australian Exterior Window Wash","Any damage or visual scratches"
"1a0e3543-1e3b-467c-a1bd-61b5895e7cfc","","checklist-flat","not-started","Australian Interior Window Wash","checklist-flat","FALSE","FALSE","Deborah Cheetam","Australian Interior Window Wash"
"c21586e8-ae72-59ae-96a7-528f078a9591","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Australian Interior Window Wash","Fly screens removed, washed and reinstalled"
"297b43e2-96e7-5622-b4f8-338d43269376","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Australian Interior Window Wash","Windows washed, bladed and sills wiped"
"ec8a0e20-99ad-53e1-85b9-d00759418ce5","","checkpoint-status","not-started","","","TRUE","TRUE","Deborah Cheetam","Australian Interior Window Wash","Any damage or visual scratches"
