Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
,,Level 1 - Stage 1 - GCS - Common Area Data - DB CBD 1.08 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,Common Area Data,DB CBD 1.08 - 2 Data,Fit Off
,,Level 1 - Stage 1 - GCS - Common Area Data - Lift 1.05 - 1 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,Common Area Data,Lift 1.05 - 1 Data,Fit Off
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.03 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.03 - WIFI,Fit Off
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.12 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.12 - WIFI,Fit Off
,,Level 1 - Stage 1 - GCS - WIFI - OUTSIDE ROOM 1.15 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,WIFI,OUTSIDE ROOM 1.15 - WIFI,Fit Off
,,Level 1 - Stage 1 - GCS - Service areas - Services (Riser),,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,Service areas,Services (Riser),Fit Off
,,Level 1 - Stage 2 - PERS - Common areas - Dinning 1.26,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 2,PERS,Common areas,Dinning 1.26,Fit Off
,,Level 1 - Stage 2 - PERS - Rooms - Room 1.30,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 2,PERS,Rooms,Room 1.30,Fit Off
,,Level 1 - Stage 2 - PERS - Rooms - Room 1.31,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 2,PERS,Rooms,Room 1.31,Fit Off
,,Level 1 - Stage 2 - PERS - Displays - Display 9 CIRC 1.29 DF,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 2,PERS,Displays,Display 9 CIRC 1.29 DF,Fit Off
,,Level 1 - Stage 2 - GCS - Common Area Data - Kitchen 1.28 - Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 2,GCS,Common Area Data,Kitchen 1.28 - Data,Fit Off
,,Level 1 - Stage 2 - GCS - WIFI - CIRC 1.29 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 2,GCS,WIFI,CIRC 1.29 - WIFI,Fit Off
,,Level 1 - Stage 2 - GCS - WIFI - CIRC 1.25 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 2,GCS,WIFI,CIRC 1.25 - WIFI,Fit Off
,,Level 1 - Stage 3 - PERS - Common areas - Lift Lobby Hallway CIRC 1.44,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Common areas,Lift Lobby Hallway CIRC 1.44,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.34,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.34,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.35,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.35,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.36,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.36,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.37,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.37,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.38,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.38,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.39,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.39,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.40,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.40,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.41,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.41,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.42,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.42,Fit Off
,,Level 1 - Stage 3 - PERS - Rooms - Room 1.43,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Rooms,Room 1.43,Fit Off
,,Level 1 - Stage 3 - PERS - Displays - Display 10 CIRC 1.37 DF,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,PERS,Displays,Display 10 CIRC 1.37 DF,Fit Off
,,Level 1 - Stage 3 - GCS - Common Area Data - DB CBD 1.33 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,Common Area Data,DB CBD 1.33 - 2 Data,Fit Off
,,Level 1 - Stage 3 - GCS - Common Area Data - MSB 1.49 - 6 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,Common Area Data,MSB 1.49 - 6 Data,Fit Off
,,Level 1 - Stage 3 - GCS - Common Area Data - Lift 1.52 - 1 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,Common Area Data,Lift 1.52 - 1 Data,Fit Off
,,Level 1 - Stage 3 - GCS - Common Area Data - MSR 1.50 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,Common Area Data,MSR 1.50 - 2 Data,Fit Off
,,Level 1 - Stage 3 - GCS - WIFI - OUTSIDE ROOM 1.35 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,WIFI,OUTSIDE ROOM 1.35 - WIFI,Fit Off
,,Level 1 - Stage 3 - GCS - WIFI - OUTSIDE ROOM 1.41 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,WIFI,OUTSIDE ROOM 1.41 - WIFI,Fit Off
,,Level 1 - Stage 3 - GCS - WIFI - CIRC 1.44 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,WIFI,CIRC 1.44 - WIFI,Fit Off
,,Level 1 - Stage 3 - GCS - WIFI - CIRC 1.55 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,WIFI,CIRC 1.55 - WIFI,Fit Off
,,Level 1 - Stage 3 - GCS - Comms Room - Services (Riser),,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,GCS,Comms Room,Services (Riser),Fit Off
,,Level 1 - Stage 3 - ESS - Doors - Data Room 1.48 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,ESS,Doors,Data Room 1.48 Double Door,Fit Off
,,Level 1 - Stage 3 - ESS - Doors - MSR 1.50 Single Door Mortise,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,ESS,Doors,MSR 1.50 Single Door Mortise,Fit Off
,,Level 1 - Stage 3 - ESS - Cameras - C-101,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,ESS,Cameras,C-101,Fit Off
,,Level 1 - Stage 3 - ESS - Cameras - C-102,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,ESS,Cameras,C-102,Fit Off
,,Level 1 - Stage 3 - ESS - Cameras - C-103,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,ESS,Cameras,C-103,Fit Off
,,Level 1 - Stage 3 - ESS - Cameras - C-104,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 3,ESS,Cameras,C-104,Fit Off
,,Level 1 - Stage 4 - PERS - Common areas - Flexi 1.58,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Common areas,Flexi 1.58,Fit Off
,,Level 1 - Stage 4 - PERS - Common areas - Stair 1.74,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Common areas,Stair 1.74,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.62,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.62,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.63,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.63,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.66,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.66,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.67,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.67,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.68,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.68,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.69,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.69,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.71,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.71,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.72,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.72,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.73,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.73,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.78,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.78,Fit Off
,,Level 1 - Stage 4 - PERS - Rooms - Room 1.79,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Rooms,Room 1.79,Fit Off
,,Level 1 - Stage 4 - PERS - Displays - Display 11 CIRC 1.70 DF,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Displays,Display 11 CIRC 1.70 DF,Fit Off
,,Level 1 - Stage 4 - PERS - Displays - Display 12 CIRC 1.60 DF,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,PERS,Displays,Display 12 CIRC 1.60 DF,Fit Off
,,Level 1 - Stage 4 - GCS - Common Area Data - DLY CON 4 1.64 - 4 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,GCS,Common Area Data,DLY CON 4 1.64 - 4 Data,Fit Off
,,Level 1 - Stage 4 - GCS - Common Area Data - DB CBD 1.77 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,GCS,Common Area Data,DB CBD 1.77 - 2 Data,Fit Off
,,Level 1 - Stage 4 - GCS - Common Area Data - Flex Room 1.58 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,GCS,Common Area Data,Flex Room 1.58 - 2 Data,Fit Off
,,Level 1 - Stage 4 - GCS - WIFI - OUTSIDE ROOM 1.73 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,GCS,WIFI,OUTSIDE ROOM 1.73 - WIFI,Fit Off
,,Level 1 - Stage 4 - GCS - WIFI - OUTSIDE ROOM 1.68 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,GCS,WIFI,OUTSIDE ROOM 1.68 - WIFI,Fit Off
,,Level 1 - Stage 4 - GCS - WIFI - CIRC 1.60 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,GCS,WIFI,CIRC 1.60 - WIFI,Fit Off
,,Level 1 - Stage 4 - ESS - Cameras - C-103,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,ESS,Cameras,C-103,Fit Off
,,Level 1 - Stage 4 - ESS - Cameras - C-104,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 4,ESS,Cameras,C-104,Fit Off
,Columns,,,,,,,,,,,
,,GPON - Fit Off,,GPON - Fit Off (photos Attached),,,,,,,,
,,GCS - Structured Cabling,,GCS - Structured Cabling (photos Attached),,,,,,,,
,,PERS - Nurse Call Fit Off,,PERS - Nurse Call Fit Off (Photos Attached),,,,,,,,
,,ESS - Camera Fit Off,,ESS - Camera Fit Off (Photos Attached),,,,,,,,
,,ESS - Intercom Fit Off,,ESS - Intercom Fit Off (Photos Attached),,,,,,,,
,,ESS - Access Control Fit Off,,ESS - Access Control Fit Off (Photos Attached),,,,,,,,
,,Audio Visual / MATV - Fit off,,Audio Visual / MATV - Fit off (Photos Attached),,,,,,,,
,,,,,,,,,,,,
Pre Wire,,,,,,,,,,,,
,Scope,,,,,,,,,,,
,Rows,,,,,,,,,,,
,,Building A,grouping,Building A,,,,,,,,
,,Level Basement / Carpark - Lift / Lift Lobby,,lift / lift lobby,level basement / carpark,site qa,pre wire,building a,common areas,,,
,,Level Basement / Carpark - MSB room / Services,,level basement / carpark,site qa,pre wire,building a,service areas,msb room / services,,,
,,Level Basement / Carpark - Sprinkler Room,,sprinkler room,level basement / carpark,site qa,pre wire,building a,service areas,,,
,,Level Ground - Lift Lobby,,level ground,common areas wifi/camera/nurse call,lift lobby,site qa,pre wire,building a,,,
,,Level Ground - Corridor,,level ground,common areas wifi/camera/nurse call,corridor,site qa,pre wire,building a,,,
,,Level Ground - Stairwell 01,,level ground,common areas wifi/camera/nurse call,site qa,pre wire,building a,stairwell 01,,,
,,Level Ground - Services (Riser),,level ground,site qa,services (riser),pre wire,building a,service areas,,,
,,Level Ground - Apartment G-1,,level ground,site qa,residential areas,apartment g-1,pre wire,building a,,,
,,Level Ground - Apartment G-2,,level ground,site qa,residential areas,pre wire,building a,apartment g-2,,,
,,Level Ground - Apartment G-3,,level ground,site qa,residential areas,pre wire,building a,apartment g-3,,,
,,Level Ground - Apartment G-4,,level ground,apartment g-4,site qa,residential areas,pre wire,building a,,,
,,Level Ground - Apartment G-5,,apartment g-5,level ground,site qa,residential areas,pre wire,building a,,,
,,Level Ground - Apartment G-6,,level ground,site qa,apartment g-6,residential areas,pre wire,building a,,,
,,Level Ground - Apartment G-7,,level ground,apartment g-7,site qa,residential areas,pre wire,building a,,,
,,Level Ground - Apartment G-8,,level ground,site qa,residential areas,pre wire,building a,apartment g-8,,,
,,Level Ground - Apartment G-9,,level ground,site qa,residential areas,apartment g-9,pre wire,building a,,,
,,Level Ground - Apartment G-10,,level ground,site qa,residential areas,pre wire,building a,apartment g-10,,,
,,Level 1 - Lift Lobby,,lift lobby,site qa,pre wire,building a,level 1,common areas,,,
,,Level 1 - Corridor,,corridor,site qa,pre wire,building a,level 1,common areas,,,
,,Level 1 - Stairwell 01,,site qa,pre wire,building a,level 1,common areas,stairwell 01,,,
,,Level 1 - Services (Riser),,site qa,services (riser),pre wire,building a,level 1,service areas,,,
,,Level 1 - Apartment 1-1,,site qa,residential areas,pre wire,building a,level 1,apartment 1-1,,,
,,Level 1 - Apartment 1-2,,apartment 1-2,site qa,residential areas,pre wire,building a,level 1,,,
,,Level 1 - Apartment 1-3,,apartment 1-3,site qa,residential areas,pre wire,building a,level 1,,,
,,Level 1 - Apartment 1-4,,apartment 1-4,site qa,residential areas,pre wire,building a,level 1,,,
,,Level 1 - Apartment 1-5,,site qa,apartment 1-5,residential areas,pre wire,building a,level 1,,,
,,Level 1 - Apartment 1-6,,site qa,residential areas,apartment 1-6,pre wire,building a,level 1,,,
,,Level 1 - Apartment 1-7,,site qa,residential areas,pre wire,building a,level 1,apartment 1-7,,,
,,Level 1 - Apartment 1-8,,site qa,residential areas,pre wire,building a,level 1,apartment 1-8,,,
,,Level 1 - Apartment 1-9,,site qa,residential areas,pre wire,building a,level 1,apartment 1-9,,,
,,Level 1 - Apartment 1-10,,site qa,residential areas,pre wire,building a,level 1,apartment 1-10,,,
,,Level 2 - Lift Lobby,,lift lobby,site qa,pre wire,building a,common areas,level 2,,,
,,Level 2 - Corridor,,corridor,site qa,pre wire,building a,common areas,level 2,,,
,,Level 2 - Stairwell 01,,site qa,pre wire,building a,common areas,level 2,stairwell 01,,,
,,Level 2 - Services (Riser),,site qa,services (riser),pre wire,building a,service areas,level 2,,,
,,Level 2 - Apartment 2-1,,apartment 2-1,site qa,residential areas,pre wire,building a,level 2,,,
,,Level 2 - Apartment 2-2,,apartment 2-2,site qa,residential areas,pre wire,building a,level 2,,,
,,Level 2 - Apartment 2-3,,apartment 2-3,site qa,residential areas,pre wire,building a,level 2,,,
,,Level 2 - Apartment 2-4,,site qa,apartment 2-4,residential areas,pre wire,building a,level 2,,,
,,Level 2 - Apartment 2-5,,site qa,residential areas,apartment 2-5,pre wire,building a,level 2,,,
,,Level 2 - Apartment 2-6,,site qa,residential areas,pre wire,building a,apartment 2-6,level 2,,,
,,Building B,grouping,Building B,,,,,,,,
,,Level Basement / Carpark - Lift / Lift Lobby,,lift / lift lobby,level basement / carpark,site qa,pre wire,common areas,building b,,,
,,Level Basement / Carpark - MSB room / Services,,level basement / carpark,site qa,pre wire,service areas,building b,msb room / services,,,
,,Level Basement / Carpark - Sprinkler Room,,sprinkler room,level basement / carpark,site qa,pre wire,service areas,building b,,,
,,Level Ground - Lift Lobby,,level ground,lift lobby,site qa,pre wire,common areas,building b,,,
,,Level Ground - Corridor,,level ground,corridor,site qa,pre wire,common areas,building b,,,
,,Level Ground - Stairwell 01,,level ground,site qa,pre wire,common areas,building b,stairwell 01,,,
,,Level Ground - Services (Riser),,level ground,site qa,services (riser),pre wire,service areas,building b,,,
,,Level Ground - Apartment G-1,,level ground,site qa,residential areas,apartment g-1,pre wire,building b,,,
,,Level Ground - Apartment G-2,,level ground,site qa,residential areas,pre wire,building b,apartment g-2,,,
,,Level Ground - Apartment G-3,,level ground,site qa,residential areas,pre wire,building b,apartment g-3,,,
,,Level Ground - Apartment G-4,,level ground,apartment g-4,site qa,residential areas,pre wire,building b,,,
,,Level Ground - Apartment G-5,,apartment g-5,level ground,site qa,residential areas,pre wire,building b,,,
,,Level Ground - Apartment G-6,,level ground,site qa,apartment g-6,residential areas,pre wire,building b,,,
,,Level Ground - Apartment G-7,,level ground,apartment g-7,site qa,residential areas,pre wire,building b,,,
,,Level Ground - Apartment G-8,,level ground,site qa,residential areas,pre wire,apartment g-8,building b,,,
,,Level Ground - Apartment G-9,,level ground,site qa,residential areas,apartment g-9,pre wire,building b,,,
,,Level Ground - Apartment G-10,,level ground,site qa,residential areas,pre wire,apartment g-10,building b,,,
,,Level 1 - Lift Lobby,,lift lobby,site qa,pre wire,level 1,common areas,building b,,,
,,Level 1 - Corridor,,corridor,site qa,pre wire,level 1,common areas,building b,,,
,,Level 1 - Stairwell 01,,site qa,pre wire,level 1,common areas,building b,stairwell 01,,,
,,Level 1 - Services (Riser),,site qa,services (riser),pre wire,level 1,service areas,building b,,,
,,Level 1 - Apartment 1-1,,site qa,residential areas,pre wire,level 1,building b,apartment 1-1,,,
,,Level 1 - Apartment 1-2,,apartment 1-2,site qa,residential areas,pre wire,level 1,building b,,,
,,Level 1 - Apartment 1-3,,apartment 1-3,site qa,residential areas,pre wire,level 1,building b,,,
,,Level 1 - Apartment 1-4,,apartment 1-4,site qa,residential areas,pre wire,level 1,building b,,,
,,Level 1 - Apartment 1-5,,site qa,apartment 1-5,residential areas,pre wire,level 1,building b,,,
,,Level 1 - Apartment 1-6,,site qa,residential areas,apartment 1-6,pre wire,level 1,building b,,,
,,Level 1 - Apartment 1-7,,site qa,residential areas,pre wire,level 1,apartment 1-7,building b,,,
,,Level 1 - Apartment 1-8,,site qa,residential areas,pre wire,level 1,building b,apartment 1-8,,,
,,Level 1 - Apartment 1-9,,site qa,residential areas,pre wire,level 1,building b,apartment 1-9,,,
,,Level 1 - Apartment 1-10,,site qa,residential areas,pre wire,level 1,building b,apartment 1-10,,,
,,Level 2 - Lift Lobby,,lift lobby,site qa,pre wire,common areas,building b,level 2,,,
,,Level 2 - Corridor,,corridor,site qa,pre wire,common areas,building b,level 2,,,
,,Level 2 - Stairwell 01,,site qa,pre wire,common areas,building b,level 2,stairwell 01,,,
,,Level 2 - Services (Riser),,site qa,services (riser),pre wire,service areas,building b,level 2,,,
,,Level 2 - Apartment 2-1,,apartment 2-1,site qa,residential areas,pre wire,building b,level 2,,,
,,Level 2 - Apartment 2-2,,apartment 2-2,site qa,residential areas,pre wire,building b,level 2,,,
,,Level 2 - Apartment 2-3,,apartment 2-3,site qa,residential areas,pre wire,building b,level 2,,,
,,Level 2 - Apartment 2-4,,site qa,apartment 2-4,residential areas,pre wire,building b,level 2,,,
,,Level 2 - Apartment 2-5,,site qa,residential areas,apartment 2-5,pre wire,building b,level 2,,,
,,Level 2 - Apartment 2-6,,site qa,residential areas,pre wire,apartment 2-6,building b,level 2,,,
,,Pohutukawa Care Building,grouping,Pohutukawa Care Building,,,,,,,,
,,Ground - Stage 1 - PERS - Common areas - Stairs G.04,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Common areas,Stairs G.04,
,,Ground - Stage 1 - PERS - Common areas - Lift G.08,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Common areas,Lift G.08,
,,Ground - Stage 1 - PERS - Common areas - Lounge G.02,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Common areas,Lounge G.02,
,,Ground - Stage 1 - PERS - Rooms - Room G.18,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Rooms,Room G.18,
,,Ground - Stage 1 - PERS - Rooms - Room G.19,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Rooms,Room G.19,
,,Ground - Stage 1 - PERS - Rooms - Room G.20,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Rooms,Room G.20,
,,Ground - Stage 1 - PERS - Rooms - Room G.21,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Rooms,Room G.21,
,,Ground - Stage 1 - PERS - Rooms - Room G.23,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Rooms,Room G.23,
,,Ground - Stage 1 - PERS - Rooms - Room G.24,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Rooms,Room G.24,
,,Ground - Stage 1 - PERS - Displays - Display 1 CIRC G.17 DF,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Displays,Display 1 CIRC G.17 DF,
,,Ground - Stage 1 - PERS - Displays - Display 2 CIRC G.28 SF,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,PERS,Displays,Display 2 CIRC G.28 SF,
,,Ground - Stage 1 - GCS - Common Area Data - Café G.13 - 8 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,Common Area Data,Café G.13 - 8 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Nurse Manager G.14 - 4 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,Common Area Data,Nurse Manager G.14 - 4 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Admin G.15 - 4 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,Common Area Data,Admin G.15 - 4 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Nurse Station G.29 - 6 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,Common Area Data,Nurse Station G.29 - 6 Data,
,,Ground - Stage 1 - GCS - Common Area Data - DB CBD G.27 - 4 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,Common Area Data,DB CBD G.27 - 4 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Plant Room - 2 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,Common Area Data,Plant Room - 2 Data,
,,Ground - Stage 1 - GCS - Common Area Data - Wind Lobby Intercom G.12 - 1 Data,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,Common Area Data,Wind Lobby Intercom G.12 - 1 Data,
,,Ground - Stage 1 - GCS - WIFI - Lounge G.02 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,WIFI,Lounge G.02 - WIFI,
,,Ground - Stage 1 - GCS - WIFI - CIRC G.17 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,WIFI,CIRC G.17 - WIFI,
,,Ground - Stage 1 - GCS - WIFI - CIRC G.22 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,GCS,WIFI,CIRC G.22 - WIFI,
,,Ground - Stage 1 - ESS - Doors - CIRC G.03 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Doors,CIRC G.03 Double Door,
,,Ground - Stage 1 - ESS - Doors - Wind Lobby G.12 Slidding Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Doors,Wind Lobby G.12 Slidding Door,
,,Ground - Stage 1 - ESS - Doors - CRIC G.22 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Doors,CRIC G.22 Double Door,
,,Ground - Stage 1 - ESS - Doors - DLY CON 1 G.25 Double Door,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Doors,DLY CON 1 G.25 Double Door,
,,Ground - Stage 1 - ESS - Cameras - C-G01,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Cameras,C-G01,
,,Ground - Stage 1 - ESS - Cameras - C-G02,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Cameras,C-G02,
,,Ground - Stage 1 - ESS - Cameras - C-G03,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Cameras,C-G03,
,,Ground - Stage 1 - ESS - Cameras - C-G04,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 1,ESS,Cameras,C-G04,
,,Ground - Stage 2 - PERS - Rooms - Room G.31,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,PERS,Rooms,Room G.31,
,,Ground - Stage 2 - PERS - Rooms - Room G.32,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,PERS,Rooms,Room G.32,
,,Ground - Stage 2 - PERS - Rooms - Room G.33,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,PERS,Rooms,Room G.33,
,,Ground - Stage 2 - PERS - Rooms - Room G.35,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,PERS,Rooms,Room G.35,
,,Ground - Stage 2 - PERS - Rooms - Room G.36,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,PERS,Rooms,Room G.36,
,,Ground - Stage 2 - PERS - Rooms - Room G.37,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,PERS,Rooms,Room G.37,
,,Ground - Stage 2 - PERS - Displays - Display 3 CIRC G.34 DF,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,PERS,Displays,Display 3 CIRC G.34 DF,
,,Ground - Stage 2 - GCS - WIFI - CIRC G.34 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,GCS,WIFI,CIRC G.34 - WIFI,
,,Ground - Stage 2 - GCS - WIFI - OUTSIDE G.31 - WIFI,,Site QA,Pohutukawa Care Building,First Fix,Ground,Stage 2,GCS,WIFI,OUTSIDE G.31 - WIFI,
