"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ec990272-67ab-4108-8b18-64fb89a20bb4","","folder-normal","","","step","TRUE","FALSE","Site QA"
"be61cda7-83c3-40a9-bfc6-0a810fb55fec","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A"
"aadc0d3e-d7a8-4418-a150-ba63c0eef067","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark"
"cd86483f-45b0-4c44-b99f-64e10341d6c8","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark","Common areas"
"7c74cd6d-4cda-4141-be2f-3823ada47e42","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark","Common areas","Lift / Lift Lobby"
"e103dbfe-0831-4aac-9461-f599cb6ed6ed","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-1"
"cf13584f-4d14-4a65-be71-8b1d7dcd8750","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-1","Pre Wire"
"53411771-e259-45ca-8642-8fd2bba8a7ff","","checklist-flat","","Install PHD - Primary Home Distributor","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-1","Install DB"
"550a57d3-d4e1-4255-8658-808b08ff8b8a","","checklist-flat","","Fit off (Residential)","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-1","Fit off"
"36b84759-820d-4e71-b64b-ffd3259640b0","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-2"
"bd8e4686-6b1a-42d1-8080-280c6ae7679f","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-2","Pre Wire"
"8bb445af-0c03-440a-8f12-7e60e1a7748c","","checklist-flat","","Install PHD - Primary Home Distributor","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-2","Install DB"
"90a582ec-5c76-4a0b-b3c2-bd72fcf0669f","","checklist-flat","","Fit off (Residential)","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-2","Fit off"
"8f37a1d1-f992-46ba-90cf-022c98a0a7b5","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-3"
"cf9dd417-8c7b-4696-af1d-5874ff5d74a3","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-3","Pre Wire"
"865f8f8e-1a94-4d38-8d4e-84ed13d784bb","","checklist-flat","","Install PHD - Primary Home Distributor","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-3","Install DB"
"150c3fef-cb34-400f-a2f5-670add6020dc","","checklist-flat","","Fit off (Residential)","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-3","Fit off"
"69e85daf-9e7a-4508-89ac-16085e202e4f","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-4"
"e60c8dee-a39c-416c-b5a8-96bf4fc201d8","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-4","Pre Wire"
"7687ef9a-9eb1-4b5c-9815-b123693a707f","","checklist-flat","","Install PHD - Primary Home Distributor","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-4","Install DB"
"dd9711f1-8bb4-4930-938f-9826727f1a92","","checklist-flat","","Fit off (Residential)","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-4","Fit off"
"0ac9c340-8e51-4180-ac87-0fd471979ec1","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-5"
"b51a922b-1bb2-45a1-b8df-ab31db317b75","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-5","Pre Wire"
"2d9e60ea-a331-4bef-b5ce-fba90c394e36","","checklist-flat","","Install PHD - Primary Home Distributor","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-5","Install DB"
"c402d0e2-72c7-4a52-88b6-618cf230db33","","checklist-flat","","Fit off (Residential)","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-5","Fit off"
"358dca7e-7ede-49a5-9f72-afbb330d353d","","folder-normal","","","step","TRUE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-6"
"2d9ccf8c-fd3b-45e3-832d-61f4e2fbde4c","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-6","Pre Wire"
"e81fabb2-5ca1-4825-b8b0-b4b92503f8d1","","checklist-flat","","Install PHD - Primary Home Distributor","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-6","Install DB"
"aedd2335-4d79-4c82-ac71-ee387c2647e3","","checklist-flat","","Fit off (Residential)","checklist-flat","FALSE","FALSE","Site QA","Building B","Level 2","Residential areas","Apartment 2-6","Fit off"
"21a69ff9-acd0-4f96-bc1d-bc06d5950b3a","","checklist-flat","","Building Commissioning","checklist-flat","FALSE","FALSE","Site QA","Building B","Building Commissioning"
"b9b4a215-fbff-4a8c-87c6-a530dd1b0fff","","checklist-flat","","Completion Documents","checklist-flat","FALSE","FALSE","Site QA","Building B","Completion Documents"
"a6047163-292c-420e-8fa4-6843db57da48","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building"
"8247155c-fda0-40fa-8b83-7748ed37eca1","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix"
"acf0001b-06aa-483d-9eb9-c25eecc3ccc1","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground"
"c3b3fb91-5272-47f9-bcbc-9d8a1b5da35f","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1"
"b59731a9-8b89-4393-b3ff-91cc6f560244","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS"
"830362ba-6ef8-4c2d-a8a6-80b101498e75","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Common areas"
"57041c3b-4b19-4740-a8a2-81cfc9fb3ba2","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Common areas","Stairs G.04"
"f70639eb-1055-46b2-981e-d7cd0e6abad8","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Common areas","Lift G.08"
"d6219a01-8d49-4d70-99d6-3c6ad67b74ba","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Common areas","Lounge G.02"
"77161755-2684-4b59-8708-35e638a8d345","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Rooms"
"ee8f1047-a9c7-4c06-a7c3-a083dc7af6a8","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Rooms","Room G.18"
"acf6c7be-2f68-41e9-a333-98be5bb790d6","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Rooms","Room G.19"
"312afaf6-5a30-49b2-bdda-9da96787c1cf","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Rooms","Room G.20"
"2780716e-3823-4029-8a94-241140721ea4","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Rooms","Room G.21"
"cebbae1a-a1ce-4031-9733-782959963df8","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Rooms","Room G.23"
"56b5df64-901c-41ed-955a-6eafbfbcba13","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Rooms","Room G.24"
"ef1cce6f-5961-4370-b7b1-a08ac40cd7f1","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Displays"
"a4c7dc93-d71e-4a1c-90cf-7faf3f487017","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Displays","Display 1 CIRC G.17 DF"
"4ae52c20-6251-4681-92a7-8b9e753cac0a","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","PERS","Displays","Display 2 CIRC G.28 SF"
"eb732aed-f9e4-401f-9672-34518d1e3e89","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS"
"f0155f16-b656-4e13-b2fd-512a0d3f450b","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data"
"d2375527-b290-44dc-9b19-ec7a54f0b466","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data","Café G.13 - 8 Data"
"803f6e01-633b-4719-8037-0f81b76a1be4","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data","Nurse Manager G.14 - 4 Data"
"ab369758-51a5-413f-a8ca-6231a81bd5f8","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data","Admin G.15 - 4 Data"
"3a933813-08a3-43c1-84e6-4e8426d78240","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data","Nurse Station G.29 - 6 Data"
"cb1abd47-6608-43b8-b92e-2212bae1066f","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data","DB CBD G.27 - 4 Data"
"43515413-12b3-4f88-8a48-c173833218bd","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data","Plant Room - 2 Data"
"89e8640d-9d64-410b-a496-a776bc1062bc","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","Common Area Data","Wind Lobby Intercom G.12 - 1 Data"
"e22684c8-c402-4443-b654-c21e4975a601","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","WIFI"
"357eb082-41b2-4ef3-952e-5032df9eaabe","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","WIFI","Lounge G.02 - WIFI"
"82ceb169-52f2-43c1-8d3f-1aa783892670","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","WIFI","CIRC G.17 - WIFI"
"6598d2b7-2edb-4830-93f7-21c4ce9195e1","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","GCS","WIFI","CIRC G.22 - WIFI"
"2faa1370-61f2-419d-b2a1-bb3db801fada","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS"
"13261bb5-ff17-48eb-b01f-afbcb94a579b","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Doors"
"453b9b3c-145a-4785-98c9-487cf957a1dd","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Doors","CIRC G.03 Double Door"
"a1e53415-292e-4c7d-bfbb-48e684fc95e6","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Doors","Wind Lobby G.12 Slidding Door"
"77009a21-6dc8-4687-85c6-4290659951ec","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Doors","CRIC G.22 Double Door"
"18bac9b0-f9ae-4eb9-8c97-fbdce61d0758","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Doors","DLY CON 1 G.25 Double Door"
"42c92a6a-67f0-4b3a-9614-08d7488ade92","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Cameras"
"9b3a8315-87e1-411a-8542-2f85fe466562","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Cameras","C-G01"
"a53972a9-c579-4b8f-849c-551f9c9ca16a","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Cameras","C-G02"
"7b84d81d-255d-4208-8633-79c0055c15f6","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Cameras","C-G03"
"53d07a21-ca2e-4e90-963f-40a983a3fc20","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 1","ESS","Cameras","C-G04"
"2647ee4a-b6bb-4552-b6e5-b4c432c5dc02","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2"
"32ee7fda-6559-4c49-82f0-8da7c9ddb88a","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS"
"d8b32d98-9cf6-45ed-9a4a-ec93ed732b28","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Rooms"
"1e2a29b5-b7e7-4c5d-b648-39b566022cfa","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Rooms","Room G.31"
"d3d20f9a-f6d5-4404-95d6-08d65a821794","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Rooms","Room G.32"
"55d614b7-e528-47bb-b7ad-d04f676789c2","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Rooms","Room G.33"
"3c5ba68e-74bc-4fdb-8202-abf777244179","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Rooms","Room G.35"
"bfca0f29-278f-4818-8518-2e6d05aceb15","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Rooms","Room G.36"
"f9b64a97-70dd-4ef1-a689-e069ae6271d4","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Rooms","Room G.37"
"9a4d588b-473c-4d4a-9ac4-78ae465379f9","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Displays"
"e76800e9-fbdd-46cc-b5b1-2d0b8b7a0d2f","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","PERS","Displays","Display 3 CIRC G.34 DF"
"c5faacd6-f339-447f-8465-05d57a851e70","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","GCS"
"8e6901ba-3924-4bab-82ef-ca3be2dee0a6","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","GCS","WIFI"
"b6b77526-7b37-47d5-bf05-d3e24ba0b574","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","GCS","WIFI","CIRC G.34 - WIFI"
"bf8b1d48-b3a7-47e9-885a-e252a959ba7d","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","GCS","WIFI","OUTSIDE G.31 - WIFI"
"5e2b21d4-6a6b-47e6-9d7c-043a39a6aa82","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 2","GCS","WIFI","OUTSIDE G.32 - WIFI"
"e8c2c970-519e-4a42-8932-ae2f8fe202ed","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3"
"03e611f5-8150-44dc-967a-d6d5cf805e0d","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS"
"76e5266a-02c7-4ddb-8320-30171e0205c4","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Common areas"
"1507c163-610d-4051-82d2-6e62df10b350","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Common areas","Lounge G.49.1 A"
"bf1227e2-f0fe-4452-8c38-8523c16647b9","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Common areas","Lounge G.49.1 B"
"f964c571-63be-4ef2-ad43-ba26d8765644","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Common areas","Dining G.49 A"
"1fc04343-5225-47c1-9c57-17eb0f053dbd","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Common areas","Dining G.49 B"
"0628d427-4daa-4914-b068-9602cef3eceb","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Common areas","Strair G.55"
"3b0ab6fe-c82e-40ad-89e3-e3b0c27a912e","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms"
"d0a29bc6-b006-41c4-a993-557c14429f9b","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms","Room G.41"
"90eaf57a-e264-400e-b7a4-22bbf1dd9cb7","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms","Room G.42"
"c953c283-f214-4035-adbd-b007606dcef0","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms","Room G.43"
"566a37cc-a773-46fe-8e07-02df4959f660","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms","Room G.44"
"152d70b7-1cd1-4ed3-b6d1-73512902241a","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms","Room G.45"
"64289eef-70eb-4084-b26c-1ee68f5b5f55","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms","Room G.47"
"23ef9c44-3bcf-4e49-bcef-0f2fe696e71e","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Rooms","Room G.48"
"b3a2fba7-c142-4216-9ffc-1b00050e6e4a","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Displays"
"d1a70198-ed3b-48f8-bd99-348e77184345","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","PERS","Displays","Display 4 SF"
"036ba47d-c1b7-42e0-98de-f31d0b7ea5b9","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS"
"099b58df-3a7d-4046-b31d-af5f4d138139","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","Common Area Data"
"a5cc9f46-82b5-4377-9fee-d40e036ae92e","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","Common Area Data","MSR G.38 - 2 Data"
"5da1946e-5dd2-4f0d-ad8b-fe192e1dc3ed","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","Common Area Data","Lounge G.49.1 - 2 Data"
"54c8299c-31b9-4f69-94d8-a2fa7b6f48a8","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","Common Area Data","CM Kitchen G.51 - 6 Data"
"85e94fca-d96e-4144-b114-ac4c529a020b","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","WIFI"
"9446d0b7-2c4e-49e5-ab07-6601e6afb1c6","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","WIFI","Outside G.41 - WIFI"
"feeddcc2-b478-48c7-a242-9f859f38f02f","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","WIFI","CIRC G.46 - WIFI"
"18845c1d-bacb-4d96-99db-e424b79e2251","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","WIFI","CIRC G.50 - WIFI"
"eb2afd42-f885-45bd-87af-902d917ccece","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","GCS","WIFI","CIRC G.57 - WIFI"
"b192cc68-99ad-40f2-bfcb-7ca957016983","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS"
"01f21345-ec4a-4ee5-a267-584f5145064c","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Doors"
"b922dad8-d9f4-4616-a9f7-33bae81dfaac","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Doors","MSR G.38 Single Door Mortise"
"599485a9-7447-43f2-99a0-1bc2e14338a0","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Doors","CM Kitchen G.51 Double Door"
"c7b5833d-4928-4dbd-aaa8-4d863bbe95cd","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Doors","Stair G.55 Double Door with Door Reed"
"6916dcaa-e178-45db-a21c-be7b6ef0e6df","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Doors","Sluice G.58 Single Door"
"c0ddc7df-3b73-4466-9628-fae148178e0e","","folder-normal","","","step","TRUE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Cameras"
"b57e5ee5-9abe-44b5-97a7-af93522afea0","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Cameras","C-G05"
"f9ea8201-d84e-44af-988d-f648eba81647","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Cameras","C-G06"
"854bf20a-685c-4a72-9c52-f43942323ed7","","checklist-flat","","Pre Wire (Pohutukawa Care Building)","checklist-flat","FALSE","FALSE","Site QA","Pohutukawa Care Building","First Fix","Ground","Stage 3","ESS","Cameras","C-G07"
