Type,Name,Values,Prompting Name,Postfix,Resource Id
checkpoint,9.1 - Assigned Maximum Density of a lot of Asphalt,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - The assigned maximum density for use in the determination of the in- situ voids of an asphalt must be the as defined in Clause 5132(a) of this specification, using cores cut as per Clause 5132(b)",,,,
label,Reference Documents - Volume 1: Clause 5132 (a)-(c),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,9.2 - Thickness Determination,,,,
label,Frequency - Within one working day of completion of the asphalt work,,,,
label,"Acceptance Criteria - Copy of the thickness determinations indicating the magnitude of the depature from the specified thickness, immediately on completion of the determination or within one-working day of completion of the asphalt work and statement of conformance (or non- conformance report and proposed disposition if applicable)",,,,
label,Reference Documents - Volume 1: HP 5132-1 & Clause 5132 (e) Volume 2: Clause SP5132 (e)(iv),,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Core Thickness,,,,
label,HP/ TP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,9.3 - Compacted Asphalt - Finished Surface Levels,,,,
label,Frequency - Within one (1) working day of conformance,,,,
label,Acceptance Criteria - Record of the finished surface levels together with a summary indicating the magnitude of the departures from the specified finished surface levels shown on the drawings within one (1) working day of conformance (or non-conformance report and proposed disposition if applicable),,,,
label,Reference Documents - Volume 1: HP 5132-2 & Clause 5132 (f),,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Survey Report,,,,
label,HP/ SCP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,9.4 - Compacted Asphalt - Surface Smoothness,,,,
label,Frequency - Within one (1) working day of completion of testing,,,,
label,Acceptance Criteria - Statement of conformance or record and plan of location and extend of surface irregularities that depart from testing edge by more than the tolerances specified within one (1) working day of completion of the surface smoothness testing and non-conformance report and proposed disposition as applicable.,,,,
label,Reference Documents - Volume 1: HP 5132-3 & Clause 5132 (g),,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Straight Edge Testing,,,,
label,HP/ TP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,Final Inspection,,,,
note,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,
textbox,Print Name:,,,,
textbox,Position:,,,,
date,Work Completed On:,,,,
date,Date:,,,,
