"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a52bebed-a08d-494f-b777-33c66b65a1bd","","fail","","folder","TRUE","FALSE","Site QA"
"fa149cf2-0d3c-4a8d-b021-e7fdf0fa8486","","pass","","folder","TRUE","FALSE","Site QA","Basement"
"5f37cc6f-3967-532b-b6fb-746056421317","","pass","QA - Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement","Sewer Stacks / Storm Water Stacks"
"59b2a98e-40e0-50a4-8447-31b68466421a","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement","Commissioning"
"c13370b0-c293-4282-bf55-40a16f4cd828","","pass","","folder","TRUE","FALSE","Site QA","Lower Ground"
"848d8aed-79f6-4025-ad4a-e1f4fbf4d56c","","pass","Basement & LG Rough in Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Plumbing Rough-In"
"4b190447-4959-58ea-b12e-5d422d58f95a","","pass","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Fit Off"
"005e7e39-9976-50a8-a59c-36dd3ed57794","","pass","QA - Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Lower Ground","Sewer Stacks / Storm Water Stacks"
"e8808c02-728f-57dc-9b8a-0b3475c8d855","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Commissioning"
"57b31524-11b0-49e3-ae32-ea15dea3fbf6","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground"
"acacbbf2-06de-4c6b-b8c9-9bc2b4acd1d3","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","Lobby"
"15c2e1ad-bd92-54b2-9c1f-55c1271dbb45","","pass","QA - Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","Lobby","Meter Cupboard / Copper Riser"
"a4f4a117-0567-473b-b9fb-66bc8206700c","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","CLG.01"
"6000171a-5287-522f-8ebd-78b84944c05d","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Plumbing Rough-In"
"252e741e-d7af-48a2-a946-3f998cac35fc","","pass","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Fit Off"
"ec576bcf-18fa-56d5-9b1e-9da04bd1a000","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Commissioning"
"f536577c-a37d-458c-8e2a-6a4250c3c80f","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","CLG.02"
"1393f4cc-ca74-50b6-83ea-5c408b8ce9f8","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Plumbing Rough-In"
"8c556f70-b7ea-4b87-8e64-694117dcc444","","pass","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Fit Off"
"ca79fbd6-55ff-587d-bedb-5b85b12e16c6","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Commissioning"
"34b464b7-7bf7-4705-8ee8-f25376b0da75","","fail","","folder","TRUE","FALSE","Site QA","Block A"
"5bcfa4da-5337-4f39-be05-e03859a2c434","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor"
"b9a84ee3-4514-463b-b6c3-a22d58747314","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","Lobby"
"2a1fb514-cf3a-51a5-8d9a-d63e56277cd6","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.04","Plumbing Rough-In"
"0a963b40-4315-5500-8195-c3b313776662","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.04","Fit Off"
"79cc49c6-f36c-5772-8dea-11b032a58968","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.04","Commissioning"
"76b81682-6db1-4227-8fc2-b6fed82a9407","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.05"
"d891019f-393d-5cc5-8070-a7584ac134ab","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.05","Plumbing Rough-In"
"354d4131-159d-51c8-9873-750823189b99","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.05","Fit Off"
"44b4019b-a0f6-5962-8b67-e7f18e53979a","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.05","Commissioning"
"f6cf2f96-1336-4990-866b-4df6a1fea479","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.06"
"d8e122b9-7741-57d9-b08c-22113b78dc86","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.06","Plumbing Rough-In"
"d3e7e04a-e9d6-5e03-93af-fd9508f3b967","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.06","Fit Off"
"5ef4bd15-e947-5283-8739-55b882225308","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.06","Commissioning"
"ec5a574c-152e-41ae-b733-45ebbba31eb1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.07"
"1c75709f-4991-5ac7-8a62-5dcaee5678f5","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.07","Plumbing Rough-In"
"e9ae4ab1-bd2c-5b77-910d-edc50fbcd82b","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.07","Fit Off"
"a482575c-40c4-5c4b-97d3-956c30dce6bc","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.07","Commissioning"
"f5953413-30a3-4db2-9889-f8f990424cae","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.08"
"e457b74e-a829-5ee1-895e-fe678b5bc78b","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.08","Plumbing Rough-In"
"00222c6f-3870-51c1-83d2-555e2961a133","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.08","Fit Off"
"faf33ee7-76a5-5bf7-8ba2-9ffd9a3d4f2f","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.08","Commissioning"
"540f1ee9-1e2a-43a4-ae01-ece666c00636","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 4"
"e47c4583-8511-4055-983e-650ec5b31007","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.01"
"e60e1db8-fc45-5981-85ce-c181170dc2ed","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.01","Plumbing Rough-In"
"547ffc91-5c7a-590d-bca8-4e7882177755","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.01","Fit Off"
"d019eeca-d79f-509e-8b36-69144f4f7c5b","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.01","Commissioning"
"e67d9b0a-bcd2-4ce0-aa08-b3e0d6920d29","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.02"
"a1a42074-58ff-58c6-9f10-64fda49abdef","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.02","Plumbing Rough-In"
"3c51f35c-47c3-5f6a-8b8e-44a5687ecd78","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.02","Fit Off"
"99e4441f-71d0-5f69-91f9-2533abbf0419","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.02","Commissioning"
"2c4d106a-ac40-4fbf-aa03-d6dbd0ccf4bb","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.03"
"863d3f4e-30d9-51d5-9716-6ee5fdfc6968","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.03","Plumbing Rough-In"
"cea434b3-d8c1-584c-9e6f-940597504478","","not-started","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.03","Fit Off"
"ee8d70f2-753f-547e-9f8e-1dc4984dfefa","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.03","Commissioning"
"d3fe51a7-6f45-4a53-a2c7-679f10f1c695","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.04"
"dd0506a2-7b13-5ea7-91dc-8d8e8d2aa380","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.04","Plumbing Rough-In"
"eb99b5f3-5298-5465-97ca-79f240ad5283","","not-started","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.04","Fit Off"
"77c93107-ab97-5737-a269-4c068257d135","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.04","Commissioning"
"96265235-ad36-40c5-8d6a-4bf1cd92cf98","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.05"
"38bd32e3-b217-527d-824a-2cd8363626ca","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.05","Plumbing Rough-In"
"17a0329b-0f59-5a75-b4e0-5ed9efa54f0a","","not-started","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.05","Fit Off"
"44edcbe1-8f92-5850-84fe-8ad6b135c8c3","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.05","Commissioning"
"c10fb034-c641-492c-bd78-39eb06beaf07","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.06"
"783d306b-4270-5c1f-bfb6-2c700185a0ba","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.06","Plumbing Rough-In"
"7e5d402d-45e3-5a06-a225-b0e38cfd27cd","","not-started","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.06","Fit Off"
"429e4526-e738-5722-b9f7-4afa7137cd75","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.06","Commissioning"
"c8edb087-316f-4903-af0b-d8dc7b922ea0","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.07"
"368eee38-cc28-5768-8b84-9e767a0ea54a","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.07","Plumbing Rough-In"
"eeb13a19-4ee6-5887-a764-879c2bbc813d","","not-started","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.07","Fit Off"
"7a1b6207-ed53-5652-95cb-b36a0d4d4b54","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.07","Commissioning"
"bd9d604c-2309-493a-a943-a8054e22994e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 4","A4.08"
"cce1d275-4648-58a6-be55-7689a59e6c2d","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.08","Plumbing Rough-In"
"861529be-3fe1-57b0-9fab-f204da2ce11f","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.08","Fit Off"
"82355950-04b5-5ccf-a833-95e80daf9928","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 4","A4.08","Commissioning"
"7fa5cb90-2523-4a3f-8783-4228b5acfb24","","fail","","folder","TRUE","FALSE","Site QA","Block B"
"7622f2ef-2645-485e-a583-33c77b164aff","","fail","","folder","TRUE","FALSE","Site QA","Block B","Ground Floor"
"3e348dd2-e690-473a-b433-97db878c6478","","not-started","","folder","TRUE","FALSE","Site QA","Block B","Ground Floor","Lobby"
"4baa81d8-5418-5d6a-a79b-11254f89e49f","","not-started","QA - Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","Lobby","Meter Cupboard / Copper Riser"
"def8190d-8ec7-4549-a281-7059377bccd2","","fail","","folder","TRUE","FALSE","Site QA","Block B","Ground Floor","BG.09"
"ca8cda38-f1ae-5459-9866-1357824ccecd","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.09","Plumbing Rough-In"
"249eb4a2-d196-55af-8839-888f15c4fe95","","fail","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.09","Fit Off"
"308fcaae-015c-50ba-8e48-8cfc1f24e45c","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.09","Commissioning"
"5d4b2dda-e070-4a65-ac72-530de737ac56","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Ground Floor","BG.10"
"2b7030e4-db82-5bb7-9437-69a8962c7124","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.10","Plumbing Rough-In"
"a0cf6431-58d6-5563-8102-fa0af20909b4","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.10","Fit Off"
"5ecce810-4254-53bd-8ead-bfe8cd216d72","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.10","Commissioning"
"d21ad48c-1b1b-4fa7-b18b-e0214b8fa10b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Ground Floor","BG.11"
"cddeca59-7da3-5257-b29e-91f998203559","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.11","Plumbing Rough-In"
"359e1d80-a738-5b35-81b8-61539cf7a06a","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.11","Fit Off"
"b17f08bc-244a-59c5-9160-0cb7dad8088b","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.11","Commissioning"
"5cd49ee1-99cb-4f42-b553-38d093a45b46","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Ground Floor","BG.12"
"2c68c8ad-102b-5e5c-89fd-7286feea8c62","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.12","Plumbing Rough-In"
"a4b9797a-8d95-520f-a6f2-4a08997b0b01","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.12","Fit Off"
"b4eea404-49fc-54f9-b675-0fa453e15c03","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Ground Floor","BG.12","Commissioning"
"75af3810-5e8b-464e-a87f-c3771d9a5d3a","","fail","","folder","TRUE","FALSE","Site QA","Block B","Level 1"
"18397d6d-a28c-4ccd-8601-8cfd0ba0d0b8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 1","B1.09"
"b5fba919-1483-5be8-81c4-a20e73d51668","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.09","Plumbing Rough-In"
"f4e14628-988c-58b0-a48f-d94f1147de07","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.09","Fit Off"
"4dea3096-fae5-51ef-a4d0-548808d264b1","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.09","Commissioning"
"39e57674-4ea8-484f-b87f-284950914dfa","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 1","B1.10"
"0438d0dd-69f5-5cd9-b8a8-ffbb563c2240","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.10","Plumbing Rough-In"
"a597db2f-d814-5ce2-b92d-c9821724a126","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.10","Fit Off"
"c569758c-ba5f-5d7a-b566-ac9afcfcb861","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.10","Commissioning"
"5952f72c-91a2-42eb-a081-5fd6e87a4612","","fail","","folder","TRUE","FALSE","Site QA","Block B","Level 1","B1.11"
"c744c508-321f-513e-b625-084d05d9d04d","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.11","Plumbing Rough-In"
"423da0a6-b624-52d8-aa5c-1d40b7386771","","fail","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.11","Fit Off"
"348e6558-c615-50f1-ad71-2b4656cc1a34","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.11","Commissioning"
"57296e51-e75c-4f36-add5-ee4878b78e27","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 1","B1.12"
"8c30d526-842b-5878-a5ee-7c466540931f","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.12","Plumbing Rough-In"
"8eb3cd0b-3d63-50f5-a791-71814eae73e8","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.12","Fit Off"
"b4bfcba8-d7a4-5705-bc7f-8d95da24c2ee","","work-in-progress","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 1","B1.12","Commissioning"
"51502dc8-b07e-426f-904a-83df9c9d13fc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 2"
"f125190f-01aa-4614-8709-4115bf62bfa9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 2","B2.09"
"f3dde9b4-08b4-5391-b748-e83b64e0103d","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.09","Plumbing Rough-In"
"28b1331a-a0c4-50ce-81b8-a54fad77eb1d","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.09","Fit Off"
"95d9b645-7cec-5b24-9563-a27363631553","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.09","Commissioning"
"01de548f-dbfa-4294-a93d-53666764ee05","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 2","B2.10"
"a7857ed7-676a-5329-bcbc-4fbc4c04e31a","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.10","Plumbing Rough-In"
"178e4e2e-4e2a-5775-89f9-2a0075522b9b","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.10","Fit Off"
"110d4af0-17c2-5a73-b9b1-93d05cf9d0f1","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.10","Commissioning"
"1ae066d2-0388-4465-98d2-800fae30d455","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 2","B2.11"
"a725246b-1895-5ace-88ea-f3ea376a6d91","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.11","Plumbing Rough-In"
"c5419b93-2e0e-59e8-863d-be04069a45f2","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.11","Fit Off"
"c51650cf-7c18-5945-a484-e051d5cdd11e","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.11","Commissioning"
"f6da98dc-e099-410e-bce7-14c4f69239ca","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 2","B2.12"
"d0aeaadd-528e-5c75-a21b-0cdf221c4775","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.12","Plumbing Rough-In"
"48716a40-4132-58e7-9c2f-e882f611e15c","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.12","Fit Off"
"a6404cd9-c3e2-5ac0-adac-49a7ae454c2d","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 2","B2.12","Commissioning"
"662ebcb0-b91b-49b3-a68c-05ef10d0bb55","","fail","","folder","TRUE","FALSE","Site QA","Block B","Level 3"
"b406bcbf-e325-4f51-8930-e007f5c5d5c2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 3","B3.09"
"f07aa976-d00c-5d74-906d-9d8da9f5a567","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.09","Plumbing Rough-In"
"b88bf90b-a391-547e-bc6a-c47ae09b7eb4","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.09","Fit Off"
"356a268c-c9df-5cc2-a9f6-8db4710f26b1","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.09","Commissioning"
"32473877-b914-4f82-8353-51c6b6676812","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 3","B3.10"
"2d753b95-b5c9-5fc7-ae0a-a347b63d3115","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.10","Plumbing Rough-In"
"5f8b2cd6-f22d-5abf-ba16-49f3803a13b7","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.10","Fit Off"
"27b828e4-3a85-510c-b6e5-fd44e305a834","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.10","Commissioning"
"03926847-7e19-45d5-9421-96fa35be8215","","fail","","folder","TRUE","FALSE","Site QA","Block B","Level 3","B3.11"
"9e157a09-6656-5591-9b05-cd08cf717f34","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.11","Plumbing Rough-In"
"ba0c89f3-20c5-557e-81ab-472c3974db28","","fail","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.11","Fit Off"
"8932fe24-3ad7-5fdb-8fbd-ed9d4e1ab09a","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.11","Commissioning"
"16c3b95d-ad4a-471b-a4da-33600ba1d7e7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 3","B3.12"
"7444ea75-8db6-5592-a184-09d55882e053","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.12","Plumbing Rough-In"
"6e7ad34b-84b7-5814-90e7-781f70f23f27","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.12","Fit Off"
"72a875ac-2ccd-5c67-9d88-054fe69a497b","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 3","B3.12","Commissioning"
"2d0dd7b5-cb81-4074-a8e1-95d63ba780e9","","fail","","folder","TRUE","FALSE","Site QA","Block B","Level 4"
"83b91d5f-c28c-40aa-8576-f6d713738464","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 4","B4.09"
"fe28a2a2-58ed-5cbc-a9cb-0269fc1aac1d","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.09","Plumbing Rough-In"
"4a20a08f-bccb-5c12-8713-dd44ba6b4fcd","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.09","Fit Off"
"cf9ce587-19ec-5f23-a542-bad460fcc54e","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.09","Commissioning"
"f644eb81-93c6-4eda-b7cc-536f8481fb9a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 4","B4.10"
"738227dd-19d5-5681-9dc9-bd21b9e5ae2b","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.10","Plumbing Rough-In"
"a3fe2e04-2619-5d92-bcd5-3db2eb324bb6","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.10","Fit Off"
"72c1a28e-ec5f-5258-a5dd-5a64dbd5f43c","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.10","Commissioning"
"f756851c-01a8-457d-932b-b4b01cc5866f","","fail","","folder","TRUE","FALSE","Site QA","Block B","Level 4","B4.11"
"fbe57020-62e6-55df-9b47-7b9a89295dbd","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.11","Plumbing Rough-In"
"658e1045-b1b1-5fdf-858f-5344ad6e6c37","","fail","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.11","Fit Off"
"b572f7bb-a099-5249-915b-88e9a02efe38","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block B","Level 4","B4.11","Commissioning"
"67e04375-ead4-4244-a14a-0865b71e4a3a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block B","Level 4","B4.12"
