"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ae5f494-0463-4ad5-a3a5-774cae30d614","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"dc0a4c0a-46ef-4245-aa19-7d7403b19b8c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stormwater"
"75d1e6f2-5e53-427d-b5b3-5f88de3242c5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stormwater","N0"
"59bee503-33bd-43a6-8172-ad1241fe0f37","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stormwater","N1"
"a4817768-0cf0-4b05-a3c2-0292069c3fdd","","work-in-progress","2972ed2e599407c858d0bfefe6ec741c358aa6d9a4f802e41ef3b8b5a65826ee","checklist","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater"
"ea39b08e-b815-5072-be34-43b2cef55b58","","work-in-progress","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment"
"cf4c0340-81fc-5194-af3f-a51fad8d70d2","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT)","3.01.06 - Stakeholder Management"
"37fe036e-aa8c-5459-a6b6-233a681ebb97","","not-started","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL"
"6625c032-f33a-5f5b-92c0-e3e07f010ade","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL","4.01.01 - Pavement Pipes"
"9e021e95-0213-5d2f-8970-50863a62182c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL","4.01.02 - Pavement Drainage Aggregate"
"21583602-16b9-543c-b90b-96b6ccb1b027","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL","4.01.03 - Filter Cloth"
"d4dc7284-3273-50bb-9700-ca0d6f42944c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL","4.01.04 - Securing Pins"
"33b053fb-0893-516f-b569-21f33f1bf5ab","","not-started","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY"
"e14fdb57-a0ce-5321-bb0b-1cfe2f3e5834","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.01 - Filter Cloth Wrap Inspection"
"a0bf688d-0097-5e3c-8b42-7649139e7f0e","","not-started","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","AUTHORITY HOLDPOINT"
"de530f17-411b-5bef-947a-16bc1c8900f7","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.02 - Trench Backfill"
"21bea183-4f7d-5bf9-9dd4-82df32357afc","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.03 - Drainage Outlets and Inspection Points"
"e8a456e8-7c28-526b-8f88-4e0e5552473a","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.04 - Pavement Flushing"
"308fd276-fa2b-5a2a-9df7-9a1ab269aaf9","","not-started","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","AUTHORITY HOLDPOINT"
"e826c2f9-d25e-5998-95a2-635ad88d787e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.02 - Trench Backfill"
"ea915c66-3ef6-5c27-be18-beef02e6ef8b","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.06 - Excavation"
"0d79f3a5-03d0-5702-93d1-c88c3d772ca5","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.07 - Bedding"
"daa492f3-ff4b-5d0c-a513-34d048862f8a","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.08 - Joining Pipes"
"7849a25d-caca-5689-a31e-9ffbc1c7e756","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.09 - Pipe Grade"
"1262d54a-b952-5a5b-b235-7fe4f84d7a0b","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 5 – CONSTRUCTION ACTIVITY","5.01.10 - Pipe Cover"
"eb0d621c-316c-5fb3-8cea-52b8d6de670e","","not-started","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 6 – POST CONSTRUCTION (FINAL INSPECTION AND HANDOVER)"
"88036464-9dc0-55e9-8e05-68762bc222fd","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 6 – POST CONSTRUCTION (FINAL INSPECTION AND HANDOVER)","6.01.01 - Construction Record Compilation"
"e21c8a49-7c93-5edd-abde-f8c82e1e3e2c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 6 – POST CONSTRUCTION (FINAL INSPECTION AND HANDOVER)","6.01.02 - Survey Records"
"74030ed2-ae51-5432-bc88-2ec264c0befa","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 6 – POST CONSTRUCTION (FINAL INSPECTION AND HANDOVER)","6.01.03 - Redline Drawings"
"292598a1-d13f-51fe-9db0-7f0336ead368","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 6 – POST CONSTRUCTION (FINAL INSPECTION AND HANDOVER)","6.01.04 - Defect, Snag and Punch List"
"26a7f872-2c17-5e40-8423-9c53f2cda8f2","","not-started","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1C (CH1990-CH2280)","ITP - 113 - Pavement Drains Rev D","SECTION 6 – POST CONSTRUCTION (FINAL INSPECTION AND HANDOVER)","6.01.05 - Photos"
"105b9c7d-717b-4459-8680-b9326e1d8e70","","work-in-progress","","folder","TRUE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)"
"32baeb54-805d-4061-a8ae-3636ad6e2b16","","work-in-progress","ITP - Earthworks","checklist","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS"
"aaca74ef-4262-5ab8-92c8-8dbf5eac4ca7","","pass","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT) - 3.04 Site Requirements"
"8dcfeea2-3244-5b1b-8e58-59548cc6a613","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT) - 3.04 Site Requirements","3.04.01 - Construction Pack"
"1907aaab-fedf-55d0-ab9e-86adf7e65f25","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT) - 3.04 Site Requirements","3.04.02 - Survey Setout"
"6dce32d8-a974-55af-8f02-eb0157f0cea9","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT) - 3.04 Site Requirements","3.04.03 - Approved Construction Drawings"
"8ab5fa6b-8369-5e25-88e6-a980ed6a58de","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT) - 3.04 Site Requirements","3.04.05 - Topographic surveys for measurement"
"ae699853-7c95-5b55-8791-441b07cdd598","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT) - 3.04 Site Requirements","3.04.06 - Permits"
"47ccdb8b-fb20-59b5-9116-056322e0d1f2","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 3 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT) - 3.04 Site Requirements","3.04.07 - Stakeholder Management"
"f919a2b4-7ba3-552a-9c1c-2505038932ba","","work-in-progress","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)"
"74bc9781-8bda-5533-930d-793d7c440d7d","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.01 - Environmental Controls Inspection"
"b3d76dcd-7d5e-5fc2-a3f7-4d98d4c7f145","","pass","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","Hold Point (Engineer)"
"7bc43247-a384-5962-901c-4ebd92569adc","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.02 - Bulk Fill Inspection"
"0d2c0643-8822-5660-881d-ccb36e17527a","","not-applicable","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","Hold Point (Engineer)"
"902a799c-0657-598e-b93c-79dfa1f946b4","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.03 - Service Ducting Bedding Inspection"
"6f4fb112-6cc7-58d5-a508-d7429861de60","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.04 - Service Ducting Backfill Inspection"
"85f462b9-1535-535a-b188-ca26ef79e688","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.05 - Geotextile Inspection"
"6915dc3a-f88f-5f7c-9306-47b99583e2e0","","work-in-progress","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","Hold Point (Engineer)"
"232331cd-a68a-5304-9051-eaecf65ccffa","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.06 - Subgrade Inspection"
"1c0bf7a2-2215-5d7e-b1b3-5accfdf8ce2a","","pass","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","Hold Point (Engineer)"
"2d223638-663d-540e-9ec1-8b2b3dfb3408","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.07 - Undercut Inspection"
"16a00496-b69d-582d-9a2a-c8865c672e85","","work-in-progress","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","Hold Point (Engineer)"
"14eeab28-2ebd-5eda-b461-a0f789f1d8a6","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.08 - Settlement Monitoring"
"246e3cd0-53d8-574d-84da-0fba98905dde","","not-applicable","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","Hold Point (Engineer)"
"297a74c8-6598-5fd2-804f-b0187d476ba7","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","3.05.09 - Subgrade Fill"
"a3d3df66-5ff4-57a4-9ca5-1d18df2a4f5d","","work-in-progress","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","3.05 Engineer Nominated Hold Points (Engineer’s inspections)","Hold Point (Engineer)"
"587b8b10-72b4-50d7-b1a2-5fa1108db477","","pass","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - Earthworks General Materials"
"41baabbc-005c-50f1-a762-325584f50877","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - Earthworks General Materials","Imported Fill Approval"
"540b213c-8431-5bdc-b509-944b27a53bab","","pass","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - Earthworks General Materials","Hold Point (Engineer)"
"8f0811c4-bca2-58d1-9aed-6439fb71266b","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - Earthworks General Materials","Re-Use Suitability Approval"
"38b40516-cb4f-5034-8f97-e600b4aed6a1","","pass","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - Earthworks General Materials","Hold Point (Engineer)"
"ba703321-c4bb-5b39-8760-ce693eee4a7a","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - Earthworks General Materials","Eastern Gully Weir Fill - Cohesive (Imported silt/clay)"
"26cf5d27-7060-5c19-a4bc-2ec6d2581557","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 4 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - Earthworks General Materials","Eastern Gully Weir Cohesive Fill Material Testing"
"95ea05b6-ac80-5e4b-800b-f6d5e141a432","","not-applicable","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Subsoil Drainage"
"ff9898d2-dcf0-59e0-af25-def69b6d3b80","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Subsoil Drainage","Subsoil Pipes"
"ea7f92d7-c66f-5631-af7c-f5f379f182fd","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Subsoil Drainage","Subsoil Drainage Aggregate"
"6b526193-1813-5869-aa45-49e8468b5e54","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Subsoil Drainage","Filter Cloth"
"178f2adc-31fb-5465-9256-6fe8710acae2","","pass","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Geotextile and Geogrid"
"67c1907a-87cd-55ee-abd4-177080e94878","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Geotextile and Geogrid","Geotextile Approval"
"16fc233e-5aa3-542c-860e-0912075ee8b7","","pass","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Geotextile and Geogrid","Hold Point (Engineer)"
"b8de871c-d954-579e-b1e3-bd880c12e306","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Geotextile and Geogrid","Uniaxial, Biaxial and Triaxial Geogrid"
"20ea8296-2ab4-50ea-a4a2-904ca51d86a8","","pass","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Geotextile and Geogrid","Hold Point (Engineer)"
"d0b9de63-71a6-571f-8d73-b5b93562e08c","","not-applicable","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Settlement Monitoring"
"d8968357-80bd-53a5-b93c-ac82c3172404","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Settlement Monitoring","Settlement Baseplate Design"
"0fc95f3d-916c-5619-a1d8-ac2cddf88794","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Settlement Monitoring","Settlement Pin Design"
"acabd664-efca-5bc6-a9f3-910d7f7050e1","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","Settlement Monitoring","Settlement Pin Bedding"
"c20d394e-9436-5f8d-a70c-5b938e20bd77","","pass","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 5 – CONSTRUCTION ACTIVITY – CLEARING - 5.01 Demolition / Site Clearance"
"a33c10a6-7c75-5b4e-9344-85d808a40d03","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 5 – CONSTRUCTION ACTIVITY – CLEARING - 5.01 Demolition / Site Clearance","5.01.01 - Clearing"
"dcc30ff9-8f71-531a-9e57-376d1999fd7f","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 5 – CONSTRUCTION ACTIVITY – CLEARING - 5.01 Demolition / Site Clearance","5.01.02 - Demolition"
"53db2fb2-66dd-51b6-93d0-0f4cd3d067a4","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 5 – CONSTRUCTION ACTIVITY – CLEARING - 5.01 Demolition / Site Clearance","5.01.03 - Septic tanks"
"00e0243b-92b7-577c-8c95-807883e6af61","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 5 – CONSTRUCTION ACTIVITY – CLEARING - 5.01 Demolition / Site Clearance","5.01.04 - Plant Clearance"
"b6106f2d-d091-50d9-b5a9-ffe45d1ba021","","pass","","section","FALSE","FALSE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General"
"e73211b6-10a6-5f9f-abfa-141cec4d661a","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.1 - Groundwater Management"
"40de6103-f112-5b5a-b75b-b8345d3a48b7","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.2 - Cut to Waste Approval"
"547504f6-4b5e-5f7f-9e18-19523e329fa9","","not-applicable","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","Hold Point (Engineer)"
"7fc2c0e3-e674-5c0c-9881-e021a23720bd","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.3 - Foundation Suitability"
"2612ede5-529f-5d16-95e2-a033cd3610b5","","pass","","signoff","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","Hold Point (Engineer)"
"237b59a0-7c7e-59ed-9205-5326dff02a54","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.4 - Unsuitable ground"
"17811265-14c8-551b-80ae-0ba5ea27c2ef","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.5 - Preparation for Filling"
"7ff62a0e-89dd-5cdf-9bc6-4e8598dbc656","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.6 - Subgrade Conditioning and Proof Rolling"
"07db053d-fc0a-567e-bf75-35016a2b163d","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.7 - Undercut Backill Compliance"
"eab404a3-a3ab-5b80-be05-0873851bd104","","pass","","checkpoint","TRUE","TRUE","Site QA","Earthworks","Area 1","Area 1B (CH1740-CH1990)","AREA 1B CH1740-CH1990 BULK EARTHWORKS","SECTION 6 – CONSTRUCTION ACTIVITY – EARTHWORKS - Earthworks General","6.1.8 - Topographic Survey"
