"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"518af03f-84a5-4f27-87b2-4bf913aa93b8","","folder-normal","pass","","step","TRUE","FALSE","In-Ground Works"
"7824f13e-1208-4ea2-baae-7792d14add68","","folder-normal","pass","","step","TRUE","FALSE","In-Ground Works","South & West"
"96bedfd2-c0f8-4f73-a33c-d52368f20593","","checklist-sectioned","pass","Excavation & Shoring - GPL-QSE-ITP-STRUC-001 (Rev 02)","checklist","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation"
"9511dbed-3060-5a2f-b02a-c10170d08ef4","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing"
"089a223f-618b-51b7-89a6-0183a4427302","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Core","Prior to Concrete Pour"
"0a500923-3132-533c-8fd3-2e30b1750dea","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm all precast panels have been inspected for damage prior to lifting off truck, and evidence issued to precast supplier"
"e18c5c8b-285a-5e40-880a-80e1e3374d9a","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm position of wall/column is in accordance with architectural set out from gridline, as noted in Architectural Concrete Profiles"
"a60e93f0-9adb-5d36-8470-c0285972cea9","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm positions of all precast panels have been verified by surveyor"
"f8522d45-77ea-5cd9-8d36-c1e89af808c2","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm starter bars to columns and walls installed in correct location, as noted on Structural Drawings"
"8e641377-2b39-599e-8992-8299ce9b0262","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Check for reinforcement cover as per structural documents, as noted on Structural Drawings"
"f764a875-ef2b-5831-92e9-83b08b387200","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm all hydraulic services installed and plumber marks up as built drawings ie Cast in Downpipes Attach Subcontractor sign off"
"38c56aab-7da2-5781-94aa-26c1680a6d04","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm position of block outs or penetrations installed to walls, as noted on:"
"fccaa454-a38c-544b-86a8-ed6247907352","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm RL to top of wall/column is acknowledged by Formworker and Concrete Placer"
"767f7b06-5477-5155-9ad3-a95069341948","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm all cast-in elements have been installed, as noted on:"
"bb73d7a2-9a38-5175-847e-5bc3bae45943","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm formwork is checked to achieve Class 2 finish to concrete:"
"c7bd1d28-3f26-5378-8f1c-bacd301d1bda","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Obtain certificate from Structural Engineer prior to concrete pour, and attach certificate"
"cc057b15-b620-514a-b37c-8b01b6efa378","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm strength of concrete off structural drawings prior to ordering"
"8bc109fe-3fb8-584f-93c0-1744d2fdc25c","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","Prior to Concrete Pour","Confirm Quantity of concrete ordered"
"13a9be81-6f6a-580a-af27-e18256e945dd","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Core","During Concrete Pour"
"228c0a9e-0327-59d5-adb6-0596dd540171","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","During Concrete Pour","Ensure concrete truck dockets have correct concrete strength, and attach delivery docket from each batch"
"541d1a8f-a511-5ada-82b9-cf67c0494843","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","During Concrete Pour","Confirm concrete tester on site during concrete pour, and the following tests have been requested"
"0237d4a3-3292-5064-b0d2-fe49c8cf97a1","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","During Concrete Pour","Ensure that no water is added to the concrete mix, whether in the truck or pump"
"5a3fe14b-3053-506a-881a-4a35d5bf548c","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","During Concrete Pour","Ensure a representative from each of the following is on site and witnessing the pour:"
"2b3f7a6c-1335-5a78-bbfb-01268f33f694","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","During Concrete Pour","Ensure only rubber tipped vibrators are used, and care is taken not to damage shutters"
"d1677ef9-8785-5074-b7a4-62a6c3bd1906","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","During Concrete Pour","Ensure Formworker labour is available to clean up any slurry runs at bottom of walls, immediately after pour"
"04508fbf-b94b-5f99-b76a-ea8b0f081e1f","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Core","After Concrete Pour"
"7d0fb2b5-da67-5811-9216-43ac726031eb","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","After Concrete Pour","Confirm tolerance of finished concrete surfaces:"
"44d45ecc-7796-5981-9d89-35590304db17","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Core","After Concrete Pour","Confirm Surveyor is out next day to carry out survey of finished concrete Attach As built Survey Plan"
"3e5aa0f8-9315-5891-bcda-1bce4d3a1aee","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","After Concrete Pour","Obtain all concrete tests at 7 days, and attach test results"
"2fc42c10-378c-5c07-a2ef-dca973dc309f","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","After Concrete Pour","Obtain all concrete tests at 28 days, and attach test results"
"d5c6ff1b-4c7f-5289-ace4-abe50b8ba70c","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Core","After Concrete Pour","GPL-QSE-ITP-STRUC-006 (Rev 03) Walls/Columns/Verticals/Precast"
"1e8b8599-ae2a-48e9-a344-2701c408a9ef","","checklist-sectioned","pass","Stairs - GPL-QSE-ITP-STRUC-013 (Rev 02)","checklist","FALSE","FALSE","Structure","Basement 1","Stair"
"3a8eccca-b453-545f-bbf8-e00f3c7660f1","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Stair","Prior to Concrete Pour"
"c3a40f5e-991a-5a8f-b21b-c129bbf88b68","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm bottom of stair RL's on Architectural Concrete Outlines"
"d6ff2e2c-cbf5-50f5-8522-11afd3e06d9c","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm top of stair RL's on Architectural Concrete Outlines"
"74f34085-14c6-5e26-86eb-b6cb377558c2","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm mid landing RL's on Architectural Concrete Outlines"
"cba3fd08-e4d2-5de4-a915-df07db4a919b","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm Architectural and Structural Drawings are consistent"
"29b48041-86e2-5248-842f-8afb2627541c","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm Re-boxes/cast-in bars are installed to correct heights at landings"
"bd5dc063-c5c0-5418-ae4b-12cfd58b6964","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm any starter bars on landings for dividing walls, etc… are installed as per Structural Drawings, cross-check with Architectrual Drawings"
"5d785e15-eed1-50b9-a182-10e331fd0591","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Check for reinforcement cover as per Structural Drawings"
"175ebdf3-15e9-555a-8562-07a5df8b1ab1","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Check for reinforcement lapping from landing into throat of stair as per Structural Details"
"cca28904-0c71-5dfa-8909-b1e3defd707b","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm position of block outs or penetrations installed for services (eg; fire hydrant, lighting, etc…)"
"67f9a5fa-61d1-5f74-a4a6-b24d4f19a565","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm all cast in elements installed (eg, stair handrails, etc…), cross-check with stair shopdrawings"
"9bbcddc6-aaf3-5dd1-b868-3be5eb68a6a2","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm all formwork is clean and free of debris"
"01c29c79-625a-545f-99b3-d09f9d9eae4f","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm conventional stairs have been formed in accordance with the relevant shop drawings and standards"
"51db9854-dd46-529e-812b-7c340034d392","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm cast-in of anti-slip items (eg, carborundum powder, stair nosings, etc…);"
"48423f7a-6e2d-5704-b1cb-98a1baa15def","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Obtain certificate from Structural Engineer prior to concrete pour, and attached completed Inspection Report"
"33732b3d-73f2-5c6a-af33-302005b07185","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Check quantity of concrete required prior to ordering"
"663b676b-b413-5110-81b1-c49ce6adb453","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","Confirm MPa, slump and agg size of concrete prior to ordering"
"3f474b6a-fd73-5839-bc78-1fd0e8016813","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","Prior to Concrete Pour","In the case of pouring fire stairs, ensure appropriate clearances in accordance with the shop drawings and relevant standards"
"970ba530-a53a-53f1-a260-c2a2b1e352db","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Stair","During Concrete Pour"
"c6dbefe1-27f4-544a-b0c8-a879c152fd24","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","During Concrete Pour","If the stairs are being used as access to a leading deck, ensure alternative access is established prior to pouring"
"60ae2dfc-ee58-5acc-9fb4-d2c85b9d0752","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","During Concrete Pour","Confirm concrete tester on site during concrete pour, and the following tests have been requested"
"0b8be110-82a4-5c63-acf6-dfa55be2c816","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","During Concrete Pour","Ensure that no water is added to the concrete mix, whether in the truck or pump"
"fd54d1b4-535c-52f6-a14c-52bb07e61a35","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","During Concrete Pour","Ensure a representative from each of the following is on site and witnessing the pour:"
"25f5bce4-a816-56da-91c4-06782cd83323","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","During Concrete Pour","Ensure concreters have correct finishing tools (eg, carborundum powder, etc…)"
"0c235b2e-7246-5bf2-b11f-39ed32a52d17","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","During Concrete Pour","Ensure only rubber tipped vibrators are used"
"7e4e6b3d-286e-5e7f-b0fe-59e7ee15e1c7","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","During Concrete Pour","Ensure Formworker labour is available to clean up any slurry runs at bottom of walls, immediately after pour"
"72e1854f-d54b-5b12-b7b4-ca9423da60c6","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Stair","After Concrete Pour"
"e6c2c7a5-2dd1-5552-a56f-8e8a42c662e9","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","After Concrete Pour","Confirm tolerance of finished concrete surfaces are as follows:"
"bb94be8b-ea3d-51ba-a6a4-c063ad4f9c15","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","After Concrete Pour","If an as-built survey is required, confirm Surveyor is out next day to carry out survey of finished concrete Attach As built Survey Plan"
"de8c6e55-cfff-5e03-9eb6-cef898512df5","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","After Concrete Pour","Obtain all concrete tests at 7 days, and attach test results"
"c18ed04a-56f0-5493-9e0c-f0ab48f9d9ac","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","After Concrete Pour","Obtain all concrete tests at 28 days, and attach test results"
"e00e1f4e-a961-5247-90ef-147a684bca6d","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Stair","After Concrete Pour","GPL-QSE-ITP-STRUC-013 (Rev 02) Stairs"
"856178af-8c6c-4533-a7ad-72439020eee5","","checklist-sectioned","pass","Walls/Columns/Verticals/Precast - GPL-QSE-ITP-STRUC-006 (Rev 03 - 05122018)","checklist","FALSE","FALSE","Structure","Basement 1","Verticals"
"da6d36c7-ac62-5474-9bbb-c3386b4b2e49","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Verticals","Prior to Concrete Pour"
"484a5611-2dcb-5553-8fbc-4a1a3cef67e3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm all precast panels have been inspected for damage prior to lifting off truck, and evidence issued to precast supplier"
"50fd8848-3763-56d1-bebe-ffe7ce33d795","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm position of wall/column is in accordance with architectural set out from gridline, as noted in Architectural Concrete Profiles"
"7fd8873b-5aeb-5bce-997e-f67aca014169","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm positions of all precast panels have been verified by surveyor"
"af0f8176-4bb7-5f9a-ae05-5f672fe3dfd1","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm starter bars to columns and walls installed in correct location, as noted on Structural Drawings"
"2b6d746a-d68b-5a0e-8391-d2ae27e1e735","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Check for reinforcement cover as per structural documents, as noted on Structural Drawings"
"85cd7825-9cb0-5f95-b492-38a9e5296661","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm all hydraulic services installed and plumber marks up as built drawings ie Cast in Downpipes Attach Subcontractor sign off"
"a89d1063-d146-5196-bd57-a243aa8d6cd7","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm position of block outs or penetrations installed to walls, as noted on:"
"703b0956-9d67-582d-9da8-c0007efc91f3","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm RL to top of wall/column is acknowledged by Formworker and Concrete Placer"
"3425df26-a458-522d-8792-01cf97ee0ab6","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm all cast-in elements have been installed, as noted on:"
"747871dc-3b72-559f-bd0e-6b2f85da6585","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm formwork is checked to achieve Class 2 finish to concrete:"
"d9a71157-053f-5277-adf8-ddc0a2343ea3","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Obtain certificate from Structural Engineer prior to concrete pour, and attach certificate"
"17a55e88-a07a-58fd-8f1a-b32e9a1a4ac5","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm strength of concrete off structural drawings prior to ordering"
"71d47d93-d98b-5529-9669-25b48bc65850","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","Prior to Concrete Pour","Confirm Quantity of concrete ordered"
"393ba563-976f-524c-bf01-22ab7b22243f","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Verticals","During Concrete Pour"
"102b0d90-ad98-53a6-8da3-665ce03eee44","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","During Concrete Pour","Ensure concrete truck dockets have correct concrete strength, and attach delivery docket from each batch"
"7dba2870-b5f0-56d1-a18c-93797be5b2f4","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","During Concrete Pour","Confirm concrete tester on site during concrete pour, and the following tests have been requested"
"cf6bd698-1968-51f5-8bfa-aaa7e7b94b40","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","During Concrete Pour","Ensure that no water is added to the concrete mix, whether in the truck or pump"
"04d5ad81-f13e-5b86-a900-a1bebf209259","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","During Concrete Pour","Ensure a representative from each of the following is on site and witnessing the pour:"
"4b41c50f-65cd-5e32-94cc-00da9ce6019a","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","During Concrete Pour","Ensure only rubber tipped vibrators are used, and care is taken not to damage shutters"
"3687738d-1c8a-53d0-9276-3eb28abf5a48","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","During Concrete Pour","Ensure Formworker labour is available to clean up any slurry runs at bottom of walls, immediately after pour"
"57ae0214-dfb0-504f-a61c-7cf8d78f1b4f","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Verticals","After Concrete Pour"
"12dc48c1-aa38-5275-9adc-1617c4ef1c3e","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","After Concrete Pour","Confirm tolerance of finished concrete surfaces:"
"88628313-0d85-5c58-806a-3cac12e70e62","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Verticals","After Concrete Pour","Confirm Surveyor is out next day to carry out survey of finished concrete Attach As built Survey Plan"
"76e0c8f6-e149-5e04-913d-eebec289cb58","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","After Concrete Pour","Obtain all concrete tests at 7 days, and attach test results"
"8ff5b522-6a4d-5c37-89ee-8a6808524b87","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","After Concrete Pour","Obtain all concrete tests at 28 days, and attach test results"
"72c8f490-afa2-5f25-83dd-a8f00a15a9af","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Verticals","After Concrete Pour","GPL-QSE-ITP-STRUC-006 (Rev 03) Walls/Columns/Verticals/Precast"
"2b290ac5-2649-42ab-82b5-562fc2533684","","checklist-sectioned","pass","Walls/Columns/Verticals/Precast - GPL-QSE-ITP-STRUC-006 (Rev 03 - 05122018)","checklist","FALSE","FALSE","Structure","Basement 1","Shoring Wall (Perimeter)"
"36e15adc-e323-56a4-be0a-fcdc908faf36","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour"
"d409dc56-9ee3-558f-9354-edac11bbcc57","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm all precast panels have been inspected for damage prior to lifting off truck, and evidence issued to precast supplier"
"a896f3aa-7f6d-5257-8ec2-46428099e1c0","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm position of wall/column is in accordance with architectural set out from gridline, as noted in Architectural Concrete Profiles"
"90cfa369-c0b0-5999-90af-23666b4d2288","","checkpoint-status","not-applicable","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm positions of all precast panels have been verified by surveyor"
"f3c93e98-9d68-53cf-b5c2-5ae02e54cbd4","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm starter bars to columns and walls installed in correct location, as noted on Structural Drawings"
"4aa0ee6f-eafb-5bf2-9c47-acfcbff3143e","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Check for reinforcement cover as per structural documents, as noted on Structural Drawings"
"8ceeb413-44ba-59dc-b4ba-db67af267c27","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm all hydraulic services installed and plumber marks up as built drawings ie Cast in Downpipes Attach Subcontractor sign off"
"3bef4c59-a7ef-540b-aa05-baa846936290","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm position of block outs or penetrations installed to walls, as noted on:"
"e5f07578-c80e-59e9-a7b9-ba17d1a4edfc","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm RL to top of wall/column is acknowledged by Formworker and Concrete Placer"
"106a9edd-55ac-5ef2-a9e6-e922ee207458","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm all cast-in elements have been installed, as noted on:"
"d01b2609-11f1-57c7-bf35-4db2612cf123","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm formwork is checked to achieve Class 2 finish to concrete:"
"f7352ab1-336f-5763-879f-1ed4c1f9b1d6","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Obtain certificate from Structural Engineer prior to concrete pour, and attach certificate"
"2b5f4909-49cd-5601-8304-8059ed853d2b","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm strength of concrete off structural drawings prior to ordering"
"30b9a2a6-b242-5592-a7f9-10d6042cb83d","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","Prior to Concrete Pour","Confirm Quantity of concrete ordered"
"23ef7022-3ccf-5e14-9b70-64b8cc58b87c","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Shoring Wall (Perimeter)","During Concrete Pour"
"59c12b74-23b7-55ba-963e-398e503cd06c","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","During Concrete Pour","Ensure concrete truck dockets have correct concrete strength, and attach delivery docket from each batch"
"bab4fa8c-0051-5e98-9730-ff129dd46ab5","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","During Concrete Pour","Confirm concrete tester on site during concrete pour, and the following tests have been requested"
"79c730ab-8e49-5594-9b16-87b0259a4fe9","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","During Concrete Pour","Ensure that no water is added to the concrete mix, whether in the truck or pump"
"9ba6d994-f18c-51c2-86ee-5fca47ab731e","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","During Concrete Pour","Ensure a representative from each of the following is on site and witnessing the pour:"
"c370aaa5-84e5-5753-8004-2d619299e1bf","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","During Concrete Pour","Ensure only rubber tipped vibrators are used, and care is taken not to damage shutters"
"42878366-aca3-56fd-af61-905425b6300c","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","During Concrete Pour","Ensure Formworker labour is available to clean up any slurry runs at bottom of walls, immediately after pour"
"47ef77e7-3fa8-5fb2-979f-33e39c39aa34","","checkpoint-group","pass","","","FALSE","FALSE","Structure","Basement 1","Shoring Wall (Perimeter)","After Concrete Pour"
"a0a14b94-f37e-563b-8cbb-70338a5593c6","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","After Concrete Pour","Confirm tolerance of finished concrete surfaces:"
"a136922d-cb63-5135-a4ab-8f9ddc10dd49","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","After Concrete Pour","Confirm Surveyor is out next day to carry out survey of finished concrete Attach As built Survey Plan"
"4e55416e-09c8-5b19-810a-3b6e5defac38","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","After Concrete Pour","Obtain all concrete tests at 7 days, and attach test results"
"105c5ccb-87f7-5727-80b3-0e5bcc4461c5","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","After Concrete Pour","Obtain all concrete tests at 28 days, and attach test results"
"dfd2a421-d54d-5a4f-807e-8522276451bf","","checkpoint-status","pass","","","TRUE","TRUE","Structure","Basement 1","Shoring Wall (Perimeter)","After Concrete Pour","GPL-QSE-ITP-STRUC-006 (Rev 03) Walls/Columns/Verticals/Precast"
"7603df13-68e3-4807-bd85-5441dd79ffb3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Structure","Basement 1","Fire Treatment (TBC)"
"90159461-e680-4bb6-9b05-7902226a95c2","","checklist-flat","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-007 (REV 01)","checklist-flat","FALSE","FALSE","Structure","Basement 1","Structure Handover"
"2f3ea430-13c1-57d9-bd79-497fe85f3da8","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm all formwork materials have been removed from level"
"7068e556-aeda-5a54-87e8-dbf58eb75025","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm all nails have been removed from slab soffits"
"d99a8ba8-7128-575f-b61f-2646edd73a94","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm that all slabs have been broomed and cleaned of debris and excess concrete  This includes areas where there is penetration mesh"
"81ae6186-19f5-5750-92fb-4bb8abca4ca6","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm that all balcony and wet area set downs have been reviewed and rectified due to incorrect setouts or issues of depth"
"e86ba100-415f-5549-b871-d4a29cb37ce0","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm that all formwork has been removed from penetrations"
"665030df-c98a-5941-8143-a9b789d708ab","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm that all excess scaffolding equipment has been removed from the level"
"617bfd4f-330e-541d-8652-f340f2fe46fb","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm that final stress and grouting of PT ducts are completed"
"7a5a7361-f8d5-5259-a100-c58d404a7921","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm that all post tensioning grout tubes are cut flush to concrete slab and placed in rubbish bins"
"0c63f3f9-bba5-5691-adbb-24778256977f","","checkpoint-status","not-started","","","TRUE","TRUE","Structure","Basement 1","Structure Handover","Confirm that all post tensioning pans has been filled and concreted"
