"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f951413b-4152-46ae-ad16-058e88dee927","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA"
"963e5152-fd63-4f9a-8515-5350c28124b9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation"
"1f7bbd21-96e7-4947-9f4c-1d8f44122de2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1"
"14029612-fd75-505e-8ee1-d8b96ca24685","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number"
"927a8e1f-6bf0-484a-b67c-5713f9d94b22","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Infill Horizontal / Vertical Cavity Barrier Installation Checklist"
"ed75a381-438c-4295-b376-1886c8e02875","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Infill Insulation Installation Checklist"
"3c001c9b-a1b2-41c5-b62d-fcb4e15adcfd","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Infill Top Hat Installation Checklist"
"798aac81-63f0-4d7a-8f63-03784ae786a1","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Infill Cladding Installation Checklist"
"db63a8cb-e4a0-4a6e-bd0e-406840116494","","folder-normal","pass","","step","TRUE","FALSE","Drawings"
"fd64f202-0797-4812-a26d-8a0a911ffb24","","checklist-flat","pass","Drawings","checklist-flat","FALSE","FALSE","Drawings","Drawings for Panel L01 - 013"
"1fd2978e-920f-4351-9419-b97054337c5b","","folder-normal","pass","","step","TRUE","FALSE","Drawings","Drawings for Panel L01 - 012"
"0469dc02-02eb-4fa3-915d-6af630ee09a2","","checklist-flat","pass","Drawings","checklist-flat","FALSE","FALSE","Drawings","Drawings for Panel L01 - 012","Drawings"
"720a3f63-6e41-4247-b61b-d770d505892c","","folder-normal","pass","","step","TRUE","FALSE","Drawings","Drawings for Panel L01 - 011"
"415b31ad-7482-4dd6-b2ba-917b4138e9c6","","checklist-flat","pass","Drawings","checklist-flat","FALSE","FALSE","Drawings","Drawings for Panel L01 - 011","Drawings"
"22d6a58d-f766-4e72-8331-882771f7163f","","folder-normal","pass","","step","TRUE","FALSE","Drawings","Drawings for Panel L01 - 010"
"2aaf8035-0aeb-461e-b10a-313a86ecfcfc","","checklist-flat","pass","Drawings","checklist-flat","FALSE","FALSE","Drawings","Drawings for Panel L01 - 010","Drawings"
