"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b1b44885-769a-474b-9770-80ca3df582f0","","checklist-flat","no-status-started","9be491f1c30e7d5d091f86202fdb952c95979007c64799c168f88db500017a73","checklist-flat","FALSE","FALSE","Job Details"
"4f8771e0-804e-41ba-b293-d904103a490f","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Site Info"
"3e97ff3c-f707-4552-ab1a-631ef5ea69af","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Latest Drawings"
"581cf87e-7bfe-43df-962c-49b117b7734a","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Architectural Drawings"
"c8b83231-8036-4b3c-b65a-dd4c41c5a454","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Plans"
"1a0b026e-50e5-4956-ac12-2f2d3a611e91","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Additional Pre Start Docs"
"28301cf4-67dc-4131-a3f4-55957d5707c1","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Order Numbers"
"477a3bd5-cf78-427e-a0e0-925651726787","","folder-normal","fail","","step","FALSE","FALSE","Health & Safety"
"724782fb-282b-455c-8908-042726ef4b5d","","checklist-flat","no-status-started","df00e11d689b0cd5fdda29373d1dc053d0812dccb7e91a591d365a6a64c0011e","checklist-flat","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"09231a51-320a-406a-840d-cd55d011715e","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Health & Safety","Prestart H&S Documents","All  Pre-start H&S Documentation Completed, Reviewed & Attached"
"1a7aebf2-defb-43c1-9b17-0b72a0dcbf86","","folder-normal","fail","","step","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety"
"5304286b-e2f4-4b6b-b123-a20b485e59b4","","folder-normal","work-in-progress","","step","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks"
"d1808901-f9e9-4165-abfa-301b58e9c7ae","","checklist-sectioned","work-in-progress","H&S - Toolbox Talk","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist"
"e5fde7ad-a78f-5dcf-bd57-ca960d7e3517","","checkpoint-group","not-started","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Details "
"fffdf360-be07-515d-a33e-c1987334285a","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):fbd3ebe4-7e8d-48f1-8282-912398235673","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Personal Safety Equipment"
"13142ecd-50e2-5637-9b63-d88072c9cd18","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):fbd3ebe4-7e8d-48f1-8282-912398235673:f4dccf37-2492-4fbc-bf51-026283e79754","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Personal Safety Equipment","Signage displayed and legible"
"a4c7cb8d-086e-5ac5-9c23-6e3ab2052d85","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):fbd3ebe4-7e8d-48f1-8282-912398235673:485ad273-6545-4646-86d4-c118cc6dd0cc","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Personal Safety Equipment","Hardhats being worn"
"39dc9e40-c344-5d91-acda-5dd497a71b1f","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):fbd3ebe4-7e8d-48f1-8282-912398235673:b6d0a32d-a00d-42f4-9f6a-6349bcd57b3f","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Personal Safety Equipment","Correct footwear being worn"
"f299a657-966f-5d45-93af-21c87d990128","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):fbd3ebe4-7e8d-48f1-8282-912398235673:f12b1cfd-5148-4053-aefd-22713b062591","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Personal Safety Equipment","Glasses /gloves /ear muffs /vests /masks used"
"553ddf31-29ac-56a5-9086-f544366c6746","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):ed0bddb0-6990-4ae1-90df-b19ad9a27563","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","First Aid/Fire Prevention"
"60a4e705-5b81-521d-b08a-104cc5b76578","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):ed0bddb0-6990-4ae1-90df-b19ad9a27563:3416c410-e6f0-4c23-becb-26d0de66da72","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","First Aid/Fire Prevention","First Aid Box Available"
"3ca717ee-663c-5c48-b3f1-163382d18b47","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):ed0bddb0-6990-4ae1-90df-b19ad9a27563:d893ceb0-dd6b-439f-9294-6ca812273937","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","First Aid/Fire Prevention","Accident register"
"ce6668f0-2059-56e9-a271-a92e39b38e30","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):ed0bddb0-6990-4ae1-90df-b19ad9a27563:e424fde8-b905-4fc4-b943-5e0621af1309","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","First Aid/Fire Prevention","Fire Extinguishers"
"a6bcf941-7482-5fba-b56e-8c9976dc9b08","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):ed0bddb0-6990-4ae1-90df-b19ad9a27563:deaa7e28-6a5a-444e-9fa6-add6c18cb8bb","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","First Aid/Fire Prevention","Evacuation"
"a67cc144-41ff-528b-a45d-de62de3e0f6e","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment"
"020a6385-6255-546d-89a7-c7d1c5865f5b","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712:50e530e0-d959-4e36-acb4-a5e10d66006b","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment","Proper lift assessment plan done"
"bc2ed5ac-3319-590d-95f6-951a8b1017d3","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712:98738308-eef7-43bd-bab0-45c57cb49bad","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment","Crane certification current"
"98de07ab-178b-5414-b3e9-3a872384a084","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712:4a0bd932-99b0-4233-9192-c51257b09845","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment","Slings/chains certified"
"503831bf-3952-5bf4-9ef6-494f48786ca6","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712:410378d1-c39b-4930-8d7d-b20d75ffe338","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment","Operator procedures in place"
"52aa9cee-abd4-55d9-b458-84deb4d672bc","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712:0fc2758e-634c-4664-b9be-b35bf506a10f","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment","Inspections being done"
"94fe6bf0-0033-54d0-a998-76c89b1b1b74","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712:9399c130-eb60-4cb5-981b-009ece97a1db","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment","Man cage available"
"e52f0f40-fb75-584d-8b5e-19c086aedf20","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):6cbbbc3c-4856-42f4-99f3-c974666ef712:7d6a912f-85ee-441c-8708-214d709eafd2","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Cranes/hoist/lifting equipment","Emergency plan in place"
"e701f016-d123-5dcc-a935-e7eb06a5b686","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):ccaf03b5-ba6b-4d11-907f-f9427c190ddb","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Compressed air equipment"
"3b9b2ab8-a554-5d8a-95f0-1a6ab469fd3b","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):ccaf03b5-ba6b-4d11-907f-f9427c190ddb:98ededdd-f355-4e4d-b9fc-79e355aa9081","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Compressed air equipment","In good condition"
"19a4c816-712d-58ed-b6b2-9fe6216ef828","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):ccaf03b5-ba6b-4d11-907f-f9427c190ddb:e4bf09d2-6a3a-464d-9974-d0a96ada4899","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Compressed air equipment","Appropriate guards fitted"
"6bc25e7e-01c7-5bbf-ba60-c2f616a8e84b","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):ccaf03b5-ba6b-4d11-907f-f9427c190ddb:b378dbae-842a-42a3-9631-c3bb7089a591","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Compressed air equipment","Trained user"
"5018e942-04f6-5e6f-9b7e-867c23e11255","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):58b063a9-46ca-4a3d-af8b-7c88852f42f3","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Excavations"
"8dd523d1-80f8-594e-8c3f-f73b5430e1e3","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):58b063a9-46ca-4a3d-af8b-7c88852f42f3:d56670cf-a29b-411e-ac20-eb354c1916c3","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Excavations","Correctly Shored"
"cdd1a661-392c-532d-93e5-247b62a53fdc","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):10a3f2db-2fb1-48e7-b94d-755a7b6b15b7","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Welding/gas cutting"
"6157a814-a536-5532-a224-17ecae721674","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):10a3f2db-2fb1-48e7-b94d-755a7b6b15b7:206d052d-b2c3-4d0d-a576-e9693e9c1e5a","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Welding/gas cutting","Hot work permits being issued"
"83b8a4a2-60d2-5dab-a87f-b1fd1c1a5599","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):10a3f2db-2fb1-48e7-b94d-755a7b6b15b7:3b3cd3ca-c456-4d65-9f10-0a48a3f5d04f","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Welding/gas cutting","Fire extinguishers on hand"
"c65d31bb-33e8-5920-96c6-3730f7974f11","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):10a3f2db-2fb1-48e7-b94d-755a7b6b15b7:499cdb1f-3a29-4290-a206-4f453dafe55e","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Welding/gas cutting","Operators using PPE"
"a5dacce2-7a78-5c7a-be7d-6d3311edfb25","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment"
"0599ece1-8c6d-5a33-a9c5-eb2cbfc0a282","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:da4adbc0-2ef2-4b51-910b-242f93e0f2fe","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Main board lockable /weatherproof"
"26795bfb-9b82-5d07-a5d7-ed173e9c3daa","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:0625d99d-e8cd-481e-b4ee-cb09b7e66066","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Current tagged and damage-free leads"
"ab39e609-6a9d-5d78-87b6-f2772edde241","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:dd77c37a-56ec-4c72-8bfe-c44b8b1e012b","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Current tagged plant"
"e9e420d2-2c0e-5691-bc7b-f6e0acb2ccf5","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:bd36a7db-3797-4800-bae3-6ea4df358c17","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Current tagged lifeguards"
"3115a321-8868-5f59-ad2f-069be0e05a3e","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:00f32e2f-5970-47cf-8471-8677fdc5a969","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Leads safely placed"
"c7a3a163-1bc0-5d73-ab64-eabba3bfec76","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:435b2dda-c16b-42ec-8346-74047780a903","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Equipment in good condition"
"0fc347a6-d514-5e09-9452-f7347380ecdc","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:cd117046-95f0-4913-8fcd-ca0eb2ecef04","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Appropriate guards on equipment"
"f2a0527d-2b8b-5083-88f1-64352ae80581","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):70e0da16-1565-48da-9bc3-165e1510aadc:8151a049-b806-4500-be75-77961e1300a4","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Electrical Equipment","Adequate temporary lighting"
"c9e7f64c-91e7-529f-93cf-16ec92c7e4d7","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):02b30aa9-3a47-47d4-b56f-8064951d0e0f","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Chemicals"
"e714ade5-6f6d-52de-ba5d-58234ce87680","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):02b30aa9-3a47-47d4-b56f-8064951d0e0f:0cb606c7-a1c1-424e-8446-9a0fb6625e12","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Chemicals","Correctly stored"
"3a24f92d-0067-5bab-87c4-2f18f27f0134","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):02b30aa9-3a47-47d4-b56f-8064951d0e0f:17a6efcb-b31a-4ee0-9eea-1de8a3009f95","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Chemicals","Safety Data Sheet (SDS) available"
"7ef6a0d7-6d14-5091-bdf3-f1fafabc6021","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):02b30aa9-3a47-47d4-b56f-8064951d0e0f:88e40d04-b5c0-4266-a603-b1eacf99df44","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Chemicals","Operators using PPE"
"3e30a676-1383-5f82-9b14-3e72dab996ba","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):b61e2de7-f743-4985-b67f-81cc02ee6403","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Tools"
"d5fb6b2e-c3b0-5a31-998d-b1e103b72a7d","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):b61e2de7-f743-4985-b67f-81cc02ee6403:1e47dd08-08bb-4786-9bd2-0d36270c920b","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Tools","PAT tool WoF current and secure"
"35f04e79-1884-572f-aac7-d491a6ee3d6a","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):b61e2de7-f743-4985-b67f-81cc02ee6403:15b3d3c2-644f-4d22-afe5-6f3bb16274d5","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Tools","Staff trained in tool use (SWPS)"
"b87e73a9-1c02-5a5e-b009-b6e6d7fd57c8","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):b61e2de7-f743-4985-b67f-81cc02ee6403:a47e24a8-fd4a-4bad-a70a-9bef64653c30","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Tools","PAT signage on site"
"62808596-8fb9-58bc-856f-a3d346442ab8","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding"
"45cc25be-5175-5818-86bc-b2ceff4feb87","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:840553de-652c-4789-be06-9b675c6c17c7","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Notifiable weekly Scaftag/current"
"808957c5-1105-579b-b01d-add6e0eada73","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:df887112-5aa0-447d-b0d9-497644b03c09","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Handrails/mid-rails"
"4e9442ee-3244-56d7-819f-742f96ddbf47","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:bf59a367-5856-4e2b-b2dd-34c78188ac28","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Toe boards"
"8b28f5b0-974d-59e7-9bdc-b6817bcc2f8d","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:3b10b5f3-6c6e-4aa8-afd8-fdbf70d45d83","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Platforms"
"b16f15df-ac3f-54f1-9da3-c931b11504cc","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:94e14a11-e3b0-4e0b-a44e-34bb82783dc7","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Ladders/stairs"
"be1c888a-473f-57a4-9589-980447b99f00","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:8f787ca8-25ab-4ead-9728-ea8bcabe9f58","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Base sound"
"320eb324-10d7-5b46-be03-10558e4c5252","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:c618d1f2-aca1-4ce5-97d5-bf391fb75629","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Work platforms clear"
"04f7addd-d0a0-53f6-a467-88aa23fac997","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:b18325bc-0864-453d-bf8a-f8cfc541273a","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Platforms trip free"
"30e70a84-23ab-52bb-ad4d-ae17efe011f3","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:fd49f97a-fed6-4c29-a090-0cc038b15bf1","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Planks tied down"
"508e9515-6a97-59c7-82db-297333b4fb3d","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:5ed2e405-c18d-479c-883b-05fe4f2aa55a","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Headroom clear"
"ef1764e8-eead-5e54-be55-188e64651bc9","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):b00a650c-cc56-4cf7-9379-2a72828d9053:380c3ad3-48d1-45c5-9f1a-d795710cfbac","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Scaffolding","Ties/bracing adequate"
"b009ec60-64a2-5854-b907-6522812ebfed","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):262acb2c-a804-43a7-9579-076cffffd672","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Ladders"
"fb4f3653-a7e4-58ef-8e89-a77916e5c4b6","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):262acb2c-a804-43a7-9579-076cffffd672:0ba7e786-1d1c-4bfc-bf7b-49a81134ec38","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Ladders","Good condition"
"c5cad781-e5f1-5383-a8e6-e65c269dec97","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):262acb2c-a804-43a7-9579-076cffffd672:5efe8561-7d99-4142-ac26-0a8c3f4f7869","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Ladders","Secured top and bottom"
"4368f1c1-4479-54ec-bc05-b46b5c9dfb8a","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):262acb2c-a804-43a7-9579-076cffffd672:00267dc6-728f-490f-b370-603ad9838968","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Ladders","Stays to step ladders"
"6be71434-4f39-5668-aded-3504ae1b3aaf","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):262acb2c-a804-43a7-9579-076cffffd672:161abc1b-28ea-48c7-8fe3-eab6525a13e9","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Ladders","Working 2 steps down"
"ef293750-cca5-5c78-8ef6-b1563e0eedef","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist v2 (old version):c052ad84-7b03-4525-8253-7bf7d7c7f6f0","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Fall Hazards"
"d1a70650-c3eb-52d0-b1da-db5c9f183343","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist v2 (old version):c052ad84-7b03-4525-8253-7bf7d7c7f6f0:207f1368-7fdd-42d4-9ecb-4acc5685fc1b","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Fall Hazards","Fall Hazards"
"07ee3069-7a07-5f28-bda4-73e184c6dfec","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):c052ad84-7b03-4525-8253-7bf7d7c7f6f0:47b4212e-96ec-47b2-9cd0-ea1c66a527e4","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Fall Hazards","Floor openings"
"15a03c40-e8dd-5d2a-a16b-69108544f225","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist v2 (old version):c052ad84-7b03-4525-8253-7bf7d7c7f6f0:a7fed403-b051-4ebb-b756-28684c7c116c","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection Checklist 09.06.22","Fall Hazards","Lift shafts"
