type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,
label,"○ Small tree branches,shrubs and leaves; excluding noxious weeds, shall be disposed of by chipping and mulching to form mulch.",,,,,,,,,,,,,,,,,,,,
label,Attach: Delivery Dockets (for Items sent off Site),,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, each Site",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Final Inspection,,,,,,,,,,,,,,,,,,,,
label,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,,,,,
text,Name:,,,,,,,,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,ITP-077-CIV-PSDS-Subgrade Preparation-Road,itp,,,,Yes,ITP-077-CIV-PSDS-Subgrade Preparation-Road Rev 0,488e1df5-291e-44b1-b81d-ee5185a4ad71,,,,,,,,,,,,,
checkpoint-group,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-077-CIV-PSDS-Subgrade Preparation - Road,,,,,,,,,,,,,,,,,,,,
label,ITP Description: PSDS-Subgrade Preparation - Road,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 077-CIV,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 21/12/2023,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 204,,,,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 173,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Mater,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 Material Approval,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: VR 204.04 (C) MRP-DPK-091-00-CFN-0011 - Civil Details (Drainage,Barriers,Pavements & S&L)",,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Material used for subgrade preparation shall be totally free of organic content, topsoil, deleterious and/or perishable matter.",,,,,,,,,,,,,,,,,,,,
label,"○ Material shall have a minimum Assigned CBR as indicated in IFC Drawings, and Assigned Percent Swell less than the value indicated in the IFC drawings.",,,,,,,,,,,,,,,,,,,,
text,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each mix material",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries-Documentations,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: N/A,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: N/A,,,,,,,,,,,,,,,,,,,,
label,METHOD: N/A,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: N/A,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: N/A,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: N/A,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: N/A,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 Survey Set-Out,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Area has been set out in accordance with the drawings,,,,,,,,,,,,,,,,,,,,
label,ATTACH: LOT MARKED UP LOCATION ON THE IFC DRAWING (LOT MAP):,,,,,,,,,,,,,,,,,,,,
label,METHOD: Verify,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencement of excavation,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Surveyor,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Construction / Installation Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.1 Inspection of Subgrade Material-Subgrade Material Properties,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 204.06 (c), Section 204.06 (e), IFC Drawings: MRP-DPK-091-00-CFN-0011 - Civil Details (Drainage, Barriers, Pavements & S&L)",,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to commencing excavation in any area and during excavation work, the Nominated Authority and the Contractor shall inspect each type of material encountered and subject to verification by appropriate laboratory testing, agree on the category of the material in accordance with Clause 204.04",,,,,,,,,,,,,,,,,,,,
label,○ In situ material within 400mm of cut floor level to be consistent with IFC Drawings,,,,,,,,,,,,,,,,,,,,
label,"○ Assigned CBR and swell as per MRP-DPK-091-00-CFN-0011 - Civil Details (Drainage,Barriers,Pavements & S&L)",,,,,,,,,,,,,,,,,,,,
label,"○ If parameters are met, rip and re compact to a depth of 150mm.",,,,,,,,,,,,,,,,,,,,
label,"○ If assumed design parameters not met, remove 400mm of material and replace with conforming fill material.",,,,,,,,,,,,,,,,,,,,
label,Attach: Laboratory testing Verification:,,,,,,,,,,,,,,,,,,,,
label,METHOD: Verify-Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP/Test Report/Referenced Lot number,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.2 Material classified as silt,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.04 b),,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Material classified as silt, either before or after compaction, is not acceptable as Type A material without stablisation to the satisfaction of the Nominated Authority",,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Superintendent satisfied with Stabilisation, Signed ITP/ records",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.3 Acceptance of Rock Subgrade (where applicable),,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.06 f),,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to construction of the regulating layer, the areas of rock subgrade shall be presented to the Superintendent for acceptance.",,,,,,,,,,,,,,,,,,,,
label,○ Any necessary amendments to the subsurface drainage design including transverse subsurface drainage at the interfaces shall be presented to Superintendent for review.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Site Inspection/ Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior construction of the regulating layer,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.4 Unsuitable Material,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.07 d),,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Where Unsuitable material is encountered, proposed in-situ treatment must be submitted to the Nominated Authority for review.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.5 Groundwater,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.06 h),,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Where groundwater is encountered the contractor shall notify the superintendent and submit proposed action for review.,,,,,,,,,,,,,,,,,,,,
label,○ The Contractor shall submit any necessary approvals from relevant authorities for the treatment and disposal of this groundwater.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.6 Cut to Fill Zones,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.06 g),,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All pavement and verge areas at cut to fill zones shall be excavated to a minimum depth of 600mm below the cut floor level or top of the type A material, for a distance of not less than 15m into the cut and 30m under the fill from the cut-fill line at the upper surface of the Type A material.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Site Inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Sign ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.7 Proof Roll,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 173,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Proof rolls to be conducted in accordance with Section 173 of the VicRoads Standard Specification,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.8 Compaction Testing,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Table 204.131,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All Type A Material, Type B Material placed within 400 mm of top of Type B Material and",,,,,,,,,,,,,,,,,,,,
label,○ Ripped and re-compacted material below Cut Floor Level,,,,,,,,,,,,,,,,,,,,
label,○ Scale A: Characteristic Density Ratio 99%.,,,,,,,,,,,,,,,,,,,,
label,○ Scale B: Characteristic Density Ratio 98%.,,,,,,,,,,,,,,,,,,,,
label,○ Scale C: Mean Value of Density Ratio: 100%,,,,,,,,,,,,,,,,,,,,
label,Attach: Compaction Test Result:,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Test Report",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.9 Post Compaction Material Property Testing,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 204.04 (c), Section 204.14 (a) and Table 204.141 For Scale A, Section 204.14 (b) for Scale B, IFC Drawings MRP-DPK-091-00-CFN-0011 - Civil Details (Drainage,Barriers,Pavements & S&L)",,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Material Properties (Not Applicable for Scale C):,,,,,,,,,,,,,,,,,,,,
label,Scale A:,,,,,,,,,,,,,,,,,,,,
label,○ CBR and Swell as per IFC for design packge:,,,,,,,,,,,,,,,,,,,,
label,"– MRP-DPK-091-00-CFN-0011 - Civil Details (Drainage,Barriers,Pavements & S&L)",,,,,,,,,,,,,,,,,,,,
label,– as per table VR 204.141,,,,,,,,,,,,,,,,,,,,
label,Scale B:,,,,,,,,,,,,,,,,,,,,
label,○ CBR and Swell as per IFC for design packge:,,,,,,,,,,,,,,,,,,,,
label,"– MRP-DPK-091-00-CFN-0011 - Civil Details (Drainage,Barriers,Pavements & S&L)",,,,,,,,,,,,,,,,,,,,
label,First Lot for Max Particle Dimension:,,,,,,,,,,,,,,,,,,,,
label,After compaction Type B material shall have a maximum particle dimension of not more than:,,,,,,,,,,,,,,,,,,,,
label,○ 150 mm within 400 mm of the top of Type B material and 400 mm at depths greater than 400 mm below the top of Type B material.,,,,,,,,,,,,,,,,,,,,
label,"○ Where the first lot passes, no further testing required except where changes to the physical properties of the material are observed.",,,,,,,,,,,,,,,,,,,,
label,Attach: Post compaction test results:,,,,,,,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Refer to Section 204,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Material Property Test Report",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Post Construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.1 Survey Conformance,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: VicRoads 204.03f,g and h",,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: The level at any point on the subgrade shall not lie more than 20 mm below a 3 m straightedge laid in any direction, except across a crown and water shall not pond at any point.",,,,,,,,,,,,,,,,,,,,
label,Level tolerances (Scale A):,,,,,,,,,,,,,,,,,,,,
label,"○ Range x = +5, -15mm",,,,,,,,,,,,,,,,,,,,
label,○ Max S = 12 mm,,,,,,,,,,,,,,,,,,,,
label,○ 80 measurements per lot,,,,,,,,,,,,,,,,,,,,
label,Level tolerances (Scale B):,,,,,,,,,,,,,,,,,,,,
label,"○ Range x = +5, -25mm",,,,,,,,,,,,,,,,,,,,
label,○ Max S = 15 mm,,,,,,,,,,,,,,,,,,,,
label,○ 40 measurements per lot,,,,,,,,,,,,,,,,,,,,
label,Level tolerances (Scale C):,,,,,,,,,,,,,,,,,,,,
label,"○ Where Scale C is nominated, random levelling is not required; however no point on the subgrade surface shall be more than 10 mm above or 30 mm below the specified level.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SCP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Surveyor,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Survey Report",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.2 Non-conformance Report (NCR) Closure,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ensure that any NCRs pertaining to the lot / element / Work area that this ITP covers, have been closed in CAMs.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, prior to closure of this lot / element / Work area",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE/SPE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Final Inspection,,,,,,,,,,,,,,,,,,,,
label,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,,,,,
text,Name:,,,,,,,,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,CHK-002-CIV-Stormwater Drainage Pit Installation,itp,,,,Yes,CHK-002-CIV-Stormwater Drainage Pit Installation Rev 2,6cce7d99-4222-45fb-a483-afc97e114c9e,,,,,,,,,,,,,
checkpoint-group,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
label,Document Title: CHK-CIV-CAMMS-Stormwater Drainage Pit Installation,,,,,,,,,,,,,,,,,,,,
label,ITP Description: CAMMS-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 2,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 6/12/2023,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VR 701,,,,,,,,,,,,,,,,,,,,
label,1.2 Main ITP,,,,,,,,,,,,,,,,,,,,
label,Reference: Project Storm water Drainage Main ITP,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria: This ITP Should be used in Conjunction with ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,,,,,
text,Enter: Main ITP Lot Number,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 Bedding,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and Shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.2 Backfill Material,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 Subcontractor QA Submissions and ITP,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Subcontractor ITP shall conform with the IFC Drawings & Relevant Standards & Specifications..,,,,,,,,,,,,,,,,,,,,
label,ATTACH: Subcontractor Signed ITP,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot (in case undertaken by subcontractor),,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 Survey Set Out,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701.10,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Survey activities undertaken to ensure and validate the plan location, height and line of pits in accordance with design documentation and 701.10",,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.2 Pit Excavation,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 705.05,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Excavation shall be to the depth indicated on the design documentation. Precast pits must have a clearance of 400mm from excavation face and external face of pit.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.3 Excavation Foundation,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 705.05,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Bedding conforming to to 710.09 shallbe supplied, placed and compacted to a thickness:",,,,,,,,,,,,,,,,,,,,
label,> 80mm for clay foundations,,,,,,,,,,,,,,,,,,,,
label,> 150mm for rock foundations,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.4 Jointing,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 705.11,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All connections shall be finished to provide a smooth surface, uniform with the inner of the pit structure. Saw cut surrounding hole shall not exceed 50mm greater than the pipe diameter.",,,,,,,,,,,,,,,,,,,,
label,○ Exposed reinforcement shall be coated with an approved epoxy treatment,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.5 Shaping of Floor,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 705.13,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Pit floors are smoothly shaped from inlet to outlet for a height one third the diameter of the outlet pipe.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.6 Step Irons,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 705.12,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Drainage pits greater than 1.0m deep shall be fitted with step irons in accordance with AS 1657. Ladder rungs shall not obstruct openings and that water does not discharge on them.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
