"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"79cb1f43-a2b9-4387-86c6-4f448726d9fd","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP"
"e81e2c4a-3698-4414-b0e6-9db508d7553f","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing"
"317497b4-0a92-452a-af24-38402c70ecf7","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing","Ground Floor"
"bbad046e-4d52-4903-a11a-364e253dbc44","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities"
"8c91325f-a69c-49ab-8d98-baf4281757c6","","checklist-sectioned","work-in-progress","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male"
"6844d5f6-602e-5e7d-af43-5b58e34701f3","","checkpoint-group","work-in-progress","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details"
"b667e92c-871f-50b8-8263-03dbbf8c66bd","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"61bc79d2-e789-51c6-8dfc-afcdfe75e499","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","6. 24hr Curing (Typical*)"
"415f714d-ae9c-5a19-8ecf-b53acdfcee12","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","7. 2nd Coat Keratrade WPM applied"
"439fe91f-7b1c-57ef-9fc0-11e86f8f23b7","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","8. 48hr Curing (Typical*)"
"48333f07-cc28-59cf-8d38-25afb4430af6","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"5e0a2e3a-e2ee-52ec-938c-df048286639e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","10. 24hr Water Test"
"5fe3a7a6-bcee-5a4e-8ba7-82e41220d358","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","11. Final Water Test Measure Completed - AS3740-2010"
"794a7ff6-9cdc-572b-8022-c0e538f7f52f","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","12. Drain Down by waterproof installer"
"3b1adab7-be2b-54ec-b83b-9d52c9a6fc11","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","Details","13. Waterproof installer to check / provide go ahead"
"26118328-3fa2-510b-a760-1a5752585f5d","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","14. RECTIFICATION ITEMS"
"2652f57a-eb03-5097-a766-b40e45a5f3aa","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"05514488-38db-5e67-8eb3-b65b69a4038d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"efb438ff-5262-5411-8c1f-fb030f49fcab","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","14. RECTIFICATION ITEMS","Verify with Tiler"
"19587078-0dde-5aa2-b734-6ae4aa7836d9","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","17. QUALITY ASSURANCE FROM BUILDER"
"8084a749-b620-5616-a0c4-8ba862dc2b97","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"a00dffbf-7222-5edc-8082-2fac413ea719","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","18. FINAL INSPECTION"
"af2ef56e-4422-5cf6-a454-062cfe393461","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","18. FINAL INSPECTION","Final Inspection (1)"
"0c04323d-8171-5177-b6e4-5a24e34f2b47","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","18. FINAL INSPECTION","Prepared By:"
"949665f7-f3cf-5762-a976-897938c68491","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","18. FINAL INSPECTION","Final Inspection (2)"
"2858c3dd-0574-53e0-9fb6-70093f406563","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Accessible","18. FINAL INSPECTION","Approved By:"
"68737057-f650-46f8-a062-184e994f2376","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners"
"e126f5e8-09e3-5e7b-b0ed-08f1351e8b37","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details"
"142b8298-0c92-5ab7-909a-086d5497b7c9","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"7a9e76cf-6cac-5745-bd9f-a0f0da67dad6","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"3baf70be-eb9d-56f7-b469-50e0d7277819","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"0e9f0a42-9c4a-5ab8-8aaf-bd2043f264c8","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"a76dc3fa-2ba4-574e-8f5a-fa3387491a0e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"4c7f626c-4005-57e1-970c-6a13de228436","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","6. 24hr Curing (Typical*)"
"7356b7eb-898d-5dd8-b3df-de7dc8dc9d9d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","7. 2nd Coat Keratrade WPM applied"
"ee00e735-445c-5d5a-86f9-ca202f07debc","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","8. 48hr Curing (Typical*)"
"f5d26258-86fe-5924-b346-9448656777c4","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"eb39364a-a389-56d9-8379-4e586e152c23","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","10. 24hr Water Test"
"5a9116fd-fef8-594b-b373-57cb22dc7754","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","11. Final Water Test Measure Completed - AS3740-2010"
"ee752c58-1561-5b6d-a962-69bb6b9634fb","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","12. Drain Down by waterproof installer"
"77088a84-0516-5c3d-8246-197dfa96e2c6","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","Details","13. Waterproof installer to check / provide go ahead"
"2ff40451-d300-5362-a8aa-ca9341a777b3","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","14. RECTIFICATION ITEMS"
"d0e6586c-2798-5f2e-9e42-be01c34a2f0d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"9db245f6-1d0e-5ba0-9699-7506b9e9f238","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"5d90b3c2-0659-5aea-aadd-afe2d6c53504","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","14. RECTIFICATION ITEMS","Verify with Tiler"
"042e23f5-f7d4-5923-8cb1-46b6f15e3be5","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","17. QUALITY ASSURANCE FROM BUILDER"
"c34d8b29-990e-526f-8123-2fc1ff23d13e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"0274c444-8688-598d-9421-5fe46cac7a54","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","18. FINAL INSPECTION"
"9d4b354f-9eac-5da9-8d2f-637420779b85","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","18. FINAL INSPECTION","Final Inspection (1)"
"7378053f-1c3f-5692-9ebe-3b16effe889c","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","18. FINAL INSPECTION","Prepared By:"
"02f6bf2f-0cd9-5976-8c36-e70cd5eaaace","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","18. FINAL INSPECTION","Final Inspection (2)"
"55096e60-5527-5d90-a6db-42139c0ba095","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","EOT Amenities","Cleaners","18. FINAL INSPECTION","Approved By:"
"43c81d62-8802-4396-a7d4-cc8867d67c63","","folder-normal","not-started","","step","TRUE","FALSE","TM-ITP","Waterproofing","Level 1"
"660bf7f9-01a1-4df7-9fd7-11bf367eeadb","","folder-normal","not-started","","step","TRUE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities"
"aafda7b1-d483-4097-99f0-8f0f3e396afc","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Male"
"309ecc0f-fbcf-5c1e-bdfc-e8af2d9ae137","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details"
"80677c6e-4bce-51fd-8eca-e0d471a69168","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"4ac30ed3-11fb-591b-9ff5-a598f0ec6d83","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"ac9b11c3-dd5c-5183-935a-7254aaa689e6","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"85f00767-1a2e-523b-aedf-f5b83c4d675d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"0c9fa9bd-4ed9-589d-a659-5a196b5023ed","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"25e42b3b-9b58-568a-9559-f4eb12f5d4f7","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","6. 24hr Curing (Typical*)"
"fe256602-a285-5b34-bdf8-282315c9c72f","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","7. 2nd Coat Keratrade WPM applied"
"c9f4bc68-1db9-58aa-a684-928b58732716","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","8. 48hr Curing (Typical*)"
"c86c54f6-2b56-5736-9502-da51791d0e69","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"4306354f-e288-588f-870c-ade6f3007e86","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","10. 24hr Water Test"
"1867fc1c-c63b-5948-b889-ff330660987b","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","11. Final Water Test Measure Completed - AS3740-2010"
"f40ad236-94bc-55ae-b0db-52a3e119fde6","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","12. Drain Down by waterproof installer"
"6e3a354d-afb6-5094-b403-d2fb94d2712c","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","Details","13. Waterproof installer to check / provide go ahead"
"f1f27705-bf49-5c19-902d-431331e3efc8","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","14. RECTIFICATION ITEMS"
"76e9b85e-3708-5661-9c2f-f71616a10c83","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"91c44c86-956a-5403-a2bb-b1254d247b88","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"64a8718c-e8f2-54eb-997e-576fec396a60","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","14. RECTIFICATION ITEMS","Verify with Tiler"
"efdaf582-51bd-5560-a808-58c82fc9bef9","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","17. QUALITY ASSURANCE FROM BUILDER"
"76fec284-61c7-57e8-adb1-89997eef7608","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"30b1eb93-bdae-57d8-9166-1171536eb1c5","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","18. FINAL INSPECTION"
"93c5fced-b554-5d0b-8651-4c7205a16e93","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","18. FINAL INSPECTION","Final Inspection (1)"
"3ff77ca7-0730-598e-8288-0c0db12307e3","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","18. FINAL INSPECTION","Prepared By:"
"3cb5f41e-a0cd-59f7-8988-9760b2277b9f","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","18. FINAL INSPECTION","Final Inspection (2)"
"db1b93fb-1406-5909-a2a5-84b1f76641ae","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Male","18. FINAL INSPECTION","Approved By:"
"ace9ebd8-4731-4f2c-ae00-d6155494f1c8","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Female"
"d5f59351-f59e-5a68-b657-f2867bbcfbcc","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details"
"3804f69d-23ba-5492-8281-9e0fd0570a7d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"2c5c6269-603b-5aa4-b7be-0519943c41da","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"9138bc09-b560-508c-bf79-6683e6446d43","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"605249cc-f342-53ae-adb5-228152b461be","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"37a7279f-fe7a-5556-8558-4e7af3840348","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"5799171b-988e-5a03-841d-692057c5a5bb","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","6. 24hr Curing (Typical*)"
"38348483-e4ec-5cd2-9f5d-09784718cb9c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","7. 2nd Coat Keratrade WPM applied"
"2f2bd810-f1bf-5ca6-ab79-e43f883eaf25","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","8. 48hr Curing (Typical*)"
"1f9deab9-c2f4-5d73-8ad3-18edecbbe5b8","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"bf37f36a-874c-5eb5-a711-201310144da6","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","10. 24hr Water Test"
"945d43ab-273a-5079-bfcc-ddbdae247ad4","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","11. Final Water Test Measure Completed - AS3740-2010"
"aaa01da0-24ee-52eb-9dff-8a17dc513152","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","12. Drain Down by waterproof installer"
"53df1ba6-198f-5784-b49c-c7f7f836a726","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","Details","13. Waterproof installer to check / provide go ahead"
"203397cf-ed4d-5c81-8364-f6f22fa14d8e","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","14. RECTIFICATION ITEMS"
"20a50fc2-70e0-528e-878f-cb3423989ed2","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"fbade92a-93f7-5574-943d-5926ef6cc24b","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"912f5e08-d8da-5197-bb31-eb8c252474fb","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","14. RECTIFICATION ITEMS","Verify with Tiler"
"3e785a66-7e7b-5eac-b8b7-23e35bb716a9","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","17. QUALITY ASSURANCE FROM BUILDER"
"2eae2b35-d731-55fc-a5f1-cbd1ae1a661c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"cf298812-80b0-59c0-86e1-b943beb27927","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","18. FINAL INSPECTION"
"de4e5c03-eed0-5dff-a1ad-0f9f594f1d7e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","18. FINAL INSPECTION","Final Inspection (1)"
"794167d1-63b9-5421-bee9-40b07c9f1899","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","18. FINAL INSPECTION","Prepared By:"
"b970f42a-379b-54cf-8186-267af6dc00c2","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","18. FINAL INSPECTION","Final Inspection (2)"
"43caf51c-788b-5fa2-9c55-0cc56133a013","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Female","18. FINAL INSPECTION","Approved By:"
"b18910c7-a5d7-4365-a127-c58fadebc152","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible"
"d2dff56e-2847-5494-95f4-74a79f80b4c0","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details"
"2f969d59-96d5-5548-b2a5-cb069e412a56","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"6b0340fe-a11d-5c98-b683-6fe9f166f347","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"ffb62b31-8c80-5304-9cbc-7e9d349191dc","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"2f9ee2eb-0a02-5f15-966b-704af825282f","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"cfa2f3f1-0bde-51df-ad61-a20b81414ca2","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"83915f2c-2f3c-5fc5-b639-41faedc6724d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","6. 24hr Curing (Typical*)"
"52c3d7a2-78ba-5487-a07a-8985c56c1a0d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","7. 2nd Coat Keratrade WPM applied"
"00d776ca-2926-5e7a-aa08-5fc401a730f0","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","8. 48hr Curing (Typical*)"
"c6c74c26-4b55-5dc9-ae20-99d764e1e86c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"9b7b64fe-ca88-51ca-8c2e-27bd92accbd9","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","10. 24hr Water Test"
"9c23c059-fc62-5111-8515-6bb8270d44aa","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","11. Final Water Test Measure Completed - AS3740-2010"
"664888fc-f45f-5336-9118-92cd42c1c046","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","12. Drain Down by waterproof installer"
"1f06b663-389f-563a-99ed-228620199a54","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","Details","13. Waterproof installer to check / provide go ahead"
"a6bfff1f-b069-5a8e-9139-fe13abb1451a","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","14. RECTIFICATION ITEMS"
"2946e487-9020-5b79-aa2d-9835004513a8","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"d5aa183e-e213-5814-a35d-7db06cb335dd","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"61bdeee4-0fcf-5883-a023-133f9f669bfb","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Level 1","North Amenities","Accessible","14. RECTIFICATION ITEMS","Verify with Tiler"
