"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"QA Stage 1 - B01A Progress (All Areas)"
,"Scope",,,"b01a"
,"Rows"
,,"entire basement",,"entire basement","b01a"
,,"level 1 - Common Areas","grouping","level 1","common areas","b01a"
,,"Flush Box Fire Box Installed (Photos Attached Of Fire Box)",,"flush box fire box installed (photos attached of fire box)"
,,"Attach Photos Of Fire Penetrations",,"attach photos of fire penetrations"
,,"Lan Test Complete",,"lan test complete"
,,"Nurse Call Fit Off",,"nurse call fit off"
,,"Camera Fit Off",,"camera fit off"
,,"Intercom Fit Off",,"intercom fit off"
,,"Ac-Mags Fit Off",,"ac-mags fit off"
,,"Ac Fit Off",,"ac fit off"
,,"Repeaters Installed.",,"repeaters installed."

"QA Stage 3 - B03B Progress (Apartments)"
,"Scope",,,"b03b"
,"Rows"
,,"Level 1","grouping","b03b","level 1"
,,"a21","expanded","b03b","a21","level 1"
,,"a22","expanded","b03b","a22","level 1"
,,"a23","expanded","b03b","level 1","a23"
,,"a24","expanded","b03b","level 1","a24"
,,"Level 2","grouping","b03b","level 2"
,,"b21","expanded","b03b","b21","level 2"
,,"b22","expanded","b03b","level 2","b22"
,,"b23","expanded","b03b","b23","level 2"
,,"b24","expanded","b03b","b24","level 2"
,,"b25","expanded","b03b","b25","level 2"
,,"b26","expanded","b03b","level 2","b26"
,,"b27","expanded","b03b","b27","level 2"
,,"Level 3","grouping","b03b","level 3"
,,"c21","expanded","b03b","c21","level 3"
,,"c22","expanded","b03b","c22","level 3"
,,"c23","expanded","b03b","c23","level 3"
,,"c24","expanded","b03b","c24","level 3"
,,"c25","expanded","b03b","c25","level 3"
,,"c26","expanded","b03b","c26","level 3"
,,"c27","expanded","b03b","c27","level 3"
,,"Level 4","grouping","level 4","b03b"
,,"d21","expanded","level 4","b03b","d21"
,,"d22","expanded","level 4","b03b","d22"
,,"d23","expanded","level 4","b03b","d23"
,,"d24","expanded","level 4","b03b","d24"
,,"d25","expanded","level 4","b03b","d25"
,,"d26","expanded","level 4","b03b","d26"
,,"d27","expanded","level 4","b03b","d27"
,,"Level 5","grouping","b03b","level 5"
,,"e21","expanded","b03b","level 5","e21"
,,"e22","expanded","b03b","e22","level 5"
,,"e23","expanded","b03b","level 5","e23"
,,"e24","expanded","b03b","level 5","e24"
,,"e25","expanded","b03b","level 5","e25"
,"Columns"
,,"Internal Cabling Complete",,"internal cabling complete"
,,"Main Cabling Complete (Photos Attached)",,"main cabling complete (photos attached)"
,,"Flush Boxes Installed",,"flush boxes installed"
,,"Fire Boxes Installed (Photos Attached)",,"fire boxes installed (photos attached)"
,,"Fire Walls Point Of Entry (Photos Attached)",,"fire walls point of entry (photos attached)"
,,"Termination And Testing",,"termination and testing"
,,"Fit Off Db (Photo Attached)",,"fit off db (photo attached)"
,,"Lan Test Internals (Add Signature)",,"lan test internals (add signature)"
,,"Tv/Data Fit Off (Photos Attached)",,"tv/data fit off (photos attached)"
,,"Nurse Call Fit Off (Photos Attached)",,"nurse call fit off (photos attached)"

"Floor Commissioning Progress"
,"Scope",,,"floor commissioning"
,"Rows"
,,"b01a","grouping","b01a"
,,"basement","expanded","basement","b01a"
,,"level 1","expanded","level 1","b01a"
,,"level 2","expanded","level 2","b01a"
,,"level 3","expanded","b01a","level 3"
,,"level 4","expanded","level 4","b01a"
,,"level 5","expanded","level 5","b01a"
,,"b01b","grouping","b01b"
,,"level 1","expanded","level 1","b01b"
,,"level 2","expanded","b01b","level 2"
,,"level 3","expanded","b01b","level 3"
,,"level 4","expanded","level 4","b01b"
,,"level 5","expanded","level 5","b01b"
,,"B02","grouping","qa - stage 2"
,,"level 1","expanded","level 1","qa - stage 2"
,,"level 2","expanded","level 2","qa - stage 2"
,,"level 3","expanded","qa - stage 2","level 3"
,,"level 4","expanded","level 4","qa - stage 2"
,,"B03a","grouping","b03a"
,,"level 1","expanded","b03a","level 1"
,,"level 2","expanded","b03a","level 2"
,,"level 3","expanded","b03a","level 3"
,,"level 4","expanded","level 4","b03a"
,,"level 5","expanded","b03a","level 5"
,,"B03b","grouping","b03b"
,,"level 0","expanded","b03b","level 0"
,,"level 1","expanded","b03b","level 1"
,,"level 2","expanded","b03b","level 2"
,,"level 3","expanded","b03b","level 3"
,,"level 4","expanded","b03b","level 4"
,,"level 5","expanded","b03b","level 5"
,"Columns"
,,"floor commissioning",,"floor commissioning"

"Building Commissioning Progress"
,"Scope",,
,"Rows"
,,"building commissioning - Stage 1 - B01A",,"building commissioning","qa - stage 1","b01a"
,,"building commissioning - Stage 1 - B01B",,"building commissioning","b01b"
,,"building commissioning - Stage 2",,"building commissioning","qa - stage 2"
,,"Building Commissioning - Stage 3 - B03A",,"building commissioning","b03a"
,,"Building Commissioning - Stage 3 - B03B",,"building commissioning","b03b"
,"Columns"
,,"building commissioning",,"building commissioning"

