"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7a5d1032-2e8e-4b5f-816b-d1d835b6eae2","Child PS1 Attached(a12a6c0e-46ab-5494-b865-03fa338b2f8e): checkpoint-status has incorrect meta.stepType checkpoint-no-status","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"8f9570c7-30a5-5966-b121-35eb0efa0012","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"eda5e2b1-06f4-5a19-94e1-b2a2e96ecc8f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"a3adab03-b3ff-5509-a4bc-fb7559c5498e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"a12a6c0e-46ab-5494-b865-03fa338b2f8e","checkpoint-status has incorrect meta.stepType checkpoint-no-status","checkpoint-status","not-started","","","TRUE","TRUE","Overall Pre-start","PS1 Attached"
"4eb7a878-583a-58d6-b28c-f6dbddf763af","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"ff785a5f-e709-5ee5-942b-2f3efd738914","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"d0703847-59aa-4ffb-b683-030d2685a9f2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"c909fca3-062b-4078-975f-70ec1430e044","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","New Carpark Building "
"ede974c7-1e38-45e7-9736-904e586e9f15","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors"
"4fea99fb-3dab-459c-a57b-0ead02e0594a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist"
"ffabbc29-1dd8-4448-877e-72bc879fd042","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 82"
"e77ceabc-df21-5e4f-9102-c6a36aeb49d2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 82","Required number of photo(s) taken of installed anchor(s)"
"60c50c87-3b07-5d1a-bf18-5b2a5db1345b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 82","Installed as per PBI drawings supplied and manufacturer's requirements"
"eba42644-b57e-4f4d-94a6-5d255a63803c","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 83"
"bd905ef4-9d0f-563b-afb5-b66ad0283be5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 83","Required number of photo(s) taken of installed anchor(s)"
"8ca4beb9-e99b-5056-82f3-f8d82d946301","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 83","Installed as per PBI drawings supplied and manufacturer's requirements"
"d9d0bc1c-9991-4d7a-ab9c-f82f2ae0b67e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 84"
"6499f838-1c55-54d1-b83d-5f2130db1188","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 84","Required number of photo(s) taken of installed anchor(s)"
"c28b4689-8c6e-5dbc-9bb6-7c1aa41e6720","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 84","Installed as per PBI drawings supplied and manufacturer's requirements"
"c201d56e-481a-4e94-b509-285faf4ace81","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 85"
"c14ff065-df45-5e0f-8035-d2a3def97de4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 85","Required number of photo(s) taken of installed anchor(s)"
"35240aab-7588-5b17-9433-f7833276de1d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 85","Installed as per PBI drawings supplied and manufacturer's requirements"
"0168c5c7-aa28-44a6-8237-8cff3d2c1412","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 86"
"04d9ca81-bbb6-562e-b045-a4ca109b8875","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 86","Required number of photo(s) taken of installed anchor(s)"
"13cd5805-b9fd-5da8-9530-13cfdc6ed053","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 86","Installed as per PBI drawings supplied and manufacturer's requirements"
"0fc493b9-2dc9-4d73-be6c-d707dfd382ab","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 87"
"5c95b266-1fe7-55dc-a28e-c020bb666afc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 87","Required number of photo(s) taken of installed anchor(s)"
"de56ae9f-e30b-511d-b68f-b5f90e0670ec","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 87","Installed as per PBI drawings supplied and manufacturer's requirements"
"0125ee69-a0ba-41fd-9436-41f94a24e328","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 88"
"ed4ed2a1-75e3-51e1-8b02-6c20e2a849fc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 88","Required number of photo(s) taken of installed anchor(s)"
"57a4435b-cabf-5e88-a777-c41a125eeb03","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 88","Installed as per PBI drawings supplied and manufacturer's requirements"
"ad079099-06f8-4d5e-99bb-b5b757014da6","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 89"
"29cbee71-6e4b-587f-b2a5-5a8525c64148","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 89","Required number of photo(s) taken of installed anchor(s)"
"61c0f568-1f59-57ad-9914-9a6ac9de3d40","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 89","Installed as per PBI drawings supplied and manufacturer's requirements"
"b922c017-8be0-46f1-82d3-99928403e411","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 90"
"2e211202-c97e-5d85-9dac-a0882b9599fa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 90","Required number of photo(s) taken of installed anchor(s)"
"6e46159e-3a45-5a8b-b7a7-3c8a03af3355","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 90","Installed as per PBI drawings supplied and manufacturer's requirements"
"8c27436f-736f-4aa3-9884-653ab5e16f0a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 91"
"41c8287a-4fa2-5e11-81d7-e196114ff60e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 91","Required number of photo(s) taken of installed anchor(s)"
"75a7f44b-02f7-5eb4-b22b-b64420a33539","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 91","Installed as per PBI drawings supplied and manufacturer's requirements"
"4d4519c9-156b-4edb-a92e-72e106301bf7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 92"
"31c1efe3-10eb-5847-81e3-b0d235ed76e5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 92","Required number of photo(s) taken of installed anchor(s)"
"151dc4c4-e3fa-5c4d-b751-1b9c2538edf9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 92","Installed as per PBI drawings supplied and manufacturer's requirements"
"c20c1ff3-c768-468b-815a-79ebd64f5025","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 93"
"70efdc61-3e5d-54da-87cb-08dae72346e3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 93","Required number of photo(s) taken of installed anchor(s)"
"eb283763-6aeb-5682-8a5d-2611f36173c5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 93","Installed as per PBI drawings supplied and manufacturer's requirements"
"cdbc92d4-e61d-4f2d-99d8-ff7452c43f8a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 94"
"29e7f60e-cbf9-55a9-9a18-548ef1c5b015","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 94","Required number of photo(s) taken of installed anchor(s)"
"c607a545-7e64-58af-9d4a-bda0735719fd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 94","Installed as per PBI drawings supplied and manufacturer's requirements"
"19a1ced3-4388-4e93-b08c-c38f337319ff","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 95"
"cab83acf-5ef0-51f3-a612-2dff0b0c06d5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 95","Required number of photo(s) taken of installed anchor(s)"
"f88ce6ad-d79d-5832-a243-43955000477b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 95","Installed as per PBI drawings supplied and manufacturer's requirements"
"8896cb55-9c30-4985-958b-155804631c59","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 96"
"39b51c32-ea5b-5b6e-ab40-65d983b687d3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 96","Required number of photo(s) taken of installed anchor(s)"
"684c433f-cd4c-5902-9149-4470ffc8b0a0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 96","Installed as per PBI drawings supplied and manufacturer's requirements"
"33375f7e-ded0-42a6-b30c-3085f36d2d50","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 97"
"fc6623fd-b9df-52a2-ae18-d20c83eb67bb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 97","Required number of photo(s) taken of installed anchor(s)"
"29a0952d-7cff-5639-a6f7-bdcd30ef149f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 97","Installed as per PBI drawings supplied and manufacturer's requirements"
"cf3b57ee-6d8b-4d2f-be69-e760b369abb7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 98"
"dd8763be-98b6-5667-b06a-14180a089cc0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 98","Required number of photo(s) taken of installed anchor(s)"
"281cefd0-3633-55bd-b8dd-d45779f24783","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 98","Installed as per PBI drawings supplied and manufacturer's requirements"
"11db64e1-479b-4c5b-bb47-8f35e90f642b","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 99"
"5833c1fc-ecfb-5f9c-92e3-7e9dd1781eeb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 99","Required number of photo(s) taken of installed anchor(s)"
"7a5f68bc-f958-5a33-9982-fc9adc16f05b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 99","Installed as per PBI drawings supplied and manufacturer's requirements"
"bac65ec7-0480-4af7-a56e-c1f04ea38ae9","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 100"
"dcf35c45-5c7c-58d9-b41b-c3ae74709201","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 100","Required number of photo(s) taken of installed anchor(s)"
"75518bac-a7f8-5957-8d2d-75904b0dcba6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 100","Installed as per PBI drawings supplied and manufacturer's requirements"
"629d0a93-09d5-4ff0-8d31-8d43b62e8cc1","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 101"
"9693decd-64e0-5803-a763-dbe32d5c9740","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 101","Required number of photo(s) taken of installed anchor(s)"
"77e11a83-c80e-5e5a-af27-510c00e091ce","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 101","Installed as per PBI drawings supplied and manufacturer's requirements"
"28a6f2fd-599d-4229-9b9c-22b8bbbe5bd4","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 102"
"4d9091f3-dc96-538c-84f7-38bb10e69ede","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 102","Required number of photo(s) taken of installed anchor(s)"
"ce3d40de-9545-5c76-8b2e-6893a818e5ff","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 102","Installed as per PBI drawings supplied and manufacturer's requirements"
"b1ebb87f-6978-4c2b-8306-6ebd62df1506","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 103"
"39f2eced-4270-5c23-999a-500f3b3483b9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 103","Required number of photo(s) taken of installed anchor(s)"
"f6f27bb8-fe6f-593e-9dc9-6055f1b2c8b3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 103","Installed as per PBI drawings supplied and manufacturer's requirements"
"52992e17-bca5-4b53-9a4f-c4d108912502","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 104"
"8a3e0bd0-e3aa-5a6a-ba88-4d1c1540fd91","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 104","Required number of photo(s) taken of installed anchor(s)"
"8193321b-fe4a-55a4-b173-5cda0918674c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 104","Installed as per PBI drawings supplied and manufacturer's requirements"
"df250b40-6d1e-48db-a568-78e58440dac0","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 105"
"dd2c6117-aed4-5cee-be67-88cb91e5d908","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 105","Required number of photo(s) taken of installed anchor(s)"
"a4762fee-1442-5794-b703-940b58719526","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 105","Installed as per PBI drawings supplied and manufacturer's requirements"
"9fc77f30-0779-4cd2-a7fa-5cf5a69ffe42","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 106"
"a9ec49a6-7287-5fe7-af6d-deff09f7e732","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 106","Required number of photo(s) taken of installed anchor(s)"
"14349f49-ce62-5883-8b82-353207d719ff","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 106","Installed as per PBI drawings supplied and manufacturer's requirements"
"5c53d735-c609-42dc-94e6-8575ff6a022b","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 107"
"fafb4ff5-cdc9-5541-9d08-652a4ff82a74","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 107","Required number of photo(s) taken of installed anchor(s)"
"14c1b626-baa0-53e5-904d-9e623d70f525","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 107","Installed as per PBI drawings supplied and manufacturer's requirements"
"50ff40b1-0b7c-4e24-ae6c-ef97e1d8f3d9","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 108"
"6515188f-9de6-59b6-975d-3c2a3d683c22","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 108","Required number of photo(s) taken of installed anchor(s)"
"a951410c-3e82-5c27-b0f0-32cdc0e91a1e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 108","Installed as per PBI drawings supplied and manufacturer's requirements"
"7f6ee8a7-e47d-481e-a80f-7e68b3f32e5f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 109"
"198cf976-6e19-58ec-8db0-0492ab166221","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 109","Required number of photo(s) taken of installed anchor(s)"
"4273f258-d15c-55df-ad78-e90f2058e19a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 109","Installed as per PBI drawings supplied and manufacturer's requirements"
"1244548e-e398-41f9-b808-84cff9213cf9","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 110"
"85bce221-9d4b-5d4d-8ba7-5bfcebd55c66","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 110","Required number of photo(s) taken of installed anchor(s)"
"2d06f88c-ab45-5f8b-aa08-8fd5f2e00740","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 110","Installed as per PBI drawings supplied and manufacturer's requirements"
"a0fa0bd6-fd13-43db-85f1-98c871308bab","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 111"
"a7bd3e7f-f0bf-5b51-9a8a-086ce162a75e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 111","Required number of photo(s) taken of installed anchor(s)"
"0bc7bdff-9966-5427-ae92-b9ffc9ca05a0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 111","Installed as per PBI drawings supplied and manufacturer's requirements"
"0435b838-9f87-4b9a-a298-e952debf8557","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 112"
"83168713-0893-54a5-a2a0-ebc82abd3013","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 112","Required number of photo(s) taken of installed anchor(s)"
"b3d591d8-516c-5dfb-a083-039ef204003f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 112","Installed as per PBI drawings supplied and manufacturer's requirements"
"e2f52d69-7c4b-49a9-9f5b-428dba15774f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 113"
"4dc3c2e2-1363-51bf-9ef9-33e3c6baf6bd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 113","Required number of photo(s) taken of installed anchor(s)"
"3bcd09ac-8364-5695-a84b-270ec1da833a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 113","Installed as per PBI drawings supplied and manufacturer's requirements"
"f4c4d7a1-26b3-4ebc-9c19-1acac4de73a2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 114"
"f219eb4e-7ce1-59cd-84e9-cbd2b598e705","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 114","Required number of photo(s) taken of installed anchor(s)"
