"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b53f8f34-bb02-4c50-9ae8-4917c4ea9743","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"4ef3cfe1-228a-4721-9e9b-45bb78739a7f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","B01"
"9eb000d2-1b2d-46b7-aced-5d129e272b93","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","B01","Fitout"
"d10dab5e-a8e8-4ea9-9038-4134e7246ab9","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement"
"0cc0381a-7cee-43ae-823f-23bc4da42e3f","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A"
"28966d3f-9950-40d7-a988-ed42747ab640","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area"
"be950575-57bd-458a-a299-719a35dc3c05","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Stair area"
"b3d60525-a3a4-4e37-bd1b-3ba3317ba1e0","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing"
"f3960cc6-6c08-525a-b62c-14f6c2e04ae2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"5fdf469f-a5ef-59c2-bf31-9c45006892fb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"afd638be-5016-5a17-bbea-b942054d4b31","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Batten joins offset"
"235e1c7e-a41f-54f7-978e-f6b76a2283e5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Batten joins flush"
"7d683f74-f560-59e2-96ec-eef5d471ddb0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"e118370e-a584-5dfc-8dfd-e6c123ee96ec","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"e09e17a6-b996-58dd-a7af-8fd21fec6b81","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"2574277f-fb44-52d0-8dfa-71dfdc011599","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"d97a40dc-2ac4-5093-a496-d1e4ed0fad43","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"bf6cdb06-0205-571c-bbeb-9dbb0c67c859","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"a6568927-268a-58f7-b9f2-4cb99655e0a9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"42669366-431a-527c-aa45-0befbdd6993f","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"1eaa41a4-83ce-4e4f-b18b-45ce5196b1af","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing"
"12b299fd-7f93-558a-943c-d7380528115a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"fd2ae06f-7341-5088-be02-a56fc9c57f8b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"f60d07a0-435b-585d-a1b9-d11814eccbdf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"d8d295c8-3431-5f9f-85fd-998b9c32d1af","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"0575e0aa-f682-5009-b42a-be015eb08baa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"18a95113-b042-58d0-8977-1aed6339e575","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"e6a11f55-ead1-5bd2-abf5-4e137f66c517","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"265fc136-d1fe-5daa-8c4d-bae410158110","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"44246e1a-58f1-5570-a18c-ac42c044e409","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"a0a0c9d5-a445-405a-92dd-e98578ae83d1","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids"
"2884d04b-9657-5143-8964-fbeb9f184d05","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"ee65b891-ef4e-5d02-b8de-d8807a221ce8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"f56def58-3d57-5b22-a200-f455c9a4b65e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"291017a5-6cbb-529d-90b3-78f45216a5d5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Batten joins offset"
"4c767d09-94be-5580-908c-4dfdd50aeea5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Batten joins flush"
"e664613c-6b82-5ea5-9854-99e58da41d41","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"7adcdc1b-a641-5d99-9de1-2fad568dde1b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"9da16fca-6686-5f3b-aea7-2fa04ae8cd74","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"9014abf1-c8b2-57f6-bbe1-e7ae8aabe54c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"6773aee8-9546-5542-942c-484af5a4d8aa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"645c3ba9-3821-55be-b81b-c534f331af1f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"16be8a77-8e7e-5bcc-b1b4-da9b385a6225","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"cd87401d-c67a-5c21-8848-a49b6fea2e83","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-10","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"a92daa65-e662-4670-8faa-cb71798812b0","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11"
"0ac38214-e9bb-4f81-918b-63be4292ced5","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing"
"afd9cc52-80d1-5971-b61e-85282efbf1b9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"81e326a6-7916-542e-8ad5-38b9751b9383","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"079b69c1-0d1d-5a35-8822-dd98dc2459ba","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"009fc1b4-43e8-5f37-8b26-fa1ab6aaaf99","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"a40618c1-7d10-5a3f-8d89-d59f9c4281af","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"f2f31ecc-47e4-53e0-953b-303166d24880","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"21e830d2-6e70-5ccb-9686-2fc9cbd08d33","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"e02ce03f-a2a4-5646-80ce-499501beca22","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"4589357a-c1ea-5a7b-8141-035c3015e02c","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"54239c4d-000b-4247-976a-2392f9ddc6e2","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids"
"5230fbe4-7e9b-5094-a549-143ae3c3c65d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"d44a27c6-356c-575e-b6f7-dfb313f4ea23","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"108bc017-07b4-5a4c-b686-e6d2e781ae63","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"ab93b241-5f72-587a-bec7-6242aac96611","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Batten joins offset"
"bfe81965-6715-5797-8057-e859c1e9741c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Batten joins flush"
"cb32d41a-0279-57d7-94bd-ae6da51c326c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"444c2bb4-c058-5c73-82f3-39e830d0b480","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"43479154-8677-5095-93bc-48d829cd96e7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"d2e5888a-e855-524d-8e87-a7af025d168c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"f32e12c2-dce2-5619-8916-db2696a4d98b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"71372e3c-db43-5ac3-b47d-4089324d9e59","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"aed6d62e-4300-545c-9f67-32814fd0f1bb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"6ef6f716-8b30-545a-a22b-df04a3692080","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-11","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"33297a69-7af9-4741-90be-7adc67283cc4","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12"
"9051f895-1063-44c7-aed1-21c98b18c7c5","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing"
"8a5666d3-1d31-5c97-b9ab-be1248d5956d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"430bafb4-8f04-553c-8afa-9c27cf8d2815","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"a47c47ba-a081-59fe-820b-4b10ab7209dc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"f164daf7-c3dc-5b56-b2b8-6f96c8ce0459","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"04da707f-b6eb-557f-8fa7-6165ed2300f5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"325d6bbc-9432-5afc-b314-68c012219c90","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"b0a9c66f-fb75-5de2-9f3b-f77fb2a8c7d3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"1572d9e5-cfb3-5f5e-809e-2cb54abf4f6b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"27040eac-40ee-5baa-a28b-9264cb76bee5","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"8fcd24c0-d07f-4c35-9b43-f10c7f43984c","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids"
"d065272c-8a26-5436-909d-02c1aae362db","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"003e45bb-6b73-510d-ba13-db51ed2c4372","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"47fa48e2-52e8-5548-be65-4d5a4033efef","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"e6e5c298-cd4c-534a-a187-da568c07effa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Batten joins offset"
"570ed9df-7f80-5713-8509-4779a59118ae","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Batten joins flush"
"334647cb-1dfe-5c05-9097-9d9e561c699f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"fffe5c5d-7aa1-5248-8aca-12730e15328b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"e42eacc8-28a2-531a-84fa-6db2cfc74d74","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"d5188870-3dbe-51ad-977c-bdce7ee6c1ad","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"58da7ed8-0e7c-5307-88b5-b02b5be5d56a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"7da253cb-20b0-5a72-942e-4a00e7fa879e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"42d6f6af-8a34-5c36-ac12-53bed73bc7de","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"4ad5cfbd-cf78-5ddd-87b7-14d9e07d7945","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-12","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"d5218fae-8d42-498c-be53-3f9e47aef7b5","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13"
"46d76625-0a41-4767-9e58-c5eb4b9bd527","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing"
"f1cd3466-e4ee-57e0-b05b-17810c43267c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"3ddc15b6-ddda-50da-bcde-ed24937643ba","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"2ed4ed30-93cc-5462-b1bd-0b7a62acfb65","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"c6fbddc1-bb93-58ee-b6e1-c7d9307945ae","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"6fd60d4b-cb00-5007-b3a5-91a521fd5733","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"8400aa40-9bb8-5bf0-8994-8ed9b6fe7ef3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"89f3bb51-11b3-5938-b335-c7751533f2d9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"a3057eef-5476-5f15-925c-2fa15c040a0e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"4670b809-456c-5f03-90d4-12bb4bd05c9a","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"868830d4-7f39-4ca4-aedd-b4dde49b8910","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids"
"f56cc3df-d0d1-5f1d-8a4e-41f2027e5316","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"e49e646e-2fb5-505e-8ed4-5283a46dd378","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"7d7f3dca-fa51-58b7-8177-d0b0b11edccf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"f61ba6da-31f2-5598-9c66-950ab1c4b5bc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Batten joins offset"
"fc542a1b-11da-5e91-bea6-d880e10dfc4e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Batten joins flush"
"d9240c08-b517-5eb3-88dd-a17282bdc729","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"56bb1f9c-3414-5eaf-870e-1fc7fd16cfe6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"be995348-248f-52af-b2e6-de34ef477a34","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"2c1c08ce-ef66-5727-8eb6-75395b6cfe04","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"541efa33-5fcf-5cf9-a144-d59335803dbf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Ground level","Area B","Apartments","Bed G-13","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
