"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"819d3d61-999a-4fcf-bb3a-aef89775fb1a","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA"
"76e32474-9c42-461f-9a17-0cbd323f6977","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor"
"0df41649-dccc-477a-a60a-b6be34af6a58","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1"
"3bbddbf6-ff78-499e-9dc1-60ebab34e720","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2"
"006d257c-d042-486a-99af-56c39398d42d","","checklist-flat","work-in-progress","8807480b571d700a79527250b46cc6afa797a57d4818a70c775a9b56db496654","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing"
"c2a39437-8b8e-5493-9fcc-0c6f596fbe02","","checkpoint-status","pass","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","DPC installed, checked and correct as per specification"
"9bdd781f-568f-5df1-9ccc-1e7dd3ed09f2","","checkpoint-status","pass","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","Wall locations checked, correct and approved as per latest revised drawing"
"070cf557-2f45-5c47-b876-4d743dcf4d49","","checkpoint-status","pass","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","Fixings and hold down bolts checked and correct as per structural dwgs"
"26f39a56-a0f7-5080-a927-8235863d228e","","checkpoint-status","pass","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","All openings (doors / windows etc) checked - Refer door supplier shop drawings"
"b11d1ab7-e838-5cc0-8bd4-726ac142ed02","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","Wall checked (straight and plumb) and within tolerance"
"eb47a01b-b662-515f-9212-c4cfb6c0cffc","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","Spax screws installed as per structural design"
"81a6ef7f-7187-5f63-95cf-410821c70c08","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","Bracing elements installed as per S1-03"
"be6b49fe-f5d0-50e8-b228-091996bc967c","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","Gib quiet ties installed"
"cde25d2c-04c2-532d-8d4b-9afd47decb34","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","All relevant nogs (service and special/fixtures) installed, checked and correct"
"c16cfd4a-a1de-5cee-9156-48bf5dd2aa15","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Interior Framing","All Wall framing checks completed & Inspections carried out"
"861afc78-3a7b-4873-aab6-6e3663e08232","","checklist-flat","not-started","Timber Architraves & Skirtings & Jamb liners","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Timber Architraves & Skirtings & Jamb liners"
"8c03bce8-12cd-57af-b528-34a3bd5fdefc","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Timber Architraves & Skirtings & Jamb liners","Type of skirtings as per drawings"
"8fced211-ed26-5944-b683-26b51db69dba","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Timber Architraves & Skirtings & Jamb liners","Type of architraves installed as per drawings"
"a70df8a9-81ae-5f6d-94a2-26f124e00d78","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Timber Architraves & Skirtings & Jamb liners","Have all the architraves/skirtings been installed with consistent even margin?"
"29567f37-8be0-5a9d-a477-618bbd3c6ada","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Timber Architraves & Skirtings & Jamb liners","Jamb liners installed"
"46dfe214-9781-4e84-a221-2d349c3ece3c","","checklist-flat","not-started","Internal Checklists - Doors","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Doors"
"c5fbc91b-ba3d-58a9-b27f-c4786c4c3cad","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Doors","Check opening is correct and plumb"
"01e8e661-b568-51b4-9c34-078c834c6cfe","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Doors","Doors installed within tolerances"
"9c903102-d5da-5181-9db2-22711b040a3d","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Doors","Fire seal installed if fire door"
"4aedaffd-2471-579f-9b76-804e921ec437","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.25 - DLY CON 1","Doors","Floor gap is correct"
"a0b3aff5-eda5-4467-ab98-a57986d405ea","","folder-normal","not-started","","step","TRUE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room"
"6800e797-4e4b-4c52-a4b9-34cc552f4200","","checklist-flat","not-started","d01d72c8a1c8fd2fc1460576c5b5aa2fbf45285dc613993d6a7628457d5f2c96","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing"
"e4a3ef12-d486-5973-a79e-c2948d2d857c","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","General information recorded"
"c8e59ac7-84ad-536f-920c-6f7d11dc9b61","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","DPC installed, checked and correct as per specification"
"b0e0689e-78bc-57c5-8a04-5f79ff572dd5","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","Wall locations checked, correct and approved as per latest revised drawing"
"f8a1b4ec-d98a-5692-8ca1-c374537ae7de","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","Fixings and hold down bolts checked and correct as per structural dwgs"
"c85dab48-b018-560b-9ff5-e943ca34de79","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","All openings (doors / windows etc) checked - Refer door supplier shop drawings"
"877aca7f-7f4e-5202-bb8a-30735716ba1c","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","Wall checked (straight and plumb) and within tolerance"
"48e4e9a3-a6c5-585f-89e9-3d38f2472780","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","Spax screws installed as per structural design"
"5c018786-56ec-53bc-ac2a-6f0c97fc0fe0","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","Bracing elements installed as per S1-03"
"9456aaba-7a8f-5b33-8a4a-a1c39abc3ae0","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","Gib quiet ties installed"
"0f0138d3-979e-5634-a89d-8ea8f6d76843","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","All relevant nogs (service and special/fixtures) installed, checked and correct"
"4aa82e83-3086-541a-b16d-cac795d8d5f4","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Interior Framing","All Wall framing checks completed & Inspections carried out"
"b274cd5a-cc6f-43bc-a5ef-9f6a07679472","","checklist-flat","not-started","Timber Architraves & Skirtings & Jamb liners","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Timber Architraves & Skirtings & Jamb liners"
"6a16d2bb-bd15-54ab-aabe-d7a06fdecfc1","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Timber Architraves & Skirtings & Jamb liners","Type of skirtings as per drawings"
"9db17f90-b928-5954-8215-7f476298e908","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Timber Architraves & Skirtings & Jamb liners","Type of architraves installed as per drawings"
"857c42d0-39f7-593b-b366-2b84cfc4dafe","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Timber Architraves & Skirtings & Jamb liners","Have all the architraves/skirtings been installed with consistent even margin?"
"d7d9ea6e-66b0-5ad8-97de-b398002a0901","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Timber Architraves & Skirtings & Jamb liners","Jamb liners installed"
"d0cc6067-8094-414c-8256-e8a3f234c023","","checklist-flat","not-started","Internal Checklists - Doors","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Doors"
"7415410c-45e3-5e38-873d-dbb37fb273ae","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Doors","Check opening is correct and plumb"
"c25d26ad-dba6-536e-a616-309b341cb849","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Doors","Doors installed within tolerances"
"f9aa7c6e-3441-511c-86b7-f8b71455dd8a","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Doors","Fire seal installed if fire door"
"9d3f341a-f0e3-5b60-821b-9ba009fe6fc0","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.26 - Service Room","Doors","Floor gap is correct"
"e890d2be-8e39-41b6-b5e1-80771e335e7f","","folder-normal","not-started","","step","TRUE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD"
"8be345b1-2430-4dcb-809d-2b281f05b675","","checklist-flat","not-started","d01d72c8a1c8fd2fc1460576c5b5aa2fbf45285dc613993d6a7628457d5f2c96","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing"
"479edf0e-810b-5998-ad1f-4dc653d7abc4","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","General information recorded"
"d96a44a9-d8cc-51d1-a5f2-fc16f2bbdbb1","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","DPC installed, checked and correct as per specification"
"4a3287dc-b461-592a-be0f-bcb1a7f5adcd","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","Wall locations checked, correct and approved as per latest revised drawing"
"67ec03f6-17c1-5a90-bd0b-88905634837a","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","Fixings and hold down bolts checked and correct as per structural dwgs"
"87a7ffed-4428-5305-91ca-a43bd50b8a55","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","All openings (doors / windows etc) checked - Refer door supplier shop drawings"
"750636d2-da9c-513d-a9e1-c7effdffd29b","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","Wall checked (straight and plumb) and within tolerance"
"4b455e41-beb6-573a-9306-985b10fb0a17","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","Spax screws installed as per structural design"
"e1158852-7b78-57ba-b126-5983c14edbcd","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","Bracing elements installed as per S1-03"
"9558937c-050d-5b37-850d-08bbfcf1f9f0","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","Gib quiet ties installed"
"60ef07f4-14d0-5e9b-ac92-300df1475002","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","All relevant nogs (service and special/fixtures) installed, checked and correct"
"d75d8055-e57c-53ff-a4ea-a75fca75282e","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Interior Framing","All Wall framing checks completed & Inspections carried out"
"bd4b2b99-9b12-49c3-92b3-8d37a15474cf","","checklist-flat","not-started","Timber Architraves & Skirtings & Jamb liners","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Timber Architraves & Skirtings & Jamb liners"
"5be453c1-51fb-5add-83c4-d744bc4d520f","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Timber Architraves & Skirtings & Jamb liners","Type of skirtings as per drawings"
"03ea6aff-e4c5-532e-aa25-9f7224758cdd","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Timber Architraves & Skirtings & Jamb liners","Type of architraves installed as per drawings"
"cbd3130d-422a-5ac6-bbce-3fb9aca13e48","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Timber Architraves & Skirtings & Jamb liners","Have all the architraves/skirtings been installed with consistent even margin?"
"0e44c450-6eef-50f5-81fd-be2afc98f1e3","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Timber Architraves & Skirtings & Jamb liners","Jamb liners installed"
"b05bc8c9-0de5-47d2-b6b7-a4b7588045ed","","checklist-flat","not-started","Internal Checklists - Doors","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Doors"
"9345282a-8e38-5f07-867d-e3e716c9759c","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Doors","Check opening is correct and plumb"
"22b2327b-127a-536e-b26a-ed652b4a27b8","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Doors","Doors installed within tolerances"
"41bfebca-f01a-5e38-8357-a46ee38b99c0","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Doors","Fire seal installed if fire door"
"de571d75-c1a4-53ff-98f8-f733131e440d","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.27 - DB CBD","Doors","Floor gap is correct"
"eda0af70-63e2-4f2a-8187-3c16a810afda","","folder-normal","not-started","","step","TRUE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms"
"ead00b65-3c49-443d-88cc-c955d7e98975","","checklist-flat","not-started","d01d72c8a1c8fd2fc1460576c5b5aa2fbf45285dc613993d6a7628457d5f2c96","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing"
"68654108-201c-5db0-8149-00975328508f","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","General information recorded"
"e59ece10-bf0b-5a71-b7d5-de063769d3b2","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","DPC installed, checked and correct as per specification"
"a353ff3a-43c8-5bab-b4a2-ec33b24f3b9e","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","Wall locations checked, correct and approved as per latest revised drawing"
"aa8072a4-501e-5742-bb71-11ba03f906d7","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","Fixings and hold down bolts checked and correct as per structural dwgs"
"4f4d5705-387a-56f3-a861-489e16110392","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","All openings (doors / windows etc) checked - Refer door supplier shop drawings"
"9f65fc18-62f1-5dca-8afd-9a9d57a61c55","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","Wall checked (straight and plumb) and within tolerance"
"d4ed4f74-5b72-55cc-b8ff-5d3e474e9950","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","Spax screws installed as per structural design"
"33e7952e-4d52-5b8f-be7b-9f94581e06fd","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","Bracing elements installed as per S1-03"
"a1ad4836-ccb9-50e7-a5a4-5867b1dc2a95","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","Gib quiet ties installed"
"a5ea09c6-adf1-5164-b921-adf5181d5915","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","All relevant nogs (service and special/fixtures) installed, checked and correct"
"8300d84a-bb97-5c91-8180-7f7a3293c6a8","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Interior Framing","All Wall framing checks completed & Inspections carried out"
"d933d49d-e98f-410c-a0cf-0c09149f3067","","checklist-flat","not-started","Timber Architraves & Skirtings & Jamb liners","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Timber Architraves & Skirtings & Jamb liners"
"2122c4b5-d54c-548a-9be4-eaac6f6ae5ff","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Timber Architraves & Skirtings & Jamb liners","Type of skirtings as per drawings"
"313961ee-11c5-585c-9e0d-876f9d1031b0","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Timber Architraves & Skirtings & Jamb liners","Type of architraves installed as per drawings"
"431f9de7-e186-5771-bc1e-d0fcf0525fb8","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Timber Architraves & Skirtings & Jamb liners","Have all the architraves/skirtings been installed with consistent even margin?"
"f37dcb2e-9e88-5786-9d4c-e58ade9b5b4b","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Timber Architraves & Skirtings & Jamb liners","Jamb liners installed"
"94c3486b-0c3a-4e59-a1af-0f6ef0959307","","checklist-flat","not-started","Internal Checklists - Doors","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Doors"
"7d4a5a8c-7236-5803-9805-3f13007e7456","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Doors","Check opening is correct and plumb"
"a2206517-0416-5fdd-b745-ef8e825ae0be","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Doors","Doors installed within tolerances"
"630b0781-d59e-5978-a221-4a274e66b3b7","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Doors","Fire seal installed if fire door"
"a42e4597-e9d2-5ddb-8fcf-dba89fdcc545","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.28 - Comms","Doors","Floor gap is correct"
"108b6a0f-5e12-4284-9e9c-c160c003d940","","folder-normal","not-started","","step","TRUE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station"
"30a97d8d-499c-4aa3-b9b4-eaa4f1691200","","checklist-flat","not-started","d01d72c8a1c8fd2fc1460576c5b5aa2fbf45285dc613993d6a7628457d5f2c96","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing"
"9ac24677-51f3-54e1-a33d-4e70f008946f","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","General information recorded"
"4f466955-3e95-59a7-b6a7-3f37f1c4d7ae","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","DPC installed, checked and correct as per specification"
"2dd3b8b4-646c-5d6b-af3b-0b9ffb1088e9","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","Wall locations checked, correct and approved as per latest revised drawing"
"f5cd0213-aa86-54d6-81de-230c0e99e512","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","Fixings and hold down bolts checked and correct as per structural dwgs"
"4d3a6297-32d1-5119-b1fc-5f9dfbbd7005","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","All openings (doors / windows etc) checked - Refer door supplier shop drawings"
"8630f12a-162b-59a2-8485-f14723bfb75e","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","Wall checked (straight and plumb) and within tolerance"
"5a2b4ae9-3892-5690-b5dc-8f98528b9545","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","Spax screws installed as per structural design"
"ec2224b5-c5db-535b-ae36-cec9e261d8ad","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","Bracing elements installed as per S1-03"
"25b5e5d6-c1ee-5bc6-8b64-777dd54497ec","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","Gib quiet ties installed"
"b84fa139-050a-56bf-ac49-86ae972690a5","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","All relevant nogs (service and special/fixtures) installed, checked and correct"
"10fdd9cf-ad18-518b-b7e1-d84357f39ec1","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Interior Framing","All Wall framing checks completed & Inspections carried out"
"19233b22-65df-4a9c-a9ce-5db4e7980037","","checklist-flat","not-started","Timber Architraves & Skirtings & Jamb liners","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Timber Architraves & Skirtings & Jamb liners"
"c0cc3662-8ee9-5009-b3d6-82751cfe9de4","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Timber Architraves & Skirtings & Jamb liners","Type of skirtings as per drawings"
"fe1759ca-728a-5346-874b-bc96a104848c","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Timber Architraves & Skirtings & Jamb liners","Type of architraves installed as per drawings"
"924aaf00-2365-5765-8e0b-dd0f3466ef7b","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Timber Architraves & Skirtings & Jamb liners","Have all the architraves/skirtings been installed with consistent even margin?"
"9459c790-02c9-5dbf-880d-84a1ebeafbf4","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Timber Architraves & Skirtings & Jamb liners","Jamb liners installed"
"95fc6d3d-5b66-4804-892b-0e60a0282963","","checklist-flat","not-started","Internal Checklists - Doors","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Doors"
"06290a85-7406-541c-9288-0d1fae1ffeb4","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Doors","Check opening is correct and plumb"
"b5d04375-6c31-55ba-a31a-c2023b106c58","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Doors","Doors installed within tolerances"
"8869fc60-c0e3-5147-8bc1-8ae3bbc5f4eb","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Doors","Fire seal installed if fire door"
"f49e3c19-a0b5-58e1-901a-379dd05da347","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.29 - Nurse Station","Doors","Floor gap is correct"
"c223396d-4b20-4d3e-8db9-c227f8e6d026","","folder-normal","not-started","","step","TRUE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.30 - Circulation"
"44164bbc-5e8d-4966-83fe-79613ccb4070","","checklist-flat","not-started","d01d72c8a1c8fd2fc1460576c5b5aa2fbf45285dc613993d6a7628457d5f2c96","checklist-flat","FALSE","FALSE","Internal Works QA","Internal Checklist Ground Floor","G.30 - Circulation","Interior Framing"
"84e8042e-6bc5-5141-b925-a30e2ed45bfd","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.30 - Circulation","Interior Framing","General information recorded"
"ee772008-d086-595b-af10-f38a929617e6","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.30 - Circulation","Interior Framing","DPC installed, checked and correct as per specification"
"b2c4b691-7c18-5c2e-872f-b13683382c57","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.30 - Circulation","Interior Framing","Wall locations checked, correct and approved as per latest revised drawing"
"56f053ef-d9c4-5653-8efe-b8cee4d4fcad","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.30 - Circulation","Interior Framing","Fixings and hold down bolts checked and correct as per structural dwgs"
"b471ef6d-9224-5ac2-bf3f-eb12a5dc4949","","checkpoint-status","not-started","","","TRUE","TRUE","Internal Works QA","Internal Checklist Ground Floor","G.30 - Circulation","Interior Framing","All openings (doors / windows etc) checked - Refer door supplier shop drawings"
