"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ddb48e3-7720-45e8-970e-3eb9e1efba25","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"596ca763-e77f-4330-8e83-dfb577dd65a7","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"7355ce5e-545f-4e51-b847-68528ce0eb30","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"44557989-c69a-447d-af7b-21017a488f9b","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"dbff3e76-c523-46b8-870c-99d5d5b81619","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"c88361e8-17b3-496e-b697-e633abd30e57","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"8db0a20a-04ed-4899-83a8-28d84e339029","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"dbbac37e-8a15-4106-8d92-151d091b0c8e","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works"
"4e1448d5-c02b-49e3-a794-49620479463d","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01"
"8312b9f1-3bd1-4ca5-8535-311db14673a2","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Pre-Fit Off Checklist - Line 01"
"9d83caed-1cc3-5c53-b223-2252407aa661","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Fit Off Checklist - Line 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"698ff393-a86d-4cd7-898b-0547c46324da","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B"
"3d3fc4ae-9e88-4861-9c59-8447ba25f9fe","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Pre-Fit Off Checklist"
"f7b10031-2e25-5e28-a91f-424b37f60fbd","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"8988e068-ad97-5a51-af53-7d8ac931ffc8","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Pre-Fit Off Checklist","EMAIL PM"
"85724acb-3243-5933-a87d-081a879da321","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"cf288ef5-025e-5c93-b76a-58be619a53e6","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Pre-Fit Off Checklist","Photos taken"
"a3cb161d-1743-4f57-9492-b3832d205621","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Fit Off Checklist - Line 08B"
"5c6ac031-0bf5-5c44-95ac-09ac1eb8b55b","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Fit Off Checklist - Line 08B","Confirm the structure is in accordance with the details supplied by PBI"
"0c093e3e-be80-50c2-b919-e3240917ad90","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Fit Off Checklist - Line 08B","EMAIL PM"
"c379dc7a-66a8-5606-9919-4f5c06dab125","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Fit Off Checklist - Line 08B","Photo taken of line pull test and swages"
"f2eb3dfd-8957-53b4-abf3-7300d5e13809","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Fit Off Checklist - Line 08B","Photo taken of Engraved Line Plate / ID Tag"
"f8dd87fc-e0fb-5ffd-bd42-40d14b7facc1","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Fit Off Checklist - Line 08B","Video taken of system"
"ae6c83a7-7380-5172-bf8e-927b82357fdf","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08B","Fit Off Checklist - Line 08B","Installed as per PBI drawings supplied and manufacturer's requirements"
"34fd3868-bb24-4edb-8592-6d6609119c67","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09"
"47745a40-b41c-4ddb-80ad-c5775acb82d1","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Pre-Fit Off Checklist"
"aa97b318-d4e2-5211-a2cb-b6f95c90e835","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"b9574b3a-474c-552c-8c27-f3a028382198","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Pre-Fit Off Checklist","EMAIL PM"
"d597af44-9120-506b-b678-2d905d3d45d5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"db7f6ac4-a6b4-5f64-bdd9-38d73c8fe7c9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Pre-Fit Off Checklist","Photos taken"
"05945eab-834f-4e35-a229-a4574a9e27d3","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Fit Off Checklist - Line 09"
"3073b53c-d316-5162-8a65-6b49d3e8307b","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Fit Off Checklist - Line 09","Confirm the structure is in accordance with the details supplied by PBI"
"5efb392f-55c2-5847-9b53-137a4178ecc2","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Fit Off Checklist - Line 09","EMAIL PM"
"41f55845-d89f-5d19-b042-5d24dd34ceb6","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Fit Off Checklist - Line 09","Photo taken of line pull test and swages"
"384dde79-f8c9-55de-8525-d778f2e0e73b","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Fit Off Checklist - Line 09","Photo taken of Engraved Line Plate / ID Tag"
"250fad2e-a8a6-5567-9375-7e25118eae5a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Fit Off Checklist - Line 09","Video taken of system"
"92783b55-eca7-590e-a705-f0b4917b3c3a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 09","Fit Off Checklist - Line 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"038d19ec-cd9a-4123-95b1-a492de9a671b","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors"
"67489f28-13a5-438c-b214-e787ae3dfea1","","checklist-flat","work-in-progress","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist - Anchors 1-3"
"850303ae-39c1-4d43-98d0-3785a555af81","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist - Anchors 1-3","Confirm structure is in accordance to the details provided"
"945ef20f-9890-4ceb-93b1-ea1f051793ad","","holdpoint","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist - Anchors 1-3","EMAIL PM"
"ae743ff8-21cc-44bf-91e8-f8abb5cfecd2","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist - Anchors 1-3","Plinths/ bases/post installed in accordance with details provided"
"07337715-7cc6-4c95-b67a-fec919219a16","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist - Anchors 1-3","Photos taken"
"0d099330-19ca-4cc1-b411-897ed7ac2b79","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 01"
"08c17973-2ca8-4874-9fdc-ecdc1ac04d40","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 01","Confirm the structure is in accordance with the details supplied by PBI"
"7b8e5aff-20d1-4167-8695-86a840e13b3d","","holdpoint","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 01","EMAIL PM"
"9829a572-7547-43eb-a149-994b6fa0e931","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"bae01c48-456e-4131-94e0-1cbd2b5109e2","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"44e411f1-437f-4ba5-90e2-d3ba5d471764","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02"
"9d94bafb-9318-4f38-8d7e-032b5db637b8","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Confirm the structure is in accordance with the details supplied by PBI"
"dc7f7c10-10e9-4729-bb1b-b37d267b55d8","","holdpoint","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02","EMAIL PM"
"248d965f-c564-41b9-baad-aa309257ca4c","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"d5ddf522-67fc-4c96-8fd7-70c9c2a7915d","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"32931fd5-7906-43d1-9005-0b0e676c9931","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03"
"b3610ced-ea19-4a3b-bfd6-174d0fc84855","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Confirm the structure is in accordance with the details supplied by PBI"
"2d11c84c-d786-4ab7-89a1-20089b4861ec","","holdpoint","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03","EMAIL PM"
"d3b373db-fe9d-4762-8290-04f2a138afda","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"ca0c629d-e2f6-4240-8ba5-e959a2d4b769","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","3no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"615ad044-99b5-49d3-8ba4-9ec56216dbf7","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors"
"d1284f99-106f-4237-8804-03183469f073","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist"
"22f0d7fb-f346-56fc-a215-7d30ee368991","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"4bb0d70d-6b38-5a3b-af36-2a342f5b916c","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","EMAIL PM"
"3919205a-28fb-59e4-90f0-a85b838baa4a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"56e0aa87-c015-5837-9b5d-2c2e91ae9f8a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","Photos taken"
"3ea6de3f-c153-4272-a20e-6150c641fff3","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04"
"42796bcb-5b80-53c7-b73e-4d18ce820cdf","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","Confirm the structure is in accordance with the details supplied by PBI"
"627f702e-5197-5595-b74e-1805a87e0b6b","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","EMAIL PM"
"9a015df3-7271-544c-aced-29a18c183390","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"87b7f7b8-c84a-55b9-aa8e-97eeec0aad78","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"401f2fe8-68f9-4210-8826-0acaf1a56515","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05"
"abeb8157-57ad-538d-9083-3d4bf30dc14a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","Confirm the structure is in accordance with the details supplied by PBI"
"bec18d6e-d326-5a6a-b25b-21657e94bab9","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","EMAIL PM"
"72f256da-93a9-59ea-803e-8dd620b137da","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"b4c2768a-7ef1-5441-905f-1d0fd83ddd44","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"69ab6d73-afe5-4bbb-98fb-6966eeafd000","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06"
"f0d3d023-718b-5710-a83c-9972bf358941","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","Confirm the structure is in accordance with the details supplied by PBI"
"a2ac1905-054d-5139-b584-7ea08494e8d9","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","EMAIL PM"
"80411032-ee71-59cc-8bae-ac9751f20597","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"915c80ef-1c4e-5db8-8abe-337814c54ed7","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"e913b543-a8f8-4f29-8c6c-d8385ee0da0d","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07"
"3b466a10-937f-58b7-bf66-664979f9ab26","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","Confirm the structure is in accordance with the details supplied by PBI"
"8fb9cd73-bdf4-51f5-a0eb-4ea3bb5394f7","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","EMAIL PM"
"5f43f212-b154-5729-ac5b-3c2dff729a91","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"0cc1d429-cabe-5232-9aa9-247c80c8d95d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","4No AP Type 02 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"64594845-1e16-440e-b108-d7a8a42c4ca9","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder"
"767e0eb5-7849-49de-aec0-ffd0e965c6c9","Child No unsealed penetrations to the roof(2a3b622b-0ace-5886-a75e-c647eed96d94): DataPoint If caged, cage start between 2m and 2.2m from ground level?(7f188f6e-a2a0-5b14-88f8-9a89729b92bf) is missing 'select' values
Child No unsealed penetrations to the roof(2a3b622b-0ace-5886-a75e-c647eed96d94): DataPoint If ladder is above 3.5m, does it contain a cage?(eddab9a9-8714-5765-96cc-c2305bd95466) is missing 'select' values
Child No unsealed penetrations to the roof(2a3b622b-0ace-5886-a75e-c647eed96d94): DataPoint If ladder is above 6m, does it have a mid-way platform?(bed0619c-85c7-52bc-aae9-988b0e6eaf7b) is missing 'select' values","checklist-flat","pass","Fit Off Checklist - Ladder System","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System"
"8e7859a1-45a4-56b5-ba4f-400f47426664","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System","Installed to manufacturer or PBI Installation instructions "
"1adc9e95-e645-565f-b4da-9d8533aa4c18","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System","Installed as per AS1657:2018"
"e66411e5-0582-59ea-aa35-b4c8d0dcc403","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System","All fixings secure"
"46c946d6-44c9-50a5-af92-113c6abfa2ba","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System","Top step of ladder flush with either walk-off kit or building edge"
"2a3b622b-0ace-5886-a75e-c647eed96d94","DataPoint If caged, cage start between 2m and 2.2m from ground level?(7f188f6e-a2a0-5b14-88f8-9a89729b92bf) is missing 'select' values
DataPoint If ladder is above 3.5m, does it contain a cage?(eddab9a9-8714-5765-96cc-c2305bd95466) is missing 'select' values
DataPoint If ladder is above 6m, does it have a mid-way platform?(bed0619c-85c7-52bc-aae9-988b0e6eaf7b) is missing 'select' values","checkpoint-status","not-applicable","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System","No unsealed penetrations to the roof"
"066f64ab-9e00-5729-86b7-faada5b90486","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System","Photo uploaded of clean work area "
"1622c16e-710a-5c53-a572-919ca06ff8d4","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","Item 01 - Ladder","Fit Off Checklist - Ladder System","Video taken "
"f2321aa1-15a1-4bef-9a33-ea72e3953041","","checklist-flat","pass","Data Plate, Access Point & Carriages/Travellers","checklist-flat","FALSE","FALSE"," QA","Data Plate, Access Point & Carriages/Travellers"
"1d6a78b7-d28a-5779-a7f4-367450f57eed","","checkpoint-no-status","no-status-started","","","TRUE","TRUE"," QA","Data Plate, Access Point & Carriages/Travellers","Details of Data Plate"
"efde5592-9e4c-508a-ad40-1a02026e99d9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Data Plate, Access Point & Carriages/Travellers","1 photo required of Data Plate"
"4bfc23a1-7827-54c9-b5a3-01dac5e32de7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE"," QA","Data Plate, Access Point & Carriages/Travellers","Details of Access Point"
"c65f7b46-4302-5f45-979d-b04438febc09","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Data Plate, Access Point & Carriages/Travellers","1 photo required of Access Area"
"3b43c48f-44ae-5234-8c58-732ff28996ad","","checkpoint-no-status","no-status-started","","","TRUE","TRUE"," QA","Data Plate, Access Point & Carriages/Travellers","Details of Rail Carriages/Cable Travellers"
"51f879ab-6ea4-582c-b483-6294a3be8d00","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Data Plate, Access Point & Carriages/Travellers","1 photo required of carriages/travellers"
"8d7b08e3-0b1d-40f4-b59d-b160f8a30e13","","checklist-flat","pass","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE"," QA","Fit Off Checklist - Supply of 2No Tradesman Pro Kits"
"930c847e-a854-58ad-a8ed-ddac9dd2bbf1","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Fit Off Checklist - Supply of 2No Tradesman Pro Kits","Confirm the structure is in accordance with the details supplied by PBI"
"f6fa2b2f-33ef-5c1f-96c7-1a8fb37823be","","holdpoint","pass","","","TRUE","TRUE"," QA","Fit Off Checklist - Supply of 2No Tradesman Pro Kits","EMAIL PM"
"a5ae10cc-ebca-590b-858d-eb99599ad35c","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Fit Off Checklist - Supply of 2No Tradesman Pro Kits","Photos taken of installed item"
"fe659f16-efdc-5443-b48a-abcd4806ffd2","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Fit Off Checklist - Supply of 2No Tradesman Pro Kits","Installed as per PBI drawings supplied and manufacturer's requirements"
"5f37848b-ca3c-435d-af40-7e993d85a03a","folder-normal must be display normal but was flat","folder-normal","no-status-started","","step","FALSE","FALSE","Roof Access Requirements"
"368b8072-45f9-45c5-aa3d-694fbe880959","","checklist-flat","no-status-started","b2cdd24a8c5a7312e4f2eceb64abebce23144a41bf70b073529969b36cddd1d0","checklist-flat","FALSE","FALSE","Roof Access Requirements","Brief description of roof access requirements for Recert Team"
"cfe04987-422c-45a7-bfd3-1ac31e8a2399","","checklist-flat","not-started","Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
"583ca88c-8b04-52f2-826c-2d2795cd048a","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Practical Completion","System installed and ready for review from Project Manager."
"27bba2ee-aa15-5277-9545-e83dcb5bba41","","holdpoint","no-status-not-started","","","TRUE","TRUE","Practical Completion","Request Review from PM"
"c8ef2847-0f41-5b79-975e-92a2f283e504","","checkpoint-status","not-started","","","TRUE","TRUE","Practical Completion","Project Manager has reviewed, checked and approved system."
"4bb2528e-bfce-5745-9dd8-1c6a6dc17142","","checkpoint-status","not-started","","","TRUE","TRUE","Practical Completion","PM to send to PBI admin to close out and archive"
