"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f053c89d-8907-4c34-958a-c06df2b8334e","","checklist-flat","work-in-progress","c6e66142321f04d98d9e5ad1b0964b2f6448ff942b808391f4c42596010219ea","checklist-flat","FALSE","FALSE","Eve - Project Details"
"37d30fcf-8035-5c28-a029-d9c1ca2eadea","","checkpoint-status","pass","","","TRUE","TRUE","Eve - Project Details","Project details entered below"
"07ff5dfe-7144-563b-9ff7-452e0e560277","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Grouts submitted for approval (UPLOAD TDS and SDS for each grout submitted)"
"848975a0-b829-5dd6-a45a-bb3f80f97dc0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted grouts been approved? (UPLOAD copy of approval)"
"e50c413c-6da4-5329-a6d6-62a57237dbe8","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Caulking products submitted for approval (UPLOAD TDS and SDS for each caulking product submitted)"
"9cc806fa-9091-5872-8f13-c42ce87514f0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted caulking products been approved? (UPLOAD copy of approval)"
"8d73931a-37e7-50b6-93f1-e20b9615261f","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Patching products submitted for approval (UPLOAD TDS and SDS for each patching product submitted)"
"9a6d6c75-f47e-5e5c-a847-0264aef014ef","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have patching products been approved? (UPLOAD copy of approval)"
"f5d7d255-8963-4d55-9757-3f2ccd65355d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"c1624075-e0c9-4c04-958a-2ea044578f89","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1"
"075baef4-ed01-4a3d-b99b-a84ad404aa5f","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Column"
"12280e7c-0fe5-4ddc-9af9-5536cc334cae","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03"
"ba51723e-6a0d-55ed-9571-d6dc7a1452be","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Manufacturing Documents"
"3c845f31-1b5f-5de1-b08c-4e4f5399c86d","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 12","Panel","L12-P13","Concrete Test Results"
"f15f1cf3-59d7-543d-825c-534c63ac5703","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 12","Panel","L12-P13","Concrete Test Results","Concrete Test Result attached"
"d9a1d03f-8c22-4be6-a2bb-26fe0c0658b5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA","Level 13"
"1157476f-38f4-4ee9-aa06-036e520b98f3","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 13","Column"
"8976a504-5923-46d8-a832-d8e39e3a8aa3","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C03"
"80fa2773-6f0e-556f-bd6c-1d7a748768eb","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C03","Manufacturing Documents"
"860b8479-206b-519d-889e-78efba4a71d1","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Manufacturing Documents","IFC Element Drawing"
"7da9eeeb-3a37-54b4-ac4a-e86d7bb6a1dd","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"9224ee4e-9954-5737-8d10-dc583cb8d283","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Manufacturing Documents","Secondary Lifting Certification"
"e5099b17-63f5-5430-844d-5ce96e5faf03","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks"
"8e1b8828-cf0d-50e1-b8d9-435c9ac853e2","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks","Mould check"
"8f7b8048-74c7-5792-899f-6a14af5418e0","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks","Reinforcing check"
"0a8475aa-b967-5f98-82ca-d9e3a3d66b8c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks","Cast in items check"
"3cb2df53-1044-50d3-b0c5-4e0b55a804c9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks","Check Minimum Cover"
"451a9876-be7d-5af5-9ad2-7e30ef7e6868","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks","ID Tag installed in non-visible face"
"1d04358e-e9ee-5452-bab6-0e72eb3fe3e5","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"0d2b7852-af6e-56fb-a479-2a4b721befbf","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"9ae71d03-39e1-5dbc-8b4b-2244687363bf","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C03","Concrete Pour Checks"
"415033f9-6979-5210-b59e-efdcbdd18c40","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Concrete Pour Checks","Concrete Strength correct as per design"
"38292f10-3f0c-540a-955b-34b8b28818dd","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C03","Post-Pour / Pre Delivery Checks"
"7ff0962c-dd9a-5237-8797-c219aa86296d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Post-Pour / Pre Delivery Checks","Visual Check"
"58b83c69-c3ec-59d5-be88-ec24f8fba15e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"95ddab38-447b-52b4-aec4-a5865abb63d5","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"3daa4cd3-79be-5d3a-81ef-5a9682962969","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"92f3d47c-016e-53d4-8d25-71ca9f78da90","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C03","Concrete Test Results"
"a21f75b5-c46e-5083-82ba-d66f03753e44","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C03","Concrete Test Results","Concrete Test Result attached"
"17b57076-156a-4b51-a112-6c1ee4223c8e","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C04"
"6806e913-8029-53c0-a821-e00cb82df244","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C04","Manufacturing Documents"
"520b3e60-53cb-50f9-bfd8-ec711c171211","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Manufacturing Documents","IFC Element Drawing"
"65388fc3-af8f-5627-8ff4-812a82ca02c3","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"29c6c172-62e8-5bc0-a1e6-737fbe8b23f7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Manufacturing Documents","Secondary Lifting Certification"
"d52024f5-d07f-572b-ab21-629ff731b2d2","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks"
"1d5a71e2-85d7-5b3e-8569-23eb59a68eb9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks","Mould check"
"45ecb80f-8be9-58a5-8f0e-2aa06a4f8331","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks","Reinforcing check"
"bfb798a4-c940-5443-9980-187bd2e4c209","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks","Cast in items check"
"5d459475-fae4-5d7f-b6aa-bda3a9ff6342","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks","Check Minimum Cover"
"5a624413-1036-569c-a43d-1fc406c363fc","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks","ID Tag installed in non-visible face"
"1cda4d16-c5bf-50e8-b501-463d1c0509bd","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"d118af7c-2eaf-55c7-be99-8bee4cf74766","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"4f67958f-1f3d-50a0-a422-6592f9971ec9","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C04","Concrete Pour Checks"
"e94773b3-934d-5391-87b0-c910df8770f2","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Concrete Pour Checks","Concrete Strength correct as per design"
"a821e876-2e35-5181-aafb-f66a980284a2","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C04","Post-Pour / Pre Delivery Checks"
"7dc6a85c-312b-50d0-8f75-5e719e110b17","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Post-Pour / Pre Delivery Checks","Visual Check"
"2a5f1d94-97e8-5ad1-8f21-d5fe2e023acd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"e8fd00d2-553c-5f11-91a7-fcc1b364ea2f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"e127a499-9b78-55fe-8ed8-2826519c5204","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"61356806-6e02-573a-a97f-b8c6e07d33c7","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C04","Concrete Test Results"
"fa07574a-5e3f-5699-8aba-78af3278f0dc","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C04","Concrete Test Results","Concrete Test Result attached"
"b2785121-4827-44fe-a31b-b3058a8e76ce","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C08"
"64babd69-a8ee-5292-aa58-096f2e1c85b5","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C08","Manufacturing Documents"
"ed2b59e2-59da-5444-a356-05bbf119669c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Manufacturing Documents","IFC Element Drawing"
"3a74fad0-f98d-5de8-a048-a3a8636695f0","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"119e2dc8-54d0-5069-8216-ff919d05d263","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Manufacturing Documents","Secondary Lifting Certification"
"6a05f36f-4689-517d-ab06-797fa068905f","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks"
"f32c8b54-1c8d-5da5-811b-0b299a0a1555","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks","Mould check"
"e73085d5-dc5a-5269-891d-b34640360835","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks","Reinforcing check"
"4d7c62d6-7c58-5d1c-b25e-16d53bb33064","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks","Cast in items check"
"5f0e2d3d-f430-5962-b4d7-b7f42c28dbdc","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks","Check Minimum Cover"
"84a99f3f-4f2a-513c-8fa9-1a33fa59597c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks","ID Tag installed in non-visible face"
"dc89a2d8-c094-572e-9568-9f12bb39f272","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"349ea572-c90b-5933-926f-0816313defc9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"b913e620-d6ee-58f5-9029-36f9c77a16bb","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C08","Concrete Pour Checks"
"ac2617e5-6b3a-57e9-ba2f-d702ed92bc8c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Concrete Pour Checks","Concrete Strength correct as per design"
"48b7e255-82b7-59c1-a8b2-3c83729de139","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C08","Post-Pour / Pre Delivery Checks"
"7a17b303-ef2f-5248-a419-3adc9c3e45e1","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Post-Pour / Pre Delivery Checks","Visual Check"
"36aef48f-946c-522a-99d9-2376c461d781","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"3d312e9c-30e2-5da3-b804-a079d03022f5","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"79cdd5fe-f80b-5e2a-90aa-4933729fe00d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"5c09d06d-af69-518e-bcfc-1bf936b857b8","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C08","Concrete Test Results"
"d3fac19d-e0b8-5528-95df-5ea91a6a2837","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C08","Concrete Test Results","Concrete Test Result attached"
"690529fe-e64b-4f96-bc77-939824d5e7ce","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C09"
"ad5daa53-481f-5506-b5a6-0249b9b7fd96","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C09","Manufacturing Documents"
"c162a036-cafb-51cd-bb3c-45c483f38ce2","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Manufacturing Documents","IFC Element Drawing"
"541b5b5d-fe2b-533e-a34c-650a4b92a612","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"ba4fac0b-376a-537b-a25d-8ed294001f1a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Manufacturing Documents","Secondary Lifting Certification"
"f9726115-3c11-56d0-8541-aefac99d25ab","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks"
"bad9af0a-6d1c-5607-8d5d-fd8e836bd0fd","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks","Mould check"
"fd2a2dc2-5e82-567b-9c8a-03f205c9e630","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks","Reinforcing check"
"ad4364b3-ca57-548c-9fcf-405019fd6752","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks","Cast in items check"
"95233ddb-41a4-510a-9fdb-2e1a0fa668de","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks","Check Minimum Cover"
"8ccd60cf-8f09-5069-ab4c-40ad6616e2e2","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks","ID Tag installed in non-visible face"
"27851e9c-b51e-5e96-8513-6ec29a989489","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"afb82eef-6b02-5a94-81ec-882e3da33b95","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"042ed2be-3b9b-5cd9-855f-8eac52ef8100","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C09","Concrete Pour Checks"
"ff6d410b-36d0-51a8-bde2-20e97a4b5b10","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Concrete Pour Checks","Concrete Strength correct as per design"
"72c8be58-089c-5b41-b28a-d9901f65ee94","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C09","Post-Pour / Pre Delivery Checks"
"40a2a054-7b79-5cb9-b06e-a3d817c7434c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Post-Pour / Pre Delivery Checks","Visual Check"
"d019adf2-08f5-5743-acaa-4b6267cab657","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"5bb9db05-a969-5d88-8793-c44d874e2cbb","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"f60e9290-ed1c-5777-b70b-e1d8fc094844","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"c2e9a5eb-059b-5829-8845-7ed9dfd3856d","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C09","Concrete Test Results"
"739187e0-c8a0-5d67-80ff-fea1c1f216d7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C09","Concrete Test Results","Concrete Test Result attached"
"d0fcd6f6-4f71-4630-b214-ed4901b380ff","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C10"
"bb513fab-d9ed-59d7-8b3b-ce1e9d4e7f0d","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C10","Manufacturing Documents"
"cbf34b62-d37e-576b-81bc-a8a4feccaff8","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Manufacturing Documents","IFC Element Drawing"
"b3440679-5e65-5d2d-b00d-50810be49d08","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"623fc728-c224-51eb-82a4-01256a5b7a4c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Manufacturing Documents","Secondary Lifting Certification"
"da62359d-f6c4-5d3a-ad73-682ab95dd3a1","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks"
"5f3c87bf-ec32-5f77-952d-0a47b86a8384","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks","Mould check"
"7c255bef-5e48-5901-9855-7b5f632bb796","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks","Reinforcing check"
"4878999d-b93a-51f0-9beb-76196a760ad0","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks","Cast in items check"
"419be78f-7c07-52e1-bbaf-36a402639baf","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks","Check Minimum Cover"
"5949e4c1-e5cc-540f-9a02-3c03146280d7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks","ID Tag installed in non-visible face"
"f9576d0e-16e4-5938-932e-5ec3702b30b4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"a950793c-1052-5d93-b989-01087a19f958","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"fd81f9b6-b0da-58f5-8674-c5e76ddc61d7","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C10","Concrete Pour Checks"
"dac4ab81-2462-5ca4-b002-d5d0583edb8d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Concrete Pour Checks","Concrete Strength correct as per design"
"9bb301c3-74a8-5c86-bea7-b014514a2170","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C10","Post-Pour / Pre Delivery Checks"
"96eba97d-1a86-591c-b027-ef1f8bd1344e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Post-Pour / Pre Delivery Checks","Visual Check"
"f1fff28c-1dc6-564f-9188-432d2e15744d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"49c80801-224a-5325-b192-2880869292fb","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"0b320e53-91d3-567b-9d54-a7337a15603d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"60d31383-90b0-528b-8624-6632695b6324","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C10","Concrete Test Results"
"78ed6e0e-34ee-508f-a385-43c1c422fbbe","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C10","Concrete Test Results","Concrete Test Result attached"
"a17d980a-4e9a-4f5f-b991-339efc553d81","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C11"
"42dea93d-76c9-55a5-8233-b59f21ba235e","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C11","Manufacturing Documents"
"244d3575-6158-5119-9705-56a7c85b5e48","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Manufacturing Documents","IFC Element Drawing"
"22191f30-f0bd-59c2-a851-3551c5eb119b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"a415812f-b7a0-5c73-bc17-4f00467604da","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Manufacturing Documents","Secondary Lifting Certification"
"b721cfea-a051-50ae-936b-10d238b596cc","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks"
"63258ef4-e935-5b3b-9812-ea033466f3f7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks","Mould check"
"daad900b-002c-5431-ba23-4968d93632fd","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks","Reinforcing check"
"8e299b3f-ecd0-5b25-a9cd-28edcd596d6a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks","Cast in items check"
"b430d184-cda8-5b3c-b7e5-85b46acf91cc","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks","Check Minimum Cover"
"108502d9-e441-564a-a4e1-dc5806292fdb","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks","ID Tag installed in non-visible face"
"604d1ee5-8062-518d-b715-fbe325fb919f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"67a137f1-6212-5d07-ab08-ef3120e35702","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"71bcbeff-fa64-5d88-a1fb-27cb13970f57","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C11","Concrete Pour Checks"
"808fa023-157f-5128-9cce-28dc81ce7ff4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 13","Column","L13-C11","Concrete Pour Checks","Concrete Strength correct as per design"
"87e7e209-f490-5989-878e-3f2aef82159e","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 13","Column","L13-C11","Post-Pour / Pre Delivery Checks"
