"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7dd9af6d-8272-4328-b9f0-ddc2814e675c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"0d2282ae-b0d6-4f0a-921a-45f2e4df878f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11"
"7db5f57e-321c-48ee-b2f0-75da061a3df6","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101"
"8ed89402-a56a-4861-8cdd-cac844dcca72","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in"
"ee893557-596c-4034-aa7f-ed32dd9b774a","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation"
"04e0270a-cdaa-5058-bdfa-8adc3b4e6cb2","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in","Waste & Vent Installation","Details:"
"da35ffe4-e759-50fb-a1b6-d0788a45c671","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Installation photos to be taken only within this Checkpoint)"
"9231bccf-7dc1-5f87-9370-63ad2065c8ec","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Installation complies with current drawings & specifications"
"b49ee8ba-f6a2-5f71-a7f7-6df3a03843db","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"94906a8c-c7ca-5efc-94fb-af3653e61582","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check for damage & leaks"
"17be642b-a742-5ab1-a912-cf96038878f4","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check pipework can not be holed by plaster screws"
"daa6ea88-8de6-5dfc-a05b-bfab2d7f10b3","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check crimp fittings"
"afcddf49-b90d-5733-9aac-3eeeb01330eb","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check for cross connections"
"fbad8e6b-5ce9-5da8-8e8e-0ace8200ee72","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check alignment & levels"
"2fb59627-037f-5961-adb4-8853b48e700e","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check materials & joining methods"
"bdc30c55-c818-57e5-bc06-9f3c6336b658","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"2a8596ed-174a-5edc-b6cf-c98c83b04da6","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check TMV/TV"
"5705fca2-9c9c-5b86-bbdd-589f865fcf93","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check in-wall mixer bodies & lugged elbows"
"799f2761-239d-5834-8e48-186fa28e86d6","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check in-wall fixture mounting brackets & concealed cisterns (if specified)"
"c64ca35c-0df0-59f4-9043-c51c28535b04","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check noggins for future fixture"
"20c5571b-d01e-546f-aa5d-8045257403ff","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check sharp edge pipe protection"
"c7d9a25d-84ef-51d3-8a2a-a4988ed64a43","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check heat trace (if specified)"
"764a19c2-0543-5a9b-959f-6e89eadf8d76","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check hot water pipe clips & thermal insulation (if specified)"
"9aa32578-9f42-5dd2-80d6-17c79f76898e","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check pipe colour coding"
"5195d940-700e-56cd-9462-1cd5e5183359","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Water Service Installation (Rough-ins)","Details:","Check floor/wall penetration fire proofing"
"51027b7b-1525-4db3-a29b-91ddbbae3b0e","","pass","aaaccb222565c4ec4e2391f65c7e7ae5a86006de637ff4ac2752bedff5d53228","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"ef420c44-4c60-5169-a77e-872d40ac87ac","","pass","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:"
"642b0bd1-08e5-5cda-b977-e6d9ab0127ab","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"9b9ef72f-65b1-52be-bdd8-bb20665904f3","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Installation complies with latest revision of AS/NZS-5601 (Note: Installation photos to be taken only within this Checkpoint)"
"a43d8ee4-297d-5b1f-b981-563cf242cf38","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Installation complies with current drawings & specifications"
"917dbfdc-ee16-540a-a0e7-298948eb3299","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"5ffe6208-42a9-5ba7-be35-71b46b31881d","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check for damage & leaks"
"bf1b2fcf-fa4c-598e-845e-691f67f3a015","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check pipework can not be holed by plaster screws"
"ab7cd172-67de-5821-8661-8cfd647c4d54","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check crimp fittings"
"a1012e92-aa53-5d22-a4e3-d1eeda4f3440","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check for cross connections"
"78269bbd-d575-503e-b6e4-07095771f54f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check alignment & levels"
"b839cabe-438d-57ce-a8a8-6f3880ba8ed2","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check materials & joining methods"
"ac87bd4c-b098-59b9-8a01-ccced2bf18fe","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check pipe clips, hangers & fixings (correct size, spacing & separation)"
"6b2c6af6-ac89-525f-b4c0-c03817e8b28f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check lugged elbows"
"9103b60a-e3a7-5e4c-a874-f73043dd562e","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check noggings for future fixture"
"239bc695-2f13-554e-85bf-e93406f9d8af","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check sharp edge pipe protection"
"cd761f75-0f59-56c6-8ce9-960452ce9872","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check pipe colour coding"
"a2cde532-634a-5800-9d5e-bf2af961f165","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)","Details:","Check floor/wall penetration fire proofing"
"23950b40-25cb-4eb9-985a-86a4401bcd3a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off"
"0fd6b2f8-0819-47f9-b955-a8f12471991a","","work-in-progress","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation"
"671ddffc-1b3b-5253-b685-d48af4f211c0","","work-in-progress","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:"
"f1305d1c-9c8d-5a8c-a7c1-2855f86f2c43","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"71ab30da-651f-5b23-a151-2818c183d373","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"0d614270-7609-5ab6-aa32-a4824b56f017","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Installation complies with current drawings & specifications"
"ee3e8733-a79d-50be-9bca-c05f808463eb","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"e50e2eae-efcb-590d-8f24-aa5faf580c75","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check for damage or leaks"
"d6de27b5-dd8b-5f46-82c5-15c24868d101","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check fixing points are secure"
"ad46ed19-319e-5ca9-9683-ed6cf09866ba","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check level & alignment"
"6e7becdf-4cac-5ec9-94e5-0efb7914ff2b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check mini stops"
"56e74a84-f009-514c-bfed-cacd07de7330","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check flexible connections are not twisted or kinked"
"4426dba7-8569-59b5-ac56-082ad3b73808","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check special DDA accessories (if applicable)"
"e0d348e2-8142-5a7b-ace8-8cc2775bf9ba","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check all functions, controls & remote sensors for correct operation"
"459769e2-ea2f-5020-b57a-8f2e86573d05","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check trap is clear of debris"
"f75c5904-8f84-5974-a403-be92a925bc5b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Toilet & Cistern Installation","Details:","Check caulking"
"4b48a265-31e0-4a99-8911-71bd1af52ec6","","work-in-progress","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"a2c379b4-5642-5cb9-8205-66d8ab4f45d1","","work-in-progress","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:"
"06956aa2-38ea-51cc-ab39-9f66759a2240","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"334cd7a3-66d7-54b6-bfea-61b5558eb8e9","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"34547620-44a0-5007-8af2-b49c87465cf2","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"d9fbd895-83cd-5d91-8a88-4db5a8f03c03","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"44a25258-f3f0-5cb8-8b09-da1567b04058","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check for damage or leaks"
"de896ced-8e9e-5712-9b6b-853f6c8438c6","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check fixing points are secure"
"1963de43-0c42-5751-a78f-6f06469c1e98","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check level & alignment"
"37213ce0-81a9-5364-92e5-6a3855741b70","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check mini stops"
"8aa52af0-6f8e-5c4e-9380-630582f690fe","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check flexible connections are not twisted or kinked"
"59c16ebd-b1c4-54f7-aa9c-a2328a23c823","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check special DDA accessories (if applicable)"
"fb28e1d4-e841-5307-adf4-bd50c8c3acd2","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check waste & trap connections"
"5979862c-5606-5cb9-8e1a-8cadb693e9bd","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check all functions, controls & remote sensors for correct operation"
"167ce1ee-d804-56cf-bc4e-6453c801367c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check trap is clear of debris"
"92dc30c3-2df4-5fe0-8526-a341ba199698","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Wash Basin & Tapware Installation","Details:","Check caulking"
"bb46fd82-374a-4c34-b929-337be97a05ff","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation"
"6c3eaca9-604b-55da-8c55-438e968cc62c","","work-in-progress","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:"
"3a75c449-137c-5537-ab35-437098c40680","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"68adcf36-d7a5-5e1f-8f4f-55809834348d","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"0aaaddbe-7088-59be-b234-80c44e32a50a","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"75cbefaa-39de-5ccc-8c5c-7d31f51020a8","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"e356a609-fe3c-56d3-b1fc-992f661f5a18","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check for damage or leaks"
"0dfa7b69-765d-56cb-b1a0-9f57eb9557ec","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check fixing points are secure"
"f479db52-da83-558f-a235-952b8961abb2","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check level & alignment"
"ae55c5d6-754d-57f2-8215-653486b44e19","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check wall plates, mixers & diversion valves"
"91c669fc-b931-5a61-8ebf-cb0057e90438","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check outlets, wall rails & hand showers"
"e376a7bd-0610-5ca4-a4eb-2708a9738c46","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check special DDA accessories (if applicable)"
"a8c72105-4086-507e-8ead-5e808e682b5b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check waste & trap connections"
"20a18433-61d1-5a5a-86d4-d6b19d576306","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check all functions & controls for correct operation"
"823016b3-9449-5de6-aa1f-a604153b717c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check floor grate level & alignment"
"cb8894ef-f527-5f17-b873-12e46cba617d","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check trap is clear of debris"
"a07859a5-3f6c-57ee-a443-713448135186","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Shower & Tapware Installation","Details:","Check caulking"
"546fdf4a-2e2a-443b-b2ca-3016bb873365","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation"
"1010eb1f-92ab-508d-bf2e-e74d3697e84d","","work-in-progress","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:"
"2eed1585-5992-53ed-bffc-7cf45aac244c","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"0992d035-4c81-5ad1-b04b-6c48b2cbfe26","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"9812eae2-fe33-5c79-a970-6d1a7f978b16","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"f945f8c2-f61e-56c8-8545-fbffb3a704c4","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"f51c4341-cde2-5ffb-ae21-867e2a01a7d4","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check for damage or leaks"
"e680f597-af93-5b3d-b508-6bb329c46079","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check fixing points are secure"
"cbcc2cf1-31f0-5fd7-bd5e-7d6d040fbd43","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check level & alignment"
"859fccea-3bd9-53fd-86a0-c02af024c61d","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check wall plates, mixers & diversion valves"
"72825d34-47c9-56a5-be52-f3563e2ab02a","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check outlets, wall rails & hand showers"
"6a6a7a60-c24e-5895-8fe9-de63960b11a7","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check special DDA accessories (if applicable)"
"a2734fe5-4e71-5397-b6ed-9ad71a17ba94","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check waste & trap connections"
"4030f763-e249-5c61-aa71-084997a1d46c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check all functions & controls for correct operation"
"2769e6f2-c0eb-5836-b879-419c852b6c99","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check floor grate level & alignment"
"4cf78271-ab21-5a69-9cae-71a4d158c11c","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check trap is clear of debris"
"a3bfba82-359e-5a04-ae99-df424596c9cc","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Bath & Tapware Installation","Details:","Check caulking"
"dc28e71a-c48a-454c-bcad-1d1410d7f4cb","","work-in-progress","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"e47d4fb6-83c5-5a59-a098-11b9e7daf22f","","work-in-progress","","section","FALSE","FALSE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:"
"f716be85-7eb0-52b6-a69b-521a1680729f","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints"
"c9d166bf-f9d3-51ad-ad51-d8451f33704b","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 (Note: Fit-off photos to be taken only within this Checkpoint)"
"598ca00e-7ba5-5ffc-ad61-9ec7a0d0eeb2","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Installation complies with current drawings & specifications"
"d851fcba-294c-576f-bc4f-86f3e6de93cb","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions"
"4afc740e-b13e-5db6-adfd-5d8b806a7fbb","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Check for damage or leaks"
"5c9646da-86b0-5d74-9a78-618d6cdf092e","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Check fixing points are secure"
"7eabc340-15df-5e0a-9b17-b6d7b4495671","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Check level & alignment"
"e24288af-5a27-58a4-9934-212d1c7eb44f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Check mini stops"
"292181c6-1acd-5994-a17a-dcc857e2a79f","","pass","","checkpoint","TRUE","TRUE","Site QA","Stage 11","Lot 1117","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation","Details:","Check flexible connections are not twisted or kinked"
