"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7dd9af6d-8272-4328-b9f0-ddc2814e675c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"0d2282ae-b0d6-4f0a-921a-45f2e4df878f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11"
"7db5f57e-321c-48ee-b2f0-75da061a3df6","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101"
"8ed89402-a56a-4861-8cdd-cac844dcca72","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1101","Plumbing Services Rough-in"
"6340ae5f-e393-4589-b915-2bfe71364af4","","work-in-progress","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1118","Plumbing Services Fit-off","Hot Water Unit Installation"
"0ae27833-090c-4cc1-8fd1-c6b0851c28d3","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1118","Plumbing Services Testing"
"b08e05d8-340a-4a62-b33a-3b01a1db3e6c","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1118","Plumbing Services Testing","Testing Potable Water Pipework"
"a2aa47b3-1a18-4b7c-bd93-3012f5c89a63","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1118","Plumbing Services Testing","Testing Gas Service"
"941f7d37-b90e-431a-b601-313e5b1b300d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1118","Plumbing Services Commissioning"
"ff4685c3-e683-46fa-b46d-079b117fc001","","work-in-progress","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1118","Plumbing Services Commissioning","Commission Fixture Group"
"2f156a9f-31ca-430a-a545-94e7dca22946","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1119"
"40dc28ff-268b-4ffe-8cb9-96b10cef71a8","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Rough-in"
"962a18e0-d077-4362-a4b8-2bf22b93a253","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Rough-in","Waste & Vent Installation"
"f67789a9-2a4b-424a-b01b-30bb8d0d5e63","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"36dc6fd8-df20-40a8-9de3-5b0b411dabe6","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"34c90541-c255-46ca-962f-1f676f0b53d4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off"
"b52d6e84-36f7-4b14-bd44-3bd0a2d60e4d","","work-in-progress","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Toilet & Cistern Installation"
"e701a948-dbf9-481d-8150-cdc0f7abcdeb","","work-in-progress","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"13563a37-bb14-4d3b-ba27-fd567a064667","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Shower & Tapware Installation"
"75fcc284-9011-4903-a58c-9a114729dd76","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Bath & Tapware Installation"
"a1b6e88a-bf6c-48b1-a2f6-4595c0c0f667","","work-in-progress","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"8c1737da-f889-4e50-8a8b-cf68a38af46a","","work-in-progress","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Dishwasher Installation"
"8d62a511-b4c0-4154-8e94-e2f1e5640ef5","","work-in-progress","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"655c9e2b-8f94-4d43-968d-f36b6594926b","","work-in-progress","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Washing Machine Stops Installation"
"8b2b6c67-007e-42a5-85a9-d7d8679eacb8","","work-in-progress","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Tundish Installation"
"330b2408-f983-4999-ae6f-4898f3cd0202","","work-in-progress","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Hose Tap Installation"
"f8c85012-b5e1-4d69-99c2-a8b338d4ecfd","","work-in-progress","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Gas Appliance Installation"
"3d0cc056-db03-4ff5-86e4-45309e34b914","","work-in-progress","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Fit-off","Hot Water Unit Installation"
"85996521-e2d6-4a02-bd7a-9707be29a9e4","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Testing"
"33138ca1-7117-4fd8-9747-1b87882efa09","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Testing","Testing Potable Water Pipework"
"417afcd8-6195-4f42-8fd9-dc7326e5a9d1","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Testing","Testing Gas Service"
"155ed255-4299-4446-b85b-40b1b7f5f673","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Commissioning"
"9646f9df-c9a4-4ad1-81da-193956132f50","","work-in-progress","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1119","Plumbing Services Commissioning","Commission Fixture Group"
"967ece94-80b1-45d9-8bfd-30f0f1469537","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1120"
"bfa98a52-7955-43b7-aab4-243fc988d1ca","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Rough-in"
"70a938b5-abf5-48a6-9317-8413c562af71","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Rough-in","Waste & Vent Installation"
"d00c9ac7-1d11-4b30-a88a-005f9141711c","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"17ebf4b5-e7b4-4fb5-a683-5f73ef6e1028","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"98b99b21-1ea7-4a66-a81c-e8c29255a5f1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off"
"d57d7d6f-1934-4151-8f45-194090fda112","","work-in-progress","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Toilet & Cistern Installation"
"cfa4f46f-5666-4d5f-886b-a8d5fd5b4708","","work-in-progress","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"23a01487-ffb5-4e74-b027-9e5bf16b690e","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Shower & Tapware Installation"
"be87c9f0-3429-4e29-9c1c-7b72e98e390c","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Bath & Tapware Installation"
"a66cee0e-5338-4b38-9837-7627543400b5","","work-in-progress","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"3489cd68-9869-4cf9-b105-324a8232bc99","","work-in-progress","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Dishwasher Installation"
"b13059ba-b813-4a87-a7d2-6e8abbcfc941","","work-in-progress","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"eea1e148-8cc8-46a5-a5b5-b7bafecddc9a","","work-in-progress","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Washing Machine Stops Installation"
"19898ff4-a550-4507-83cd-6c9328ebe6bf","","work-in-progress","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Tundish Installation"
"d7c51cf3-ce2e-4109-ab4e-6a56f704a77f","","work-in-progress","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Hose Tap Installation"
"d9c8587e-b3a5-4baf-9824-8df73a2fd001","","work-in-progress","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Gas Appliance Installation"
"4ef73a0a-71bb-4d2b-8967-82c79a96e342","","work-in-progress","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Fit-off","Hot Water Unit Installation"
"de66ca7f-1106-4835-9c08-29a21e1aa9f3","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Testing"
"6413bace-fd7c-4c95-a272-3f95cc957dde","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Testing","Testing Potable Water Pipework"
"8a2e51f3-950c-49c5-9a5d-4071a01fa67d","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Testing","Testing Gas Service"
"db53bb12-d29f-47ef-924a-44c6ae8b371c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Commissioning"
"0bf93233-ecec-4f97-b684-f417fb2dea3b","","work-in-progress","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1120","Plumbing Services Commissioning","Commission Fixture Group"
"dd0f648a-fa4c-44a2-9bbc-a1db966c1d2b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1121"
"6faddaf0-0597-4df9-b7a5-ae97f35bade7","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Rough-in"
"bfcb13eb-6df2-4371-a53a-28c59db7df13","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Rough-in","Waste & Vent Installation"
"d3f59228-19b6-4807-926c-a5692f1a9fc5","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"5ac61ea6-87df-4089-a35d-34baf10bc3a7","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"642cd5be-4949-4a79-b119-8aea9910e6d1","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off"
"98cd4ebc-ca34-462c-aef0-a091bf33d3cd","","work-in-progress","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Toilet & Cistern Installation"
"7539d6b4-5556-43e5-aa9a-5eca746688e2","","work-in-progress","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"5be3efe4-dc29-4cc6-a2b8-cdf67be1346a","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Shower & Tapware Installation"
"442e2718-4479-4cda-a2e9-437ef79df50d","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Bath & Tapware Installation"
"535bb574-db80-4ed4-bb50-0e47291f1533","","work-in-progress","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"668e77f9-b328-4a82-b7d4-26227f740981","","work-in-progress","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Dishwasher Installation"
"583243e3-da77-4182-a941-62000be8ea6e","","work-in-progress","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"6e8c7f60-47fc-4215-9c57-efe056a2c8c2","","work-in-progress","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Washing Machine Stops Installation"
"a7add1d2-0464-46bb-b1ea-ba5cd5b0e42c","","work-in-progress","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Tundish Installation"
"a0796d30-b9e8-4da8-b80b-c1d5b9a57539","","work-in-progress","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Hose Tap Installation"
"db2d8135-f7ec-4577-8d4d-2936dacc5941","","work-in-progress","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Gas Appliance Installation"
"3ff682ae-8048-49a2-b6a9-64a0c760dfc2","","work-in-progress","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Fit-off","Hot Water Unit Installation"
"2cd1adf5-5542-4900-93b9-d2d337520362","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Testing"
"7c6432c0-ebdc-4d79-997c-82ebebe519ef","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Testing","Testing Potable Water Pipework"
"a8552f86-3e1b-48d4-b28c-e42159249214","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Testing","Testing Gas Service"
"d659516b-26b4-475c-82ba-4890a06ae239","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Commissioning"
"3841e983-b4c5-4619-a2fe-e8e21e18c929","","work-in-progress","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1121","Plumbing Services Commissioning","Commission Fixture Group"
"a36b2bfe-045d-4bb7-86b9-6b24f73e5cc2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1122"
"e5afe1e6-ae96-4b20-a7a3-f2792b2b0181","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Rough-in"
"81d60456-ca5f-4ce9-a940-53556b747e96","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Rough-in","Waste & Vent Installation"
"bb298cee-4b26-4f07-a12c-1409c89955d9","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"e8c385c1-4221-48f7-aa5a-cfd85e0ea59d","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"8321f2b7-b2ca-458d-8e1b-b9b4e8a22f09","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off"
"6b4de99c-98da-48db-a948-403dbe0f0bbd","","work-in-progress","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Toilet & Cistern Installation"
"2a933729-3dcf-442a-8754-436e1a75a99d","","work-in-progress","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"a3f459d6-15df-4032-9c03-27845e87bc31","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Shower & Tapware Installation"
"ea00cd78-b3d9-4661-b10f-44a2a2a024e7","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Bath & Tapware Installation"
"4dbedc7f-6377-40e3-bb18-8f8da64995bb","","work-in-progress","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"937ed545-78f6-4e2c-9d65-1d3645d9123a","","work-in-progress","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Dishwasher Installation"
"6b357eeb-715f-45ed-b00c-18d28c5e8567","","work-in-progress","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"b480c527-165e-49a5-86d4-8b3def31cb6a","","work-in-progress","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Washing Machine Stops Installation"
"4d6f5a7c-ad6c-4366-8b03-aca63709e011","","work-in-progress","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Tundish Installation"
"1a75749a-2144-4ba6-b4dc-550090860995","","work-in-progress","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Hose Tap Installation"
"86869f49-4e54-431a-b4f7-b38ff05b2d34","","work-in-progress","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Gas Appliance Installation"
"7f88f495-090d-484a-a6fa-b6def34d6540","","work-in-progress","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Fit-off","Hot Water Unit Installation"
"23984466-ef95-4cef-a4bc-944b240a62cc","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Testing"
"5092d16a-2ee7-4596-8df0-8a7a19e41755","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Testing","Testing Potable Water Pipework"
"d983bab3-4c9e-4cf5-b973-da9783e82915","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Testing","Testing Gas Service"
"42e61d47-4a42-4d7f-9ce0-583624cb8149","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Commissioning"
"1afd41e7-8eaf-417a-81fc-1c2c02c4dde9","","work-in-progress","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1122","Plumbing Services Commissioning","Commission Fixture Group"
"afde16af-946d-44d8-8672-e671749267ec","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1123"
"15cb08a8-9f9b-47c2-a3fa-5188e100b926","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Rough-in"
"0c65f886-9f62-4624-b26c-681e3a75ed36","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Rough-in","Waste & Vent Installation"
"874495fd-8a8a-49ac-83d5-b4cc4f556d2a","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"65570f05-1b1d-4fce-9707-f7ea461e8abd","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"596274bd-4fa8-45db-a0cc-25be00d3da16","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off"
"dccff1dd-2f75-4319-80c3-d02f70a7c782","","work-in-progress","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Toilet & Cistern Installation"
"e9e3514b-73a1-49d5-923c-5fb9ad9cc2cd","","work-in-progress","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"597758db-1920-43d4-b967-9db087b0379e","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Shower & Tapware Installation"
"e1a6b19c-e8ce-40f5-a55c-451e38044c92","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Bath & Tapware Installation"
"4ce34f8b-9cae-4cdb-9662-6909ae15a600","","work-in-progress","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"761b059d-c3a1-48d3-b295-3086a0c2ea19","","work-in-progress","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Dishwasher Installation"
"bf89ffc2-e617-4834-8aba-90c20355f77d","","work-in-progress","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"654ef7d4-90d9-4295-8b58-2ca1f7b3f21c","","work-in-progress","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Washing Machine Stops Installation"
"963aa450-73b5-4aff-b768-ab18d726181e","","work-in-progress","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Tundish Installation"
"701e9e74-de61-40a0-852f-6e9bf197e225","","work-in-progress","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Hose Tap Installation"
"f3c7faec-5385-489b-97d2-88db8b209ca3","","work-in-progress","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Gas Appliance Installation"
"25eed075-6e13-46f4-a23a-7ba94e1358ea","","work-in-progress","Installation Hot Water Unit","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Fit-off","Hot Water Unit Installation"
"053b86a6-467f-4758-a085-a0183d568f5f","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Testing"
"8c7a7d94-cb60-4788-8335-8dac54fbe0a7","","pass","Testing Drainage Pipework (Hydrostatic Test)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Testing","Testing Potable Water Pipework"
"2c42c979-5ddb-4796-87d3-f41e34ecadd8","","pass","Testing Gas Service","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Testing","Testing Gas Service"
"2ee2aecc-1d65-45ad-ae3c-8a1de02c107b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Commissioning"
"756b3fb0-205e-4e8c-9ed6-25fcbcb513f5","","work-in-progress","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1123","Plumbing Services Commissioning","Commission Fixture Group"
"eeb37b67-c72f-4356-ac6c-2892c6222016","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1124"
"504ffbec-319b-40cf-a2f8-70b1117985d2","","pass","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Rough-in"
"68ab753d-9c11-476b-9db1-b039205f7ceb","","pass","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Rough-in","Waste & Vent Installation"
"cf77fdc7-46fc-43b8-91f7-c7c763525d00","","pass","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Rough-in","Water Service Installation (Rough-ins)"
"7bb6b529-87b6-47e4-b205-69aa26814f2b","","pass","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Rough-in","Gas Service Installation (Rough-ins)"
"1169d3d7-849b-4d63-b8c8-e233ea41cb0b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off"
"86d1e77e-d6eb-4111-8b70-81e45ce2536d","","work-in-progress","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Toilet & Cistern Installation"
"e93797c1-a37c-4368-8c25-843f3161e8c7","","work-in-progress","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Wash Basin & Tapware Installation"
"10df4564-d35c-471b-8b33-2c6f965ddd57","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Shower & Tapware Installation"
"41cc6ed5-dd6a-4157-ab19-9b6cc71a8b2f","","work-in-progress","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Bath & Tapware Installation"
"d157eb6d-773e-4cd3-80f8-4aec9b54d507","","work-in-progress","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Kitchen Sink & Tapware Installation"
"f27e4d2f-ab38-4143-9f82-6864859cd3b1","","work-in-progress","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Dishwasher Installation"
"72291810-7a0b-4fc0-9b0b-8c291bdd1ede","","work-in-progress","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Laundry Trough & Tapware Installation"
"77bf4e07-e1c0-4814-8585-cf14efa3d9fd","","work-in-progress","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Stage 11","Lot 1124","Plumbing Services Fit-off","Washing Machine Stops Installation"
