"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b796c003-d1b8-40c2-94ff-ccf08f8112df","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project  Seafarers"
"26bd1eee-e594-5c6c-b9ff-8b176401b080","","checkpoint-group","not-started","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation"
"048d62af-ba91-5690-bc5c-36af58a129cf","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Is the area barricaded and signed to prevent workers transiting across our prepared surfaces"
"80be8798-36ec-5fe2-95df-8d1cf0da9604","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Have all sources of dust/debris like power saws cutting timber etc been controlled prior to our application"
"2dbf5882-c2e9-575f-8ef6-47b0639a6e14","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Cracks in concrete over 3mm have been ground out and sealed with polyurethane sealant"
"bfbfc359-8595-54e9-a1fb-9a8d05e36e68","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install 10mm radius Polyurethane coves been installed to all intersections"
"3804f8cd-cae7-52e6-9444-d240b57e5783","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install a minimum of 100mm turnup above finished floor level as per Manufacturers requirements"
"7704e101-4009-5080-94cd-459eb209102f","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install Tremco Vulkem 171 primer @7-10L/m2 and allow to cure 30-60 minutes or until tacky"
"6726c291-58f2-51aa-850c-a1f61d8d2dbb","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install Tremco Vulkem 350 base coat to manufacturers requirements @.81-1.08m2/L and allow to cure for 12 hours"
"7d0a0455-8ca6-5093-90e3-f4697e0b8425","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install Tremco Vulkem 951 top coat(if required) to manufacturers requirements @ 3.23m2/L and allow to cure for 24 hours"
"40f90f03-25da-55a9-80c7-38514eb11418","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Check for each of the below and detail as per Tremco Standard details. Attach photos/comments where applicable"
"7a8cb064-03eb-5ed6-bf58-520e5ac24237","","checkpoint-group","not-started","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Testing"
"41ff9c12-34e8-5706-aeee-58e9ca4f5d3a","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Testing","Flood test areas for a minimum of 24hrs"
"77fd3459-cef6-59f6-9849-90bb2d916448","","checkpoint-group","not-started","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection"
"69a68a91-5b48-5803-9c97-e6fe15f8cbde","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Has membrane been installed in accordance with AS4654.1&4654.2 (waterproof membranes for external above ground use)"
"b83f5f0a-2640-560e-a303-a2ede22e9ef9","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Application as per manufacturer’s instructions"
"5968c79f-13b9-56d1-b679-01e11091357a","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Waterproofing works completed - Area left clean & tidy"
"f628f208-4f1e-5683-8ae6-64a4577d89a1","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Release to next Trade"
"1259e789-50b8-5568-9de2-314ca6f555b1","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Bicon Representative Sign-Off (attach signature)"
"53799034-ff56-5c37-8f9b-e23b2eb969e7","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Builders Representative Sign-Off (attach signature)"
"cbe95fca-574a-50f0-a456-ff794ec05bd5","","checkpoint-status","not-started","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Manufacturers Representative Sign-Off (attach signature)"
"75041b77-05b1-43f4-bc7f-5cb20b4e9b8e","","checklist-sectioned","pass","ITP Liquids V2","checklist","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)"
"c66f9cd9-fc94-5c3d-ab4c-b032cdd79292","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Details"
"86c1f44c-e9cd-53ae-9503-7622c1642e4d","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Details","Details - Pass once entered"
"e3ec8775-3236-5b4a-8bc5-3e6f84406bd8","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection"
"2ac4f2e6-5b59-5674-b95d-72b29ffeb854","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","Is the substrate suitable for application"
"f8d3b868-b04e-5015-9e8d-3f21c34482c0","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","All concrete grout or mortar spills have been removed"
"49fe6a99-2e24-5174-be68-315871d81856","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","All protruding tie wire, nails and or bolt removed from surface"
"374a2789-d3b6-53eb-b2cb-70ba62cad305","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","All bony and defective concrete finishes have been repaired with approved repair materials"
"660a28c3-aa99-5d2b-8f1a-bccd15c07c45","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","Moisture content in the concrete lower than 4.5% are required by Manufacturer using Tramex CME moisture meter"
"b576908f-fb72-5ff2-90bc-909ebe753b40","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","HOLD POINT MANUFACTURER INSPECTION"
"1262efa0-da2a-55cf-a7ac-8a8ef9080d65","","holdpoint","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Substrate inspection","Manufacturers Representative Sign-Off (attach signature)"
"75970ff0-b0be-5e01-8427-5e52ad683b26","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation"
"084fa462-fc10-578d-979a-ddce398d7845","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Is the area barricaded and signed to prevent workers transiting across our prepared surfaces"
"2ca0890b-dc82-5ee2-8a70-f7a5dee2ac83","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Have all sources of dust/debris like power saws cutting timber etc been controlled prior to our application"
"4f5fb007-dd8a-57d7-b17d-1d365682f49f","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Cracks in concrete over 3mm have been ground out and sealed with polyurethane sealant"
"38a9a9c1-0bc8-51dd-9f85-b38541ef588f","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install 10mm radius Polyurethane coves been installed to all intersections"
"6a06a9f5-5673-5ab8-b30c-fe5d451703bd","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install a minimum of 100mm turnup above finished floor level as per Manufacturers requirements"
"4a612cc9-bc45-502d-a280-8189001545e2","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install Tremco Vulkem 171 primer @7-10L/m2 and allow to cure 30-60 minutes or until tacky"
"49d802a1-5dc6-587d-8111-4faac0eed589","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install Tremco Vulkem 350 base coat to manufacturers requirements @.81-1.08m2/L and allow to cure for 12 hours"
"229daf38-dd74-5ece-8e8d-94b960827bf5","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Install Tremco Vulkem 951 top coat(if required) to manufacturers requirements @ 3.23m2/L and allow to cure for 24 hours"
"1cf1aff8-3221-572e-9072-95e1452a414b","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Installation","Check for each of the below and detail as per Tremco Standard details. Attach photos/comments where applicable"
"8f61d737-0d79-5117-ae50-8c8f1bba342b","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Testing"
"32cc537c-db39-5359-8aa4-f76d0345f648","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Membrane Testing","Flood test areas for a minimum of 24hrs"
"29a802af-8efd-53f4-a5cf-47c12f0d3208","","checkpoint-group","pass","","","FALSE","FALSE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection"
"3ac32a40-1120-5721-aeeb-a990b55f87a8","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Has membrane been installed in accordance with AS4654.1&4654.2 (waterproof membranes for external above ground use)"
"866baee1-47da-55d2-b9ed-eb849b320b37","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Application as per manufacturer’s instructions"
"72671d0c-b63b-5d67-982b-8e8fae143e12","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Waterproofing works completed - Area left clean & tidy"
"4d7daab6-7604-590a-afa8-d889691a825b","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Release to next Trade"
"ff11cc1f-2802-5764-b392-858bbe208bca","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Bicon Representative Sign-Off (attach signature)"
"29b44bc5-7442-5ccb-aabd-53c6243f9960","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Builders Representative Sign-Off (attach signature)"
"d1e5c26b-1a4f-5390-abeb-9b54ed88f29b","","checkpoint-status","pass","","","TRUE","TRUE","Project  Seafarers","ITPs for approval","ITP Liquids (V.071223)","Final Inspection","Manufacturers Representative Sign-Off (attach signature)"
