"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14f313a2-5dd8-4dfb-925f-0804a9dcde68","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 03"
"ae4a2b0d-34eb-5976-bb67-4cef3268c194","","checkpoint-group","pass","","","FALSE","FALSE","LID 03","Drawing"
"fc0b98b7-9541-54c1-9512-c35aad0ffa04","","checkpoint-status","not-started","","","TRUE","TRUE","LID 06","Post Pour","Panel ready for delivery, damage free"
"13185013-e182-4e3c-a11b-0dea79865ce5","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","LID 02"
"ac62c8e6-b6ac-54a7-8575-1a9d858c77dc","","checkpoint-group","pass","","","FALSE","FALSE","LID 02","Drawing"
"76009607-134c-53ec-8988-0698ab11e10a","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"713b60bd-db32-5d74-9e7f-9bf9c92babda","","checkpoint-group","not-started","","","FALSE","FALSE","LID 02","Panel Properties"
"820661f1-32d8-5474-9d24-8d1cd9497c96","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Panel Properties","Properties - Pass once entered"
"4e83a4b1-15d7-51e7-bd62-c2334556754a","","checkpoint-group","pass","","","FALSE","FALSE","LID 02","Formwork"
"797a5a02-6731-5bd7-8780-c55a53b517a2","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Formwork","Correct Dimensions & Square"
"fc78196c-f4cd-559b-87f1-21e3118ad90a","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Formwork","Grout tube set out"
"3f74494b-9c1a-593d-b28d-692c33a1b291","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Formwork","Magnets Locked Down"
"8d94a83b-2a54-5654-80d9-27ca41244539","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Formwork","Fillet Installed"
"7d5cc16f-a13c-5dd6-80f8-67f5ecade352","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Formwork","ID TAG Installed (photo required)"
"5e5d46cd-5c79-52eb-bec6-5d5a40ad7420","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 02","Formwork","Starter bars & couplers (photo required)"
"fb974a7f-5556-58e9-a6a4-205a3feee92a","","checkpoint-group","pass","","","FALSE","FALSE","LID 02","Reinforcement"
"515beba7-8fc9-5b2f-9997-524fe247a8c5","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Reinforcement","Correct Mesh/Cage (photo required)"
"49326d42-a389-511d-8621-7b116dc7309c","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Reinforcement","Correct Lig Spacing/Mesh Centers"
"f361eb07-898c-5a1c-8547-e17a3c1078e1","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Reinforcement","Correct Cover"
"c893976f-422d-5f81-ae3b-c79cbb4d36e7","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Reinforcement","Lifter location & Type Correct (photo required)"
"a4617d85-c258-570e-bb0e-c51ec4e17f05","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 02","Reinforcement","Starter bars & couplers (photo required)"
"4916dcfb-2f01-5a61-9fe0-a64faf988a06","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 02","Reinforcement","Strongbacks installed - If required"
"68999fef-5eec-5527-88c6-43cb0d10b6d4","","checkpoint-status","pass","","","TRUE","TRUE","LID 02","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"d39962d3-20db-58db-a0b9-4783cb5e2619","","checkpoint-status","not-applicable","","","TRUE","TRUE","LID 02","Reinforcement","Ferrues Installed - (photo required)"
"0497a19a-2253-586d-842e-95f5b2719e1a","","checkpoint-group","not-started","","","FALSE","FALSE","LID 02","Concrete"
"a536f6c6-3b7f-5ae1-b458-52177cbe1789","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"04616963-c904-5cde-bf85-ad9fd2719f67","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Concrete","Concrete Test"
"69e79b73-3636-5317-b117-07b1d92b46df","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Concrete","Concrete Test Report - (photo required)"
"ce466b63-46b6-51e4-b1f5-8a891d6a9a0f","","checkpoint-group","not-started","","","FALSE","FALSE","LID 02","Post Pour"
"407ad830-ec69-5d22-bc4b-8f037d4494a5","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Ferrules exposed"
"28dcf7c3-0736-5826-9848-52a654316de5","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Grout Tubes Open"
"c5be12f6-897a-5af7-bbee-7e4b501651a7","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Lifters installed central to panel"
"02b49d42-4195-5d77-82d2-e73e307fb047","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Lifters Cleaned"
"d883a785-4b8e-5a5d-86fd-31f83ec82ddb","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Patching required - Pass=No / Fail=Yes"
"5a87529f-61f9-515e-874a-03680f4bfabb","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","ID TAG filled out and correct"
"0e749c25-8af2-5cf5-90df-3297bb611e3c","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Strongbacks installed - (photo required)"
"eddf5afb-67a4-53d8-9e13-76b0f6744714","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Chamfers Installed"
"d6252129-c074-5709-b0c3-59c4bede4e62","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Panels QA sticker completed"
"2ae7803c-23dd-5fa6-b7a3-92e1d2aa9b9a","","checkpoint-status","not-started","","","TRUE","TRUE","LID 02","Post Pour","Panel ready for delivery, damage free"
