"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"224b70eb-1944-4b92-af98-bcdbb9dfa520","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"737964f0-cfb1-41a4-8702-4054d85fb71d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In"
"733ff6ab-5f26-44b6-b616-af94fb1c3c3c","","checklist-sectioned","not-started","Basement Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Basement 2"
"296da1af-0951-4248-b4b1-118a4867aa66","","checklist-sectioned","not-started","Basement Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Basement 1"
"ca3534e0-dc1c-4bf0-9afc-31ac5e5328f8","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Lower Ground"
"91554f26-cd76-46fb-99ff-7c310dd31471","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","Upper Ground"
"d6f107f7-055f-4e92-86b8-53b7047a70f9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","School"
"cc6ab264-13ea-41ce-bf9d-18f61b4a972f","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","School","Lower Ground"
"a705ea41-48d9-4168-8931-3be29c8ce2df","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","School","Level 1"
"9e46f342-b318-4e28-9975-5eb1684d0de0","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0108"
"dd324344-eabc-4792-a46a-e885351db36a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0109"
"5001ed6e-7eb5-4642-8e8b-96b672074419","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0110"
"7c3f468e-7176-44e8-9429-8447bf875619","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0111"
"07833414-5f83-42a5-b8a8-7a379257d7ea","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0112"
"35382da3-0af8-451e-8e90-36236a3ad1b5","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0113"
"547d6dde-0bcf-4d18-ac45-eca19be70bb3","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0114"
"d0e9031d-3ccb-469d-acf7-c4a701e76314","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0115"
"44243dcf-a319-4ced-9b71-4722e5030ec1","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0116"
"1d4638c4-5f12-4ccb-a7ec-800a5204ac1e","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0117"
"4eec8ab9-0d46-4729-a15c-198b47d7a653","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0118"
"83711e98-41d3-490b-ae39-a05af6ac0ff9","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0119"
"c49fa384-2a4a-49c8-bc7e-59d711ef7da6","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0120"
"3a8762a4-f8ae-467a-bb03-2615e45fb8ac","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0121"
"16114d93-7be7-4e20-93e7-075c224ab622","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0122"
"70ed91f0-75f6-470f-ba3e-119db6043373","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0123"
"cb8ecfda-b409-414d-95dc-b8b52f423ec0","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0124"
"43d737e4-99b5-4bc8-969e-7a0d33943004","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0125"
"4c766c0d-97dc-4824-b1f5-22ce9c30efcc","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0126"
"1a0d101f-bdfe-4ee2-93ae-6d96de58b242","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0127"
"76e1de0f-0d7d-4885-8718-8da31463ec44","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0128"
"71ae87af-7b82-47bb-a6ab-b89216dd58e8","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0129"
"b179f8f7-c6b5-49b3-acfb-7d72f97c28d2","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","Bed B0130"
"36202fe8-ba1e-4e51-8062-2c7468f4ab20","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 1","BOH B0134"
"4fffc17b-4695-4513-a123-b40068fdb5a3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2"
"1a54fa11-d9b1-401c-9c93-80bea9723675","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Base Building"
"159a4205-403e-472d-b7f3-56bf0dbca447","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0201"
"94d7ad7a-6166-42b5-955e-82be8b0cbeec","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0202"
"1c1b4050-499a-47d8-bf7e-895df53327ce","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0203"
"fef9a5bb-ef0e-42fc-837d-a026f3f2a8df","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0204"
"5aba375b-4bcf-4f0b-b42d-45c04c33f84f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0205"
"26cc71af-8c28-4568-964d-f3ca6e88cd50","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0206"
"be0ebea6-4168-4449-bdcc-e97d70a6d2fc","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0207"
"4aada7fe-229c-4d01-9ebd-58ebbe2dd348","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0208"
"bd7cd054-9353-479c-a05b-edba9da1d1fc","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0209"
"ab59e3e3-995d-4077-99de-39c45c4e1679","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0210"
"244b2e3f-802d-49a6-bf05-2ae69dde271f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0211"
"693abd53-11cd-4882-be0a-db2332daf7fa","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0212"
"dcdc26a7-c66d-40ab-aef5-c79ba6e5870a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0213"
"c4e16f49-d14e-4b75-a07f-fd795d929137","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0214"
"5c5cdae6-3904-4094-bda8-35ba99356916","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0215"
"3e66f749-5284-42eb-a66e-834f120d1eb8","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0216"
"0cb53c90-6a11-42c7-8823-8bc3663c8430","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0217"
"6f5ac05c-73cf-49b5-a88f-798c7fe9cec6","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0218"
"5dedef4b-5208-4956-8d42-c848483875ec","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0219"
"5be73f73-3f6f-43a5-8315-86b2a520f1a7","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0220"
"250e7f24-957c-4f1e-8a98-05dcd8f3f77a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0221"
"b4cf0629-27cb-4954-afa7-32b101f0324f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0222"
"4acba372-d1c8-4b07-92f0-594bd62df0e9","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0223"
"e0bef8ff-6600-49b7-b7fd-cb9ec7480947","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0224"
"75e84c27-9cf5-43ce-81c7-0c60cf75c12e","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0225"
"77c08a29-2007-4702-a7c7-66a99e5537b7","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0226"
"51276984-8034-41b5-8d0e-76aa60f56515","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0227"
"e4c9d5bb-d9e2-477f-83ac-4dcc05a45e6a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0228"
"34878bd3-705e-4313-ba53-00a7e2cff835","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0229"
"150b8dbc-c70c-407d-beea-bf966f22f4d1","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0230"
"1d612e3d-2fe3-4ae2-9cf4-561a65942b43","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0231"
"73965494-6c4b-421d-a18e-2c1c7f1c1e9e","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0232"
"a434573c-d50e-4a33-9c1f-ec7b3ba9e10a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0233"
"7d1bed2d-422f-4652-b92f-92c3e01977fe","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 2","Bed B0234"
"e18034d7-e987-401d-8e1e-ea00f1cb7777","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3"
"cf2ec689-e0e3-40f5-b7f5-9b9549d5e7f5","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Base Building"
"637469c3-17b3-49d2-9a25-7eee2814846c","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0301"
"7d496928-7bd5-423f-8c35-bfec5aeed2bb","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0302"
"d8eeabb5-8343-4a79-b3e3-726be65940da","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0303"
"fd6dfc4b-715b-4cfb-8ad6-5827f8c8c476","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0304"
"af694d50-cda8-4a00-b859-9aad4c3938f0","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0305"
"194167d4-1a3d-4cc3-b355-5ba86f05de8d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0306"
"c26474dd-5059-4370-9cbc-8d2ac36ba916","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0307"
"f62a48d6-bfab-4909-be2a-c72d3799fcdc","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0308"
"9b2e23c6-5932-4129-bff5-3cfc1a2d4ac7","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0309"
"b4dbe80c-4e04-41e1-943b-3d9cf3566d59","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0310"
"758aef62-76ea-4243-aedd-66efe347745e","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0311"
"6651483f-8383-498d-9100-093072e74c64","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0312"
"324e73ec-cb5c-450f-871f-cb5c9423754b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0313"
"ea9b9525-41e6-420c-8556-074a03a2f43f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0314"
"ec896870-b1eb-4f63-95d6-27691a7af33f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0315"
"71b57cdf-e91a-405c-81a5-0c1aeb0849e6","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0316"
"b18b6151-1317-41e5-8af8-2872b4f7764a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0317"
"75ccf903-6272-47e8-acc1-8dcccb9e5de0","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0318"
"3a6a91d0-54be-4f8a-b5bb-cacba3c881c5","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0319"
"531f2fce-10c9-4a48-ae5b-4da21501599d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0320"
"1110e9c6-a410-4a40-801b-a9a3376775e0","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0321"
"81345c07-39c1-4fb9-805a-5fc9d3903c6e","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0322"
"9cc7e9d8-f95a-4a3b-b171-987a7cf0aa2b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0323"
"c511ab0c-7922-4c98-b548-d2fcb6352a9f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0324"
"0c095b75-862f-4243-9abd-5d7b88b54b10","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0325"
"56c0205b-44fe-4e33-aa81-5786f10ef8a9","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0326"
"8c12d960-443f-47ef-ac26-d544463fad56","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0327"
"0d1377b9-ed8f-4e0d-ad54-4a8fe0fed112","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0328"
"b34bc1d4-17d1-44b6-b078-3601978f542d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0329"
"2af74db3-c4f5-484b-9dcf-e8207d90f462","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0330"
"10e6834f-3c33-43cf-b4bb-266912bd6ae8","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0331"
"62d8251f-3f22-49f3-b235-0ad094071c5d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0332"
"b4dc7640-16f4-4bb7-ac72-838ef74d0858","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0333"
"af7639fc-ba80-4236-8ed3-eb0c8aca0079","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","Bed B0334"
"b5147a40-5032-4846-a71c-9ba9d6dc082d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 3","BOH B0338"
"a226c559-f796-4dda-a93b-8f0647340a92","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4"
"a2865425-8be9-4ba3-96f6-1cfd6613b70f","","checklist-sectioned","not-started","Base Building ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Base Building"
"8287c2b4-ae0a-4efb-89f3-d34da5c24290","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0401"
"ab9a952d-b18a-47f0-a514-cd7e657b1fbe","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0402"
"e612a9c3-b11a-4206-a2c0-d248457f6bfa","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0403"
"527cb5aa-5443-4417-9fdf-0b0c3c417322","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0404"
"b21def85-4800-4450-afdc-b620eb0a7b03","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0405"
"09920fa2-00f3-4b7a-af55-4b0f67a9f58a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0406"
"ca2c0780-6a88-416d-835d-8259589d887c","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0407"
"c5735014-129a-4c4a-89bd-2abd8ad684d2","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0408"
"dac177b4-6ed6-44a8-bf07-e76fe57ad36f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0409"
"17ae32ad-f75c-422d-ab5f-f8fed580e97b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0410"
"9076342f-93a9-49be-a3b5-d441794ec8e1","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0411"
"186883ff-0179-4933-b7d6-0914e780d62d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0412"
"e4ae4909-4200-4a59-a686-1884a418e690","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0413"
"86cf3871-f392-4e99-8cd6-318725731ea8","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0414"
"d914418e-ffdb-4057-996e-fe73373aaa5f","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0415"
"641c0f0f-71cb-445b-96ca-e96ca7b6469b","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0416"
"f6283eb9-9460-4894-97b9-34615ebd3945","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0417"
"9ca30c0c-3f97-4bb0-bda5-af7e693b739d","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0418"
"ba78bea9-9f65-42fc-a17a-c3cbfad342d5","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0419"
"6bc2b3cd-11fa-45f9-9462-206d5d9f1e15","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0420"
"b044af22-6b96-44ec-865c-c04ffb23afd1","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0421"
"4ede0761-db8b-4fca-b76b-c967a0c72208","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0422"
"c20cd33a-b7c6-401f-b196-94b1e3d8d08a","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0423"
"f9570600-2b69-44c8-ab10-0adc129bc122","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0424"
"28509911-9a93-4e00-bf94-7ee0cf9e642c","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0425"
"0e55c2fb-eb39-4d0e-b8f3-576aaa80a8ea","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0426"
"9c47317a-0b41-4acf-88b2-9d88fa43f862","","checklist-sectioned","not-started","Apartment Rough In ITP","checklist","FALSE","FALSE","Site QA","Rough In","RAC (Residential Aged Care)","Level 4","Bed B0427"
