"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e11f1a67-64cc-4a65-b8fb-4b2d9a468816","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard"
"7395dde4-86c7-4809-87a8-d7fd1d60f00f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor"
"11890ad3-eaf0-4753-a401-f35574837c2f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas"
"b9bac451-1926-4b9a-a426-659e6c5d0c2e","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Treatment Room (G-S-11)"
"339c24e5-3086-472d-92fa-0b32b3afe511","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Cameras","Ground Floor","Outside Building - DCW Pump (G-S-18)","Fit off"
"a92878cc-9483-453c-883c-e04c2ee93e00","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1"
"3428e93e-4b44-447b-9267-4c8018c2949e","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Common Areas"
"1635c9e6-cadb-464f-8494-504a9f130c0c","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Common Areas","Dining Room (1-X8-02)"
"db08e52e-e692-47ca-8c0a-015c83af2836","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Common Areas","Dining Room (1-X8-02)","Pre Wire"
"473234c1-9b89-4a22-92b6-f9755166bba3","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Common Areas","Dining Room (1-X8-02)","Terminated & Tested"
"ea28767d-36a9-484a-9759-dfd3f45561fa","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Common Areas","Dining Room (1-X8-02)","Fit off"
"0e600d8b-2d94-4fe1-80f0-cb379be7ee57","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Common Areas","Outside Lift 1 (1-L-01) and Lift 2 (1-L-02)"
"dfc79701-b4be-4990-bf59-ab1230df7793","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Common Areas","Outside Lift 1 (1-L-01) and Lift 2 (1-L-02)","Pre Wire"
"c6ba6745-d3d5-43e0-9638-16736b98bdd8","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Common Areas","Outside Lift 1 (1-L-01) and Lift 2 (1-L-02)","Terminated & Tested"
"bc378e73-c823-4efb-a588-14d84d97f785","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Common Areas","Outside Lift 1 (1-L-01) and Lift 2 (1-L-02)","Fit off"
"8ded0866-737b-460e-a105-a2d1804b3a16","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas"
"8acb0b96-8564-4840-ae23-c35a62ad837e","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A5-04)"
"88131278-1f7d-4019-b69f-f9f7765b2ead","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A5-04)","Pre Wire"
"dbd6355f-54c0-4910-acbb-8f4d97ed0dd0","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A5-04)","Terminated & Tested"
"f8dc1537-95cc-4b0b-a45a-4cf3f27cb0c7","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A5-04)","Fit off"
"f22a4855-d3ad-43d0-9663-06fa38bfac25","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A5-02)"
"a041b650-cfb3-4dec-9796-e55d80a91990","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A5-02)","Pre Wire"
"96e7488c-85ac-4f10-8670-0dbd0f1dd197","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A5-02)","Pre-Wire Only"
"a849330d-d2fd-4ef6-afeb-648008d97f0f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A5-03)"
"bef1d992-2788-4bfc-81b1-c6b35c983dea","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A5-03)","Pre Wire"
"020631cd-0d7c-42aa-93b9-ece28e537da2","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A5-03)","Pre-Wire Only"
"6b45cc2d-0c8f-40af-9377-08c6fa4080ff","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A5-03)"
"97755785-bf6a-4289-a642-60019a833a64","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A5-03)","Pre Wire"
"416c8afa-86d2-4e6f-9d60-e58ec996c04d","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A5-03)","Pre-Wire Only"
"50156eab-d544-4c0f-9158-f2adc8dd8213","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A6-04)"
"9c0ad0a4-0d67-4113-8c38-8b1215aa2206","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A6-04)","Pre Wire"
"aa85f8e0-d79a-4633-b0c4-7fa7472a782d","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A6-04)","Terminated & Tested"
"60f83ce0-582f-4f8b-b970-880dab67d1c2","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A6-04)","Fit off"
"8f132764-3347-4677-876e-9b7b1cd1c335","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A6-02)"
"d6d78a9b-8af1-474d-9ce8-85d8ec8629de","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A6-02)","Pre Wire"
"57139b4c-9b19-4e65-9be1-0c83d92c8135","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A6-02)","Pre-Wire Only"
"7142a852-a4ea-4da2-9480-42678a97600a","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A6-03)"
"33d9240b-bfc4-4530-b22c-004a23d4a2d2","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A6-03)","Pre Wire"
"d30b7411-9276-4cdb-bfe4-52e2479e4755","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A6-03)","Pre-Wire Only"
"928ab4f4-d05c-4b37-aa68-0b0382ba988f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A6-03)"
"6abc4b1f-981e-4f8e-baf1-3a11139642ad","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A6-03)","Pre Wire"
"223699ac-13b7-42ec-9a15-882de820f910","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A6-03)","Pre-Wire Only"
"2e5151ff-bf38-417c-b315-d2bdbb0a993b","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living/Dining (1-A7-01)"
"0e96500f-1368-4d1c-87c8-2fbfa217dbb4","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living/Dining (1-A7-01)","Pre Wire"
"43c565f9-93c6-4ae2-b26a-6ceca789d5af","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living/Dining (1-A7-01)","Terminated & Tested"
"f4c236f6-ef90-4a88-a472-5719f393351a","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living/Dining (1-A7-01)","Fit off"
"553fa5dc-ad96-4e02-aa57-d5794337ca38","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A7-02)"
"e613b9b0-41b8-4f75-ad9e-61113468f6b0","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A7-02)","Pre Wire"
"b43be57d-e2ac-4bc5-b278-8ca1c7303fb1","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A7-02)","Pre-Wire Only"
"513c4f1e-767c-4ff8-babe-4ce6bdf35ffd","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A7-04)"
"78a55a59-d6e1-495f-835f-13e3ce309b9c","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A7-04)","Pre Wire"
"816c9c96-3c34-4699-9bd2-fcd590def688","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A7-04)","Pre-Wire Only"
"66492cfe-0d39-493f-a3f5-b92ec7093a44","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A7-04)"
"5e3d8d99-0fbe-4783-98c7-d9e9032c7655","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A7-04)","Pre Wire"
"1bcf8588-4b87-4022-8c83-7c6c3e79a767","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A7-04)","Pre-Wire Only"
"bd1c2e48-3c32-4b05-a05a-74525a8fbe90","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen (1-A8-05)"
"c82b4fd7-630a-4db4-94fc-081316fec6a2","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen (1-A8-05)","Pre Wire"
"8782bdf3-e2c3-4e4a-bc64-d89e951af0e8","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen (1-A8-05)","Terminated & Tested"
"1cff5252-8059-4a23-a478-bede594fd65c","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen (1-A8-05)","Fit off"
"d34b8862-41fe-41a0-951f-f27f64e74a4e","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A8-02)"
"c5bcd060-9188-4592-ab67-8803b7a9b60e","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A8-02)","Pre Wire"
"c9754239-47bc-4c15-9afa-ae5135c7c905","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A8-02)","Pre-Wire Only"
"c4a6fc3c-a233-4f51-89cd-66a3cd0e9d92","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A8-03)"
"7d48f191-3614-4faf-93f0-7f128fc02d37","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A8-03)","Pre Wire"
"203c2239-a62f-4ea0-a19e-7eb1daced5a5","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A8-03)","Pre-Wire Only"
"8c95b285-f9df-442f-bf85-e8418ecddb77","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A8-03)"
"fa35aa2b-d1f6-4539-bb42-0558787a3baf","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A8-03)","Pre Wire"
"76d37dac-9ecf-4519-82ac-ee421507620f","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A8-03)","Pre-Wire Only"
"59a5cb22-fe5e-402a-81d0-d539502ae7ba","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A9-04)"
"ecd67450-48b3-4c49-b8f3-040e1ce3774b","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A9-04)","Pre Wire"
"5a1c12ff-14af-47cb-a87f-9305dbd4f329","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A9-04)","Terminated & Tested"
"ea3a01d6-6828-4134-9c26-f9a8e49a531c","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A9-04)","Fit off"
"7e8508c0-06ba-4116-94bf-64906d01b24b","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A9-02)"
"3b6b94c0-1282-4d4e-a1f0-920aea30bdf4","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A9-02)","Pre Wire"
"e42485ee-e992-4017-906b-992eb2628d06","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A9-02)","Pre-Wire Only"
"ccfd3e3c-bb22-4c45-ab62-3d33c05cbcc5","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A9-03)"
"7a6bb086-47e5-45ff-994a-4096adb545ea","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A9-03)","Pre Wire"
"cfd86c77-11f0-483e-a90b-7a3a4d0648da","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A9-03)","Pre-Wire Only"
"d1b5cc1e-d3f6-40e5-9839-c62f0cc10b90","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A9-03)"
"db6d5ad5-759a-47bb-846a-0f28672211a8","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A9-03)","Pre Wire"
"e5e2b46d-de32-4cdf-81ff-7fe4b14fe0c7","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A9-03)","Pre-Wire Only"
"88c42a56-a799-4c49-a224-7afe3e8976ea","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A10-04)"
"eb563bd8-65dc-4e86-bfa8-2d77f994fa19","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A10-04)","Pre Wire"
"6e753a4f-a430-4500-99a5-cb69d34e640c","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A10-04)","Terminated & Tested"
"2f08daec-99d7-460d-a241-3bdcf9fd3e3d","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Kitchen/Dining (1-A10-04)","Fit off"
"0893e06c-bc25-412d-a1d2-c7d5005cf0f7","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A10-02)"
"59a54a58-01a9-466a-bc7a-041b6572a864","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A10-02)","Pre Wire"
"f947f582-612e-4725-8b06-cb33d6f77be8","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom (1-A10-02)","Pre-Wire Only"
"a6c1ab0b-5e1c-434c-b15d-81d0fe91d14c","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A10-03)"
"c2ba5684-c3b7-463a-bfe4-ffc58c46d7d6","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A10-03)","Pre Wire"
"adf32844-1f90-4bd1-aabc-90719def22a0","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet (1-A10-03)","Pre-Wire Only"
"46a2d056-b5d8-495e-aebc-57c62f84d127","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A10-03)"
"1b5ad79c-c6b4-47e0-9f50-a4cafae746c0","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A10-03)","Pre Wire"
"4c561bca-f554-44d9-98e9-86695b4f3fa2","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower (1-A10-03)","Pre-Wire Only"
"163d4bd6-d727-4380-94da-49d0abed9347","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living (1-A11-01)"
"77075df1-c4b1-476a-a943-78d9f1920add","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living (1-A11-01)","Pre Wire"
"93dfbe85-a47e-4b54-825c-4f83ac987d80","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living (1-A11-01)","Terminated & Tested"
"37cf5830-54a3-43da-846e-3d613a911046","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Living (1-A11-01)","Fit off"
"47c8f817-176c-4204-a57c-5258a0ec21fe","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A11-01)"
"fa18f83a-8b1a-42ac-87b9-dd4298d75708","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A11-01)","Pre Wire"
"03233307-03f6-4977-aecd-5a1aa0d1ba51","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A11-01)","Terminated & Tested"
"0426c7b3-732a-47b5-8bad-b0cd5191904c","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A11-01)","Fit off"
"ea05454b-563f-4e2f-a343-c19b76f2fbd9","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A11-02)"
"1248150f-7e07-416f-b68c-1b9d4862ded7","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A11-02)","Pre Wire"
"999f9fac-07cf-4c03-ba7a-da9288356018","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A11-02)","Pre-Wire Only"
"d5cf1111-425d-4256-9d65-f69294fdba8a","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A11-04)"
"5ebef2a5-a932-4e87-bc80-082763171a60","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A11-04)","Pre Wire"
"8725bd91-0aad-4b7e-96bb-5b24b6b1f58b","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A11-04)","Pre-Wire Only"
"e4d4daae-a8c4-4922-a05a-fed0b10ad0d9","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A11-04)"
"410eb8fc-c52a-4efe-b722-4ecb9870c2d5","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A11-04)","Pre Wire"
"2a552a58-6db5-4843-9717-a52866157e20","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A11-04)","Pre-Wire Only"
"531dea12-7f54-48ee-ab40-48a764e58362","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A12-07)"
"19cb33cd-5008-49fb-83fe-605e6b0f402a","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A12-07)","Pre Wire"
"252204c1-c100-4dc4-b6fb-6030ba0b98d4","","checklist-flat","","Terminated & Tested (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A12-07)","Terminated & Tested"
"2852928e-156a-4356-9f2b-bbc5a3bd27b5","","checklist-flat","","Fit Off (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","Dining (1-A12-07)","Fit off"
"9273899d-762f-4d20-87d3-787956c0f9d4","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A12-02)"
"aa83b83a-1d50-433b-b61a-d553107bd5fd","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A12-02)","Pre Wire"
"61a5b508-04ba-493a-b78a-73986f00a4aa","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Bedroom 1 (1-A12-02)","Pre-Wire Only"
"c1fe33f3-605b-4cfc-b87a-34f4bdb89855","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A12-04)"
"b9ece6c3-a7fd-4a80-b6aa-541a35256c5d","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A12-04)","Pre Wire"
"bb6c0f5d-e836-46be-b13b-beab62e6dd87","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Toilet Ensuite (1-A12-04)","Pre-Wire Only"
"e72e93dd-b3df-493e-98fe-11cb20614bfc","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A12-04)"
"f66173e6-2ceb-4b50-8df4-29b612daa29c","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A12-04)","Pre Wire"
"52862f09-ea46-44e6-a43b-591c4467eec1","","checklist-flat","","Pre-Wire Only (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Residential Areas","PREWIRE - Shower Ensuite (1-A12-04)","Pre-Wire Only"
"fe0b93cc-26fc-4842-8d20-8592deeb0e0a","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Courtyard Wing - Residential Apartments"
"79b28689-5012-4aaa-b484-d1d7392cc983","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Level 1","Courtyard Wing - Residential Apartments","Bedroom (1-X1-01)"
"f8899eaa-afa7-4b3c-9a5e-25a7bda32a49","","checklist-flat","","Pre Wire (Residential Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Level 1","Courtyard Wing - Residential Apartments","Bedroom (1-X1-01)","Pre Wire"
