resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 68,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 69,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 70,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 71,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 72,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 73,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 74,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 75,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 76,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 77,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 78,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 79,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 80,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 81,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 82,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 83,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 84,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Common Areas,,,,,,,
,,,,,,,step,,,,,Corridor 2 LG,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,,CLADDING,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,,TILING,,,,,
,,,,,,,step,,,,,Corridor 2 LG (Courtyard),,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,,CLADDING,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,,TILING,,,,,
,,,,,,,step,,,,,Corridor 6 LG,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,,CLADDING,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,,TILING,,,,,
,,,,,,,step,,,,,Corridor 6 LG (Courtyard),,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,,CLADDING,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,,TILING,,,,,
,,,,,,,step,,,,,Corridor 2 GF (Eastern Elevation),,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,,CLADDING,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,,TILING,,,,,
,,,,,,,step,,,,,Common Balcony (Western Elevation),,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,,CLADDING,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,,TILING,,,,,
,,,,,,,step,,,,,Entry,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,,CLADDING,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,,TILING,,,,,
,,,,,,,step,,,,,Fence Paint,,,,,,
Delap/Condition Report (Painting),New Painting (Painting),Completion (Painting),Handover (Painting),,,,folder-with-checklists,,,,,,North ,,,,,
Delap/Condition Report (Painting),New Painting (Painting),Completion (Painting),Handover (Painting),,,,folder-with-checklists,,,,,,East,,,,,
Delap/Condition Report (Painting),New Painting (Painting),Completion (Painting),Handover (Painting),,,,folder-with-checklists,,,,,,South ,,,,,
Delap/Condition Report (Painting),New Painting (Painting),Completion (Painting),Handover (Painting),,,,folder-with-checklists,,,,,,West ,,,,,
