"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"26fcea79-2069-4951-a014-3e775d3b359c","","folder-normal","fail","","step","TRUE","FALSE","Station Box"
"1f862615-ee8b-4b14-bbac-634d0b039ef4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 01"
"b4f821a7-c8ad-4d7d-9080-515af3bfa2d8","","folder-normal","pass","","step","TRUE","FALSE","Station Box","Lift 01","Zone C (Western end)"
"db48e4bb-d793-4eed-ac43-6adb9ae759d6","","checklist-sectioned","pass","5e2aca4a77bdc90475ab6c3dcfe1b551cd16e8bd070cc04f94212ccd78dfde8f","checklist","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00"
"547de478-8cc6-5968-ab05-c20cc100d9cc","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 01","Zone C (Western end)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation - Zone C 20230223 - Rev.00","Pre-Excavation"
"8851cfeb-856e-577e-a676-f23bfd370ffe","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Wall Trimmings","Signed off by Delta Group & CPB"
"0236325c-caca-5705-bd9c-116fa6e87cf3","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation"
"7bfe0e52-b5c6-5acd-bb56-577f32ef8111","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"097dcaa2-8f6b-5fb5-a69e-53ab7e42cbad","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"b6e56edc-d665-54cc-a81d-239b59161fa6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"8a29bd09-893b-511e-8507-7fb59f8ca4f4","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"fcccbf55-837b-580a-a103-b16c7bfcd3e7","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents"
"d2e6995c-92f2-5633-bb34-f248b0da486e","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","This is to confirm Delta have carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification"
"bc441870-6e55-56be-a14c-7aa83d0955e3","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P26 to P46 (Zone C-B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","Please attach copies / photos of the following documents ( Inspection Report, Product Details, Sample Material, Test Results / Certificates, Dockets & Other Certificates)"
"cd1725d9-c7d8-44f0-ad36-e190e5df250b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 02","P175 to P190 (Zone B)"
"34dd5937-9927-4ab7-8bb8-98b723ba37fc","","checklist-sectioned","work-in-progress","N3-456 WSA SBT - ITP001 - Station Box","checklist","FALSE","FALSE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"6a3cb30f-ffa6-5663-aeb9-3ca1e5c176e5","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation"
"0bb68f49-05ad-58ed-8a66-38bd96136dc9","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"8a42df46-0755-5310-8a30-331c66f991af","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"69dca9aa-9bc3-58f9-ba93-29df9cb4db58","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"9e67d768-83fb-58df-9694-86873477242e","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"a830f943-7f5e-5f3a-8d4a-39c8bcb78eba","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"809cd994-6a52-5515-b838-3766642b8ae7","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks"
"29ba84bb-082d-5367-870a-243a85d268c7","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks","Site supervisor to set-out of RL and dimensions per works planning"
"090d290c-f24b-5c02-ba6b-a8ea91e25888","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation"
"33e75485-36b7-5b5c-8e12-b6ad0de5ec09","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Detailed excavation of foundation shall be completed to the depth and profile shown on the drawings."
"a1b4a44d-3edb-593b-b923-dc9943a8fbba","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"215ba426-00c7-5621-b8c9-d12d6281a449","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","All foundations excavations shall be free of loose water softened material and ponding water prior to placing concrete. Excess water to utilise temporary drainage systems or to be removed by other means."
"2c37e155-c9dc-5431-9005-ba67b19cff18","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"f40e3315-2b7e-5d1d-a1fa-24332823fa29","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation"
"3eef7fae-0c0a-5e4a-bd4c-3ebcd0b8973c","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Pile issues"
"8ce802d8-4d3c-56df-9196-85c018d6715f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Rock slippage and failures"
"98cf3386-3221-557b-a279-639baf8778de","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Wet wedges"
"795633ac-1e42-58dd-bf7d-c4e10d7f78b0","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Concrete failures"
"1f68ea85-b05d-5445-bce1-7a49870d19e4","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"6d00758d-c22d-548c-b43c-bc0c2fa6f8ba","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"daf4ede3-e1df-55e8-8a8d-8f32dfcab0ce","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"3439ff69-205f-5fb2-b557-e7e33f42b542","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"99e6cec6-1648-5114-ba4b-ed6f59af6ac3","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents"
"11a98676-603d-5159-bea5-4289b94b6c6b","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","This is to confirm Delta have carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification"
"fef3aef8-c3cd-5a4f-b7d2-8e254ce5d1d2","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P175 to P190 (Zone B)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","Please attach copies / photos of the following documents ( Inspection Report, Product Details, Sample Material, Test Results / Certificates, Dockets & Other Certificates)"
"4739b740-5ad0-4b6d-8040-220d2da13921","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 02","P218 to P230 (Zone C)"
"258d739c-a261-4486-b9a1-dadc1282395a","","checklist-sectioned","work-in-progress","N3-456 WSA SBT - ITP001 - Station Box","checklist","FALSE","FALSE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"4546575f-6616-55d0-8cd1-77a5a59bffb2","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation"
"10d3c0ab-3ff0-56f2-b3a9-64e46d0c1a67","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"132906aa-e6b8-5676-910b-6622234d9712","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"f754d4e9-2ed9-58e9-9b37-45ced0751c7f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"7599cb5f-9b34-5cb1-8962-d6b5d636197d","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"552e9346-65e2-59b4-a0cf-a069860af8b8","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"7530b3f4-4ad6-5962-80ac-755bd39d7d15","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks"
"93ece8e4-92dc-51fe-b077-5b5b15ff09b8","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks","Site supervisor to set-out of RL and dimensions per works planning"
"756974c4-fa25-50e8-b878-247347a48045","","checkpoint-group","not-started","","","FALSE","FALSE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation"
"200bf8d6-a894-5ac8-a66b-1b1d3f9c5b4c","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Detailed excavation of foundation shall be completed to the depth and profile shown on the drawings."
"f4f9fc18-ce8b-59b3-8baa-7e708f01e202","","holdpoint","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"d9a2e303-344c-551a-b58e-1721dcb2be42","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","All foundations excavations shall be free of loose water softened material and ponding water prior to placing concrete. Excess water to utilise temporary drainage systems or to be removed by other means."
"0d4edbb7-b0de-54c7-b92d-5575b64c8892","","holdpoint","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"a5bf1b4f-4200-5d5e-b91f-8060668ec24a","","checkpoint-group","not-started","","","FALSE","FALSE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation"
"cbe56dcd-f629-5e1b-b309-0d56d4274539","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Pile issues"
"d54b4298-b7ff-5f28-aad8-01cd5c8700bd","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Rock slippage and failures"
"61a45516-1600-52d9-9831-39332c1b321d","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Wet wedges"
"8e4ee615-354d-526d-b235-714142ddc626","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Concrete failures"
"1fe5550e-c566-554a-b081-2396f1543d73","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"93bfd069-acd6-569e-9055-2017816fadd0","","holdpoint","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"b0f56c1b-70f3-55ca-9af9-f41e2d1c3a76","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"987650cb-0a76-564d-b78e-d94800e5731a","","holdpoint","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"d2858a45-53f9-5768-a084-04d579a45d7f","","checkpoint-group","not-started","","","FALSE","FALSE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents"
"339aa473-a266-5902-afb8-f500dd4f2fa3","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","This is to confirm Delta have carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification"
"3ad0bfec-c24b-553c-a2ff-cb7e5b67dd75","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P218 to P230 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","Please attach copies / photos of the following documents ( Inspection Report, Product Details, Sample Material, Test Results / Certificates, Dockets & Other Certificates)"
"b7eeaa86-0adc-4ba3-8053-d8dd252cdfc1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 02","P194 to P209 (Zone C)"
"3a6659e3-8885-40e6-8965-cfee1ce00de2","","checklist-sectioned","work-in-progress","N3-456 WSA SBT - ITP001 - Station Box","checklist","FALSE","FALSE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"40192d6b-e151-51cf-a555-255be13df621","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation"
"1711b49a-cd1a-5967-846d-025474b055a3","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"77db71b3-697a-53ce-9f7a-a9b373c56201","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"74ce1cc0-771c-5a94-b8a7-78e5af4a8983","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"a39190dc-3fe6-5f77-a766-0d2a847163be","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"c83e61a3-6850-5df4-afcf-3839ed244bf8","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"d8d0e272-da10-5f7c-af42-8acc711fb273","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks"
"0d9f545f-44b3-508b-b036-f6353586646f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks","Site supervisor to set-out of RL and dimensions per works planning"
"daa43a1b-0127-5763-90e3-87ee94ef8c9d","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation"
"ad324f59-692d-5fca-91e0-b1a3cacb22df","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Detailed excavation of foundation shall be completed to the depth and profile shown on the drawings."
"f4316f18-7fc8-5fbe-9ab1-228fcb8c482b","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"420d154a-98c8-510e-b715-5df748611abb","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","All foundations excavations shall be free of loose water softened material and ponding water prior to placing concrete. Excess water to utilise temporary drainage systems or to be removed by other means."
"5249399d-d76a-564f-89a0-506936d54b7a","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Detail Excavation","Signed off by Delta Group & CPB"
"9aa1f461-8b7f-5430-8178-b09921f0790d","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation"
"ebdc336c-769c-5320-b0dc-da6eecfecbac","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Pile issues"
"dbb9970d-380a-5901-a0ca-3ca89e25b28b","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Rock slippage and failures"
"6f444755-6821-5cd7-8626-843e8aaef63b","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Wet wedges"
"de198265-b5e1-5f59-ae5f-1a8dfd4a5b3f","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Concrete failures"
"01773b90-57dc-5451-afbc-3863fabad5fc","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to confirm construction tolerances are achieved (excluding areas where rock cleavage does not allow for):"
"59bd7060-b605-5a94-b31a-1dc366a7b355","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"8d1540a2-eb05-5033-ae63-299a3075b6bf","","checkpoint-status","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Surveyor to provide As-Built survey of foundation upon completion of work area."
"f2cac51f-f927-5576-acc0-199800791216","","holdpoint","not-applicable","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Post Excavation","Signed off by Delta Group & CPB"
"aab0e701-94cf-552e-961c-5ac4a6c49124","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents"
"afcdf12e-0a35-5dc8-bb36-b93f86c1afd9","","checkpoint-status","not-started","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","This is to confirm Delta have carried out all necessary inspections and verifies that the work has been completed and conforms to the contract specification"
"f560df6c-48f0-5171-9121-58e2f9116c70","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Station Box","Lift 02","P194 to P209 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Verification & Documents","Please attach copies / photos of the following documents ( Inspection Report, Product Details, Sample Material, Test Results / Certificates, Dockets & Other Certificates)"
"a5b5fc47-e898-4882-82a3-32d736320699","","folder-normal","work-in-progress","","step","TRUE","FALSE","Station Box","Lift 02","P12 to P26 (Zone C)"
"da934c2b-4589-423b-907d-3f2051736c6d","","checklist-sectioned","work-in-progress","N3-456 WSA SBT - ITP001 - Station Box","checklist","FALSE","FALSE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation"
"565c63eb-a815-5820-aebe-a763c68f3431","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation"
"14d4e7b0-bdbd-5ae6-b5c0-834d720843f6","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Structural & Architectural Drawings - Please attach"
"9a9ca12e-3519-58cd-ae36-c7eb154e88ac","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"681239c0-2db4-573a-8e56-6166e71c1563","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Surveyor set out in accordance with latest drawings above:"
"569a62f9-9378-5a7e-85e8-dad8e865f973","","checkpoint-status","pass","","","TRUE","TRUE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Permit to Excavate - issued by head contractor prior to works commencement"
"b1cda892-7647-53db-8a28-830b89abe869","","holdpoint","pass","","","TRUE","TRUE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Pre-Excavation","Signed off by Delta Group & CPB"
"ee2031a8-bfe8-5da1-9ed7-5d71a7c257ae","","checkpoint-group","pass","","","FALSE","FALSE","Station Box","Lift 02","P12 to P26 (Zone C)","N3-456 WSA SBT - ITP001 - Bulk & Detailed Excavation","Bulk Earthworks"
