"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b8d2f43f-c338-499e-a4f3-a470deeee484","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"32803bc0-e1a6-4dac-a383-768f55281eab","","pass","","folder","TRUE","FALSE","Site QA","Stage 1"
"723508cf-5247-416f-a7fd-236c675935c1","","pass","","folder","TRUE","FALSE","Site QA","Stage 1","02.01 - Traffic Management"
"3f1bb331-e3a0-4577-9fae-f752002b8695","","pass","02.01 - Traffic Management","checklist","FALSE","FALSE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management"
"2d6c6295-5e09-5e99-8120-3efc3d844d18","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details"
"eaf9df2a-928d-5666-8a0a-f8ac6b914a70","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:07389f6c-d602-5da6-a128-02adc748fc36","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Details","Excavated as per MRTS04"
"4a1a7e8a-9e97-5fee-9428-a5f04cd665a8","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:413da91c-fb37-5159-9cf7-387f022e3b1a","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Details","Backfilling of the excavation shall not commence until an As Constructed Survey of the excavation have been met as specified in MRTS56 and notice of such Works provided to the Administrator"
"73ae1f98-2a71-58ea-85e4-14aa86fcacb6","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:aed454b7-d279-579b-9aaf-f8fb38a1953c","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Details","Backfill as per MRTS04 Replacement fill material shall be placed uniformly in layers and compacted using compacted layer method"
"1c70b5ea-7cb1-5b19-aeb7-8e3a48159144","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:92e2c8e8-4467-5dcd-a011-2bdff199cdd1","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Details","After backfilling of the excavated area has been completed, an As Constructed Survey shall be undertaken."
"b8d695ad-1d59-5fc1-8a5c-9da5b953255c","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:bf831347-f2b8-54a0-bc1d-3887e361ddb1","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Details","All surplus material and/or Unsuitable Material shall be disposed of off the Site"
"de6b2a9f-396c-52b7-ad49-d1bf98c63439","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Details","Final Verification"
"8fc950a9-5eee-54bc-b122-792dc06e7621","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175:fe9ea76b-5345-51c8-ade7-e3c6547f8103","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Details","Sign ITP"
"4e2e0843-84bf-5b18-a80f-63e64d1826b8","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b","section","FALSE","FALSE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Final Sign Offs (to be completed at closure of Lot)"
"9c6a1322-6756-59cf-b74f-5c08c1f34993","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities"
"7386e3b0-e507-5c88-b6d4-173204691554","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e:d544edec-1f76-5f24-89bf-14c0130de8cd","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities Sign Off"
"486a05bb-01d1-5f99-bcff-1514e6e7367e","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot"
"6d32c5c1-185c-51e0-adf2-f48fbaecc3bd","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7:d0980bd6-b931-530d-b84f-4d56087c0dde","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-012 - Unsuitable Material","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot Sign Off"
"0074155f-af15-482e-9bc0-070b7352cf26","","pass","04.09 - Unsuitable Material","checklist","FALSE","FALSE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E"
"8062e1b9-b1ab-5460-accc-3c0acc33e5da","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details"
"2fb0276b-af33-5e7c-8514-520eada35201","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:7da1b574-4063-5c22-8967-d5a5a70d69fb","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","The identification of unsuitable material shall include items listed in MRTS04 Cl. 9.2"
"39ca6d81-d405-560b-bdce-7420349bde54","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:d35d257c-6c54-59f7-a6f1-0c2285d21e7c","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","Where Unsuitable Material or potentially Unsuitable Material is encountered on the Site, the Contractor shall, before proceeding to remove or cover such material, notify the Administrator and provide any test results required to justify such a claim."
"1e4bb9ed-2fcd-5f3c-95b1-c7d69c4693ee","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:d35d257c-6c54-59f7-a6f1-0c2285d21e7c:41a71747-8185-51c6-ab68-b3a7d3920565","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","HOLD POINT"
"4c941098-95a4-5df7-aec4-f8aea771dfb0","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:07389f6c-d602-5da6-a128-02adc748fc36","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","Excavated as per MRTS04"
"7311321c-989f-5ef6-91a8-92c5198c2ae7","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:413da91c-fb37-5159-9cf7-387f022e3b1a","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","Backfilling of the excavation shall not commence until an As Constructed Survey of the excavation have been met as specified in MRTS56 and notice of such Works provided to the Administrator"
"26a8068c-534e-543e-aba1-78e2ea21c278","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:aed454b7-d279-579b-9aaf-f8fb38a1953c","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","Backfill as per MRTS04 Replacement fill material shall be placed uniformly in layers and compacted using compacted layer method"
"f6d9a74a-cd40-52db-bcca-7118edc6f8fa","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:92e2c8e8-4467-5dcd-a011-2bdff199cdd1","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","After backfilling of the excavated area has been completed, an As Constructed Survey shall be undertaken."
"1f4759e2-5f72-5fc0-9e08-8b342e48bbd6","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:bf831347-f2b8-54a0-bc1d-3887e361ddb1","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","All surplus material and/or Unsuitable Material shall be disposed of off the Site"
"5718e5d5-3271-522c-9e96-78b4bcbef9f8","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","Final Verification"
"6ebf11dd-5577-54e8-a9f7-b09149d5ca58","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175:fe9ea76b-5345-51c8-ade7-e3c6547f8103","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Details","Sign ITP"
"8ceeb5dd-4eda-53be-a064-d53d9a76644e","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b","section","FALSE","FALSE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Final Sign Offs (to be completed at closure of Lot)"
"34381eed-f3d2-52c4-be5d-7618b60d4763","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities"
"7b464615-5f85-5066-8f10-58e88bee683c","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e:d544edec-1f76-5f24-89bf-14c0130de8cd","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities Sign Off"
"d1a72723-c2a1-5309-a4c1-ddee52031aee","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot"
"7babcbaa-8e16-577e-a4de-5d8ecc9b9b35","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7:d0980bd6-b931-530d-b84f-4d56087c0dde","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-013 - Unsuitable -Type E","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot Sign Off"
"c58b9b71-3f33-48dd-98fb-ed45a961faad","","pass","04.09 - Unsuitable Material","checklist","FALSE","FALSE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E "
"5ee5fef9-a0e0-5346-811a-1f2686e2a3f2","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details"
"088227ca-abe4-5ca8-9a48-8c10714339d2","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:7da1b574-4063-5c22-8967-d5a5a70d69fb","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","The identification of unsuitable material shall include items listed in MRTS04 Cl. 9.2"
"8e6f58a8-e8ba-5ec0-9e5c-2f8af36494b9","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:d35d257c-6c54-59f7-a6f1-0c2285d21e7c","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","Where Unsuitable Material or potentially Unsuitable Material is encountered on the Site, the Contractor shall, before proceeding to remove or cover such material, notify the Administrator and provide any test results required to justify such a claim."
"1a3f69b4-aeb4-51e3-be52-dda7ddc0c0bf","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:d35d257c-6c54-59f7-a6f1-0c2285d21e7c:41a71747-8185-51c6-ab68-b3a7d3920565","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","HOLD POINT"
"2b765457-d611-52df-93a7-8c6e9ee9688a","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:07389f6c-d602-5da6-a128-02adc748fc36","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","Excavated as per MRTS04"
"8fadafe1-7df2-5bfd-9d79-e3c8d191c928","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:413da91c-fb37-5159-9cf7-387f022e3b1a","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","Backfilling of the excavation shall not commence until an As Constructed Survey of the excavation have been met as specified in MRTS56 and notice of such Works provided to the Administrator"
"47d2b839-9a60-51cd-9b7a-f35aa311c65d","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:aed454b7-d279-579b-9aaf-f8fb38a1953c","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","Backfill as per MRTS04 Replacement fill material shall be placed uniformly in layers and compacted using compacted layer method"
"6a665021-8fe4-5609-8615-7bf8fa26f7f5","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:92e2c8e8-4467-5dcd-a011-2bdff199cdd1","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","After backfilling of the excavated area has been completed, an As Constructed Survey shall be undertaken."
"111f86e4-a54c-53ab-9453-ae30541fbc3b","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:bf831347-f2b8-54a0-bc1d-3887e361ddb1","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","All surplus material and/or Unsuitable Material shall be disposed of off the Site"
"2a0c178c-d087-56ec-b31e-76040cfa9ae9","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","Final Verification"
"56d442f8-bc9e-5e6a-9a53-542f5aa75e2c","","pass","04.09 - Unsuitable Material:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175:fe9ea76b-5345-51c8-ade7-e3c6547f8103","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Details","Sign ITP"
"ffd66714-f1a5-5158-9f74-b938dd16597d","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b","section","FALSE","FALSE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Final Sign Offs (to be completed at closure of Lot)"
"d37b17ea-ea2e-5b81-9999-737759fe90b9","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities"
"f0d10803-d6b3-5be2-90f8-20a278542fcb","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e:d544edec-1f76-5f24-89bf-14c0130de8cd","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities Sign Off"
"5a9035be-4d68-50fa-8c2d-488a0a912329","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot"
"e650df69-4e04-5aa2-9c4c-ef39db70be20","","pass","04.09 - Unsuitable Material:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7:d0980bd6-b931-530d-b84f-4d56087c0dde","signoff","TRUE","TRUE","Site QA","Stage 2","04.09 - Unsuitable Material","UNS-04.09-LOT-014 - Unsuitable  - Type E ","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot Sign Off"
"e8d95e76-4576-4397-98a9-5afc804ab654","","not-started","","folder","TRUE","FALSE","Site QA","Stage 2","04.12 - Ground Surface Treatment"
"5a94716c-0f41-4ca6-96f0-ba0ded1522f9","","not-started","04.12 - Ground Surface Treatment","checklist","FALSE","FALSE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2"
"384cd5d7-9666-5dd0-9f16-f241e48bd033","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details"
"7660e69c-529c-53ce-8f45-d565e409bdb1","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:fef421ff-1b2e-5740-80e4-75fc0b9a92ad","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Testing for acid sulfate potential and reporting of test results shall be carried out on all excavated material and exposed cuttings on the Site which could reasonably be expected to have a possible acid sulfate potential."
"5e408f86-a7c2-54a3-b9a7-3fa4e4869e75","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:fef421ff-1b2e-5740-80e4-75fc0b9a92ad:0ddc893f-0f12-514c-ae3e-d0cb294f8492","signoff","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","HOLD POINT"
"aecd082c-776b-5aca-8edc-3b8c8be5d4bb","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:cf0a6d46-25e0-5d1b-9d7a-6a66d9b7db23","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Ground Surface Treatment carried out on all areas beneath road embankment/pavement (except where special treatment or subgrade preparation is required)"
"3d347ea2-260c-53c9-bc4b-364217a2a718","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:cb89603d-bc62-5d87-b3b3-579a4280954e","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Holes and localised depressions filled with similar material to the surrounding ground surface or material specified and compacted in accordance with Cl. 15"
"4cb05639-ba69-55a0-9333-f5b54c491e41","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:730a2cf9-360c-52ad-9e60-b13cf7674bf7","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Where Unsuitable Material or potentially Unsuitable Material is encountered on the Site, the Contractor shall, before proceeding to remove or cover such material, notify the Administrator and provide any test results required to justify such a claim"
"dfe46906-c88a-5222-83b1-62a8095e7c64","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:730a2cf9-360c-52ad-9e60-b13cf7674bf7:33246af5-e23b-5f64-9317-7cd56254a2d0","signoff","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","HOLD POINT"
"4bd26c26-f3f7-5579-bfd8-841da7f89a72","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:5925ff81-54ea-5c49-8c39-b7150fef1831","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Existing surface scarified >150mm deep and compacted in accordance with Cl. 15. If material is too wet or too dry to compact and does not classify as unsuitable, moisture content adjusted to a maximum depth of 300mm using appropriate methods. Material below this depth shall be assesed under Clause 9.2."
"60cf2be1-c5c9-5fb7-b7ee-43b6c55163e2","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:72668b6f-35c8-549d-87dc-bb5106709c99","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Relative Compaction - AS 1289.5.4.1 or AS 1289.5.7.1 After any clearing and grubbing, stripping of Topsoil and replacement of Unsuitable Material, the exposed ground surface on which an Embankment is to be placed shall, as a minimum, be scarified and re-compacted to a depth of at least 150 mm"
"77fe0f68-4b10-513a-87df-b114515ccc15","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Final Verification"
"2594193b-50c0-5d5e-a9e1-9748178238ee","","not-started","04.12 - Ground Surface Treatment:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175:fe9ea76b-5345-51c8-ade7-e3c6547f8103","signoff","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Details","Sign ITP"
"169fb96a-936a-5406-9d0c-02fd5ab7f032","","not-started","04.12 - Ground Surface Treatment:14888512-b268-53b2-9251-8582a9665c2b","section","FALSE","FALSE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Final Sign Offs (to be completed at closure of Lot)"
"155edd5e-7c80-5dd8-ba6a-15a4ce0e7f74","","not-started","04.12 - Ground Surface Treatment:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities"
"734e6c39-51ba-5bba-b084-a6f02c589b41","","not-started","04.12 - Ground Surface Treatment:14888512-b268-53b2-9251-8582a9665c2b:9f44b134-6a89-50ab-b5fa-4f130357fa2e:d544edec-1f76-5f24-89bf-14c0130de8cd","signoff","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Final Sign Offs (to be completed at closure of Lot)","Agreed Quantities Sign Off"
"cb529446-9f4b-561e-ab15-5314c8770a5c","","not-started","04.12 - Ground Surface Treatment:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot"
"93a5760a-7cf3-56a9-ae5d-c2044dc90162","","not-started","04.12 - Ground Surface Treatment:14888512-b268-53b2-9251-8582a9665c2b:c2c5a780-35dc-55f7-80d1-af38367605c7:d0980bd6-b931-530d-b84f-4d56087c0dde","signoff","TRUE","TRUE","Site QA","Stage 2","04.12 - Ground Surface Treatment","SGR-04.12-LOT-003 - Type A Treatment - Stage 2","Final Sign Offs (to be completed at closure of Lot)","Closure of Lot Sign Off"
"c7742ed7-8751-444a-81c3-2549b64a1c6a","","pass","","folder","TRUE","FALSE","Site QA","Stage 2","04.13 - General Excavation"
"c1dfacaf-07d9-41cf-9edf-939e2749daef","","pass","04.13 - General Excavation","checklist","FALSE","FALSE","Site QA","Stage 2","04.13 - General Excavation","EXC-04.13-LOT-004 - Excavation - Stage 2 (Subgrade)"
"7c009e08-fff4-5be1-83fe-8e3206c31178","","pass","04.13 - General Excavation:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 2","04.13 - General Excavation","EXC-04.13-LOT-004 - Excavation - Stage 2 (Subgrade)","Details"
"964122d8-5027-5c6a-ad3a-387653bbb871","","pass","04.13 - General Excavation:8111ace1-1386-5c1f-8290-3df28e3c8d3f:b740724a-4267-5bf8-9697-33e9acf180d4","checkpoint","TRUE","TRUE","Site QA","Stage 2","04.13 - General Excavation","EXC-04.13-LOT-004 - Excavation - Stage 2 (Subgrade)","Details","Where Unsuitable Material (in accordance with the provisions of Cl. 9.2) or potentially Unsuitable Material is encountered on site, the Contactor shall, before proceeding to remove or cover such material, notify the Administrator. Once Identified the Unsuitable material shall be removed and disposed of in accordance with the provisions of Cl.11"
