type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,
checkpoint,Duty/ standby,,,,,,,,,,,,,
checkpoint,Other:,,,,,,,,,,,,,
textbox,(specify),,,,,,,,,,,,,
checkpoint,Verify motor rotating in correct direction,,,,,,,,,,,,,
checkpoint,Verify motor local stop,,,,,,,,,,,,,
checkpoint,Confirm run up time,,,,,,,,,,,,,
checkpoint,Verify DCS/ remote stop,,,,,,,,,,,,,
checkpoint,Confirm starting current (as required for larger motor KW),,,,,,,,,,,,,
checkpoint,Verify trips and interlocks as per above control circuit function tests,,,,,,,,,,,,,
checkpoint,Ensure all temporary links/ forces are removed and isolations re-instated/ locked out,,,,,,,,,,,,,
section,Tests,,,,,,,,,,,,,
checkpoint-no-status,"As required carry out no load run until winding temperatures stabilise and confirm vibration levels. Enter ""N/A"" for non-applicable fields.",,,,,,,,,,,,,
checkpoint,Record Bearing Temperatures:,,,,,,,,,,,,,
textbox,DE:,,,°C,,,,,,,,,,
textbox,NDE:,,,°C,,,,,,,,,,
checkpoint,Record Winding Temperatures:,,,,,,,,,,,,,
textbox,W1:,,,°C,,,,,,,,,,
textbox,W2:,,,°C,,,,,,,,,,
textbox,W3:,,,°C,,,,,,,,,,
checkpoint,DE(X),,,,,,,,,,,,,
textbox,DE(X):,,,m/s2,,,,,,,,,,
checkpoint,DE(Y),,,,,,,,,,,,,
textbox,DE(Y):,,,m/s2,,,,,,,,,,
checkpoint,NDE (X),,,,,,,,,,,,,
textbox,NDE (X):,,,m/s2,,,,,,,,,,
checkpoint,NDE (Y),,,,,,,,,,,,,
textbox,NDE (Y):,,,m/s2,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0008,,,,,,561482-DOW-ITR-EL-0008,,,,,,,
section,Details,,,,,,,,,,,,,
checkpoint-no-status,Details,,,,,,,,,,,,,
textbox,Area (L0):,,,,,,,,,,,,,
textbox,System (L2),,,,,,,,,,,,,
textbox,SubArea (L1),,,,,,,,,,,,,
textbox,Element (L3),,,,,,,,,,,,,
section,1. GENERAL DATA,,,,,,,,,,,,,
checkpoint,Details,,,,,,,,,,,,,
textbox,Schematic Drawing,,,,,,,,,,,,,
textbox,kW rating,,,,,,,,,,,,,
textbox,Manufacturer,,,,,,,,,,,,,
textbox,Model Number,,,,,,,,,,,,,
textbox,Serial Number,,,,,,,,,,,,,
textbox,Supply Voltage,,,,,,,,,,,,,
textbox,Supply Label,,,,,,,,,,,,,
textbox,Control Label,,,,,,,,,,,,,
section,2. TEST PROCEDURE - 2.1 Readiness for test,,,,,,,,,,,,,
checkpoint,Drive power isolated,,,,,,,,,,,,,
checkpoint,Control power connected,,,,,,,,,,,,,
checkpoint,ITR completed and signed,,,,,,,,,,,,,
checkpoint,Area signposted & controlled,,,,,,,,,,,,,
checkpoint,All field IO Correct,,,,,,,,,,,,,
checkpoint,24V DC supply energised,,,,,,,,,,,,,
checkpoint,Confirm potentiometer rating,,,,,,,,,,,,,
checkpoint,Mechanical Installation as per Fig 1,,,,,,,,,,,,,
section,3. COMMISSIONING PROCEDURE - 3.1 Configuring the VFD,,,,,,,,,,,,,
checkpoint,Verify DI1 is not active,,,,,,,,,,,,,
checkpoint,Energize VFD,,,,,,,,,,,,,
checkpoint,Set Date/Time/Language,,,,,,,,,,,,,
checkpoint,Select Simply Start (1),,,,,,,,,,,,,
checkpoint,Motor Standard Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
checkpoint,Nominal Motor Power,,,,,,,,,,,,,
textbox,kW:,,,,,,,,,,,,,
checkpoint,Nominal Motor Voltage,,,,,,,,,,,,,
textbox,Vac:,,,,,,,,,,,,,
checkpoint,Nominal Motor Current,,,,,,,,,,,,,
textbox,A:,,,,,,,,,,,,,
checkpoint,Nominal Motor Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
checkpoint,Nominal Motor Speed,,,,,,,,,,,,,
textbox,RPM:,,,,,,,,,,,,,
checkpoint,2/3 - Wire Control (2C),,,,,,,,,,,,,
checkpoint,Maximum Frequency,,,,,,,,,,,,,
textbox,Hz,,,,,,,,,,,,,
checkpoint,Motor Thermal Current,,,,,,,,,,,,,
textbox,A,,,,,,,,,,,,,
checkpoint,Clear Area of Personnel,,,,,,,,,,,,,
checkpoint,Select Simply Start (1),,,,,,,,,,,,,
checkpoint,Select Autotuning,,,,,,,,,,,,,
checkpoint,Set Apply Autotuning (Yes),,,,,,,,,,,,,
checkpoint,Select Simply Start (1),,,,,,,,,,,,,
checkpoint,Set Acceleration,,,,,,,,,,,,,
textbox,s:,,,,,,,,,,,,,
checkpoint,Set Deceleration,,,,,,,,,,,,,
textbox,s:,,,,,,,,,,,,,
checkpoint,Set Low Speed Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
checkpoint,Set High Speed Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
section,3. COMMISSIONING PROCEDURE - 3.2 VFD Module Tests,,,,,,,,,,,,,
checkpoint,Confirm VFD starts/stops,,,,,,,,,,,,,
checkpoint,Simulate Overload Fault,,,,,,,,,,,,,
checkpoint,Reset VFD,,,,,,,,,,,,,
checkpoint,Confirm comms VFD-PLC,,,,,,,,,,,,,
checkpoint,Inputs verified into PLC,,,,,,,,,,,,,
checkpoint,Outputs operate as per design,,,,,,,,,,,,,
section,3. COMMISSIONING PROCEDURE - 3.3 Other Tests Conducted,,,,,,,,,,,,,
checkpoint,Other Tests Conducted,,,,,,,,,,,,,
textbox,Details:,,,,,,,,,,,,,
section,4. COMPLETION,,,,,,,,,,,,,
checkpoint,Temporary supplies disconnected,,,,,,,,,,,,,
checkpoint,Temporary bridges removed,,,,,,,,,,,,,
checkpoint,All covers reinstated,,,,,,,,,,,,,
checkpoint,All equipment left in fit state for energisation,,,,,,,,,,,,,
checkpoint,As built drawings marked up,,,,,,,,,,,,,
section,5. REMARKS OR REMEDIAL ACTIONS REQUIRED,,,,,,,,,,,,,
checkpoint,Remarks / Remedial Actions Required,,,,,,,,,,,,,
textbox,Punch List ID,,,,,,,,,,,,,
dropdown,Priority (A/B/C),"A,B,C",,,,,,,,,,,,
textbox,Description,,,,,,,,,,,,,
date,Date Due,,,,,,,,,,,,,
dropdown,Responsible Team (M/E/C/P),"M,E,C,P",,,,,,,,,,,,
checkpoint,Remedial Actions Completed,,,,,,,,,,,,,
textbox,Commissioning Eng/Tech:,,,,,,,,,,,,,
textbox,Commissioning Manager:,,,,,,,,,,,,,
textbox,Client:,,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-EL-0009,,,,,,561482-DOW-ITR-EL-0009,,,,,,,
section,Details,,,,,,,,,,,,,
checkpoint-no-status,Details,,,,,,,,,,,,,
textbox,Area (L0):,,,,,,,,,,,,,
textbox,System (L2),,,,,,,,,,,,,
textbox,SubArea (L1),,,,,,,,,,,,,
textbox,Element (L3),,,,,,,,,,,,,
section,1. GENERAL DATA,,,,,,,,,,,,,
checkpoint,Details,,,,,,,,,,,,,
textbox,Schematic Drawing,,,,,,,,,,,,,
textbox,kW rating,,,,,,,,,,,,,
textbox,Manufacturer,,,,,,,,,,,,,
textbox,Model Number,,,,,,,,,,,,,
textbox,Serial Number,,,,,,,,,,,,,
textbox,Supply Voltage,,,,,,,,,,,,,
textbox,Supply Label,,,,,,,,,,,,,
textbox,Control Label,,,,,,,,,,,,,
section,2. TEST PROCEDURE - 2.1 Readiness for test,,,,,,,,,,,,,
checkpoint,Drive power isolated,,,,,,,,,,,,,
checkpoint,Control power connected,,,,,,,,,,,,,
checkpoint,ITR completed and signed,,,,,,,,,,,,,
checkpoint,Area signposted & controlled,,,,,,,,,,,,,
checkpoint,All field IO Correct,,,,,,,,,,,,,
checkpoint,24V DC supply energised,,,,,,,,,,,,,
checkpoint,Confirm potentiometer rating,,,,,,,,,,,,,
checkpoint,Mechanical Installation as per Fig 1,,,,,,,,,,,,,
section,3. COMMISSIONING PROCEDURE - 3.1 Configuring the VFD,,,,,,,,,,,,,
checkpoint,Verify DI1 is not active,,,,,,,,,,,,,
checkpoint,Energize VFD,,,,,,,,,,,,,
checkpoint,Set Date/Time/Language,,,,,,,,,,,,,
checkpoint,Select Simply Start (1),,,,,,,,,,,,,
checkpoint,Motor Standard Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
checkpoint,Nominal Motor Power,,,,,,,,,,,,,
textbox,kW:,,,,,,,,,,,,,
checkpoint,Nominal Motor Voltage,,,,,,,,,,,,,
textbox,Vac:,,,,,,,,,,,,,
checkpoint,Nominal Motor Current,,,,,,,,,,,,,
textbox,A:,,,,,,,,,,,,,
checkpoint,Nominal Motor Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
checkpoint,Nominal Motor Speed,,,,,,,,,,,,,
textbox,RPM:,,,,,,,,,,,,,
checkpoint,2/3 - Wire Control (2C),,,,,,,,,,,,,
checkpoint,Maximum Frequency,,,,,,,,,,,,,
textbox,Hz,,,,,,,,,,,,,
checkpoint,Motor Thermal Current,,,,,,,,,,,,,
textbox,A,,,,,,,,,,,,,
checkpoint,Clear Area of Personnel,,,,,,,,,,,,,
checkpoint,Select Simply Start (1),,,,,,,,,,,,,
checkpoint,Select Autotuning,,,,,,,,,,,,,
checkpoint,Set Apply Autotuning (Yes),,,,,,,,,,,,,
checkpoint,Select Simply Start (1),,,,,,,,,,,,,
checkpoint,Set Acceleration,,,,,,,,,,,,,
textbox,s:,,,,,,,,,,,,,
checkpoint,Set Deceleration,,,,,,,,,,,,,
textbox,s:,,,,,,,,,,,,,
checkpoint,Set Low Speed Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
checkpoint,Set High Speed Freq,,,,,,,,,,,,,
textbox,Hz:,,,,,,,,,,,,,
section,3. COMMISSIONING PROCEDURE - 3.2 VFD Module Tests,,,,,,,,,,,,,
checkpoint,Confirm VFD starts/stops,,,,,,,,,,,,,
checkpoint,Simulate Overload Fault,,,,,,,,,,,,,
checkpoint,Reset VFD,,,,,,,,,,,,,
checkpoint,Confirm comms VFD-PLC,,,,,,,,,,,,,
checkpoint,Inputs verified into PLC,,,,,,,,,,,,,
checkpoint,Outputs operate as per design,,,,,,,,,,,,,
section,3. COMMISSIONING PROCEDURE - 3.3 Other Tests Conducted,,,,,,,,,,,,,
checkpoint,Other Tests Conducted,,,,,,,,,,,,,
textbox,Details:,,,,,,,,,,,,,
section,4. COMPLETION,,,,,,,,,,,,,
checkpoint,Temporary supplies disconnected,,,,,,,,,,,,,
checkpoint,Temporary bridges removed,,,,,,,,,,,,,
checkpoint,All covers reinstated,,,,,,,,,,,,,
checkpoint,All equipment left in fit state for energisation,,,,,,,,,,,,,
checkpoint,As built drawings marked up,,,,,,,,,,,,,
section,5. REMARKS OR REMEDIAL ACTIONS REQUIRED,,,,,,,,,,,,,
checkpoint,Remarks / Remedial Actions Required,,,,,,,,,,,,,
textbox,Punch List ID,,,,,,,,,,,,,
dropdown,Priority (A/B/C),"A,B,C",,,,,,,,,,,,
textbox,Description,,,,,,,,,,,,,
date,Date Due,,,,,,,,,,,,,
dropdown,Responsible Team (M/E/C/P),"M,E,C,P",,,,,,,,,,,,
checkpoint,Remedial Actions Completed,,,,,,,,,,,,,
textbox,Commissioning Eng/Tech:,,,,,,,,,,,,,
textbox,Commissioning Manager:,,,,,,,,,,,,,
textbox,Client:,,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0001,,,,,,561482-DOW-ITR-IN-0001,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0001,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 4 pr CS ,,,,,,,,,,,,,
label,Source: MCC,,,,,,,,,,,,,
label,Destination: Pump 2 VSD,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B1,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W2,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B2,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W3,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B3,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0002,,,,,,561482-DOW-ITR-IN-0002,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0002,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 2 pr CS ,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: Pump 2 VSD,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0003,,,,,,561482-DOW-ITR-IN-0003,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0003,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 1 pr ES ,,,,,,,,,,,,,
label,Source: Pump 2 VSD,,,,,,,,,,,,,
label,Destination: Pump 2,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
textbox,Type of Meter,,,,,,,,,,,,,
textbox,Make/ Model,,,,,,,,,,,,,
textbox,Serial No.,,,,,,,,,,,,,
date,Calibration: Date,,,,,,,,,,,,,
date,Calibration: Due,,,,,,,,,,,,,
section,ACCEPTANCE,,,,,,,,,,,,,
checkpoint,"I hereby confirm the work has been completed in accordance with contract specified/ referenced drawings, technical specifications, and standards.",,,,,,,,,,,,,
holdpoint,Add Signature,,,,,,,,,,,,,
,,,,,,,,,,,,,,
checklist,561482-DOW-ITR-IN-0004,,,,,,561482-DOW-ITR-IN-0004,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-IN-0004,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 1.5mm 4 pr CS ,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: Pump 3 VSD,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: W1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B1,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B2,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: B3,,,Results - Ω,,,,,,,,,,
textbox,Core Designation: W4,,,,,,,,,,,,,
textbox,Core Designation: B4,,,,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
checkpoint,All test leads and bridges removed,,,,,,,,,,,,,
checkpoint,Drawings & schedules marked up to 'As Built' status,,,,,,,,,,,,,
section,VERIFICATION,,,,,,,,,,,,,
checkpoint,VERIFICATION,,,,,,,,,,,,,
textbox,Deficiencies Identified:,,,,,,,,,,,,,
bool,Rectified/ Closed-Out,,,,,,,,,,,,,
bool,Punch Listed,,,,,,,,,,,,,
section,TEST EQUIPMENT,,,,,,,,,,,,,
checkpoint,TEST EQUIPMENT,,,,,,,,,,,,,
